Verkiezing;;Gemeenteraad Emmen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Emmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Stadskerk;De Goede Herderkerk;Atlas Theater;Wijkcentrum Meerstede;Ichthus;Nationaal Archief;Buurthuis 't Bargermeertje;CBK De Fabriek;Dorpshuis 't Hoefijzer Zuidbarge;De Schanskuil;Dorpshuis Weerdinge;Wijkcentrum Angelslo;Kerkgebouw Het Baken;Kantine Sporthal Emmerhout;De Schepershof;De Wilker;Gymnastieklokaal O.b.s. De Brink;'t Brinkenhoes;Kerkgebouw De Bron;Mondenhal;Multifunctioneel Centrum De Badde;Dorpshuis 't Stadhoes;Protestantse kerk;Kantine sporthal De Klabbe;Dorpshuis De Stobbe;Buurtgebouw Ons Dorp;Buurtvereniging De Viersprong;Dorpshuis De Foxel;Veenkerk;De Collink;Kantine sporthal De Eendracht;Dorpshuis De Meerstal;Kruiskerk;Buurtvereniging Het Kruidenveld;Buurtschap Ons Belang;Wijk- en Dienstencentrum Noorderbreedte;Kantine sporthal De Zon;Buurthuis 't Hoekje;Dorpshuis De Klink;Parc Centrum Sandur;Dorphuis d'Aole Turfstee;S.K.W. Barnstee;'t Schienvat;Kantine S.C. Erica;Gymlokaal Jachthoorn;Zuiderkerk;Gymlokaal De Trans;Gymlokaal Valkenveld 1;Gymlokaal Valkenveld 2;Kantine DZOH;Zalencentrum d' Aol Meul;Kantine SVV'04;'t Aole Gemientehoes;De Dorpshoeve;De Webbe;Dorpshuis Trefpunt;Drenthe College, locatie Veldlaan;Dorpshuis De Veurkamer;Informatiecentrum Delftlanden;Gemeentehuis (ma);Gemeentehuis (di);Wijkcentrum Meerstede (ma);Wijkcentrum Meerstede (di);Wijkcentrum Angelslo (ma);Wijkcentrum Angelslo (di);De Schepershof (ma);De Schepershof (di);Kerkgebouw De Bron (ma);Kerkgebouw De Bron (di);Multifunctioneel Centrum De Badde (ma);Multifunctioneel Centrum De Badde (di);Protestantse kerk (ma);Protestantse kerk (di);De Collink (ma);De Collink (di);Kantine sporthal De Eendracht (ma);Kantine sporthal De Eendracht (di);Kruiskerk (ma);Kruiskerk (di);Dorpshuis De Klink (ma);Dorpshuis De Klink (di);S.K.W. Barnstee (ma);S.K.W. Barnstee (di);'t Schienvat (ma);'t Schienvat (di);Kantine DZOH (ma);Kantine DZOH (di);'t Aole Gemientehoes (ma);'t Aole Gemientehoes (di);De Dorpshoeve (ma);De Dorpshoeve (di);De Webbe (ma);De Webbe (di);Dorpshuis De Veurkamer (ma);Dorpshuis De Veurkamer (di);Mobiel stembureau 1 (ma);Mobiel stembureau 2 (ma);Mobiel stembureau 3 (di);Mobiel stembureau 4 (di);Mobiel stembureau 5 (wo);Mobiel stembureau 6 (wo)
;;2;Post, T.;236;1;0;0;1;2;0;0;0;1;1;1;0;3;4;1;1;0;3;4;1;0;2;0;1;4;4;2;3;1;0;9;4;9;16;8;12;5;7;17;16;1;10;9;2;2;0;4;0;0;2;0;2;0;0;2;1;4;0;18;1;0;0;1;0;0;2;1;0;4;0;1;0;2;0;0;1;1;1;4;5;0;4;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0
;;3;Kuhl, M.;353;5;0;2;3;4;2;2;2;1;1;5;1;3;5;8;6;2;4;3;4;0;4;3;3;8;5;4;1;3;0;4;5;6;7;2;6;6;5;7;1;7;3;9;14;4;5;0;3;4;7;0;12;2;36;3;4;7;7;5;2;2;3;2;3;2;2;3;5;1;3;0;0;2;2;0;0;2;0;5;3;1;1;1;2;2;2;0;0;3;11;0;0;1;2;1;9;0;0;0;0;0;0
;;4;Notmeijer, P.;255;10;1;2;1;9;7;2;4;2;0;2;2;7;13;7;6;5;7;15;9;0;7;2;3;1;1;2;2;2;1;5;7;0;5;2;4;3;6;3;0;6;0;6;1;3;2;1;4;3;6;4;0;1;2;1;0;1;7;1;2;4;6;0;2;1;2;2;2;2;1;1;2;0;1;0;0;2;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0
5;VVD;;;2779;145;82;49;43;39;54;28;28;55;56;30;34;46;15;23;67;12;15;100;33;7;54;21;5;17;14;9;13;5;2;10;5;12;21;39;26;17;61;34;18;112;13;76;57;75;12;10;40;57;51;91;8;14;47;28;13;19;31;62;66;50;69;10;18;17;38;19;22;16;30;1;2;1;0;1;3;0;1;21;3;0;4;10;12;19;27;34;43;11;19;1;3;1;0;10;20;6;6;2;0;3;0
;;1;de Jonge, P.M.;1348;63;42;23;13;12;27;9;16;27;26;10;23;15;3;9;35;7;11;56;19;3;25;7;2;13;10;6;12;3;0;5;3;6;9;13;2;4;26;9;11;54;10;37;50;60;3;6;15;24;25;40;5;13;27;17;4;8;14;17;25;19;33;4;10;9;24;8;8;12;9;1;2;1;0;0;2;0;1;5;2;0;2;7;4;14;25;15;20;7;13;0;1;1;0;4;4;4;3;2;0;3;0
;;2;Meijer, M.;564;51;20;14;9;9;13;10;6;21;19;9;6;24;7;7;9;1;2;17;7;0;9;0;1;2;0;1;0;0;0;0;1;0;2;6;0;4;2;4;0;28;0;16;2;5;0;2;18;18;13;27;0;0;4;0;0;0;1;3;25;20;22;1;2;0;2;8;0;3;6;0;0;0;0;0;0;0;0;0;0;0;1;1;4;3;1;11;16;1;1;0;0;0;0;2;2;1;1;0;0;0;0
;;3;Scheper, A.W.;307;9;5;8;6;2;5;4;2;3;3;3;2;2;4;3;6;1;0;7;2;2;1;2;0;1;2;0;0;1;1;2;1;0;1;2;1;1;6;1;5;16;0;10;3;4;7;2;4;9;5;8;1;1;0;6;7;11;2;40;5;2;6;2;3;1;6;0;2;0;7;0;0;0;0;0;0;0;0;2;0;0;1;0;2;0;0;2;2;2;3;0;1;0;0;4;10;1;0;0;0;0;0
;;4;Gels, E.J.;162;3;8;0;3;1;0;0;0;3;2;3;0;1;0;2;3;1;1;3;2;0;0;0;0;0;2;1;1;0;0;2;0;3;8;6;11;5;20;11;0;3;2;7;0;3;0;0;0;0;1;6;0;0;0;4;0;0;5;1;2;2;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;1;2;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0
;;5;Ramazanova, N.;77;3;1;0;2;0;0;1;3;0;2;2;1;0;0;2;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;2;0;1;1;0;0;0;1;4;2;3;0;0;11;0;0;0;2;0;1;0;0;1;0;2;0;2;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;de Boer, J.;32;0;0;0;3;3;3;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;7;Pool, A.H.;85;10;3;2;6;2;1;0;0;1;3;0;0;1;0;0;2;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;4;0;2;0;1;0;0;0;0;1;2;0;0;0;0;0;0;2;0;1;6;0;0;2;2;4;0;7;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Vinck- van Vugt, A.M.H.;27;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;18;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Hartsuiker, R.J.J.;47;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;5;6;2;2;4;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
;;10;de Jong, D.R.;20;3;0;1;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Staphorst-Meijer, A.;39;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;3;1;0;2;0;0;0;1;0;0;1;0;0;2;2;0;3;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Vries, R.J.J.;27;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;6;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Irrgang- Borsboom, M.S.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Arkesteijn, M.;35;2;1;0;0;6;4;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;2;0;1;1;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;SP (Socialistische Partij);;;2557;58;11;22;28;66;44;22;17;11;22;28;24;61;37;47;61;25;34;131;70;8;52;14;17;41;33;32;8;27;2;22;20;41;49;37;72;27;30;41;32;34;10;53;49;23;13;9;38;58;44;53;16;4;53;8;21;12;22;54;15;29;31;30;28;9;37;22;42;17;31;5;7;7;16;3;3;2;16;14;30;3;6;9;4;8;19;17;22;8;10;1;2;0;6;8;17;6;4;7;5;3;0
;;1;Kuiper, M.;1106;26;6;8;15;22;22;11;10;4;9;14;9;32;18;19;20;7;14;48;20;1;30;5;9;25;10;16;5;9;0;8;11;29;19;12;11;5;11;13;14;11;3;24;17;8;6;7;14;19;14;31;9;3;33;3;12;8;12;24;7;15;18;15;15;6;24;11;15;12;18;3;3;0;12;3;3;1;6;4;3;1;3;5;1;4;6;8;10;4;6;1;1;0;4;5;3;3;3;5;4;0;0
;;2;Moinat, W.L.H.;168;4;0;2;4;6;1;0;0;0;1;4;1;1;0;6;6;1;3;8;5;1;2;0;0;3;3;2;1;4;0;6;6;6;4;2;9;5;0;4;1;1;0;3;0;0;0;0;2;1;1;2;1;0;0;1;2;0;0;1;0;0;0;0;2;0;2;1;2;0;2;0;2;1;0;0;0;1;9;1;7;0;0;0;1;0;1;4;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0
;;3;Ester-Schokker, C.P.M.;679;22;3;7;5;22;11;10;5;4;10;4;11;19;13;18;22;8;12;48;31;2;12;5;6;10;14;10;0;12;0;3;2;2;2;3;6;5;3;2;6;16;3;15;5;7;3;0;11;25;20;15;4;0;11;1;0;3;8;17;5;9;10;9;4;2;10;6;17;3;3;1;1;5;2;0;0;0;0;2;5;0;1;2;1;0;0;1;7;3;3;0;0;0;1;3;6;2;0;0;0;1;0
;;4;Ahlers, R.;140;1;0;0;0;3;0;1;0;1;1;0;0;4;1;0;2;0;0;2;3;0;2;1;0;0;2;0;0;0;0;2;0;2;13;9;19;4;8;9;2;0;1;5;5;1;0;1;1;1;3;2;0;1;2;1;2;1;0;1;1;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
;;5;Oost, A.N.;73;2;0;0;1;2;1;0;0;0;0;1;0;1;0;2;3;1;0;5;3;2;1;2;1;1;0;1;0;0;0;1;0;1;5;1;5;1;3;1;1;1;2;1;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0
;;6;Wemmenhove, S.;44;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;6;8;3;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;7;Vaartjes, I.;107;1;1;3;1;5;5;0;0;0;0;1;2;0;3;2;5;5;3;11;4;0;2;0;0;0;1;0;1;1;2;1;0;0;0;1;1;0;0;0;1;5;0;1;1;1;1;0;1;5;2;2;1;0;1;1;3;0;0;2;0;1;0;0;1;1;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;de Vries, M.R.;64;1;0;0;2;4;2;0;1;0;0;0;0;2;1;0;0;1;1;6;3;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;5;0;2;1;0;0;1;0;0;0;1;1;2;1;0;3;3;0;0;1;2;1;3;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van der Kolk, J.G.H.;67;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;18;6;1;0;1;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;4;12;0;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0
;;10;Ahlers-Bruinsma, P.;44;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;2;2;2;1;2;1;3;0;0;0;1;0;0;1;2;5;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Ahlers, G.H.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Beekmann, C.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Zeeman, B.;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Mäkel - van Luttikhuizen, R.;6;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Teske, J.;13;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;ChristenUnie;;;1885;33;62;80;24;38;66;11;14;21;26;31;34;23;32;23;59;12;19;68;53;28;42;11;10;5;31;12;8;6;6;9;11;3;19;6;5;5;14;16;9;40;5;34;24;23;10;5;14;55;53;42;15;2;36;3;5;5;13;40;36;17;57;29;15;14;17;21;22;18;39;4;13;6;1;0;0;4;0;6;14;0;0;1;4;10;9;14;35;3;15;2;0;0;0;9;16;5;14;1;2;0;3
;;1;Pruisscher, R.R.;943;19;33;37;17;19;41;4;5;7;16;15;9;13;13;13;33;6;8;27;21;19;28;5;5;2;15;5;5;3;4;4;6;3;14;2;3;2;10;11;6;19;3;10;14;4;8;4;6;29;23;19;5;1;15;2;2;2;7;16;15;10;27;16;9;9;11;12;5;9;22;3;6;3;0;0;0;1;0;4;7;0;0;1;0;3;6;9;19;0;5;2;0;0;0;8;8;3;9;0;2;0;2
;;2;Huttinga, H.;297;9;12;18;1;4;6;4;4;7;5;3;10;1;10;2;7;0;2;23;12;3;0;1;3;0;7;1;2;0;0;2;3;0;1;1;2;2;3;0;0;2;1;3;2;2;0;0;3;4;8;7;5;1;7;0;1;0;1;8;4;3;18;3;3;3;2;2;2;4;6;0;1;1;0;0;0;0;0;1;3;0;0;0;0;1;0;0;4;3;4;0;0;0;0;0;0;0;3;0;0;0;0
;;3;Supheert, M.J.;80;0;2;0;4;7;3;0;0;0;0;1;1;1;0;0;5;2;0;1;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;1;2;0;0;0;2;2;1;0;0;0;3;3;2;0;0;0;0;2;0;3;1;4;1;1;4;1;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;4;Döpp-van Berkum, T.W.;155;2;3;7;0;3;3;0;2;4;1;5;5;3;2;0;1;1;1;7;5;0;5;1;1;1;3;2;0;1;1;0;2;0;1;0;0;0;0;1;0;6;1;2;0;1;1;0;3;8;5;3;0;0;3;0;0;1;0;9;0;1;2;2;2;0;0;7;6;0;3;0;1;0;1;0;0;2;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;0;0;1;0;0;0;0;0;0;0
;;5;Engberts, J.;46;0;2;6;0;1;0;0;0;0;0;2;0;1;0;0;1;0;2;1;2;0;3;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1
;;6;Brink, J.F.;41;0;3;5;1;0;4;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;1;0;0;3;3;3;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;7;Prins, G.;36;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;3;0;0;0;0;0;0;0;0;5;0;1;2;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Benus-van den Born, N.;23;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;2;2;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Lunsing-Hidding, T.A.;67;0;0;3;0;0;4;3;2;0;2;2;2;3;4;3;4;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;2;2;1;0;0;2;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Teijgeler, C.L.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;van der Meulen, E.;64;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;5;12;0;1;0;0;0;1;0;0;5;1;0;1;0;4;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;3;0;0;0;3;0;0;0;0;0;5;0;0;0;0;0;0
;;12;Sollie, L.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Lubberts, M.;12;0;0;1;0;1;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Bouwhuis, A.J.;7;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Stoorvogel-Heuer, E.D.;95;1;4;2;1;3;3;0;0;0;1;0;3;1;3;4;3;0;4;5;3;5;0;0;0;1;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;12;0;0;0;0;1;1;1;1;1;0;4;0;0;0;1;1;1;0;3;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0
8;D66;;;1837;68;39;47;41;44;36;18;16;33;50;29;24;30;22;33;53;19;21;76;39;0;19;21;7;6;13;6;4;6;2;5;2;9;10;7;15;3;16;21;6;68;4;33;30;21;7;2;29;43;42;66;3;4;37;11;8;7;26;35;56;28;41;10;16;15;19;19;20;15;28;4;5;2;4;1;1;2;1;3;4;0;3;5;6;12;17;29;38;5;9;2;2;0;1;4;11;2;3;2;0;0;0
;;1;Koops, J.H.;686;26;23;12;12;18;18;8;6;14;23;11;10;10;5;11;20;7;4;28;16;0;8;6;3;2;3;2;2;3;0;2;0;1;4;2;2;1;4;10;2;25;2;14;7;8;2;1;13;16;14;29;2;0;13;3;3;2;8;13;16;14;13;5;7;5;9;7;7;5;12;2;3;1;0;1;1;0;0;2;1;0;0;2;4;5;4;11;17;3;3;2;1;0;0;0;6;1;2;0;0;0;0
;;2;Stulp, M.;639;32;10;21;17;9;8;5;3;12;11;5;12;11;8;13;24;8;9;28;11;0;8;13;2;1;4;2;1;2;0;1;2;0;4;5;6;0;6;4;3;28;0;5;7;7;2;1;6;20;22;15;1;2;7;4;2;5;7;15;30;5;20;2;6;1;2;11;6;8;11;0;2;1;1;0;0;2;1;1;0;0;0;3;1;1;6;13;13;1;5;0;1;0;0;0;4;1;1;2;0;0;0
;;3;de Jonge, M.;74;1;1;6;0;6;4;0;2;0;1;0;1;2;1;1;1;1;0;2;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;2;1;2;0;0;2;1;1;0;0;1;2;2;4;1;1;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
