Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Raadhuis;Buurthuis het Oor (vh De Westerkim);vh J. v. d Sleedenhuis;MFC Het Knooppunt;MFC De Magneet (vh NNCZ Grote Beer);Boerderij (vh School Erflanden);MFC De Magneet;Oosterkerk;Sporthal Het Activum (vh Wolfbos);Buurthuis DES-gebouw;School Zuiderbreedte;De Goede Herderkerk;Maranatha kerk;De Vredehorst (vh WZC De Vecht);Gymzaal Curiestraat (vh Flt Weideheem I);Sporthal Trasselt (vh Basisschool 't Kienholt);Buurthuis De Weideblik;MFC De Cirkel;Dorpscentrum 't Anker;Sporthal De Marke (vh WZC Beatrix);Sporthal De Brug (vh De Open Deur/'t Vonder);Centrumkerk (vh Jul. van Stolbergschool);Gymzaal Booyenverlaat (vh De Schuthoek);Sporthal Trasselt;Dorpshuis 't Overschotje;De Wenning;MFC De Opsteker;Vereniging Ons Dorpshuis;Dorpshuis De Vuurkorf;MFC De Eiken;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
Postcode;;;;;7901 BP;7901 GK;7901 AV;7902 JG;7904 LW;7908 AC;7904 LW;7905 CA;7902 NX;7906 BG;7906 GA;7906 HB;7907 EG;7908 AD;7909 BT;7908 PB;7908 LL;7914 PM;7913 AE;7913 AG;7916 PW;7902 EP;7908 EE;7908 PB;7931 TL;7933 PW;7918 AX;7934 PE;7912 TH;7936 PB;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW
;;4;Otten, L.;357;19;6;5;17;10;4;7;12;3;5;9;16;5;8;5;11;14;6;10;10;8;11;5;8;34;34;3;8;17;4;1;2;8;1;7;10;9;2;1;2
;;5;Bisschop-Hiemstra, A.T.;178;2;1;0;0;4;2;6;3;1;1;4;2;0;5;2;2;3;81;6;3;4;0;6;2;0;0;4;0;11;5;0;0;2;6;0;2;3;1;3;1
;;6;Kreuze, J.H.;266;24;4;7;11;6;13;6;10;5;7;18;15;5;9;4;11;10;2;4;2;5;3;5;9;2;0;0;2;4;1;8;8;4;0;0;20;7;15;0;0
;;7;de Weerd, A.;90;7;0;2;0;1;1;0;3;0;1;1;5;0;4;1;2;5;1;0;0;0;1;0;0;5;28;1;6;0;0;0;0;1;0;4;0;0;1;0;9
;;8;Lovers, S.;72;9;4;0;0;0;4;4;13;1;2;2;5;2;4;2;3;1;2;0;0;0;0;2;3;1;0;0;2;0;0;1;0;2;2;0;0;0;1;0;0
;;9;Lunenborg, M.V.;37;1;1;0;0;2;3;0;1;0;2;0;1;0;2;1;4;0;0;0;0;1;0;3;3;0;0;0;1;0;1;1;0;3;0;0;1;1;3;0;1
;;10;Kroezen, K.;74;3;1;1;2;2;6;3;4;1;4;1;5;5;5;0;1;3;3;0;0;1;3;0;0;0;0;0;1;3;3;2;2;1;0;0;5;0;3;0;0
;;11;van Mulligen, L.G.;38;6;0;0;1;0;6;2;0;0;0;0;3;0;3;2;1;1;0;0;0;0;0;1;3;0;0;0;0;2;0;1;2;4;0;0;0;0;0;0;0
;;12;Kroesbergen, T.L.;33;2;1;2;1;0;3;0;0;0;0;1;1;0;3;3;0;0;7;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0
;;13;Hoogeveen, A.J.;139;1;0;3;0;1;0;0;1;3;0;3;1;1;1;1;0;0;2;29;43;5;0;1;3;1;2;1;1;0;0;0;0;0;19;0;0;0;0;16;0
;;14;Martens, H.J.;24;2;0;0;0;1;3;5;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0
;;15;Gruppen, A.;27;1;3;0;0;4;2;1;0;0;1;0;2;2;1;0;2;1;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0
;;16;Weijer, P.A.S.;18;3;0;2;0;2;0;0;0;0;0;1;0;0;1;0;0;3;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;17;Leistra, E.;19;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
;;18;van den Akker, R.;23;5;7;0;0;1;2;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Dolsma, G.J.;4;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Weggemans-Beijering, R.R.;14;1;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0
;;21;Bertels, K.F.J.;44;2;0;0;0;2;0;1;0;0;0;3;0;0;1;1;0;2;0;3;12;3;0;2;1;0;0;0;0;0;0;0;0;0;3;0;0;2;0;6;0
;;22;Bouius-Feijen, H.J.;12;0;0;0;0;0;0;1;0;0;2;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;0;0;0
;;23;Uiterwijk Winkel, J.A.;35;3;0;0;0;1;2;1;7;1;2;0;3;0;0;0;3;0;2;1;0;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;1;2;0;1;0
;;24;Bosma, R.;9;0;0;0;2;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;25;Wanink, Y.A.P.;5;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;26;Blaauw, J.;41;7;2;1;2;1;1;2;0;0;0;1;2;0;1;3;0;4;1;0;1;0;0;2;2;1;0;0;1;0;0;0;2;0;0;0;3;0;1;0;0
;;27;Otten, A.;11;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Beumer, Z.L.;8;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;29;Koele, G.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Schoonheim-Lunenborg, H.;20;0;1;2;0;0;3;0;1;1;0;0;0;1;2;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0
;;31;Koster, J.H.;9;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;32;Wassink, L.V.J.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;33;Hospers-van den Berg, J.A.P.;7;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;34;Snippe, J.;24;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;6;9;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0
;;35;Brunsting, H.J.;6;1;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Kikkert, M.;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;37;Brouwer, S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Willigenburg, L.G.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Tel, M.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;40;Bargeman, A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;41;Hummel, L.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Severin-Vos, G.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;43;Leistra, M.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Reinders, H.;35;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;3;2;1;0;0;0;1;0;0;2;0;19;0;2;0;0;0;0;0;0;1;0;0
;;45;ten Caat-Langendoen, H.C.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Nanninga, M.W.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;47;Booij-Masselink, A.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Ballast, J.;12;0;0;0;0;2;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;49;Giethoorn, H.B.;6;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Beijering, J.;11;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
3;VVD;;;2315;138;37;52;44;59;181;37;85;26;40;37;57;38;118;33;81;120;58;70;62;36;19;78;70;68;133;45;32;34;28;54;21;62;11;9;74;30;77;18;43
;;1;Bisschop, R.;862;56;17;26;16;24;64;19;37;13;17;19;27;20;51;8;37;53;24;26;18;17;7;27;28;23;11;8;9;6;12;19;10;34;6;2;32;8;19;10;2
;;2;Blenkers-Noordzij, E.M.;331;18;6;8;11;12;38;7;20;3;7;0;9;4;8;6;17;23;8;11;5;6;3;12;8;5;7;3;1;2;3;12;2;9;0;0;9;12;10;4;2
