Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Burgerhoes;Cultuurhuis Landgraaf;Ontmoetingsruimte A gen Bruk;Parochiezaal Kerkplein;Ontmoetingsruimte A gen Maar;Unit Calshof  (ipv zorgcentrum Calshof);Gymzaal Leenhof;Wijkcentrum An de Koel  (ipv Harlekijn);Unit 't Eikske;Buurthuis de Molt;Harmoniezaal SUN-plein;Scouting St. Tarcisius;Ontmoetingscentrum Oude Heide;Sporthal Hoefveld (ipv school 't Valder);Gemeenschapshuis 't Ströatje;Theater Landgraaf (ipv zorgcentrum Heereveld);Gymzaal Olympia  Landgraaf (ipv school De Wegwijzer);MFC An d'r Put;Café d'r Sjtee Uul;Café 't Steenen Kruis (ipv school de Speurneus);Gemeenschapshuis De Residentie;Gemeenschapshuis D'r Eck;EV  Burgerhoes 14 maart 2022;EV MFC An d'r Put 14 maart 2022;EV gymzaal Olympia 14 maart 2022;EV wijkcentrum An de Koel 14 maart 2022;EV Burgerhoes 15 maart 2022;EV MFC An d'r Put 15 maart 2022;EV gymzaal Olympia 15 maart 2022;EV wijkcentrum An de Koel 15 maart 2022;EV Gemeenschapshuis D'r Eck 15 maart 2022
Gebiednummer;;;;;1;2;3;11;12;22;23;30;32;42;101;111;112;121;201;202;203;204;211;212;221;231;300;302;303;304;400;402;403;404;405
Postcode;;;;;6371 LB;6371 AW;6371 HW;6372 EZ;6372 EP;6372 RH;6371 HX;6372 AC;6372 VW;6371 EC;6373 LG;6373 CW;6373 GJ;6373 TT;6374 KC;6374 ES;6374 AE;6374 HR;6374 GS;6374 VR;6374 BK;6374 LV;6371 LB;6374 HR;6374 AE;6372 AC;6371 LB;6374 HR;6374 AE;6372 AC;6374 LV
;;14;Baur, W.M.J.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Smeets, A.E.;9;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Krol, L.P.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0
;;17;Heine-van Dartel, J.A.;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Boumans, A.N.G.J.;18;1;0;3;2;0;1;0;2;1;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;3;0;0;0;0
;;19;Westerman-Kessels, G.T.;47;5;0;3;0;9;0;11;1;4;0;1;1;1;1;0;0;2;2;1;2;0;0;0;1;0;0;0;1;0;1;0
4;Partij van de Arbeid (P.v.d.A.);;;716;38;16;26;33;43;28;16;24;46;29;26;33;31;49;21;20;5;26;15;7;32;14;25;17;4;21;32;8;3;25;3
;;1;Roeleveld, M.;346;15;10;16;20;27;12;9;12;27;11;12;17;10;16;10;14;1;10;4;2;18;11;10;8;2;9;14;5;1;10;3
;;2;Haex, J.J.;14;0;1;1;1;0;0;0;1;0;0;1;4;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0
;;3;de Langen, F.H.T.;15;0;0;0;0;2;0;0;0;1;1;3;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;0
