Verkiezing;;Gemeenteraad Maastricht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Maastricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis, Merretkamer;Stembureau Centre Céramique;Stembureau Theater aan het Vrijthof;Stembureau Muziekschool Kumulus;Stembureau Showroom Garage Bollen;Stembureau Verenigingszaal Circolo Sardegna;Stembureau Kumulus West;Stembureau NS Centraal Station;Stembureau Universiteit Maastricht, Kruithuis;Stembureau Centre Céramique;Stembureau Regionaal Historisch Centrum Limburg;Stembureau Wijkcombinatiegebouw La Bellettsa;Stembureau Buurtcentrum Sint Pieter;Stembureau Provincie Limburg (het LAB ingang parkeerdek);Stembureau Scoutinggebouw Sint Gerlach;Stembureau Stichting Moetiara Maloekoe;Stembureau Sportcafé Jekerdal;Stembureau Gemeenschapshuis Aen de Wan;Stembureau Athos;Stembureau Hotel van der Valk;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Zaal Aajd Vroenhoven, Harmonie Wilhelmina Wolder;Stembureau Basisschool Anne Frank;Stembureau Sporthal Daalhof 1;Stembureau Gemeenschapshuis De Klaekeburg;Stembureau Buurtcentrum Atrium;Stembureau Buurtcentrum De Boeckel;Stembureau Bejaardensociëteit Belfort;Stembureau vm. Basisschool de Kring;Stembureau Sporthal Daalhof 2;Stembureau Harmoniezaal Kon. Harmonie Heer;Stembureau Buurtcentrum Mariaberg;Stembureau Kantine RKSV Heer;Stembureau Flat Elisabeth Gruytersstraat;Stembureau Restobar Mama;Stembureau Gebouw LEF-team;Stembureau Trefcentrum Wittevrouwenveld;Stembureau Maris Stella;Stembureau St. Annakerk;Stembureau Scouting Amby;Stembureau Buurtcentrum De Romein;Stembureau Café-zaal De Kardinaal;Stembureau Bibliotheeksteunpunt Malpertuis;Stembureau Amyerhoof;Stembureau De Wiemerink;Stembureau Buurtcentrum Nazareth;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Centre Manjefiek Malberg 1;Stembureau Gymzaal Borgharen;Stembureau Centre Manjefiek Malberg 2;Stembureau  Dorpscentrum De Aw Sjaol;Stembureau Wijkcentrum De Luibe;Stembureau Restaurant Manjefiek;Stembureau Buurtcentrum Boschpoort;Stembureau Winkelcentrum Brusselse Poort;Stembureau Gymzaal OBS de Regenboog;Stembureau Basisschool El Habib;Stembureau Pathé bioscoop, Cine café;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de Kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis
;;36;Disch, E.J.M.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;37;Tersteeg, M.;14;0;0;1;1;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;38;Gladdines, M.A.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Mertens, K.G.M.;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Passenier, H.;12;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;41;Korsten, M.;23;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
4;D66;;;4597;221;141;107;73;63;16;77;95;51;97;77;53;212;31;43;30;86;48;138;52;45;56;41;117;57;59;56;51;33;47;31;165;30;38;46;137;28;72;14;67;33;29;49;28;70;44;29;26;25;31;26;33;12;42;35;48;46;98;9;40;70;107;45;31;38;13;17;33;14;5;117;130;91;31;70;39;19;39;24;10
;;1;Pas, J.H.;1370;59;33;31;23;16;5;15;22;25;28;28;9;73;9;15;6;38;19;51;11;11;16;15;24;19;14;24;14;8;12;4;41;10;14;16;33;7;9;4;20;7;7;12;11;25;14;5;9;6;8;12;9;5;17;10;13;15;31;2;8;17;34;18;11;13;7;4;11;4;1;39;48;34;15;25;14;6;8;3;1
;;2;Demas, C.J.H.C.;1614;72;46;39;24;15;6;37;30;11;32;21;18;69;9;12;11;21;15;45;16;19;21;12;42;16;22;13;25;16;16;15;68;11;14;21;54;11;24;3;28;16;12;21;4;34;12;10;9;12;8;9;11;6;20;14;13;17;43;2;10;27;41;15;11;17;5;10;14;5;2;36;41;25;8;25;11;9;17;7;5
;;3;Jongen, H.W.M.;260;13;5;1;3;7;0;4;2;0;5;2;2;5;3;3;1;3;3;6;3;2;2;3;19;6;11;1;2;1;5;7;6;1;0;0;1;3;2;1;1;6;1;4;3;0;1;2;1;0;2;0;0;0;1;3;4;4;5;2;6;12;4;4;7;2;0;0;1;0;0;9;6;6;1;2;5;1;4;5;1
;;4;Gardien, T.R.;113;11;6;2;1;4;0;1;6;4;2;4;1;3;1;1;1;0;0;9;4;1;1;0;5;0;1;1;2;0;2;0;4;0;0;1;2;0;2;0;1;0;1;0;0;0;0;0;1;1;4;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;5;6;0;0;2;0;0;0;0;2
;;5;Barendse, H.J.A.;83;0;14;2;1;3;0;0;1;0;1;0;0;12;0;0;0;0;1;2;2;0;2;0;1;0;0;0;0;0;0;0;4;0;0;1;1;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;1;0;0;0;3;2;8;0;0;2;0;1;1;0;0;1;8;0;2;0;0;0;0;0;0
;;6;Mertens, G.P.H.;78;1;2;2;0;1;1;0;1;0;1;1;3;2;2;0;0;2;2;3;3;1;4;0;1;3;3;2;0;0;0;0;2;0;2;0;1;0;3;0;0;0;0;2;0;3;0;0;1;0;0;1;0;0;1;0;1;0;3;1;1;0;0;1;0;0;0;0;2;0;0;1;2;1;0;6;0;0;1;1;0
;;7;van Ballegooie, P.F.;86;5;3;4;0;1;0;5;2;0;2;7;0;3;0;0;0;3;0;1;2;0;0;2;0;0;2;1;0;0;0;0;9;0;0;2;9;1;0;0;2;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;1;0;0
;;8;El Fassih, M.;501;31;16;14;15;6;2;7;16;8;14;8;13;13;4;4;4;6;4;5;8;2;4;5;18;4;4;9;3;1;9;1;18;6;4;1;13;4;23;4;9;2;3;2;6;3;6;10;3;2;3;3;7;1;2;4;12;4;7;2;2;7;12;2;0;3;0;1;0;3;1;12;7;7;2;5;1;2;3;8;1
;;9;Duindam, S.;16;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;10;van de Kandelaar, P.J.M.;21;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;6;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;11;Schoffeleers, R.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Limbourg, N.A.H.;60;8;0;1;2;3;1;0;2;0;3;1;0;1;1;0;0;0;2;1;0;1;0;2;0;0;0;1;3;1;1;0;1;0;0;0;3;1;3;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;3;1;0;1;0;0
;;13;Politsch, I.A.M.P.;46;4;0;4;1;1;0;2;1;0;2;1;0;0;2;1;4;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;3;1;2;0;0;0;0;0;0
;;14;Fokke, H.J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Hooren, R.H.L.C.;21;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;1;3;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
;;16;Wieringa, H.;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Mantel, R.;4;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Hirsch, R.M.J.;16;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;19;Ipenburg, A.N.;7;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Jansen, W.;7;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Jannes, M.J.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;22;Sanders, M.W.J.L.;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Slotema, H.;15;3;0;0;0;0;0;0;0;0;1;0;2;3;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Smeets, L.W.M.E.;47;4;5;4;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;1;1;0;3;0;1;0;0;0;0;0;0;0;1;1;0;2;3;0;0;0;0;0;0;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;25;Tavenier, J.C.B.;4;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Ulrich, H.D.;12;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;27;Vis, J.P.P.M.;27;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
;;28;van Wageningen, J.;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;29;van de Baan, F.C.;15;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0
;;30;Bertens, I.K.F.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;31;Bertens, J.W.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;32;de Boer, C.R.N.;5;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Borgignons, D.C.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;34;Cobben, N.P.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Cörvers, J.G.F.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Cremers, A.M.J.;15;0;0;0;0;1;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
;;37;van Eerd, E.C.H.;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0
;;38;van Glabbeeck, C.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;39;den Heijer, J.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Kerssemakers, D.L.;16;0;1;0;0;0;0;0;1;0;0;0;0;4;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;41;ter Maat, M.J.A.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Paanakker, T.M.;21;0;2;1;0;0;1;0;0;0;2;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;43;Patelski, J.J.;9;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Perry, M.H.A.;23;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0
5;Partij van de Arbeid (P.v.d.A.);;;4093;118;86;49;65;44;33;74;46;46;36;44;88;89;22;8;42;39;34;69;36;54;39;49;115;54;62;136;76;53;44;34;84;37;26;49;89;46;105;24;69;34;79;22;28;60;65;37;28;53;47;80;43;32;68;23;55;57;63;4;19;67;85;36;23;40;49;25;28;27;26;87;97;36;46;40;53;37;35;24;22
;;1;Fokke, H.;2185;64;48;28;33;26;13;46;22;30;14;18;26;49;15;5;21;26;23;43;17;39;19;34;68;25;27;65;45;30;26;13;41;20;12;36;47;27;34;13;44;21;23;11;14;34;19;21;17;21;21;43;23;14;39;15;26;32;31;2;9;35;49;20;14;21;28;18;18;18;15;40;62;29;24;28;28;26;26;8;10
;;2;van Ham, L.A.H.;304;15;3;0;2;0;2;3;1;4;1;6;4;9;1;0;2;7;0;3;4;5;5;4;8;2;9;6;4;4;4;1;14;3;1;3;6;4;13;3;6;2;1;2;1;5;3;4;1;16;4;4;4;2;5;0;3;4;7;0;0;1;3;1;0;10;2;2;1;1;5;8;4;3;5;1;2;3;2;3;7
;;3;Redmeijer, A.L.G.;204;4;1;1;2;1;4;3;3;1;0;2;0;2;0;0;1;1;0;2;0;2;0;0;3;4;0;8;3;3;0;4;4;2;0;1;2;0;12;1;3;0;45;0;3;2;18;2;3;4;0;3;3;1;3;0;1;3;2;0;0;0;0;2;1;0;2;0;0;1;1;2;4;0;4;1;8;1;0;3;1
;;4;Slangen, M.;219;15;10;6;7;3;4;10;1;2;6;1;3;5;4;0;0;1;1;7;4;1;2;2;5;2;0;2;1;3;3;3;3;2;1;1;6;1;5;1;4;0;0;2;1;2;3;1;2;0;0;4;1;0;3;5;2;0;2;1;1;9;12;1;3;2;0;0;2;1;0;5;8;0;0;1;0;2;3;1;1
;;5;Borgignons, H.T.H.;203;2;3;2;2;1;0;2;2;0;0;3;15;1;0;0;2;0;1;2;1;0;0;1;8;7;8;14;3;6;1;3;1;3;0;2;4;0;11;1;5;3;2;0;2;3;1;0;0;5;8;2;2;10;2;1;6;3;3;0;1;1;0;0;0;0;8;0;1;1;2;0;1;0;1;3;9;0;0;3;2
;;6;van den Eeckhout, G.H.A.;27;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;7;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
;;7;de Vrede - van Gool, C.J.A.W.;131;3;4;1;0;1;1;0;1;0;2;2;1;1;1;2;0;0;1;3;4;2;4;0;3;0;10;0;1;0;0;0;5;0;2;1;4;0;9;0;3;6;1;2;0;5;1;2;0;1;0;0;0;1;2;0;3;1;11;0;4;4;0;1;1;3;2;0;1;0;0;1;2;1;1;0;0;0;1;1;0
;;8;Claessens, J.;105;1;0;0;3;1;4;2;1;3;1;1;3;0;0;0;1;0;1;0;0;0;0;1;2;1;2;3;4;0;3;0;0;3;1;0;3;3;2;0;0;0;0;0;0;1;1;2;0;0;2;6;3;1;1;1;2;1;0;0;3;7;0;1;0;2;2;0;0;0;0;11;3;0;2;1;0;0;2;0;0
;;9;Hans, E.A.;53;2;2;2;1;1;0;2;1;0;0;0;0;3;1;0;0;1;0;0;0;0;0;3;0;0;1;0;1;0;0;0;3;0;1;1;0;1;1;1;0;1;0;4;0;3;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;0;3;0;0;2;2;0;1;0;0;0;0;0;0
;;10;Pellaers, J.H.M.;43;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;4;0;0;0;0;0;1;1;3;0;1;0;3;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;1;1;0;0;0;0;4;0;0;0;0;0;1;0;0;0;1;0;1;0
;;11;van Binnebeke, E.J.H.G.;43;0;1;3;1;0;0;0;3;2;4;1;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;1;3;0;2;0;1;0;0;0;0
;;12;Hinssen, T.A.V.;25;2;0;0;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;13;Neijman, M.A.C.J.;65;0;0;0;0;0;0;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;6;0;23;0;4;2;3;0;0;0;0;0;0;1;0;1;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;1;0;1;0;0;0;0;2;0;0;2;0;0;1;0;0;0
;;14;Leenders, R.M.M.;21;1;1;0;6;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Böce, U.;139;2;3;0;5;0;2;1;2;0;3;0;23;0;0;0;0;0;0;2;4;0;2;0;4;2;1;5;1;0;0;3;2;1;2;1;5;0;10;3;0;0;1;0;0;0;10;2;2;2;5;1;1;0;3;0;0;3;5;1;0;1;1;0;1;0;1;0;1;3;0;1;3;0;0;0;1;0;1;0;0
