Verkiezing;;Gemeenteraad Echt-Susteren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Echt-Susteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Cultuurhuis Edith Stein;Zorgcentrum De Egthe;Buurthuis St. Joris;Zwembad In de Bandert;Fanfarezaal 'Lei van Naer';Sportzaal Hubertusstraat;Clubgebouw Slekker Boys;Gemeenschapshuis 't Patronaat;Gemeenschapshuis Oos Heem;Gemeenschapshuis de Annendaal;D'n Hermeniezaal;'t Stift;Sporthal Reinoudhal;Café de Tunnelbar;Gemeenschapshuis De Koppel;Gemeenschapshuis Roosteren;Sporthal De Sjirp;Gemeenschapshuis Nieuwstadt;Stadhuis (maandag);Fanfarezaal 'Lei van Naer' (maandag);Gemeenschapshuis 't Patronaat (maandag);Gemeenschapshuis Oos Heem (maandag);Gemeenschapshuis De Annendaal (maandag);'t Stift (maandag);Gemeenschapshuis De Koppel (maandag);Gemeenschapshuis Roosteren (maandag);Gemeenschapshuis Nieuwstadt (maandag);Stadhuis (dinsdag);Fanfarezaal 'Lei van Naer' (dinsdag);Gemeenschapshuis 't Patronaat (dinsdag);Gemeenschapshuis Oos Heem (dinsdag);Gemeenschapshuis De Annendaal (dinsdag);'t Stift (dinsdag);Gemeenschapshuis De Koppel (dinsdag);Gemeenschapshuis Roosteren (dinsdag);Gemeenschapshuis Nieuwstadt (dinsdag)
;;20;van Ommen, H.J.;10;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;GROENLINKS;;;944;69;36;31;44;16;24;26;53;15;25;39;33;63;37;17;7;21;72;87;41;11;11;1;5;12;3;3;27;29;15;12;0;3;11;4;3;38
;;1;Wetemans, M.J.M.;330;21;15;6;9;4;9;6;5;3;8;5;13;13;13;6;2;9;48;52;11;3;4;0;0;3;2;0;16;5;4;4;0;1;4;3;0;23
;;2;Loy, C.J.J.;68;4;4;1;2;0;1;4;27;0;4;2;0;2;3;0;1;1;0;0;2;2;1;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0
;;3;Sol, H.P.A.;22;1;1;0;1;0;0;0;3;0;0;1;0;0;0;1;0;2;0;0;4;0;1;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0
;;4;Teunissen, P.L.J.;45;0;0;1;0;0;0;0;0;0;1;4;3;16;10;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;2
;;5;van Thoor, A.M.;171;24;6;12;10;6;4;9;0;1;8;0;8;1;7;8;3;5;3;6;15;3;2;1;2;3;0;1;0;7;5;4;0;0;3;1;3;0
;;6;Perrée, A.L.M.;27;0;1;0;1;0;1;2;2;1;0;9;1;1;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0
;;7;Soori, F.;54;9;4;6;0;0;2;2;1;9;3;0;2;3;0;0;0;1;1;1;4;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;8;Wielders, P.M.W.;51;2;1;2;0;0;0;0;0;0;0;0;0;2;2;2;0;1;8;13;1;0;0;0;0;1;1;0;4;1;1;0;0;0;1;0;0;8
;;9;Loy, A.O.H.;15;0;0;0;0;0;0;0;6;0;0;0;3;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;10;Leurs, M.J.M.H.;24;5;0;1;4;4;2;0;0;1;0;0;1;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Dings, T.J.M.;13;0;0;0;1;0;2;0;0;0;0;0;2;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Lodeizen, S.;27;0;1;1;0;1;0;0;1;0;0;18;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Loy, C.M.S.;7;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Ehlen, H.W.J.M.;21;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
;;15;Beckers, C.H.;11;2;0;0;0;1;0;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;16;Deen, C.W.B.;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Druenen, R.P.J.M.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;Salden, J.J.E.M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3
;;19;Meijers, H.G.S.;5;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;van Veggel, J.T.P.;34;1;2;1;15;0;3;2;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.);;;490;29;15;13;32;16;24;16;11;1;3;4;19;35;34;51;8;17;15;5;17;14;0;3;1;22;1;2;0;25;14;2;0;0;33;2;2;4
;;1;Wolters, L.C.C.M.;201;11;6;4;10;4;5;3;4;1;2;3;11;22;16;5;3;11;10;5;7;4;0;3;1;13;0;0;0;11;4;2;0;0;15;1;0;4
;;2;van Ool, L.W.H.;61;6;3;4;12;3;6;4;3;0;0;1;2;0;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0
;;3;Niessen, J.;49;6;2;2;3;3;8;2;2;0;0;0;0;2;0;0;2;0;0;0;4;2;0;0;0;0;1;0;0;6;2;0;0;0;1;1;0;0
;;4;Koks, E.F.J.M.;78;0;1;1;1;0;0;3;0;0;0;0;6;4;11;27;3;1;3;0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;12;0;0;0
;;5;Westerink, P.G.W.;23;5;2;1;0;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0
;;6;Denis, R.F.A.;46;0;0;1;3;1;5;1;1;0;0;0;0;4;4;18;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0
;;7;Smeets, B.M.T.L.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
;;8;Berger, L.W.;10;0;1;0;2;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;9;van Ool, S.W.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;El Attal, O.M.H.;6;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bekkers, J.G.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Schulpen, W.F.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
7;Blanco (Masthoff, E.P.H.M.);;;199;19;2;8;3;1;6;4;2;4;14;7;4;3;15;0;4;14;19;12;9;0;0;0;0;3;0;0;5;12;9;1;4;0;4;3;4;4
;;1;Masthoff, E.P.H.M.;96;6;2;4;0;0;2;2;2;2;0;2;4;1;7;0;2;7;17;11;2;0;0;0;0;1;0;0;2;4;5;1;0;0;3;0;3;4
;;2;Ubachs, G.F.A.;13;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
;;3;Meuffels - Rutten, M.G.M.;26;1;0;0;3;0;0;0;0;0;0;2;0;2;6;0;0;5;0;1;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;0
;;4;Dingelstad, W.H.M.;33;5;0;3;0;1;3;1;0;2;0;2;0;0;1;0;1;0;2;0;3;0;0;0;0;0;0;0;1;6;2;0;0;0;0;0;0;0
;;5;Rhöse, E.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;6;Beijk, A.H.G.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;7;Mostard - van Neer, I.;26;0;0;1;0;0;1;0;0;0;14;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0
8;D66;;;624;50;22;15;32;21;23;22;4;5;9;6;25;24;33;17;35;71;26;32;22;7;2;5;0;13;12;8;5;19;3;3;2;2;23;10;14;2
;;1;Denis, T.J.H.M.;292;21;7;6;16;12;9;13;2;3;4;5;5;9;14;6;5;59;9;21;10;0;2;5;0;6;3;7;1;6;2;0;2;0;7;1;12;2
;;2;Linssen, T.M.J.G.;135;2;2;0;3;4;1;1;1;1;2;0;13;9;9;9;27;5;3;1;6;2;0;0;0;1;9;1;0;3;0;0;0;0;11;9;0;0
;;3;van der Broeck, D.H.A.;84;18;11;6;10;1;7;8;1;0;1;0;0;0;0;1;2;0;2;0;4;2;0;0;0;0;0;0;0;8;1;1;0;0;0;0;0;0
;;4;Kraan, S.A.J.;20;4;1;1;1;2;4;0;0;0;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;5;Tanis-van Ours, L.C.;50;3;0;2;0;1;1;0;0;1;1;1;6;5;4;0;1;4;0;1;0;3;0;0;0;6;0;0;0;1;0;2;0;2;4;0;1;0
;;6;Pelman-Heuterman, M.A.;40;2;1;0;2;1;1;0;0;0;1;0;0;1;3;0;0;1;12;9;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0
;;7;Nohlmans, T.G.F.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
