Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Brede school Markeent;Stembureau Wijkgebouw Keenter Hart;Stembureau Sportpark Graswinkel;Stembureau MFA Kimpe veld;Stembureau Sportpark Op den Das;Stembureau Trefcentrum Willem Litjenshof;Stembureau Kantine SV Laar;Stembureau Wijkgebouw Groenewoud;Stembureau Scouting St. Job Leuken-Weert;Stembureau Mobiel Stembureau;Stembureau Gemeenschapscentrum De Zaal;Stembureau Buurthuis Fatima;Stembureau Café Zaal Bee-j Bertje;Stembureau MFA Swartbroek;Stembureau Kantine VV DESM;Stembureau Buurtcentrum Moesel;Stembureau Scouting Keent-Moesel;Stembureau Sporthal Boshoven;Stembureau Sporthal De Grenslibel;Stembureau Franciscus huis Weert;Stembureau Drive-In Gemeentewerf;Stembureau Drive-In Sportstraat;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Mobiel stembureau (bus);Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Drive-In Gemeentewerf;Stembureau Mobiel stembureau (bus)
Gebiednummer;;;;;1;6;8;9;10;11;12;13;14;26;27;31;34;37;38;39;41;42;43;45;46;47;50;51;401;402;403;404;405;406;501;502;503;504;505;506;508
Postcode;;;;;6000 AZ;6004 GC;6006 JN;6006 ZH;6005 JZ;6005 SR;6006 TL;6002 CW;6003 BD;6004 TX;6004 DG;;6039 AW;6001 TV;6003 PM;6005 NP;6004 RT;6006 CJ;6006 FB;6002 AZ;6039 HB;6001 AP;6004 HN;6004 EX;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6004 CA;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6001 AC;6003 NW
;;20;De Goeij, A.M.H.;14;3;2;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
;;21;Heesakkers, J.;35;1;5;3;0;0;0;1;0;3;2;0;0;2;0;2;0;0;3;0;0;1;2;0;2;1;0;3;0;0;0;1;1;0;1;1;0;0
3;VVD;;;2764;283;82;28;74;85;29;32;116;176;26;77;4;103;34;112;41;31;94;165;142;23;81;20;38;143;53;60;39;62;22;169;78;82;47;88;9;16
;;1;van Eijk-Nagel, W.P.J.;1059;99;33;9;19;36;17;19;58;74;11;34;1;27;9;41;16;10;44;74;71;6;21;8;20;55;24;19;8;26;5;58;21;34;12;34;0;6
;;2;van Gemert, T.J.J.;298;24;14;3;11;15;3;3;8;29;5;9;1;2;4;13;3;3;5;15;10;3;30;4;5;11;11;3;0;11;0;11;14;2;1;9;0;3
;;3;Lambers, L.F.J.M.;458;51;6;4;9;9;1;5;25;28;8;7;1;11;5;32;10;3;9;13;20;0;7;2;4;24;6;17;4;14;15;38;20;19;1;24;4;2
;;4;Kneepkens, E.P.M.;70;2;0;0;1;1;2;0;1;6;0;4;1;19;0;0;2;1;0;2;2;6;0;0;0;1;0;0;6;1;0;2;1;0;7;2;0;0
;;5;van den Bergh, M.T.H.;93;5;3;4;0;4;1;0;3;4;0;1;0;0;0;2;1;1;3;17;5;0;1;0;0;5;3;4;0;1;0;11;3;8;0;2;0;1
;;6;Kurvers, F.M.W.M.;97;1;0;0;0;0;1;0;0;0;0;0;0;38;0;1;1;0;0;0;0;8;0;0;0;1;0;0;21;0;0;1;0;0;24;0;0;0
;;7;van Grimbergen, L.J.M.A.;182;41;12;0;5;2;1;3;1;10;0;9;0;1;9;3;1;0;3;3;6;0;4;2;1;10;3;4;0;2;1;23;6;4;2;6;3;1
;;8;Jeurninck-Feijen, M.H.A.;139;14;1;0;5;2;1;2;10;7;0;7;0;1;5;9;4;6;9;3;5;0;5;0;2;8;0;4;0;4;1;9;5;7;0;2;0;1
;;9;Tinnemans, H.L.E.;19;1;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;5;0;1;0;2;0;3;0;0;0;0;0;0
;;10;Stein, J.A.;6;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Stultiens, L.M.;108;10;6;2;6;7;0;0;5;6;1;2;0;2;0;8;0;3;2;12;4;0;3;3;0;5;6;3;0;0;0;2;5;0;0;3;0;2
;;12;Giesendorf-Morren, O.;41;5;0;4;9;0;0;0;0;0;0;0;0;0;2;0;2;0;1;2;0;0;0;0;0;2;0;4;0;0;0;4;0;5;0;1;0;0
;;13;Hendriks, A.J.T.M.;36;6;0;0;0;2;1;0;0;3;0;0;0;0;0;1;1;0;4;4;4;0;3;1;1;3;0;0;0;0;0;2;0;0;0;0;0;0
;;14;Niederer, L.E.M.Q.;32;2;2;0;0;1;0;0;0;2;0;0;0;1;0;0;0;1;5;3;6;0;2;0;2;3;0;0;0;0;0;0;1;0;0;1;0;0
;;15;Camp, R.J.H.;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;16;Ronckers, V.M.;10;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;1;1;0;0;0;0;0
;;17;Vugs, H.T.M.;23;3;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0
;;18;Claessens, L.;5;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Driessen, J.;5;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;20;Beuving, H.;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0
