Verkiezing;;Gemeenteraad Brunssum 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brunssum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brikke Oave;Gymzaal voormalige BS Rumpenerhof;Kantine BSV Limburgia;Gymzaal BMV Bronsheim 1;Gymzaal BMV Bronsheim 2;Sporthal Rumpen 1;Sporthal Rumpen 2;Brede School Langeberg;Verenigingsgebouw De Burcht;Sporthal Brede School Treebeek 1;Sporthal Brede School Treebeek 2;Sporthal Brede School Treebeek 3;BS De Caleidoscoop;Kantine RKVV de Leeuw;Noorderhuis;Microhal 1;Microhal 2;Drive through stemstraat 1 Woensdag;Drive through stemstraat 2 Woensdag;Mobiel besloten stembureaus;Brikke Oave maandag;Sporthal Brede School Treebeek Maandag;Drive through stemstraat 1 Maandag;Drive through stemstraat 2 Maandag;Brikke Oave Dinsdag;Sporthal Brede School Treebeek Dinsdag;Drive through stemstraat 1 Dinsdag;Drive through stemstraat 2 Dinsdag;De Stembus
Gebiednummer;;;;;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;113;114;115;120;121;122;123;125;126;127;128;129
Postcode;;;;;6444 AT;6443 AE;6441 SW;6442 AJ;6442 AJ;6443 BS;6443 BS;6445 EM;6445 CE;6446 AK;6446 AK;6446 AK;6444 CL;6444 KL;6441 JJ;6441 HW;6441 HW;;;;6444 AT;6444 AK;;;6444 AT;6446 AK;;;
;;20;Koppe, E.J.;26;16;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;2;1;0;0;0;0;0;0
4;SP (Socialistische Partij);;;537;48;11;10;20;20;7;12;36;28;23;26;20;20;16;21;26;24;9;6;3;42;24;4;1;39;28;2;2;9
;;1;Arts, J.A.;229;19;5;6;9;7;4;4;10;12;8;16;11;13;8;7;6;11;3;3;2;17;8;3;0;17;12;0;0;8
;;2;Lurken, T.R.G.;36;3;1;0;1;2;0;2;1;2;2;1;0;0;1;4;0;1;1;1;0;2;5;0;0;3;3;0;0;0
;;3;Arts-Robeerts, B.H.;93;10;2;3;6;2;1;3;11;9;4;3;0;4;2;2;3;3;1;1;0;10;3;0;0;5;4;0;0;1
;;4;Huizing, N.;14;0;1;0;0;2;0;0;0;0;3;1;0;0;0;0;0;2;0;0;0;2;0;0;0;3;0;0;0;0
;;5;Schrijen, M.H.M.;20;2;0;1;1;0;1;0;0;2;1;0;3;1;0;0;0;3;0;1;0;2;1;0;0;1;0;0;0;0
;;6;Schrijen-Wijnen, H.C.A.;33;4;0;0;1;0;1;0;4;0;0;2;1;0;1;4;8;1;0;0;0;1;3;0;0;1;1;0;0;0
;;7;Beckers, R.G.M.;4;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;8;Linnartz, P.A.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Molag, R.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;1;0;1;0;0;0;0;0
;;10;Trip, A.L.;23;3;0;0;0;2;0;1;2;1;0;0;1;0;2;1;2;2;0;0;0;3;0;0;0;2;0;0;1;0
;;11;Müller, A.M.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Kamzol-van Lierop, M.J.;10;0;0;0;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0
;;13;Hoen, H.T.;7;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;14;Meurs, R.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Reinders, C.R.B.;12;3;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;0;0;1;0
;;16;Beijer, F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Driessen, J.J.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;Coenen, K.E.;37;1;1;0;2;2;0;0;3;2;2;2;4;1;1;0;2;0;1;0;0;3;1;0;0;1;6;2;0;0
5;Lijst Borger;;;2263;244;44;61;50;59;60;51;151;162;92;71;89;175;78;68;99;71;19;24;2;133;72;10;21;198;84;22;21;32
;;1;Janssen, H.J.;742;83;21;14;24;19;20;36;23;23;22;30;26;51;15;34;27;31;11;8;2;59;24;5;8;84;17;6;4;15
;;2;Scheffers, J.W.G.;146;12;0;1;3;2;4;1;31;27;3;1;4;13;2;0;6;7;1;2;0;13;3;1;0;3;5;1;0;0
;;3;Lust-van Goinga, A.;174;22;4;3;4;0;2;1;3;3;14;9;15;5;5;1;9;2;0;3;0;12;20;2;0;13;15;3;0;4
;;4;Baten-Werink, M.E.J.;69;9;3;3;0;3;0;1;3;6;1;0;3;10;1;0;9;1;1;0;0;5;1;0;0;1;4;1;2;1
;;5;Peters, P.A.M.H.;31;2;2;0;3;5;0;0;3;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;4;2;2;0;4
;;6;Fober, G.;208;16;0;4;0;3;5;0;2;10;11;11;12;30;44;13;8;6;2;0;0;2;8;0;1;10;10;0;0;0
;;7;Boekhorst, I.J.H.;111;1;0;0;1;3;0;0;26;63;3;0;0;0;0;0;0;0;0;1;0;3;0;2;3;3;2;0;0;0
;;8;Overdijk, E.;33;2;0;2;5;4;1;1;1;1;2;2;0;2;0;0;5;0;0;0;0;0;0;0;2;2;1;0;0;0
;;9;Oosting, D.;52;6;1;1;2;5;1;0;0;3;4;1;1;9;1;0;1;0;0;2;0;6;2;0;0;5;0;0;0;1
;;10;Janssen, L.E.W.;87;8;1;6;3;1;6;2;5;3;4;3;0;6;2;5;5;6;0;1;0;0;2;0;0;9;4;1;0;4
