Verkiezing;;Gemeenteraad Eijsden-Margraten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Eijsden-Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis Bemelen;Harmoniezaal Banholt;Harmoniezaal Mheer;Paviljoen Berggalm;Fanfarezaal;Harmoniezaal Eckelrade;Gemeenschapshuis Scheulder;Zaal-café Riékelt;Feesthoeve De Laethof;Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Kantine S.V.M.E.;Buitengoed de Moosjtum;Cultureel Centrum;Zaal K.O.H.;Café 't Flaterke;'t Keerhoes (nummer 2);Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Zaal K.O.H.;Harmoniezaal Mheer;Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Zaal K.O.H.;Harmoniezaal Mheer
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;23;24;60;61;62;63;64;70;71;72;73;74
Postcode;;;;;6268 NE;6262 NX;6261 NH;6255 AH;6265 AK;6251 NB;6307 PC;6247 AN;6245 KK;6269 DA;6267 CG;6247 AA;6245 SK;6245 LB;6245 EG;6245 BH;6269 AN;6267 CG;6269 DA;6267 CG;6247 AA;6245 BH;6261 NH;6269 DA;6267 CG;6247 AA;6245 BH;6261 NH
;;13;Vriens, J.M.;146;5;3;2;0;12;11;0;5;2;1;7;29;10;5;13;7;1;3;0;2;7;4;0;3;1;7;6;0
4;VVD;;;1723;22;30;12;97;41;97;13;82;16;107;55;200;78;20;211;120;34;39;35;20;49;74;6;38;27;67;122;11
;;1;Weling, J.L.J.M.;317;5;2;3;5;10;8;3;26;4;8;23;69;9;5;12;4;1;17;2;10;30;8;0;2;10;30;11;0
;;2;Thomassen, J.A.W.;252;9;7;0;41;2;1;7;3;1;72;9;1;2;0;3;2;27;8;20;2;0;0;0;33;1;0;1;0
;;3;den Os, W.;88;0;0;0;35;1;2;0;0;1;0;1;4;4;1;14;4;0;0;0;0;1;7;1;0;0;2;9;1
;;4;Ramakers, J.A.M.;107;2;1;2;3;2;0;1;4;1;4;10;1;20;1;9;9;0;6;4;5;0;10;1;1;5;1;4;0
;;5;Dreessen, J.M.G.;98;2;1;1;1;4;1;0;2;0;1;1;4;9;2;26;21;1;2;3;2;0;4;0;0;3;0;7;0
;;6;Laugs, F.J.;132;1;3;0;4;6;83;0;0;0;7;2;2;3;2;0;2;0;2;4;1;3;1;0;0;5;0;0;1
;;7;Brauers, P.A.A.;135;0;2;0;1;2;0;0;1;2;5;0;5;11;7;35;24;0;0;0;0;0;17;0;0;0;0;23;0
;;8;Bastiaens, R.M.M.;30;0;0;0;0;0;0;0;0;2;0;2;4;2;0;2;11;0;0;0;0;1;2;0;1;0;0;3;0
;;9;Vissers, T.M.D.;94;0;1;0;1;2;0;1;13;0;1;1;49;0;0;4;1;0;0;0;0;6;0;0;0;1;11;0;2
;;10;Haijen - Van de Weert, M.J.H.;134;1;1;0;1;5;0;0;26;0;0;2;52;2;0;3;5;1;1;0;0;8;0;1;0;1;23;0;1
;;11;Warnier, E.J.J.M.;31;0;0;0;0;1;0;0;1;3;0;0;0;2;0;12;6;0;0;0;0;0;2;0;0;0;0;4;0
;;12;van den Akker, J.P.;31;0;0;0;0;2;1;0;0;0;2;1;4;4;1;6;0;2;0;2;0;0;0;0;0;1;0;5;0
;;13;Bolster, J.G.E.M.;32;0;9;0;2;1;1;1;0;0;2;2;2;0;0;0;1;2;0;0;0;0;0;3;0;0;0;0;6
;;14;Meijer, A.W.;12;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0
;;15;Willems, G.H.G.;230;2;3;0;3;3;0;0;6;2;5;1;3;9;1;85;30;0;3;0;0;0;21;0;1;0;0;52;0
5;ODE;;;1432;25;31;25;91;53;55;17;23;40;82;53;41;62;31;184;163;12;46;28;30;17;92;8;31;35;18;128;11
;;1;Koene, H.A.C.;502;14;23;19;72;21;9;6;8;12;39;19;14;7;12;38;28;5;22;10;12;15;15;6;19;12;6;33;6
;;2;Joosten, J.M.E.H.;165;4;1;3;1;2;4;1;1;4;11;1;5;18;5;31;16;4;5;1;1;1;20;0;1;1;1;22;0
;;3;Bams, S.A.W.;145;2;1;0;3;3;3;0;5;6;4;3;4;10;0;30;41;0;2;2;0;0;10;0;1;0;2;13;0
;;4;van der Horst, A.;66;1;2;0;0;12;29;0;0;0;6;2;3;0;0;0;5;0;0;1;0;0;0;0;1;1;0;2;1
;;5;Croes, S.;77;1;0;2;0;1;0;0;0;1;2;21;1;0;2;0;0;0;14;0;14;0;0;0;1;16;0;0;1
;;6;Kienhuis - Smits, C.J.M.;57;0;0;0;0;1;0;9;2;0;17;2;0;0;0;1;0;2;1;12;1;0;0;1;5;2;1;0;0
;;7;Janssen - Rutten, M.H.J.;420;3;4;1;15;13;10;1;7;17;3;5;14;27;12;84;73;1;2;2;2;1;47;1;3;3;8;58;3
