Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Venlo;Kunstencentrum;Gemeentearchief Venlo;Lokaal Veestraat;Basisschool de Meule;Stichting de Witte Kerk;Gilde Opleidingen;De Bantuin;wijkgebouw d'n Dörpel;Sporthal Rijnbeek;School aan de Vijver;Gemeenschapshuis Maagdenberg;Huis van de Wijk op den Berg;Scheidsrechtersvereniging Venlo eo;Café Feestzaal Ut Tref;Huis van de Wijk Venlo-Zuid;Basisschool de Zuidstroom;Sporthal Gilde Opleidingen;'t Raodhoes;Wijkgebouw de Vijfsprong;Zorggroep Ruysdonck;Basisschool Mikado;Kentalis;Stichting Het Muspelheim;Wijkgebouw Het Zonneveld;Zaal de Egelantier;MFC Op Expeditie;Stichting de Ark;Zalzershaof;Cafe Feestzaal de Boostenhof;Wijkgebouw Tevhit Moskee;Stadskantoor;Woonzorgcomplex De Bongerd;Sportzaal Hoogstraat;Basisschool PassePartout;Café Schillings;Bijbelgemeente;Stichting Marokkaanse Moskee Elfath;Cultureel Centrum De Haandert;Ontmoetingscentrum De Glazenap;de Toermalijn p.a. de Glazenap;'t Zaelke;'t Prônk-Eppelke Belfeld;Basisschool  KOM Mijn;Gemeenschapscentrum De Hamar;MFA De Schans Arcen;Pastoorshof Lomm;Woonzorgcomplex Rozenhof;BMV de Vilgaard;Bijzonder Stembureau Station;Mobiel Bijzonder stembureau 1;Mobiel Bijzonder stembureau 2;Stadskantoor (maandag);Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel;Stadskantoor;Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;33;34;35;101;102;103;104;105;106;107;108;109;110;201;202;203;301;302;303;304;305;310;311;400;401;402;403;404;405;406;407;408;409;500;501;502;503;504;505;506;507;508;509
Postcode;;;;;5911 HD;5911 AS;5914 PV;5914 RN;5914 XS;5914 PE;5913 ES;5916 SW;5913 CZ;5913 GB;5913 TV;5915 CP;5915 ES;5915 CM;5912 BW;5912 XN;5912 BT;5913 SB;5921 GV;5922 VV;5921 VJ;5922 BL;5921 AZ;5922 AT;5923 CZ;5925 AV;5924 AC;5923 AJ;5926 PL;5927 NP;5912 PN;5912 AT;5931 NB;5931 GC;5931 KS;5931 BW;5935 AX;5931 PC;5932 CN;5932 VK;5932 VK;5931 HM;5951 CW;5951 BR;5951 DV;5944 BN;5943 AE;5941 EX;5941 CP;5913 AA;;;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ
;;12;Titulaer, C.C.C.;102;6;1;4;3;9;0;8;8;10;1;5;2;1;2;0;3;3;3;1;3;1;0;0;0;2;2;4;0;4;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;3
;;13;Dings, P.M.J.M.;41;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;1;1;0;0;0;0;0;3;6;4;1;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;1;0;9;0;1;0;0;0
;;14;Roest, I.J.G.W.;156;1;0;4;1;4;0;2;2;0;0;2;0;0;1;0;0;0;3;1;0;1;1;1;2;0;2;3;0;4;0;0;1;0;1;1;0;0;0;0;2;1;0;1;2;0;45;2;4;6;1;0;0;0;0;1;0;1;0;1;17;0;0;0;0;2;1;0;1;5;21;0;4
;;15;Konings, R.;201;2;5;2;0;3;6;0;0;3;1;2;0;0;0;2;0;5;0;0;1;1;0;1;0;2;0;4;0;1;0;0;3;5;18;25;9;7;11;12;9;4;24;2;5;2;1;0;3;1;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;3;8;0;0;0;0;0;0
;;16;Cornelissen, G.C.M.;57;1;2;2;0;0;0;1;0;0;2;0;2;0;3;16;8;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;van Tegelen, W.P.G.;34;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;1;1;0;0;1;0;0;1;6;6;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;18;Marsman, L.M.J.;36;4;1;1;0;2;2;0;0;2;2;3;1;0;5;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
;;19;van Aarssen, M.C.J.;60;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;2;0;3;0;0;4;4;20;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;20;Hanraets, W.M.T.P.;74;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;7;5;39;1;0;2;2;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0
;;21;Ambroz, J.;89;0;0;0;1;0;0;0;2;0;0;0;2;0;0;1;0;0;2;11;1;7;3;3;1;7;1;3;9;3;1;1;1;0;0;0;4;0;3;0;1;0;1;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;1;0;0;2;1;0;0;0;1;0;6;1
