Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor Sittard;Stembureau Toon Hermans Theater;Stembureau Multifuntioneel Centrum Sanderbout;Stembureau Gemeenschapshuis de Landjwaer;Stembureau Fanfarezaal St. Jan;Stembureau Voormalig DaCapo College;Stembureau Tafeltennis Vereniging Sittard;Stembureau Gemeenschapshuis Broeksittard;Stembureau Zuyd Hogeschool;Stembureau Xonar;Stembureau Sportzaal De Kemper;Stembureau Zalencentrum De Oase;Stembureau Oos Zittesj Hoes;Stembureau DVO Sportpark Overhoven;Stembureau Gemeenschapshuis Oos Kaar;Stembureau Kleesjhal sportzaal;Stembureau Buurtcentrum Limbrichterveld;Stembureau Theehuis Hof van Onthaasting;Stembureau Gymzaal Limbricht;Stembureau Gemeenschapshuis Limbricht;Stembureau Gemeenschapshuis 't Tuurhoes;Stembureau Gymzaal B.S. de Leeuwerik;Stembureau Jeugdhuis Scouting Munstergeleen;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Stadswinkel Sittard-Geleen;Stembureau Multifunctioneel Centrum De Reunie;Stembureau Nieuw-Apostolische kerk;Stembureau Zalencentrum Hanenhof;Stembureau Speelgoedbank De Grabbelton;Stembureau Gemeenschapshuis 't Volkshoes;Stembureau RKFC Lindenheuvel-Heidebloem Comb.;Stembureau Pastoor van Arskerk;Stembureau 't Honk Glana;Stembureau Zalencentrum 't Plenkhoes;Stembureau Ollie's Here we Meet;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Hubertushuis;Stembureau Sportzaal Brouwersstraat;Stembureau Zuyderland Medisch Centrum;Stembureau Gemeenschapshuis Buchten;Stembureau Gemeenschapshuis Holtum;Stembureau Voormalig Gemeentehuis Born;Stembureau Gemeenschapshuis Born;Stembureau Jong Nederland Buchten;Stembureau Harmoniezaal Obbicht;Stembureau Zalencentrum Oos Hoes;Stembureau Zaal Aurora Grevenbicht;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;141;142;143;144;145;146;147;148;149;151;152;153;154;155;156;157;158;159
Postcode;;;;;6131 LB;6131 AJ;6134 TZ;6133 AJ;6132 CD;6137 AC;6137 PE;6137 SR;6131 MT;6132 EL;6132 GN;6137 RX;6131 GS;6136 XX;6136 AS;6135 CV;6135 BN;6135 ;6141 BL;6141 AG;6143 BC;6142 AD;6151 BX;6151 CD;6161 GE;6161 SX;6162 GA;6162 EB;6163 XW;6163 BW;6163 CP;6164 GL;6164 GH;6164 BZ;6165 EN;6135 LD;6166 AX;6166 CM;6162 BG;6122 CK;6123 AL;6121 XK;6121 JE;6122 AL;6125 BE;6127 BG;6127 BL;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD
;;22;Pi Van de Venne, R.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Thuis, P.T.H.J.;18;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
;;24;Kariemie, B.;25;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;5;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0
;;25;Van de Venne, J.M.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Graaf, G.A.O.;14;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Goertz, G.L.R.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Sanders, S.H.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Kuipers, J.J.M.;6;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;30;Reiner, C.;19;0;0;0;0;3;0;0;0;0;0;2;1;3;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;31;Vaessen, L.A.P.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
7;VVD;;;1433;29;29;8;44;90;9;7;11;19;4;40;32;19;16;37;10;27;59;26;23;1;11;29;24;33;35;19;24;16;29;2;13;4;63;42;7;13;19;23;10;9;17;32;5;16;72;43;19;17;19;7;15;16;10;15;7;24;19;19;25;12;30;13;11;5
;;1;Joosten, J.M.H.;742;14;19;2;18;50;3;1;3;11;1;26;17;11;7;18;4;16;33;11;12;0;10;16;7;14;5;9;16;3;14;1;6;2;7;25;4;10;13;12;8;9;13;25;3;13;46;29;12;5;14;3;9;8;7;10;4;9;9;11;13;6;10;8;6;1
;;2;Beenen, M.;142;5;3;0;14;19;2;2;4;1;1;3;10;5;1;6;3;1;9;5;2;0;0;3;4;1;0;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;0;5;6;1;1;0;2;0;1;0;7;4;2;1;0;0;0;1;0
;;3;Cremers, P.J.B.;101;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;2;10;6;3;5;4;0;7;0;2;0;8;10;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;1;0;0;0;7;2;10;4;0;0
;;4;Harzi, H.;170;4;0;4;5;0;1;0;0;1;0;1;0;0;1;4;1;6;3;1;0;0;0;0;1;10;23;1;1;11;4;0;4;0;41;1;0;0;5;3;1;0;2;3;0;0;0;0;1;2;3;0;2;2;0;0;0;0;1;2;0;4;9;1;0;0
;;5;van der Venne, F.M.;77;1;3;1;1;3;1;2;4;1;0;4;2;0;5;3;1;0;10;4;7;1;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;4;0;1;0;1;0;0;0;0;1;3;1;0;0;0;0;1
;;6;de Boer, C.M.;13;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;7;Breuer, B.H.J.;10;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Nuil, W.M.;31;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;8;8;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0
;;9;Russel, M.D.H.;28;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;2;1;0;0;1;0;0;0;1;1;0;1;10;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;1;0
;;10;Hoven, D.N.J.;17;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0;2;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0
;;11;Diederen, M.K.L.J.;63;3;3;0;4;13;1;1;0;3;0;4;0;0;0;4;0;2;2;1;0;0;0;2;1;0;1;0;1;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;4;1;1;0;0;0;0;1
;;12;Jacobs, R.M.M.;17;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;13;Peeters, G.J.J.;22;0;1;0;1;1;0;0;0;1;1;0;0;2;1;1;0;2;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0
8;Partij van de Arbeid (P.v.d.A.);;;1797;45;40;24;78;57;12;34;27;27;15;68;76;52;59;56;21;61;71;18;26;6;26;30;29;29;22;15;19;13;40;5;20;8;40;31;10;20;40;17;8;13;28;29;2;11;17;10;13;34;52;17;20;6;11;9;5;32;41;46;19;22;21;24;14;6
;;1;Kubben, P.H.J.;931;24;16;13;44;36;5;14;18;16;6;30;37;29;33;36;7;40;29;11;14;2;10;9;14;15;15;10;10;7;19;3;17;6;21;17;1;9;26;6;1;11;8;14;0;3;9;6;6;24;22;7;8;5;10;5;1;18;19;25;3;12;14;12;10;3
;;2;Baars, A.G.;65;0;5;0;11;2;3;1;0;1;2;2;2;1;3;0;0;2;0;0;1;0;0;1;1;3;0;0;0;1;2;0;0;0;2;0;2;1;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;2;2;2;1;2;0;1;0;0
;;3;Wielders, A.E.H.;330;3;7;4;9;13;1;3;2;3;3;6;12;9;8;8;4;6;13;2;4;3;2;15;6;5;3;2;5;3;8;0;2;1;7;8;7;4;9;4;4;1;8;7;2;4;1;3;2;3;11;8;6;1;1;2;3;9;9;7;11;5;4;2;2;0
;;4;Koenen, A.M.P.;68;7;1;1;3;1;1;0;1;0;0;10;2;1;3;2;0;0;5;2;0;0;1;3;1;0;0;0;1;1;2;0;0;0;2;0;0;0;2;3;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;2;0;0;0;0;1;1;0
;;5;Daemen, R.;50;1;0;2;4;0;0;0;0;0;2;8;7;0;0;1;1;0;1;0;1;0;0;1;4;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;3;0;2;1;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;6;Mergelsberg, B.J.M.;40;0;1;0;1;2;1;4;0;2;1;2;4;2;3;2;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;7;Wolthuis, N.N.H.W.;14;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;2;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Schaekens, J.G.M.H.;69;2;3;1;1;1;0;4;3;1;0;2;1;9;2;2;1;1;6;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;6;1;0;0;0;0;0;0;2;5;0;0;2;0;1;3
;;9;Jansen, E.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Smeets, R.A.T.;11;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Lucker, C.J.M.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;12;El Attal, M.M.H.;35;4;1;0;0;0;0;3;0;1;1;3;2;0;0;1;3;0;0;0;1;1;0;0;0;2;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
;;13;Pompl, L.J.J.;17;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;14;Smeets, R.;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5;1;1;0;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0
;;15;Sluijs, L.J.M.;14;0;0;0;1;0;0;0;0;0;0;2;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;El Attal, O.M.H.;25;2;0;0;2;0;0;3;1;0;0;0;3;0;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0
;;17;Berghorst, A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Smeets, J.A.P.;77;0;4;2;2;2;0;1;1;2;0;2;4;1;3;0;0;4;3;2;1;0;5;0;1;2;2;0;1;0;2;0;0;1;0;0;0;2;0;2;0;0;7;0;0;1;3;0;2;0;2;0;0;0;0;2;0;0;2;1;3;2;0;0;0;0
9;Samen Politiek Actief (S.P.A.);;;1565;13;14;65;40;10;5;14;25;15;11;21;42;26;14;35;23;69;21;12;25;18;37;23;23;64;66;23;44;27;65;15;14;1;36;30;4;31;32;18;22;11;20;28;11;25;31;27;4;15;27;10;42;13;18;8;13;6;7;17;12;44;32;20;26;5
;;1;Renet, J.J.;523;5;3;15;13;6;2;5;7;4;2;6;11;8;2;14;5;19;5;7;3;4;5;4;6;16;13;15;22;10;26;8;7;1;11;11;3;18;19;7;5;1;6;4;6;6;6;8;3;8;5;4;16;10;8;3;1;4;2;9;3;27;13;8;8;1
;;2;Winteraeken-Bruls, P.W.M.;122;2;1;0;2;2;1;2;0;2;1;2;6;1;0;5;0;2;5;2;5;7;27;0;0;1;6;1;2;3;2;4;1;0;2;1;0;1;2;0;0;0;1;0;0;1;0;0;0;2;1;0;2;1;1;1;0;1;0;1;0;2;0;1;6;0
;;3;Nijsten, R.;93;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;3;2;3;8;4;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;6;1;12;10;0;5;8;7;0;0;1;0;1;0;0;4;0;0;0;0;0;0;1;0;8;0
;;4;Bopp, E.M.E.M.;57;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;11;4;0;6;3;1;0;0;0;1;2;1;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;2;5;2;0;0
;;5;Belgraver-Thissen, W.P.C.;64;0;1;1;6;1;0;3;3;2;0;6;7;4;3;3;0;2;1;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0;2;0;0;1;0;0;0
;;6;Groenewoud, A.J.;36;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;0;0;1;0;0;0;0;0;1;3;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Damoiseaux, T.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Boven, I.;67;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;15;11;3;2;2;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;2;1;0;0;0;1;6;1;0;0;0;0;0;0;0;5;0;0;0;2;0
;;9;Boessen, I.E.M.A.;33;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;3;2;0;0;1;1;0;6;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;3;2;1;1;0
;;10;Muijtjens, E.T.M.;42;1;2;0;3;0;0;1;0;0;0;0;0;0;0;4;4;6;1;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;3;0;0;0;0;0;0;0
;;11;Boudewijn, A.G.C.;25;0;1;19;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;12;Snijders, J.H.M.;31;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;7;6;0;5;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;13;Caanen, D.W.M.;33;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;2;0;0;8;9;0;0;0;0;0;3;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Nüsser, H.W.A.;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Hoof, H.A.;51;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;14;32;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Dizij, C.N.P.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;9;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Wessling, E.;26;0;0;0;0;0;0;0;3;0;0;0;5;1;2;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0
;;18;Hennekens, L.A.J.;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;9;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Koelman, B.F.C.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Rouah, Z.;93;0;3;12;0;0;0;0;9;3;0;0;5;2;0;1;0;0;3;0;0;0;0;0;0;6;0;0;0;5;0;0;0;0;6;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;5;0;10;0;3;0;7;0;0;0;0;2;5;0;0;1
;;21;Hendriks-Nijenhuis, H.H.;9;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Cramer, E.J.J.J.;37;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;1;0;0;0;0;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;2;4;0;0
;;23;Haster, H.A.;7;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Steinbrüggen, F.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Pepels, J.G.J.;25;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;26;Pastoor, J.K.J.;31;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;7;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;3;0;0
;;27;Simons, C.L.L.;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;van Overbeek, E.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Snijders, H.M.E.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schetters, A.M.;19;0;1;8;1;0;0;0;0;2;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Vaassen, D.C.M.;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Marendziak, C.A.;12;2;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
;;33;Birx, R.H.C.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Hoenen, E.J.M.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Laudij, Y.L.;13;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;36;Graf, A.H.K.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Stauffenberg, A.L.C.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
