Verkiezing;;Gemeenteraad Heerlen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heerlen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis ingang Geleenstraat;Stembureau Brightlands;Stembureau Trefcentrum 't Loon;Stembureau Poppodium Nieuw Nor;Stembureau De Twee Gezusters;Stembureau Grotius College;Stembureau MEE Zuid-Limburg;Stembureau Gemeenschapshuis Welten;Stembureau Wijkpunt Peter Schunck;Stembureau Café Admiraal;Stembureau Gemeenschapshuis Caumerbron;Stembureau Vitalis Parc Imstenrade;Stembureau A gene Bek;Stembureau BMV Molenberg;Stembureau Zalencentrum 't Leiehoes;Stembureau Scouting St. Jan Baptist;Stembureau Sporthal Palemig;Stembureau Gemeenschapshuis het Juphuis;Stembureau Dienstencentrum Schandelen;Stembureau Cultuurhuis Heerlen;Stembureau Buurthuis Beersdal;Stembureau Ouderencentrum Hooghendael;Stembureau Corneliushuis;Stembureau Basisschool Windekind;Stembureau Sporthal Varenbeuk;Stembureau Buurtcentrum 't Heitje;Stembureau Gemeenschapshuis Heksenberg;Stembureau Ouderencentrum Vogelsanck;Stembureau Sportcafé 't Volkshuis;Stembureau Basisschool Mijn Spoor;Stembureau Sporthal Vullingsweg;Stembureau SamSam;Stembureau Sporthal In de Biessen;Stembureau Drive-in stemstraat;Stembureau Amicitia;Stembureau Buurtcentrum de Koffiepot;Stembureau Ons Trefcentrum;Stembureau BMV Maria-Gewanden;Stembureau Ouderencentrum Weijenberg;Stembureau Gemeenschapshuis Mariarade;Stembureau BMV Aldenhof;Stembureau Ouderencentrum Butting Inn;Stembureau Mobiel stembureau 1;Stembureau Mobiel stembureau 2;Stembureau Touringcar;Stembureau Stadhuis ingang Geleenstraat (14/3);Stembureau A gene Bek;Stembureau Gemeenschapshuis Caumerbron;Stembureau Sporthal Palemig;Stembureau Corneliushuis;Stembureau Sporthal Varenbeuk;Stembureau SamSam;Stembureau Sporthal In de Biessen;Stembureau Stadhuis ingang Geleenstraat (15/3);Stembureau A gene Bek;Stembureau Gemeenschapshuis Caumerbron;Stembureau Sporthal Palemig;Stembureau Corneliushuis;Stembureau Sporthal Varenbeuk;Stembureau SamSam;Stembureau Sporthal In de Biessen
;;17;van de Mortel, J.A.J.M.;134;12;2;2;2;4;6;3;4;3;5;8;0;8;8;6;3;1;1;0;0;0;0;4;5;1;1;3;0;2;1;0;4;0;0;0;0;0;0;0;2;6;1;1;0;1;2;0;4;3;0;0;2;0;7;2;2;0;0;1;1;0
5;Partij Hoensbroeks Belang;;;1914;0;2;2;4;0;2;1;0;1;3;5;1;4;5;2;6;2;1;3;8;1;1;7;0;3;4;5;10;13;10;0;5;66;1;173;169;274;217;150;210;156;118;5;0;38;1;1;0;0;2;1;1;95;3;2;1;0;4;1;0;114
;;1;Daamen, F.W.S.;500;0;1;1;0;0;0;0;0;0;2;0;1;1;0;0;0;2;0;1;2;0;0;1;0;2;1;0;1;6;2;0;0;18;0;55;47;60;44;39;47;69;33;0;0;5;0;1;0;0;2;1;1;19;0;0;1;0;0;0;0;34
;;2;Horssels, J.J.G.;190;0;0;0;0;0;2;0;0;0;0;4;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;7;0;29;20;23;15;11;17;14;14;0;0;1;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;12
;;3;Schreurs, M.H.;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;3;0;20;9;20;62;27;25;17;6;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;8
;;4;Zoontjens, L.P.M.;55;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;2;0;0;0;1;0;2;3;15;3;3;3;1;1;0;0;4;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;2
;;5;Rademakers-van Lankeren, E.;167;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;2;0;3;2;0;18;15;15;40;12;6;17;12;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;12
;;6;Gromotka, R.C.;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;10;0;7;13;31;8;3;4;5;14;2;0;2;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;5
;;7;Bodelier, A.H.J.;110;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;3;0;0;1;0;1;1;0;0;0;0;0;0;6;0;7;4;20;7;5;9;5;3;0;0;20;1;0;0;0;0;0;0;3;2;0;0;0;0;0;0;7
;;8;Gubbels, F.E.H.;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;6;21;4;7;13;2;2;0;0;2;0;0;0;0;0;0;0;6;0;1;0;0;3;0;0;8
;;9;Gromotka, K.A.;138;0;0;0;3;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;0;6;24;11;7;7;7;17;16;0;0;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;15
;;10;van Criekingen, A.;110;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;2;1;0;7;4;6;12;12;43;2;9;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;1
;;11;Dijkhoff, D.;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;5;1;6;6;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
;;12;Roelofsen, J.A.;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;4;5;14;33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;13;Essers, P.H.A.;94;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;6;14;46;2;2;0;6;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;3
;;14;Lempers - Robeerts, M.G.W.;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;1;2;2;3;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
6;VVD;;;1856;78;18;20;30;50;101;101;81;21;47;67;107;78;55;55;9;14;8;8;31;16;10;28;82;17;10;35;6;5;17;15;47;25;12;21;20;32;31;27;42;13;9;9;13;5;35;33;24;5;9;1;12;20;45;45;45;6;17;6;12;15
;;1;de Beer, M.E.E.;968;24;5;10;14;28;50;61;45;8;31;35;50;45;30;29;5;5;3;4;19;5;2;13;49;9;3;13;0;3;3;9;9;10;6;16;15;24;22;22;31;7;8;3;9;2;18;18;11;2;0;1;5;13;25;23;32;5;5;2;1;13
;;2;van den Berg, M.M.M.;218;12;2;0;5;5;9;10;7;2;6;11;19;10;2;4;0;0;0;0;3;2;2;0;0;5;2;2;0;0;1;0;30;0;0;1;0;0;3;0;3;0;0;2;1;1;5;6;6;0;6;0;6;1;4;6;3;0;1;1;11;0
;;3;Ijzerman, D.C.;57;10;2;2;1;2;3;3;3;1;0;1;5;2;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;2;0;0;3;0;0;1;0;0;0;0;4;1;1;0;0;0;0;0
;;4;Kockelkorn, R.J.A.;41;2;0;0;0;2;1;1;2;0;0;0;2;1;5;0;0;0;0;0;0;3;0;0;1;0;4;1;0;0;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;3;0;1;0;0;1;0;0
;;5;Bruggeman, A.J.;44;5;2;2;2;1;4;0;0;0;2;2;6;2;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;1;1;0;1;0;0;0
;;6;Velge, B.L.P.;15;0;2;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0
;;7;Paulissen, T.A.G.J.;38;3;0;1;1;1;4;3;1;0;3;2;1;0;4;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0
;;8;Brentjes, R.M.J.;97;1;0;3;0;1;5;3;5;6;1;8;6;3;3;5;1;1;1;0;1;0;0;3;8;0;0;1;0;0;3;1;2;0;1;0;1;0;1;0;4;0;1;0;2;0;0;3;1;2;0;0;0;0;3;2;2;0;2;0;0;0
;;9;Thijssen, D.A.H.A.;7;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;10;Smeets, N.M.V.M.;75;1;0;0;2;2;1;1;6;3;3;0;15;3;1;0;2;3;1;0;0;0;0;1;3;0;0;2;0;1;1;3;1;1;1;0;0;1;0;2;1;0;0;0;1;1;1;0;0;0;0;0;1;1;4;2;1;0;1;0;0;0
;;11;Huver, M.B.D.;16;2;0;1;0;0;0;0;2;0;0;0;0;0;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Offermans, J.F.W.M.;22;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;1;1;0;1;2;4;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;13;Merloi, M.M.;13;2;0;0;0;1;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Willems, J.C.;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;Peters, M.M.H.;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Bedet, D.L.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Lodewijks, A.J.V.C.;26;1;0;0;0;0;2;9;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;Crombaghs, R.J.H.M.;125;10;4;0;0;0;5;4;2;0;0;2;0;6;0;6;0;2;0;0;4;6;6;11;4;3;0;10;1;0;6;0;2;6;0;0;0;2;5;0;0;0;0;1;0;0;4;1;0;0;1;0;0;0;0;1;2;0;7;0;0;1
;;19;Winkens, A.A.;77;4;1;0;5;3;13;4;3;0;0;5;0;6;1;3;1;0;2;0;1;0;0;0;5;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;1;0;0;0;0;0;0;2;2;1;0;0;1;0;0
7;D66;;;1514;53;11;35;24;30;67;31;64;13;26;52;53;80;100;60;13;4;28;23;37;12;6;40;71;11;24;30;7;3;21;17;54;10;5;9;17;21;23;5;22;6;14;4;3;6;28;35;19;1;8;8;3;6;42;41;18;11;20;10;10;9
;;1;Dragstra, T.;491;23;3;7;10;12;20;14;16;10;10;20;20;16;22;13;2;0;2;2;17;7;5;10;25;4;7;19;3;3;12;4;10;4;2;3;3;7;6;1;10;3;1;4;3;0;11;3;1;1;4;3;1;6;20;16;3;1;13;4;1;8
;;2;Oulad Lmaroudia, A.;442;8;0;23;3;1;5;4;8;1;2;10;6;10;51;35;9;4;20;18;9;1;1;21;11;2;16;8;0;0;6;10;37;4;1;0;3;4;5;1;2;3;11;0;0;5;6;6;8;0;0;0;0;0;7;3;7;9;6;4;7;0
;;3;Korvorst, M.H.W.;177;8;2;2;4;5;5;4;11;1;4;7;10;11;8;7;0;0;3;1;5;1;0;2;11;1;1;3;1;0;1;1;1;0;1;1;1;2;4;1;1;0;1;0;0;1;5;10;3;0;0;3;0;0;3;10;5;0;1;1;2;0
;;4;Dumont, R.M.W.;36;2;0;1;0;0;4;0;1;0;1;2;2;3;0;0;0;0;0;0;1;1;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;3;2;0;0;0;0;0
;;5;Verheijen, R.A.M.;47;3;0;1;0;0;5;5;5;0;4;2;7;1;4;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;6;Chebib, N.;32;0;2;0;0;0;1;0;2;0;0;0;0;9;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;4;0;1;0;0;0;0
;;7;Erkens, I.;53;0;1;0;1;3;5;1;2;0;0;2;3;4;4;0;0;0;0;0;2;1;0;1;1;0;0;0;1;0;0;1;2;2;0;0;1;1;0;1;1;0;0;0;0;0;1;5;3;0;0;0;0;0;2;1;0;0;0;0;0;0
;;8;Hahn, K.;50;4;2;0;0;2;5;0;7;0;0;0;2;12;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;5;1;1;0;0;0;0;0
;;9;Hissink, P.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Hos, K.J.A.;10;0;0;0;1;0;0;0;2;0;0;2;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Jong, J.M.A.;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Malherbe, B.D.E.J.;11;0;0;0;0;0;0;0;1;1;0;1;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Oberendorff, J.M.A.;21;0;1;0;1;1;0;2;0;0;4;0;0;5;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Jalink, D.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
;;15;Reijnders, P.;32;1;0;0;1;0;11;0;6;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Latuputtij, S.W.M.;18;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
;;17;Engels, E.J.J.P.;12;0;0;0;2;0;0;0;1;0;0;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Erkens, A.M.J.;5;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Dizdarević, N.;8;0;0;1;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Peters, L.M.W.;29;0;0;0;0;2;2;1;2;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;8;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Thuis, S.J.P.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Roozen, M.M.A.;16;0;0;0;0;2;3;0;0;0;0;1;2;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
8;Partij voor de Dieren;;;1316;41;6;39;33;28;39;43;62;22;21;57;23;79;71;49;11;12;12;8;40;14;4;22;50;20;24;30;6;6;22;16;30;11;9;17;29;13;18;12;21;9;9;0;7;3;22;19;19;3;7;3;5;12;27;36;18;5;11;2;9;20
;;1;Géron, E.A.N.M.;688;20;2;20;12;17;16;21;40;11;16;28;15;37;30;25;3;6;6;3;12;10;1;16;31;15;12;21;5;5;15;8;15;6;1;7;15;9;12;9;11;4;7;0;2;0;9;11;3;2;3;2;5;9;11;23;11;1;8;1;3;9
;;2;Kochen, J.J.M.;123;4;2;6;3;1;6;5;5;1;1;4;3;8;3;4;3;1;1;2;6;0;0;1;2;0;1;1;1;0;0;1;4;3;1;0;1;0;3;0;4;0;0;0;0;0;4;4;5;1;1;0;0;3;3;4;2;0;1;0;1;2
;;3;Coumans-Keulen, M.M.A.G.H.;102;4;1;2;4;1;5;1;5;0;1;5;0;5;11;2;0;1;0;0;4;0;1;0;4;2;1;3;0;0;2;5;5;0;1;0;1;1;0;2;0;1;0;0;1;1;2;2;1;0;2;0;0;0;4;2;1;0;0;1;2;2
;;4;Jansen, M.S.E.H.;51;2;0;1;1;1;0;3;3;4;0;2;0;1;1;3;2;0;0;1;1;0;0;3;0;0;2;2;0;0;0;1;0;0;0;2;3;0;0;0;2;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;2;0;1;1
;;5;Bouwels, M.H.P.;60;2;0;1;0;0;4;3;0;2;0;4;0;10;3;4;0;2;0;0;2;0;1;1;3;0;0;1;0;0;2;0;0;0;0;0;5;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;1
;;6;Knossenburg, A.P.;13;0;0;0;0;0;0;2;1;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Hanssen, A.M.W.M.;34;0;0;1;10;0;0;2;1;3;1;2;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;8;Ploeg, A.A.;109;6;0;4;0;3;5;2;4;0;1;1;2;8;10;3;0;1;3;2;9;0;1;0;5;1;4;0;0;0;3;0;4;0;2;3;1;0;0;0;2;1;0;0;1;0;5;0;0;0;0;0;0;0;4;3;1;3;0;0;0;1
;;9;de Groot, L.J.M.;42;3;0;1;3;2;1;2;1;1;0;0;0;2;4;5;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;2;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0
;;10;Plusquin, P.S.M.L.;94;0;1;3;0;3;2;2;2;0;1;8;3;6;9;2;3;0;1;0;4;4;0;0;3;1;4;1;0;1;0;1;2;0;3;0;2;1;1;1;1;0;0;0;3;0;0;1;3;0;0;1;0;0;2;2;1;0;0;0;2;3
9;Stadspartij;;;659;14;2;26;1;5;4;4;12;5;4;7;3;11;5;12;8;1;6;1;13;10;32;66;10;8;24;43;18;0;12;4;4;8;2;9;18;17;20;13;19;7;13;5;0;7;11;5;3;1;32;5;3;3;7;5;2;3;54;8;4;0
;;1;Hazen, L.C.H.;172;7;1;2;1;2;1;3;5;2;0;4;2;4;0;8;2;0;2;0;0;4;16;13;3;1;2;21;1;0;5;1;0;1;1;0;0;0;1;1;6;1;3;0;0;0;6;2;2;1;10;2;2;0;1;2;1;1;12;2;1;0
;;2;Niemant, M.E.A.;128;1;1;1;0;2;2;0;1;1;0;2;0;1;1;1;0;0;0;1;6;1;5;16;1;5;4;7;5;0;4;1;2;0;0;1;0;0;1;0;1;0;1;3;0;0;1;2;1;0;8;1;1;0;4;0;0;0;26;2;3;0
;;3;Plieger, J.;42;1;0;15;0;1;1;0;4;0;0;0;1;2;1;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;2;0;0;0;1;0;0;2;0;0;0;0
;;4;van de Ven-Hoenen, E.E.J.N.;31;1;0;0;0;0;0;0;0;1;2;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;2;3;1;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;0;0
;;5;Sijstermans, W.F.G.;94;2;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;1;0;2;0;4;3;0;0;0;0;2;0;4;10;10;15;8;8;0;6;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;3;0;0;0
;;6;Hoekstra, P.A.;33;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;4;5;4;0;0;0;1;0;0;2;0;2;0;1;1;0;0;0;0;5;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;7;Van Cleef, M.P.H.;27;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;4;1;2;0;1;0;0;0;0;1;0;1;0;0;4;2;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;de Groot, M.E.J.R.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;Wijzenbeek, E.R.;18;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;0;3;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0
;;10;Hoenen, P.W.V.P.;15;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;11;Vrolings-Hüren, A.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
;;12;Giesen, P.M.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Gielkens, P.M.J.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Debie-Rovers, A.M.T.C.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Pappers, G.J.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;3;1;0;0;1;0;0;0;0;1;0;0
;;16;Vrolings, R.B.J.;33;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;2;0;1;0;2;0;0;0;12;1;1;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0
10;GROENLINKS;;;1255;72;7;39;34;46;37;39;38;25;13;57;19;56;75;42;13;2;15;9;34;15;5;26;29;15;21;23;6;9;12;10;33;14;8;9;13;17;9;9;15;16;8;1;15;7;9;21;13;1;7;1;8;13;40;38;37;8;11;11;14;6
;;1;Nefjodov, T.;349;21;3;11;13;7;12;7;13;2;4;15;5;20;26;14;4;1;1;2;6;5;2;3;9;6;6;5;1;2;1;0;13;4;0;3;3;8;3;5;3;6;1;0;8;1;1;5;0;1;6;0;3;7;4;18;7;3;4;2;1;2
