Verkiezing;;Gemeenteraad Drimmelen 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Drimmelen;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1719;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Made;Stembureau Cultureel Centrum De Mayboom;Stembureau Zorgcentrum De Wijngaerd;Stembureau De Duinpan;Stembureau Sporthal De Amerhal;Stembureau Portakabin parkeerplaats Albert Heijn;Stembureau Ons Dorpshuys;Stembureau Ontmoetingscentrum De Zonzeel;Stembureau Brandweerkazerne;Stembureau Brasserie 't Appeltje;Stembureau Sporthal Driedorp;Stembureau Witte Kerkje Terheijden;Stembureau Portakabin nabij Basisschool De Zeggewijzer;Stembureau Portakabin nabij Basisschool De Windhoek;Stembureau Gemeentehuis Made (maandag);Stembureau Brasserie 't Appeltje (maandag);Stembureau Sporthal Driedorp (maandag);Stembureau Witte Kerkje Terheijden (maandag);Stembureau Gemeentehuis Made (dinsdag);Stembureau Brasserie t Appeltje (dinsdag);Stembureau Sporthal Driedorp (dinsdag);Stembureau Witte Kerkje Terheijden (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;101;110;111;112;201;210;211;212
Postcode;;;;;4921 BV;4921 BB;4921 JC;4921 EJ;4921 EV;4921 CZ;4924 ER;4927 BD;4926 AH;4926 RA;4845 EC;4844 CA;4844 RD;4844 SL;4921 BV;4926 RA;4845 EC;4844 CA;4921 BV;4926 RA;4845 EC;4844 CA
;;14;Engelen, J.H.M.C.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;15;de Bruijn, J.M.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
;;16;Vos-Kroeze, M.;7;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1;0
;;17;Smolderen-Pieterman, D.;19;0;1;0;0;0;0;0;0;0;0;0;4;5;4;0;0;0;2;0;0;0;3
;;18;van Batenburg, W.A.J.M.;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0
;;19;Smits-van Bavel, W.A.;14;0;1;0;1;0;0;0;0;6;1;0;0;0;0;0;1;0;0;2;2;0;0
;;20;van der Ven, J.;11;1;2;0;4;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Rompa, F.W.J.M.;23;2;2;0;1;1;0;1;0;0;0;0;4;2;2;0;0;1;3;1;0;0;3
;;22;de Bruijn-Leening, S.;7;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;2;0;0
;;23;Neefs, A.M.J.;18;3;1;0;2;2;1;1;0;1;0;0;0;0;0;1;0;0;0;6;0;0;0
;;24;Suijkerbuijk, M.C.;5;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
;;25;Segeren, F.A.;18;2;3;5;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;26;van Tienen, N.W.;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;27;de Waard, P.J.;4;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;28;Verlinde, M.;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;29;d' Hooghe, C.J.F.;7;1;0;0;2;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;30;van den Berg, D.J.P.M.;46;5;5;12;0;12;1;1;0;0;1;0;0;0;0;3;0;0;0;5;0;0;1
;;31;de Heijde, G.H.L.;26;0;5;1;2;1;0;6;3;0;2;0;0;1;0;0;0;0;1;4;0;0;0
5;CDA;;;863;85;131;65;30;74;40;21;33;23;26;59;45;18;16;47;8;10;12;68;20;12;20
;;1;Rullens, L.M.T.;521;66;76;44;24;56;30;12;12;13;15;32;20;3;4;31;3;5;5;41;18;5;6
;;2;van der Pluijm, P.J.M.;26;1;2;4;0;2;1;0;0;0;1;3;0;0;0;3;0;1;0;6;0;1;1
;;3;Broeders, G.J.A.;113;3;32;6;2;3;3;0;8;1;4;18;0;3;0;5;4;3;2;10;1;5;0
;;4;de Vlam, C.J.N.;15;0;0;0;0;0;0;0;0;2;0;1;2;3;1;0;0;0;4;0;0;0;2
;;5;Taks, R.A.C.;57;2;2;0;0;0;4;0;1;1;1;1;17;6;10;0;0;0;1;0;1;1;9
;;6;Vissers, B.;9;1;1;0;0;4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
