Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Meierijstad;Wijnu gebouw;Wijkgebouw De Bloemfontein;Stichting Turkse Eenheid Veghel;Wijkgebouw De Lapvoet;Loods familie Verbeek;Rode kruis gebouw;Gymzaal Zuid, Basisschool De Vijfmaster;BS de Uilenbrink;Natuurtuin 't Bundertje;Wijkgebouw De Spil;Basisschool  de Ieme;ROC de Leijgraaf;M.F.C. De Hintel;Gymzaal naast D'n Brak;Dorpshuis Zijtaart;Gemeenschapshuis De Brink;Basisschool De Empel;Ter Aa Sport en Ontmoetingscentrum;Raadhuis Erp;Gemeenschapshuis 't Span;Gemeenschapshuis Den Hazenpot;Sportzaal 't Ven;Drive-in gemeentewerf Veghel;RAADhuis Schijndel;Gymzaal EBC Oost, bij bs de Beemd;Sportcomplex De Dioscuren;Basisschool de Regenboog;Sociaal Cultureel Centrum de Vink;Gymzaal bij de Schakel;'t Spectrum;Sociaal Cultureel Centrum de Kajuit;Gymzaal EBC Noord, bij bs De Vossenberg;Het Gasthuis;Café Zaal De HeerenMeester;Museum Jan Heestershuis;Café-Zaal 't Zuid;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;De Beurs zalencentrum;Basisschool Dommelrode;Touringcarbedrijf Van Hoof Reizen;Basisschool Eerschot;Gymzaal Armenhoef, bij de Odaschool;Sportzaal De Kienehoef;De Meidoorn;MFA De Loop'r;Zalencentrum De Beckart;Drive-in manege De Pijnhorst;Mobiel stembureau 1: OBB;Mobiel stembureau 2: WAS;Gemeentehuis Meierijstad;Raadhuis Erp;Sportzaal 't Ven;Drive-in gemeentewerf Veghel;'t Spectrum;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;Drive-in manege De Pijnhorst;Gemeentehuis Meierijstad;Raadhuis Erp;Sportzaal 't Ven;Drive-in Gemeentewerf Veghel;'t Spectrum;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;Drive-in Manege de Pijnhorst
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;30;101;102;103;104;105;106;107;108;109;110;111;112;113;130;201;202;203;204;205;206;207;208;209;210;230;500;501;14001;14020;14023;14030;14107;14130;14201;14230;15001;15020;15023;15030;15107;15130;15201;15230
Postcode;;;;;5461 KN;5461 EA;5462 AE;5461 AA;5463 JA;5463 PC;5463 HM;5463 ET;5467 BM;5467 AC;5467 JZ;5467 KR;5467 HA;5464 PN;5464 VR;5465 RJ;5466 PE;5469 SL;5469 CG;5469 BK;5469 EX;5469 PS;5464 PG;5465 TA;5482 NG;5482 KE;5481 KD;5482 BJ;5482 BD;5482 DA;5482 WN;5482 MA;5481 HD;5481 HL;5481 EJ;5481 BL;5481 AR;5482 WL;5492 GD;5492 AD;5492 BJ;5491 EG;5491 AB;5491 GC;5491 JT;5492 EC;5491 XP;5492 HT;5491 LR;5461 KN;5461 KN;5461 KN;5469 BK;5464 PG;5465 TA;5482 WN;5482 WL;5492 GD;5491 LR;5461 KN;5469 BK;5464 PG;5465 TA;5482 WN;5482 WL;5492 GD;5491 LR
;;44;van der Velden, C.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Kanters, G.M.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Wanrooij, H.A.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Velden, B.B.J.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Steenbakkers, M.A.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Ketelaars, J.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Jansen, J.C.C.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;2609;108;46;40;46;64;27;46;47;40;36;56;52;51;45;65;26;36;9;20;42;14;15;31;4;65;62;118;53;67;41;107;37;31;77;35;49;54;3;24;32;28;43;43;57;92;32;14;54;11;3;3;33;9;11;6;51;4;23;5;68;9;18;5;109;14;38;5
;;1;Roozendaal, M.H.B.;1249;35;23;10;20;20;13;15;12;14;11;17;22;21;21;11;7;19;3;9;12;6;9;10;1;35;46;81;27;45;20;80;29;26;50;23;37;41;2;10;8;12;19;18;20;30;12;6;20;2;1;0;10;0;6;0;36;2;6;0;22;4;8;1;82;14;17;0
;;2;de Zwart, A.;81;1;2;15;1;0;2;0;3;3;2;0;0;0;1;1;0;0;0;0;0;0;0;2;0;4;3;3;2;1;1;7;2;0;1;5;3;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;2;1;0;1;0;0;0;0;6;0;1;0
;;3;Acquaah Arhin, G.K.;177;8;3;0;5;5;0;9;4;1;5;1;5;5;3;48;4;2;0;1;3;0;0;5;3;2;1;2;1;0;2;1;0;2;6;1;0;0;0;1;0;4;2;2;2;4;0;1;1;0;0;0;5;1;4;2;0;0;1;0;5;0;2;0;1;0;1;0
;;4;Derks, S.M.;341;23;15;0;7;22;5;10;5;12;10;15;13;13;13;1;6;3;4;4;4;3;2;5;0;6;1;9;2;5;6;4;1;0;2;3;3;0;0;3;2;1;7;5;7;8;9;1;7;1;1;1;9;0;0;1;4;0;2;0;21;0;7;0;4;0;2;1
;;5;van der Staak, W.R.;107;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;8;2;4;10;16;18;7;2;14;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;10;1
;;6;van Dommelen, L.M.H.;111;13;2;2;3;3;1;4;3;2;2;4;4;3;1;0;8;2;0;0;2;0;0;2;0;0;2;2;2;1;1;1;0;0;2;2;0;4;0;2;2;1;2;0;2;4;0;1;1;3;0;2;2;0;0;0;0;0;3;0;6;1;0;0;0;0;1;0
;;7;Hildisheim, R.M.;30;5;0;1;5;1;2;2;0;1;0;2;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
;;8;Kaddouri, R.;73;6;0;8;0;4;0;1;12;1;2;3;4;0;3;1;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;9;1;0;3;0;0;0;0
;;9;Thonies, S.M.M.;22;2;0;1;0;2;0;1;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0
;;10;Witkamp, J.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Verhoeven, M.J.G.P.;22;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;0;3;1;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;12;van Baast, J.A.T.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3
;;13;van Bavel, A.R.P.;49;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;5;4;3;0;2;3;0;5;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0
;;14;Görmüş, A.;9;1;0;0;0;0;0;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Amesz, E.;3;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Dorland, A.J.M.E.;7;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Sweere, A.P.J.;13;0;0;0;2;2;1;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Zwart-Aarts, W.J.L.;11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Laarhoven, W.H.M.M.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Peters, L.L.D.;43;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;2;19;3;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;3;0;0;0;0;0;0
;;21;Stevens, M.S.M.;16;0;1;0;0;0;0;1;2;2;1;3;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Riel, J.W.J.;15;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Marchand, R.E.;31;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;3;4;9;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;van Balkom, L.J.M.;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Zutphen, L.W.M.;26;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;5;2;2;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0
;;26;van Rinsum, H.A.A.J.;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Wolters, C.E.F.G.;7;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Meijs, M.A.M.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;1;2;4;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0
;;29;Geerts, H.M.A.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Mathijsen-Hendriks, M.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;31;Victor Adan, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Tielemans, V.A.F.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Roozendaal, H.G.P.F.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Schuurmans-Goorts, J.P.L.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Hubregtse, W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Voeten, M.J.M.J.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;37;Paagman - Wouters, P.G.E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Cornet, A.J.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Mathijsen, R.W.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Tils-Gijtenbeek, A.A.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;41;Derks, M.M.M.;6;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;42;van Rooij, S.J.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van Weenen, M.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;44;Bressers, J.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;School, M.C.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Schaaijk, L.J.M.A.;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;47;Londeman, F.C.J.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Roozendaal, P.G.M.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0
;;49;Oegema, S.;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
7;D66;;;1941;89;55;19;55;42;15;50;28;64;48;38;29;26;76;32;21;15;24;8;25;12;10;35;5;21;31;59;32;49;29;53;31;14;37;30;30;28;7;29;14;26;54;38;47;62;33;22;40;5;6;2;39;5;15;10;27;3;19;3;53;10;20;7;45;4;28;3
;;1;Hobert, G.J.;740;40;29;10;29;20;10;23;12;31;28;17;15;12;34;13;6;5;15;3;19;11;8;22;3;5;6;17;9;18;5;9;8;4;8;5;9;7;1;9;7;10;8;7;10;15;10;9;13;4;4;1;22;3;7;4;4;0;3;1;21;6;13;3;10;2;8;0
;;2;van Zutven, G.M.M.;417;30;16;5;13;13;5;16;13;18;13;11;12;8;26;11;11;3;4;4;2;1;2;7;2;1;3;12;2;4;5;7;6;1;1;3;5;1;2;6;2;3;5;6;10;13;6;4;4;0;0;1;9;1;3;3;0;2;4;0;17;4;4;0;7;0;4;0
;;3;Siroen, P.P.A.;170;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;14;11;12;8;19;7;15;7;2;11;11;5;7;2;0;0;0;1;1;0;0;0;1;0;1;0;0;2;1;1;0;10;0;0;0;0;0;0;0;15;0;0;0
;;4;van Rozendaal, M.J.M.;83;2;4;0;0;1;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;3;6;4;3;5;15;5;3;4;4;4;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0
;;5;Janssen, J.I.M.;36;5;0;0;5;2;0;0;1;2;0;3;0;1;1;4;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;2;0;0;0;0
;;6;Oosten, W.;14;0;0;0;0;0;0;0;0;3;2;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;7;van Zutphen, G.H.M.;203;2;0;0;2;2;0;0;0;3;1;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;1;8;5;12;25;17;21;24;15;6;19;0;0;0;0;0;2;0;0;0;6;2;4;0;1;0;1;0;10;3
;;8;Teunis, M.L.A.;54;3;2;1;4;1;0;4;0;5;1;0;0;3;4;3;0;1;2;1;2;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;3;0;2;2;0;0;0;0
;;9;van der Vleuten, C.W.J.M.;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;7;3;4;4;0;0;3;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;6;0
;;10;Louter, N.J.;12;1;0;2;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;11;Goossens, C.A.F.;75;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;5;8;3;4;6;4;3;7;4;5;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;4;1;0;0
;;12;van der Heijden, A.J.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Hest, A.G.;14;3;2;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Gunnewijk, P.J.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Beekveld, R.A.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Munnichs, J.M.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van den Akker, C.M.C.H.;35;2;1;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;2;5;1;1;1;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;0;0;0;3;0;0;0
;;18;Maresch, M.;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Rooij, J.G.P.;16;0;0;0;1;2;0;0;0;0;0;3;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
8;Gemeentebelang Meierijstad;;;2809;49;59;36;44;84;28;41;47;51;62;60;66;41;84;52;26;28;45;38;61;38;24;47;9;30;21;86;34;54;48;51;36;24;35;34;20;35;8;53;43;46;66;93;81;92;68;70;113;25;5;6;37;24;17;13;21;5;35;14;61;30;22;14;39;7;50;23
;;1;Verkuijlen, P.A.M.;1002;16;15;16;12;20;5;13;12;19;9;17;9;14;17;22;16;14;12;3;9;14;9;9;1;12;7;27;13;21;14;20;13;9;11;9;7;14;5;26;25;16;34;41;38;49;37;19;77;14;4;1;7;1;3;4;6;1;16;6;17;11;0;9;13;3;23;16
;;2;van Mil, G.J.M.;273;8;11;8;10;25;6;10;14;6;15;15;18;13;27;7;0;2;1;4;1;0;1;13;3;1;1;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;12;1;4;2;0;0;0;1;15;0;7;3;0;0;0;0
;;3;Gerrits, A.D.R.;558;20;28;7;18;38;17;16;15;24;33;21;31;11;34;15;5;8;3;4;9;2;3;24;4;3;2;9;1;8;4;5;4;1;3;3;1;2;0;3;1;4;5;8;1;2;2;2;3;2;0;1;15;3;8;5;2;0;2;1;27;4;13;2;5;0;1;0
