Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Parrotia;Cultuurhuis de Suite;Buurthuis Keijenburg;Recreatiezaal Mimosaflat;Fatimahuis;Wiekendael;Buurtcentrum Kalsdonk;Buurtcentrum Kalsdonk;Parkeerterrein Liebau;Huis van de Westrand;Kadeplein;Moeder Godskerk;Moeder Godskerk;De Wieken;RSC Alliance;De Levensschool;'t Dijksteeke;'t Dijksteeke;Jan Tinbergen College;Sterrebos;Nisipa;Vondelschool;Schuurkapel;Schuurkapel;De Bergspil;De Wingerd;De Wingerd;Sterrebos;Werkplein Hart van West-Brabant;Huis van de Westrand;De Wieken;De Levensschool;RMHC De Pelikaan;RKVV Roosendaal;NS Station;RKSV Cluzona;De Geerhoek;De Geerhoek;ParelMoer;De Schalm;De Spil;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;101;102;103;104;105;106;201;202;203;204;205;206;207;208;301;302;303;304;305;306;307;308
Postcode;;;;;4701 PH;4701 EK;4702 CG;4702 BR;4702 GZ;4708 ZB;4702 RH;4702 RH;4703 CC;4703 HX;4703 GG;4707 AW;4707 AW;4707 CC;4707 XD;4707 TZ;4706 LB;4706 LB;4706 EZ;4706 LL;4709 AN;4707 AG;4708 DE;4708 DE;4708 HK;4708 KC;4708 KC;4706 LL;4701 GZ;4703 HX;4707 CC;4707 TZ;4708 AV;4708 AP;4702 VX;4724 BL;4724 EE;4724 EE;4727 SJ;4726 AH;4725 AC;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH
;;12;Jansen, T.J.M.;157;5;1;3;6;4;0;0;0;1;1;1;3;2;0;1;1;1;2;0;4;0;1;0;1;0;3;1;4;1;0;0;0;2;0;1;19;19;36;3;9;2;0;1;0;6;0;0;0;0;1;1;1;8;0;0;1;0
;;13;de Graeff, P.F.H.;11;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;14;Goossens, C.A.J.M.;104;0;2;4;4;3;1;2;0;0;0;1;0;0;1;0;0;0;0;0;1;30;2;1;2;5;2;3;3;0;0;1;5;1;0;1;1;2;2;4;0;2;0;0;0;0;0;2;0;0;1;1;0;0;1;8;4;1
;;15;Mouwen, W.;41;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;18;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;7;0;0
;;16;van den Bemd, J.G.;9;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Aken, K.M.J.;25;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;3;0;0;2;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;1;0
;;18;de Vogel, J.A.D.;25;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;6;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0
;;19;Oosterbos, M.L.E.;82;0;1;0;1;0;0;1;1;0;2;1;7;4;1;0;1;2;0;1;1;0;14;4;2;5;0;6;2;1;0;2;2;2;0;2;2;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;5;0;0;0;5;0
;;20;Poppe, R.T.A.;44;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;4;0;1;27;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;21;Schrauwen, C.P.;27;0;1;3;0;0;0;1;0;1;0;0;2;1;1;3;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
