Verkiezing;;Gemeenteraad Oosterhout 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oosterhout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Theater de Bussel;Pannehoef;"Speelgoed-& Carnavalsmuseum ""op Stelten""";Loods bij MidZuid;Sporthal Markkant;Arendshof;"Activiteitencentrum ""De Bunthoef""";Oosterheidehal;ATV Scorpio;Gymzaal Kruidenlaan;Sporthal Arkendonk;Voetbalvereniging SCO;Twins Sporting Club;"Gemeenschapshuis ""Oostquartier""";De Klip;"Dorpshuis ""Den Brink""";VV Oosterhout;Oosterheem;"Activiteitencentrum ""Dommelbergen""";De Doelen;Stadhuis;Pannehoef;Oosterheidehal;Sporthal Arkendonk;Stadhuis;Pannehoef;Oosterheidehal;Sporthal Arkendonk
;;1;van Mook, M.L.P.;740;43;49;30;26;6;55;3;34;28;6;35;39;16;16;8;9;13;3;23;40;21;38;34;17;29;31;26;28;34
;;2;Ligtvoet, Y.M.J.;80;4;3;3;2;1;9;0;0;6;1;3;9;2;0;2;1;0;0;4;4;1;6;6;5;3;1;1;2;1
;;3;Vermeer, C.A.F.;13;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0;2;0
;;4;Hessels, A.C.G.;39;2;4;1;0;0;0;0;3;4;0;2;1;2;0;0;4;0;0;0;2;3;1;1;2;0;2;0;2;3
;;5;Jongevos, A.J.;32;0;0;1;1;0;5;0;0;1;0;7;1;0;0;0;0;8;0;0;0;2;2;0;1;1;0;1;0;1
;;6;Pijnenburg-Kwakkel, J.A.L.;25;0;2;1;0;0;3;1;3;1;0;0;0;2;1;0;1;0;0;1;0;0;1;0;4;0;2;0;0;2
;;7;Vissers, A.K.L.;19;0;0;0;4;0;1;0;1;0;4;2;0;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0
;;8;van Baal, M.A.;10;2;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
;;9;van Geel, G.J.M.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;10;de Geus, A.K.J.;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;11;Breuer, P.W.F.;5;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;12;Springer, E.M.;12;0;0;1;0;0;0;0;1;3;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;1
;;13;Pijnappel, J.G.;19;1;0;0;0;0;1;0;0;0;0;2;1;9;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0
;;14;van Opzeeland, A.;27;1;1;1;0;0;2;0;0;9;0;2;1;1;0;0;0;1;0;0;0;1;2;1;0;0;0;1;1;2
8;Voor Heel Oosterhout;;;1878;135;144;86;93;31;114;22;74;65;11;87;130;49;42;29;44;44;7;69;87;59;44;55;28;46;94;83;35;71
;;1;de Laat, P.T.;1014;61;81;43;58;5;58;18;44;41;5;34;65;19;26;8;13;12;3;62;53;45;28;34;23;22;47;47;23;36
;;2;Schöner, L.M.L.;210;10;14;9;10;0;24;3;4;5;1;15;17;7;5;18;1;4;3;1;10;1;5;6;1;4;8;8;5;11
;;3;Braat, K.C.A.P.;123;18;12;3;8;12;2;0;0;3;0;6;7;2;2;1;0;2;0;1;7;2;3;2;1;6;4;6;3;10
;;4;Beekers, A.M.;71;4;3;6;2;3;8;1;4;2;0;2;5;4;0;0;4;2;1;0;3;0;1;1;1;3;4;5;1;1
;;5;Broeke, J.J.F.H.C.;34;1;1;0;0;3;0;0;1;0;0;1;0;0;2;0;0;18;0;0;0;1;0;2;0;0;3;1;0;0
;;6;de Bruijn, D.J.F.M.;61;6;5;4;4;3;3;0;2;3;2;2;2;0;0;0;0;2;0;1;0;2;2;3;0;3;5;5;0;2
;;7;van Dongen, A.W.;37;3;4;3;0;1;4;0;1;1;0;1;7;3;2;0;0;0;0;0;1;0;0;1;0;0;2;3;0;0
;;8;Evers, R.J.;19;0;8;0;0;0;1;0;2;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;2;0;2;0;0;0
;;9;Fikke, W.W.F.W.A.;26;1;3;1;2;0;2;0;3;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;5;0;1;1
;;10;Huijben, M.J.W.C.;28;0;2;1;2;0;4;0;0;1;1;5;2;0;0;0;0;1;0;1;1;2;0;0;0;0;3;1;0;1
;;11;Keur, J.P.A.H.;18;0;3;1;1;0;2;0;0;0;0;0;2;2;0;0;0;0;0;1;0;2;0;0;0;2;0;0;0;2
;;12;Kupka, S.L.;10;5;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;de Laat, M.H.J.;35;4;0;4;1;1;0;0;0;1;0;0;5;4;1;1;3;0;0;0;2;1;0;1;0;0;3;1;0;2
;;14;Maas, R.T.J.W.;11;1;0;2;0;1;1;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;15;Poortvliet, T.F.K.;13;0;0;0;0;0;1;0;1;0;0;1;5;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
;;16;van Rossum, D.A.L.;17;8;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;2;0;0;0;0;0;3;0;0;0
;;17;Timmermans, M.J.N.;12;0;2;0;0;0;1;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
;;18;Verweijmeren, G.;12;1;0;3;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
;;19;Hajjami, N.;20;2;0;3;0;1;1;0;4;3;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0
;;20;Sahin, I.;9;2;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;21;Mathon, A.C.M.;12;0;0;0;0;0;0;0;1;0;0;0;3;3;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;1
;;22;Bekker, J.;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Gils, C.J.A.M.;13;1;2;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0
;;24;Koumans, J.J.A.;6;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
;;25;Stoops, M.C.A.;16;3;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;2;0;2;0;2;0;1
;;26;Sarikcioglu, S.;31;4;0;2;0;0;1;0;0;2;0;12;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;1;1
9;Lokaal Open en Sociaal (LOeS);;;1226;85;131;54;46;5;60;9;53;70;8;61;64;27;29;13;15;11;4;36;51;17;65;31;20;40;76;53;47;45
;;1;Schellekens, J.A.M.;668;45;80;27;25;2;41;3;27;20;4;44;42;15;18;8;13;4;2;24;28;12;33;17;4;23;29;34;19;25
;;2;Groenen-van den Rijen, A.H.J.;120;8;15;5;4;0;7;4;8;1;2;9;6;3;3;0;0;3;0;3;6;3;3;3;1;2;8;7;3;3
;;3;Zaryouh, M.;149;15;5;0;2;0;4;1;14;40;0;0;1;0;0;0;0;1;0;0;0;0;11;4;9;2;22;0;17;1
;;4;Hermans, S.;27;0;6;3;3;0;2;0;0;1;0;1;0;2;0;0;0;0;0;0;1;1;0;1;0;2;3;1;0;0
;;5;Schellekens, M.;50;4;4;3;2;0;1;1;0;2;0;1;6;2;3;1;0;2;0;1;3;0;5;1;0;1;0;3;2;2
;;6;Smout, J.P.;23;0;3;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;0;3;1;2;0;0;2;1;4
;;7;Kroon, A.A.A.;21;0;0;3;0;0;0;0;2;1;0;0;0;1;2;0;1;0;0;1;0;0;0;0;0;0;3;0;4;3
;;8;Mulders, R.M.W.;32;0;7;2;4;1;1;0;0;3;0;0;0;1;1;0;0;1;0;0;2;0;1;0;0;3;0;3;0;2
;;9;Fransen, A.M.;17;2;1;0;4;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3;1;0;1;1;0;0;1
;;10;Snoeren, P.F.;13;3;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;1;0;1;0
;;11;Evers, F.A.C.M.;35;1;3;4;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;2;2;0;1;0;2;3;5;3;0;3
;;12;Verlaat, B.C.M.;14;2;0;1;0;0;0;0;0;0;0;1;0;1;1;4;1;0;2;0;0;0;0;0;0;0;0;0;0;1
;;13;Verstrepen, J.M.M.;21;3;2;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;3;0;0;3;2;0;2;0;0;0
;;14;Veldhuizen, B.;11;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;1;2;0;0;0
;;15;Smout, D.R.U.;9;0;2;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
;;16;Minkels, G.R.M.H.;16;1;2;1;0;0;3;0;0;0;2;1;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
