Verkiezing;;Gemeenteraad Son en Breugel 2022;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;
Gebied;;Gemeente Son en Breugel;;;;;;;;;;;;;;;
Nummer;;0848;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis, Raadhuisplein 1;De Zwaan, Markt 9;La Sonnerie, Nieuwstraat 45;Braecklant Amerikalaan 2;De Bongerd, Asteroïdelaan 2a;De Boerderij, Leeuwstraat 2;Voetbalver SBC, Afrikalaan 2;HTC Tennis, Rooijseweg 7;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Berkenstaete, De Bontstraat 71
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
Postcode;;;;;5691 AL;5691 AR;5691 AB;5691 KD;5694 WJ;5694 VR;5691 ZH;5691 PA;5691 AL;5691 KD;5691 AL;5691 KD;5691 SV
;;9;Thunnissen, M.;53;16;5;1;10;6;1;2;0;2;2;4;4;0
;;10;Jacobs, S.M.T.;15;8;1;1;0;2;1;0;0;0;1;1;0;0
;;11;van der Putte, A.M.C.;22;2;0;0;6;6;3;2;0;1;0;2;0;0
;;12;Krol, G.R.J.J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;Helders, F.W.;3;1;0;0;0;0;1;0;0;0;1;0;0;0
;;14;Breel, C.I.;15;0;1;0;1;6;1;0;0;2;0;3;1;0
;;15;Tambajong, R.A.;2;0;0;0;1;1;0;0;0;0;0;0;0;0
;;16;Holthuis, M.E.C.;18;3;0;0;3;0;4;4;0;0;2;2;0;0
;;17;Merkx-van Schijndel, P.J.M.;8;1;1;1;0;0;0;0;0;1;2;0;2;0
;;18;van der Putte, B.C.;9;3;0;0;1;3;0;1;0;1;0;0;0;0
;;19;Verhoeven, J.P.J.W.;2;0;0;1;0;0;0;0;0;0;0;1;0;0
;;20;Francken, J.A.J.G.;2;1;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Maas, A.H.G.;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Slinger, R.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;23;Geers, A.G.M.;11;2;0;0;0;6;0;0;0;0;0;2;1;0
8;Blanco (Spooren, P.A.W.H.);;;159;21;8;4;30;39;18;10;4;7;1;14;3;0
;;1;Spooren, P.A.W.H.;105;15;6;3;18;26;11;7;2;4;0;11;2;0
;;2;van Wijk, M.J.;4;1;0;0;1;1;0;0;0;0;0;1;0;0
;;3;van Nijnatten, C.C.A.M.;22;2;0;1;2;5;5;2;0;2;1;2;0;0
;;4;van Wanrooij, A.L.H.M.;14;0;0;0;6;4;0;1;2;1;0;0;0;0
;;5;Alhagleh, E.;11;3;2;0;2;1;2;0;0;0;0;0;1;0
;;6;van der Eerden, A.J.M.;3;0;0;0;1;2;0;0;0;0;0;0;0;0
