Verkiezing;;Gemeenteraad Halderberge 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Halderberge;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Fidei et Arti;Gemeentehuis Woensdag;Gemeentewerf woensdag;Sporthal de Beuk;Basisschool de Klinkert;Sportkantine de Parrestee;Het Kompas;Zaal Hart van Gastel;Voetbalkantine Oud Gastel;Het Veerhuis woensdag;Voetbalkantine Stampersgat woensdag;Basisschool het Bossche Hart woensdag;Sint Jan de Doper kerk Woensdag;Gemeentehuis maandag;Gemeentewerf maandag;Het Veerhuis maandag;Sint Jan de Doper kerk maandag;Basisschool het Bossche Hart maandag;Voetbalkantine Stampersgat maandag;Gemeentehuis dinsdag;Gemeentewerf dinsdag;Het Veerhuis dinsdag;Sint Jan de Doper kerk dinsdag;Basisschool het Bossche Hart dinsdag;Voetbalkantine Stampersgat dinsdag
;;16;Lambregts-Brans, G.C.C.;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;17;van Leeuwen, J.W.J.;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;18;Brans, B.W.;35;4;1;0;11;1;2;1;0;0;0;0;0;2;4;3;0;0;0;0;4;0;0;2;0;0
;;19;Rockx, F.M.M.M.;9;0;0;0;0;0;0;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0
4;WOS;;;2205;92;51;53;67;80;27;13;324;151;451;129;44;33;47;17;171;6;9;24;42;23;294;17;8;32
;;1;Wierikx, J.C.M.;964;39;29;39;37;39;15;11;129;79;170;15;22;26;32;9;73;5;5;4;18;13;131;12;3;9
;;2;Meurer, W.;131;3;2;0;2;3;0;0;7;2;13;70;0;0;0;0;2;0;0;10;0;1;4;0;2;10
;;3;Tielen, A.J.C.M.;67;1;0;0;0;3;0;0;20;4;15;0;0;0;1;0;10;0;0;1;0;0;12;0;0;0
;;4;de Jong - Appelboom, L.P.;319;17;7;3;11;7;6;0;54;20;86;3;4;4;2;0;22;0;1;1;10;2;52;4;2;1
;;5;Dam, C.W.A.M.;227;5;2;2;2;3;1;0;39;13;64;3;7;0;3;0;36;0;1;1;1;2;41;0;0;1
;;6;Lankhuijzen, N.;111;0;1;0;0;0;0;0;21;9;38;0;3;0;0;2;15;0;0;1;0;2;19;0;0;0
;;7;Roovers, C.A.;27;1;0;0;0;0;1;0;12;2;6;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0
;;8;Meesters, J.C.;25;1;0;0;1;1;0;0;0;0;6;10;0;0;0;0;0;0;1;0;0;0;0;0;0;5
;;9;Lazaroms, A.J.M.A.C.;18;0;0;0;0;1;0;0;4;3;4;0;1;0;0;0;1;0;0;1;1;0;2;0;0;0
;;10;Leenaerts, L.;23;0;0;0;0;1;0;0;4;1;7;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0
;;11;van Merrienboer, W.A.P.;16;1;0;0;1;0;1;0;5;1;1;0;0;0;0;0;2;0;0;0;0;1;3;0;0;0
;;12;Ardon, G.;15;0;0;0;0;0;1;0;1;5;2;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0
;;13;Dekkers - Timmers, A.W.M.;115;20;8;7;10;21;0;1;8;4;3;0;4;0;9;4;0;0;0;0;11;1;4;0;0;0
;;14;Santegoeds, H.J.;7;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;2
;;15;Bartelen, E.E.C.;21;1;0;0;0;0;0;0;5;2;6;2;0;1;0;0;0;0;0;0;0;0;3;1;0;0
;;16;Buckens, W.J.M.;11;0;0;0;0;0;0;1;0;3;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;17;van Dorst - Laros, P.C.A.M.;16;1;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;4;0;0;1;0;0;3
;;18;Mol, S.P.C.;20;0;1;0;1;0;0;0;4;1;8;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0
;;19;van der Borst, G.;10;2;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;20;Brands, A.C.;7;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Engelen, N.W.A.;7;0;0;0;0;0;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;22;Santegoeds, P.A.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
