Verkiezing;;Gemeenteraad 's-Hertogenbosch 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente 's-Hertogenbosch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor;Stembureau Groot Tuighuis;Stembureau Orangerie (A);Stembureau Orangerie (B);Stembureau Stadsklooster San Damiano;Stembureau Willem Twee Poppodium;Stembureau Tijdelijke Unit Centraal Station;Stembureau Tijdelijke Unit Centraal Station (maandag);Stembureau Tijdelijke Unit Centraal Station (dinsdag);Stembureau Mobiel stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Stadskantoor (maandag;Stembureau Stadskantoor (dinsdag);Stembureau Scouting Lucas;Stembureau Lucaskerk;Stembureau Sportzaal Weberstraat;Stembureau Provinciehuis;Stembureau Wijkcentrum de Stolp;Stembureau Sportzaal Rijnstraat (A);Stembureau Sportzaal Rijnstraat (B);Stembureau Verzamelgebouw Seringenstraat;Stembureau Buurthuis Graafsewijk Noord;Stembureau Kindcentrum Het IJzeren Kind;Stembureau SCC De Biechten (A);Stembureau SCC De Biechten (B);Stembureau Sportzaal Rijnstraat;Stembureau Sportzaal Rijnstraat;Stembureau Herstelacademie De Stijl;Stembureau Trefpunt De Slinger;Stembureau Kantoorpand achter Brandweerkazerne;Stembureau Koning Willem I College / Vlijmenseweg;Stembureau Koning Willem I College / Onderwijsboulevard;Stembureau Stichting De Westhoek;Stembureau 't Buurthuis;Stembureau RK Annakerk;Stembureau Sporthal de Schutskamp (A);Stembureau Sporthal de Schutskamp (B);Stembureau Sporthal de Schutskamp (A maandag);Stembureau Sporthal de Schutskamp (A dinsdag);Stembureau Sportzaal Churchilllaan;Stembureau Gereformeerde Kerk 's-Hertogenbosch;Stembureau Weener XL;Stembureau Nico Schuurmanshuis;Stembureau D'n Boerderij restaurant;Stembureau Clubhuis Voetbalvereniging TGG;Stembureau BBS Haren-Donk-Reit;Stembureau Gymzaal Eekbrouwersweg (A);Stembureau Gymzaal Eekbrouwersweg (B);Stembureau Gymzaal Eekbrouwersweg (A maandag);Stembureau Gymzaal Eekbrouwersweg (A dinsdag);Stembureau Brede Bossche School De Hambaken;Stembureau Buurtcentrum Noorderpoort Samen Doen;Stembureau Steunpunt Epigoon;Stembureau Sporthal Maaspoort (A);Stembureau Sporthal Maaspoort (B);Stembureau Sporthal Sociaal Cultureel Centrum De Schans A;Stembureau Sporthal Sociaal Cultureel Centrum De Schans B;Stembureau Gymzaal Meanderschool (A);Stembureau Gymzaal Meanderschool (B);Stembureau Kindcentrum Sterrenbosch;Stembureau Sporthal Sociaal Cultureel Centrum De Schans (MA);Stembureau Sporthal Sociaal Cultureel Centrum De Schans (DI);Stembureau Sportzaal Meerwijkweg (A);Stembureau Sportzaal Meerwijkweg (B);Stembureau Sportzaal Meerwijkweg (A maandag);Stembureau Sportzaal Meerwijkweg (A dinsdag);Stembureau Sportzaal Engelerhout (A);Stembureau Sportzaal Engelerhout (B);Stembureau Sportzaal Engelerhout (A maandag);Stembureau Sportzaal Engelerhout (A dinsdag);Stembureau Steunpunt Van Meeuwenhof;Stembureau Sociaal Cultureel Centrum Perron-3;Stembureau Basisschool De Krommenhoek;Stembureau Sportzaal Overlaet (A);Stembureau Sportzaal Overlaet (B);Stembureau Sportzaal Overlaet (A maandag);Stembureau Sportzaal Overlaet (A dinsdag);Stembureau HEVO Seniorenvereniging;Stembureau Oude Basisschool Kruisstraat;Stembureau Buro3o;Stembureau Sporthal de Hazelaar (A);Stembureau Sporthal de Hazelaar (B);Stembureau Sporthal de Hazelaar (A maandag);Stembureau Sporthal de Hazelaar (A dinsdag);Stembureau H. Laurentiuskerk;Stembureau De Vrolijke Schutters;Stembureau Wijkcentrum Windkracht 5 (A);Stembureau Wijkcentrum Windkracht 5 (B);Stembureau Wijkcentrum Windkracht 5 (A maandag);Stembureau Wijkcentrum Windkracht 5 (A dinsdag);Stembureau Hof Eyghentijds;Stembureau Postduivenvereniging de Zwaluw;Stembureau De Hazenkamp;Stembureau Gemeenschapshuis De Meent (A);Stembureau Gemeenschapshuis De Meent (B);Stembureau Gemeenschapshuis de Meent (maandag);Stembureau Gemeenschapshuis De Meent (dinsdag);Stembureau Gemeenschapshuis 't Zijl;Stembureau Gemeenschapshuis 't Zijl  (maandag);Stembureau Gemeenschapshuis 't Zijl (dinsdag)
;;35;Bartelds, N.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Krijgsman, A.R.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;2;0;0;1;3;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
;;37;Griens, M.G.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Hove, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Louwers, B.M.H.;7;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;40;van Dongen, L.F.M.;11;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Knulst, M.;12;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Oers, J.H.P.M.;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Jaddoe, V.S.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;44;van de Gevel, A.A.L.;19;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;45;van Dongen, C.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Doormalen, N.A.W.;5;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Lieshout, M.H.J.P.;17;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Berkom, J.F.C.M.;12;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Claessen, P.D.A.;18;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Hoog Antink, J.M.M.;39;0;0;0;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;2;0;2;0;0;0;0;5;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
3;GROENLINKS;;;5996;140;88;81;90;116;90;337;106;189;5;3;1;77;115;73;78;51;52;130;23;25;67;80;65;53;55;41;60;132;199;47;76;46;101;41;80;81;64;50;59;73;45;37;71;121;36;66;33;42;42;56;56;31;58;26;26;83;86;54;52;44;76;100;50;48;20;21;65;77;32;49;23;102;46;32;38;30;42;53;4;41;43;50;57;45;67;44;44;44;35;28;50;64;6;11;14;5;8;22;0;5
;;1;Kahya, U.;2340;46;32;28;25;36;46;112;42;64;2;1;1;37;44;22;30;23;19;47;9;8;27;33;25;20;25;11;18;56;79;16;28;16;50;21;34;39;33;27;25;39;15;21;28;58;13;28;9;21;17;23;32;19;17;9;9;34;32;23;25;10;31;43;21;23;6;4;31;30;12;16;8;40;19;9;17;11;17;27;2;11;15;18;14;13;20;16;20;13;10;9;23;22;1;6;7;3;5;8;0;0
;;2;Korver-van Weegberg, M.A.J.T.;989;30;19;14;18;24;14;29;15;28;1;1;0;15;23;9;12;9;9;20;2;1;14;12;16;4;13;8;9;24;36;2;14;4;8;8;10;8;5;9;8;8;7;3;13;25;9;9;7;2;14;5;7;3;17;2;6;14;22;11;10;7;16;24;11;5;8;8;14;16;9;13;5;20;7;6;3;2;6;6;1;6;8;5;10;5;11;7;6;3;8;1;8;11;2;1;2;0;1;6;0;2
;;3;van Rosmalen-van den Eerenbeemt, A.P.R.G.M.;138;6;1;1;2;5;2;5;3;6;0;0;0;0;2;2;5;2;0;2;0;1;2;1;2;6;2;2;1;6;4;1;1;1;1;1;3;0;1;0;1;2;1;0;2;2;1;0;1;2;0;3;2;0;0;0;0;0;0;2;2;2;1;2;0;1;2;0;0;2;2;2;0;4;0;0;0;1;2;0;0;1;1;0;0;3;2;0;3;3;0;1;0;1;0;0;0;0;0;1;0;0
;;4;Bos, H.B.;83;0;2;2;1;4;0;5;2;2;0;0;0;0;1;1;1;0;0;2;1;1;1;2;1;0;0;0;3;0;2;1;3;3;1;2;1;0;1;0;0;2;0;1;4;3;0;0;0;0;1;1;1;1;0;2;0;0;2;0;1;0;0;1;0;3;0;0;1;2;0;3;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0
;;5;van Slageren, S.R.M.;72;0;0;0;0;1;0;3;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;2;3;0;0;0;0;0;1;0;0;2;1;3;0;1;0;2;2;0;5;5;5;4;3;1;3;0;2;3;0;1;1;0;0;0;0;0;0;0;0
;;6;Huijbrechts, N.M.C.;569;13;8;11;10;19;9;49;16;19;0;0;0;9;11;6;6;4;9;15;4;2;2;6;6;7;3;4;7;9;17;11;11;8;17;3;8;8;5;4;5;5;1;2;12;8;2;4;2;1;4;4;2;0;5;2;2;7;14;4;1;8;6;8;3;1;0;4;5;9;1;4;2;9;3;1;4;1;2;1;0;4;3;5;3;2;5;2;3;7;1;2;4;5;0;2;3;0;0;1;0;2
;;7;Doğan, Y.;634;18;18;8;14;16;7;43;9;29;0;0;0;7;10;19;9;6;3;21;5;6;7;9;4;3;5;6;7;17;22;5;5;3;8;3;6;7;12;3;6;11;13;5;0;6;7;7;8;1;1;11;7;5;5;2;4;6;9;1;2;3;8;5;3;7;1;1;5;2;1;5;3;5;2;2;3;5;3;3;0;6;3;2;8;4;8;2;4;3;7;2;3;8;2;2;1;2;0;2;0;1
;;8;Scholten, D.G.G.;40;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;3;1;0;0;0;0;1;1;0;0;1;0;0;0;1;2;0;0;2;1;1;1;2;2;0;1;0;0;0;0;0;0;0;0
;;9;Meijer, L.;92;2;0;2;2;1;0;11;2;1;0;0;0;1;2;0;3;0;1;3;0;0;0;4;3;2;0;0;1;2;3;0;2;2;1;1;1;0;0;0;2;2;3;0;0;3;0;0;0;1;0;2;0;0;1;0;0;2;1;2;1;5;1;3;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
;;10;te Lintelo, A.F.;215;3;2;2;2;2;1;21;5;3;0;0;0;1;1;0;0;0;2;3;0;1;6;2;0;3;1;1;1;1;3;2;3;1;1;0;1;4;2;0;1;2;1;0;0;4;0;5;0;1;0;0;0;2;0;0;0;1;0;2;2;1;1;1;4;0;0;0;0;2;4;2;1;7;3;7;6;5;6;6;1;1;3;6;9;4;1;5;3;5;3;1;6;4;1;0;1;0;2;1;0;0
;;11;Zhu, S.;120;5;2;3;0;0;3;13;0;9;0;0;0;0;2;5;0;0;1;1;1;1;3;1;0;1;1;1;1;4;6;1;2;0;2;1;1;0;0;1;0;0;0;0;2;2;0;1;1;2;1;0;2;0;1;2;0;4;0;3;0;0;3;1;1;0;0;1;1;3;1;1;0;3;0;2;0;0;0;0;0;0;1;0;0;5;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0
;;12;Vonk, R.G.;25;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
;;13;van Noorden, E.A.M.;49;2;0;1;1;1;1;2;1;2;0;0;0;0;0;1;3;2;0;1;0;0;0;0;0;1;1;1;0;3;2;1;1;0;1;0;0;0;0;2;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0
;;14;van Schijndel, E.;115;0;0;0;1;0;0;13;1;7;0;0;0;0;2;0;2;0;1;0;0;0;1;1;2;1;0;0;0;2;4;0;0;0;0;0;2;1;1;0;0;0;2;1;2;0;0;1;0;0;1;0;0;0;3;1;0;0;1;1;3;2;3;1;1;2;2;0;1;2;1;1;0;7;3;0;1;0;1;6;0;3;0;1;3;2;3;3;1;1;0;2;0;3;0;0;0;0;0;1;0;0
;;15;Smid, A.H.J.;12;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Ibnoujala, S.;55;1;0;1;1;0;0;4;0;2;0;0;0;1;4;0;0;0;0;1;0;0;1;0;0;0;1;2;2;0;2;0;1;0;2;0;3;5;2;0;3;0;1;0;0;0;0;4;0;3;1;0;1;1;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hendriks, T.;23;1;0;0;1;1;0;7;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;2;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Velzen, B.W.F.;19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Wisse, J.M.;32;1;0;0;0;0;1;1;1;2;0;0;0;0;0;3;1;0;1;0;0;0;0;1;1;0;1;0;0;1;1;2;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;20;Leenders, P.J.;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;3;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Smits, T.;44;0;0;3;5;3;1;3;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;2;1;0;3;1;1;0;1;0;2;0;0;0;0;1;0;0;0;0;1;1;2;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Dirx, J.W.H.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Bolier-de Vries, J.C.;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Lendfers, J.J.W.G.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Eerenbeemt, E.H.P.S.M.;49;2;0;1;1;1;2;7;3;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;26;Kivits, A.W.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Gladdines, G.J.M.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Cox, C.G.;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;29;Roijackers, H.I.;15;0;0;0;1;1;1;0;0;0;0;0;0;1;0;2;0;2;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Stevens, L.;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Grunderbeek, L.S.C.;11;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Doremalen, P.T.M.;9;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Bannink, A.D.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Levert, A.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
