Verkiezing;;Gemeenteraad Heeze-Leende 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heeze-Leende;;;;;;;;;;;;;;;;
Nummer;;1658;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis 't Perron;Handboogsportvereniging Rozen van Oranje;Gemeentehuis;Gymzaal Engelse Tuin;Heemkundekring de Heerlijkheid HLZ;Basisschool De Trumakkers;Dorpshuis de Schammert;Basisschool Sint Jan;'t Brouwershuis;Dorpshuis Valentijn;Gemeentehuis Maandag;Gemeentehuis Dinsdag;Dorpshuis de Schammert Maandag;Dorpshuis de Schammert Dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;314;315;714;715
Postcode;;;;;5591 HM;5591 GH;5591 HS;5591 BP;5591 NE;5591 NG;5595 CD;5595 GN;5595 XC;6029 RJ;5591 HS;5591 HS;5595 CD;5595 CD
8;GROENLINKS;;;934;55;63;98;91;116;97;43;21;24;104;90;90;22;20
;;1;Jacobs, C.T.G.A.M.;282;10;28;22;26;40;37;14;6;11;20;24;33;5;6
;;2;Hijmans, A.M.;177;15;9;16;16;26;10;5;4;2;17;23;23;6;5
;;3;Bonn, M.C.;36;2;5;3;7;7;4;1;0;2;0;1;3;0;1
;;4;de Haan, S;54;1;1;7;6;9;2;0;1;3;7;11;5;0;1
;;5;de Vries, A.J.W.;34;0;1;0;0;0;0;11;4;2;0;0;4;8;4
;;6;Faes-van den Berg, H.C.M.;40;2;1;7;1;1;5;0;1;0;17;2;2;1;0
;;7;Witvliet, D.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;8;Wiesner-Lang, I.S.;21;1;1;4;0;4;5;0;0;2;0;2;2;0;0
;;9;de Lange, V.A.H.;13;1;0;1;0;0;0;3;0;1;7;0;0;0;0
;;10;Verbeek, J.J.M.C.;49;2;1;5;5;14;11;0;0;0;1;7;3;0;0
;;11;Schapendonk, P.H.C.M.;24;0;2;7;2;2;3;0;0;0;4;1;3;0;0
;;12;Verhoeven, C.;21;2;1;1;7;1;1;2;0;0;5;0;1;0;0
;;13;Rothuizen, I.W.J.M.;11;2;0;0;1;1;3;0;1;0;0;3;0;0;0
;;14;Beek-de Leeuw, C.F.M.;40;8;0;13;3;1;2;1;1;0;7;0;3;1;0
;;15;de Bijl, M.G.M.;105;7;12;10;16;4;10;4;3;1;16;15;3;1;3
;;16;Bijlefeld, J.;14;2;1;1;1;2;2;1;0;0;2;1;1;0;0
;;17;Sprengers, J.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;Smedema, C.H.;11;0;0;1;0;4;1;1;0;0;1;0;3;0;0
