Verkiezing;;Gemeenteraad Valkenswaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Valkenswaard;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0858;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zorgcentrum Kempenhof;Buurtgebouw De Horizon;Speeltuin Geenhoven;Ontmoetingscentrum De zoete inval;Gymnastiekzaal 't Gegraaf;Carolus gebouw;Scholengemeenschap Were Di;Gemeentehuis;Theater De Hofnar;Mariakerk;H. Martinuskerk;Dommelsche Bierbrouwerij;Sporthal de Belleman;Ons Dommels Plèkske;Clubgebouw  't Heike V.V. Dommelen;Het Dorpshuis;Ontmoetingskerk;Gymnastiekzaal 't Gegraaf;Gymnastiekzaal 't Gegraaf;Theater De Hofnar;Theater De Hofnar;H. Martinuskerk;H. Martinuskerk;Ons Dommels Plèkske;Ons Dommels Plèkske
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;514;515;914;915;1114;1115;1414;1415
Postcode;;;;;5554 JV;5554 PA;5552 SB;5552 EM;5552 BG;5554 AG;5553 CC;5554 DA;5554 DA;5555 AP;5551 AW;5551 AE;5551 EV;5551 EW;5551 TE;5556 VL;5554 JC;5552 BG;5552 BG;5554 DA;5554 DA;5551 AW;5551 AW;5551 EW;5551 EW
;;1;Valkhof - Theuws, A.J.;666;4;25;25;23;18;21;44;46;31;53;22;26;35;27;20;37;44;8;15;36;50;10;26;11;9
;;2;Kerssemakers, E.J.F.M.;25;0;4;0;1;0;1;0;1;1;2;0;1;3;1;2;1;3;0;0;0;3;0;1;0;0
;;3;Doddema, R.K.B.;150;0;3;8;12;6;15;4;7;4;21;2;8;2;4;1;0;19;2;0;10;12;0;3;3;4
;;4;Smits, F.W.H.J.;70;0;7;7;3;1;6;5;10;3;1;2;4;1;0;3;0;3;1;0;3;5;3;0;1;1
;;5;van Glabbeek, J.W.P.M.;57;0;2;1;1;0;3;1;8;1;10;1;2;0;2;1;0;4;0;1;4;10;0;5;0;0
;;6;Mollen - Ketting, Y.;37;0;2;3;1;1;1;1;3;1;2;0;2;3;3;4;0;1;0;0;5;0;0;0;1;3
;;7;van der Hulst, W.H.M.;16;0;0;0;2;0;0;2;0;1;0;0;0;1;0;0;0;4;0;0;0;4;2;0;0;0
;;8;de Jong, E.;17;0;1;0;1;0;1;0;0;1;0;2;0;0;3;2;0;0;1;0;0;1;1;0;2;1
;;9;Goossens - Rijkers, C.J.G.M.;31;0;1;0;0;2;1;0;2;0;1;0;0;0;0;1;20;2;0;0;0;1;0;0;0;0
;;10;Teunissen - Geven, A.J.A.;8;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;2
;;11;Mandigers, J.E.;17;0;2;2;1;0;2;0;0;1;0;0;1;3;0;1;0;1;0;0;1;0;1;0;0;1
;;12;de Regt, J.A.M;9;0;0;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;13;Toussaint, G.H.F.;18;0;2;1;1;0;1;1;1;3;5;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;14;Akkermans - van den Besselaar, M.G.C.;27;0;1;0;0;1;1;0;0;1;0;4;0;3;0;0;0;4;0;0;2;4;0;3;1;2
;;15;van Appeldorn, J.J.;21;0;0;1;2;0;5;0;4;0;2;1;0;1;0;0;0;0;0;0;1;0;0;1;3;0
;;16;Segers, F.P.A.;7;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
;;17;Broekhuijse - Steegers, E.J.A.;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;18;Gerris, H.E.A.;5;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
