Verkiezing;;Gemeenteraad Someren 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Someren;;;;;;;;;;;;;;;;;
Nummer;;0847;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zalencentrum Centraal;De Ruchte;De Ruchte (2);De Weijers;De Weijers (2);De Bunt;De Vurherd;De Einder;De Einder (2);Basisschool De Ranonkel;Sonnehove (bijz. stemb.);De Ruchte (14-03-2022);De Einder (14-03-2022);De Ruchte (15-03-2022);De Einder (15-03-2022)
;;8;van de Ven, J.E.;95;6;11;8;7;7;2;14;6;1;8;0;10;2;13;0
;;9;van Dortmans, J.F.M.;13;0;3;1;0;0;0;1;0;1;1;0;0;1;5;0
;;10;van Soest, C.L.M.;4;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0
;;11;van Maris, H.H.H.;9;0;0;0;2;0;0;0;0;0;2;0;1;0;4;0
5;LSH;;;988;47;58;31;22;25;557;45;37;15;49;1;23;9;50;19
;;1;Stolwijk, M.S.;304;13;14;2;10;8;165;15;12;7;13;1;9;4;21;10
;;2;van Tulden, F.W.A.;177;10;17;11;4;3;88;3;4;3;16;0;5;2;9;2
;;3;van Tulden, J.H.;39;1;0;0;0;2;29;0;0;0;5;0;0;0;2;0
;;4;Venhuizen-Geurtjens, C.C.A.M.;70;5;4;2;1;1;43;5;3;0;1;0;1;1;2;1
;;5;Bouterse, H.B.M.;17;1;5;0;0;4;6;0;0;0;1;0;0;0;0;0
;;6;Vergeer, I.H.J.;90;9;2;4;1;0;53;2;1;3;4;0;5;2;3;1
;;7;Eilers, M.J.H.I.;9;1;0;1;0;1;4;0;0;1;1;0;0;0;0;0
;;8;Buis, B.A.C.;9;1;0;0;1;0;0;0;6;0;0;0;0;0;0;1
;;9;Thelosen-van Haren, G.C.M.;32;0;4;1;0;0;26;0;1;0;0;0;0;0;0;0
;;10;Tinnemans-van Zoggel, M.H.F.;37;1;2;3;1;1;22;0;1;0;1;0;2;0;3;0
;;11;Jaspers, W.C.P.H.;35;3;2;3;0;0;16;2;3;0;2;0;1;0;2;1
;;12;Groot Nibbelink, N.;27;1;1;1;1;0;7;13;0;0;0;0;0;0;3;0
;;13;Verhees, G.T.;10;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0
;;14;van de Kruijs, S.W.F.;8;0;1;0;0;0;5;0;0;0;0;0;0;0;1;1
;;15;Meeuws, P.L.P.;5;0;0;0;1;0;2;0;0;0;2;0;0;0;0;0
;;16;Rietjens, P.N.;7;0;0;0;0;2;4;0;0;1;0;0;0;0;0;0
;;17;de Graaff, P.;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;18;Wijnen, J.J.A.;13;0;1;1;1;1;8;0;0;0;0;0;0;0;1;0
;;19;Klaver, M.P.;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
;;20;Koppens-Kuunders, M.G.;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
;;21;Driessen, M.P.H.;14;0;0;0;0;0;11;1;0;0;1;0;0;0;1;0
;;22;Martens, W.W.M.;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
;;23;van Otterdijk-Jaspers, I.P.W.;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
;;24;Verhees, M.W.P.;6;0;0;0;0;1;4;0;1;0;0;0;0;0;0;0
;;25;Tomassen, E.H.L.G.;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
;;26;Bleekman, J.;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;27;Volmering, W.P.J.;10;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0
;;28;Verlangen, L.M.B.H.;20;1;0;2;1;1;8;4;2;0;0;0;0;0;0;1
;;29;Teunissen, F.;8;0;1;0;0;0;2;0;0;0;2;0;0;0;2;1
;;30;Venmans, F.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Leefbaar Someren;;;470;79;68;33;36;36;21;21;13;16;46;3;34;4;54;6
;;1;Verhofstad, A.A.J.G.;174;24;20;13;15;16;12;8;6;5;21;1;13;0;18;2
;;2;van Dinther, M.J.J.;22;5;2;0;1;2;2;3;2;0;2;0;0;1;2;0
;;3;Tinnemans, H.J.F.;184;40;33;13;11;11;4;7;3;5;17;2;14;0;21;3
;;4;Schols, P.R.W.;20;2;2;1;2;2;2;2;0;0;2;0;2;0;3;0
;;5;Boerekamps, F.;8;0;1;0;0;1;0;1;0;3;0;0;0;0;2;0
;;6;van Heel, J.H.G.M.;4;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0
;;7;van der Spek, J.;7;0;0;1;2;0;0;0;0;0;0;0;0;2;2;0
;;8;Lenssen-Verhofstad, T.H.;26;1;3;5;2;3;1;0;1;2;3;0;2;0;2;1
;;9;Di Girolamo, N.;15;3;3;0;2;0;0;0;1;0;0;0;3;1;2;0
;;10;Bakermans, J.A.W.;10;4;3;0;1;1;0;0;0;0;0;0;0;0;1;0
