Verkiezing;;Gemeenteraad Moerdijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Moerdijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Theater de Schuur;Theaterzaal De Borgh;Pluspunt Serena;Het Anker;Gymzaal Droge Mark;Trefpunt;Vier Hoog Zevenbergen;Ons Stedeke;De Zevensprong;Gymzaal Klundert Spido;De Niervaert;De Stad Klundert;De Ankerkuil;D' Ouwe School;De Standaert;Buurthuis Irene;De Blokhut;De Parel;Het Trefpunt;De Graanbeurs;Pestalozzihuis;Drive-in gemeentewerf Klundert;Theaterzaal De Borgh;De Stad Klundert;De Standaert;Buurthuis Irene;De Parel;Theaterzaal De Borgh;De  Stad Klundert;De Standaert;Buurthuis Irene;De Parel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;102;112;115;116;118;202;212;215;216;218
Postcode;;;;;4761 CA;4761 BE;4761 TW;4761 CD;4761 JB;4761 ZC;4762 AL;4772 RA;4765 CP;4791 JN;4791 GB;4791 HL;4781 AR;4759 BD;4758 AJ;4797 AJ;4797 HT;4793 CB;4793 EP;4793 GB;4794 AA;4791 PA;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB
;;8;Kamp, D.M.;134;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;94;12;0;0;0;0;0;0;0;0;8;2;0;0;0;17;0
;;9;Broekman, B.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;0;1;0;0;0;0;4;0;2;0;0;4;0
;;10;Dusseldorp, M.J.F;49;4;6;7;1;0;8;1;0;2;0;0;0;6;0;0;0;0;0;0;0;0;1;3;5;0;0;0;4;0;1;0;0
;;11;Andreae, P.;25;3;3;0;0;1;6;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;4;0;0;0;0
;;12;den Hollander, J.;22;0;0;0;0;0;3;0;0;0;4;3;4;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0
;;13;de Haas, K.;39;0;5;4;0;0;20;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0
;;14;van Steen, D.H.C.M.J.;11;1;1;0;1;0;3;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;15;Gerla-van Wijlen, R.;8;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;16;van de Merbel, D.A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;17;den Dubbelden, W.P.;8;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0
;;18;Benneker, R.;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;19;Vogelaar, D.;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0
;;20;van de Corput, A.L.M.;6;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;21;Koevoets, L.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;22;van der Wyck-Helmer, M.M.;21;2;2;2;0;0;2;0;2;3;0;1;0;0;1;1;0;1;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0
3;CDA;;;1491;66;77;50;21;38;89;25;33;29;77;42;83;11;19;67;87;21;94;92;61;29;0;54;27;11;22;33;93;52;17;19;52
;;1;Vermunt, C.L.F.;676;20;30;19;10;9;45;7;15;9;26;18;24;8;10;27;25;8;76;66;42;11;0;19;10;4;7;26;35;21;8;6;35
;;2;Ardon-Zagan, L.;143;13;13;13;4;9;25;6;5;5;0;0;0;1;1;0;3;1;0;0;0;0;0;15;0;0;0;0;25;3;1;0;0
;;3;Kavelaars, A.;111;0;2;2;0;0;1;0;1;2;1;0;3;0;0;1;47;7;1;2;1;10;0;1;2;0;11;2;2;1;0;11;0
;;4;van Drimmelen, N.C.;137;28;19;13;3;12;11;4;5;1;1;0;1;0;0;1;0;1;1;1;0;1;0;9;0;0;0;0;23;1;1;0;0
;;5;Haverkamp, A.J.M.;85;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;2;3;11;19;16;4;0;4;0;0;0;4;0;0;0;0;17
;;6;Strootman, H.;140;2;3;0;0;0;1;0;0;0;36;15;38;0;6;0;3;0;1;1;0;0;0;3;12;0;0;0;0;18;0;1;0
;;7;de Rond, H.L.P.M.;54;0;1;0;0;0;0;0;0;0;0;0;0;0;1;34;2;0;0;0;1;0;0;0;0;7;0;0;1;0;7;0;0
;;8;Kavelaars, C.F.A.;34;0;1;1;2;0;1;2;5;10;0;1;2;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;2;0;0;0;0
;;9;den Hollander, P.G.;21;0;0;0;0;0;0;0;1;0;7;1;5;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0
;;10;Brummans, D.J.;27;1;1;1;0;1;0;2;1;0;2;0;3;0;0;0;3;0;3;0;0;3;0;2;0;0;1;1;1;1;0;0;0
;;11;Witkamp, W.P.S.;7;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Eersel-den Hollander, M.J.;23;0;0;0;0;1;0;0;0;0;3;4;7;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;1;2;0;0;0
;;13;Vrolijk, L.C.M.;33;1;5;0;2;4;5;4;0;2;0;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;1;0;1;0
4;Moerdijk Lokaal;;;1845;39;88;79;18;48;73;22;12;51;128;70;151;28;17;48;214;100;83;64;47;79;6;26;36;9;70;13;54;57;10;72;33
