Verkiezing;;Gemeenteraad Bergen op Zoom 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen op Zoom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ontmoetingscentrum De Korenaere;De ontmoetingskerk;Blokstallen;Stadskantoor;Ontmoetingscentrum het Fort;LPS Anton van Duinkerken;Sint Gertrudiskerk;Emmauskerk;'t Hoefke;Residentie Meilust;Sporthal Tuinwijk;Auris Montaal;Foyer de Kannebuis;Halsterse Tennis Vereniging;Het Kompas;Algemene School Oost;Foyer Gageldonk;Intratuin Halsteren;Woonzorgcentrum Stuijvenburgh;Ontmoetingscentrum Het Zonneplein;Ontmoetingscentrum Het Hoofdkwartier;Zalencentrum de Raayberg;School de Kreek;De Toermalijn;SKW 't Weike;Ontmoetingscentrum De Wittenhorst;De Zeeland;Residentie Aquasite;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst
;;18;de Klerck, C.J.;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
;;19;van der Hulst, T.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1
;;20;van Breda, W.C.;7;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;21;Koppers, M.F.M.;18;0;0;0;0;0;0;1;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0
;;22;Joosten, W.L.;9;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0
;;23;van Melle-Riemens, A.;9;0;0;0;1;1;0;1;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Verbogt, E.C.M.M.;19;0;0;1;0;0;1;1;0;0;0;0;1;0;2;0;0;0;4;0;0;0;1;0;0;2;2;1;1;0;0;0;2;0;0;0;0
;;25;Mouws, F.A.C.;10;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;1
;;26;Withagen, L.C.A.;6;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Petermeijer, A.;24;0;0;0;1;0;0;2;0;0;3;0;2;1;0;0;1;0;0;3;2;0;0;0;0;0;0;1;3;1;0;0;2;1;0;0;1
;;28;Widdershoven, D.J.J.M.;14;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;1;0;0;1;0;0;0;0;1;1;0
;;29;van den Eijnden, E.C.A.;61;0;0;0;1;1;0;2;2;1;1;0;0;9;4;0;0;0;2;0;0;0;0;1;9;4;21;2;0;0;0;0;0;0;0;0;1
5;D66;;;2006;61;59;43;52;44;50;77;60;143;93;86;30;63;25;95;40;49;45;47;37;50;48;92;59;29;31;65;85;25;38;27;27;56;74;57;44
;;1;Cuman, U.;772;24;26;16;22;12;19;22;18;55;43;37;20;21;9;43;15;36;18;18;10;24;23;30;27;16;10;24;31;6;11;8;5;15;23;20;15
;;2;Doedens, B.R.;121;2;3;2;3;4;2;5;4;7;1;6;0;3;1;7;1;5;3;4;3;6;8;5;2;1;1;1;6;2;3;2;1;1;8;7;1
;;3;Janssens-Looijs, J.W.;87;5;2;2;2;4;3;11;0;6;1;2;1;1;3;5;1;0;2;2;2;2;1;4;5;4;1;2;4;0;1;1;0;3;1;2;1
;;4;Musters, M.J.;49;0;0;2;1;2;0;3;2;2;1;1;1;0;0;6;3;1;0;0;1;2;0;1;1;1;2;1;3;2;1;0;0;1;4;2;2
;;5;Dorigo, J.V.;260;5;10;4;2;9;6;11;6;24;9;12;2;8;5;8;7;5;6;5;3;0;5;26;4;4;4;7;18;5;10;1;5;4;13;3;4
;;6;Demmers-van der Geest, A.M.;299;9;8;6;6;5;11;7;13;24;13;14;4;8;2;6;3;1;7;9;9;7;6;10;6;1;4;16;14;5;7;4;11;16;8;12;7
;;7;van den Beemt, S.;24;1;1;0;2;0;1;2;0;2;0;0;2;0;0;3;0;0;1;0;0;1;0;0;2;0;0;0;1;0;0;2;0;0;3;0;0
;;8;Elion-Valter, C.;44;1;1;2;2;1;2;3;0;0;2;0;0;0;0;1;0;1;3;1;0;2;0;6;1;0;1;1;0;0;1;6;1;1;3;0;1
;;9;Kammeijer-Luycks, Y.J.M.M.;114;2;4;1;2;2;3;2;5;10;11;7;0;6;1;9;3;0;0;1;3;3;1;3;3;1;0;8;3;0;0;0;2;7;4;1;6
;;10;Moerkerken, C.J.;6;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;11;Karatepe, A.;15;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;0
;;12;Weijts, J.L.C.;17;1;0;0;2;0;1;2;0;1;1;2;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0
;;13;Dominicus, I.;34;1;0;1;0;0;0;5;2;0;3;0;0;2;0;0;0;0;0;0;0;1;2;2;2;0;0;0;0;2;0;1;0;4;4;2;0
;;14;Türksever, N.;8;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;Vreedenburgh, M.M.;15;0;1;2;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;1;0;1;0;1;0;0;0;1;0;0
;;16;Storm-Bosch, J.;18;5;0;0;0;1;0;1;1;1;2;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0
;;17;Zwagemakers, J.F.C.;18;2;2;0;1;0;0;0;0;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;1;0;1;0
;;18;Roks, J.W.;12;0;0;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Borremans-Malm, I.;23;0;0;0;1;1;2;2;2;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;0;0;0;3
;;20;Wanmaker, H.;10;0;0;0;0;0;0;0;0;2;2;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;21;Bax, N.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Laros, W.D.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;23;Demirel, Z.;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;2
;;24;Visser, P.H.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Lelieveld - van Loon, L.M.C.;9;1;0;0;3;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;26;Lock, J.D.J.U.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;27;van der Meer, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Niemantsverdriet, C.L.;7;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
;;29;Verberne, L.J.L.;19;1;0;1;3;3;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1
;;30;van Rooy, C.M.H.;7;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6;BSD;;;1790;81;52;39;50;73;41;78;92;91;60;82;51;43;22;60;42;44;22;49;78;57;55;29;33;18;53;43;48;39;41;38;10;59;51;35;31
;;1;van der Kallen, L.H.;951;33;27;17;29;34;28;40;44;51;53;35;7;36;10;29;27;14;11;26;38;36;26;14;17;16;30;21;31;23;16;23;8;33;27;23;18
;;2;Juten, P.W.;146;30;12;6;9;1;3;16;1;9;1;6;2;0;0;1;0;1;0;3;4;0;5;4;0;0;0;9;2;3;1;0;0;12;2;2;1
;;3;van Oorschot- Goossens, W.A.M.;153;9;2;6;4;8;3;12;9;8;1;10;2;3;4;4;2;0;3;2;3;6;3;6;9;0;1;4;4;3;2;0;2;6;7;3;2
;;4;Müllenberg, A;140;2;1;0;1;9;1;4;18;2;0;3;2;0;2;20;0;4;4;9;3;3;3;0;2;1;1;4;4;2;16;6;0;3;7;1;2
;;5;Danjaoui, A;167;0;1;5;3;7;1;0;7;1;1;18;28;0;0;2;7;16;0;2;26;2;6;3;5;0;2;2;2;4;3;5;0;2;3;3;0
;;6;van Dijk, R.A.C.M.;11;0;2;1;0;1;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Filippo, V.H.J.;29;1;1;0;0;3;0;0;1;1;0;0;0;0;0;1;5;0;0;2;0;0;1;0;0;0;3;3;2;1;2;0;0;0;0;0;2
;;8;Boschman, J.E.M.;26;1;2;1;0;1;0;0;3;0;0;1;2;0;0;2;0;1;0;2;0;3;0;0;0;0;1;0;0;0;0;0;0;2;2;2;0
;;9;Withagen, A.J.;56;1;3;1;2;2;1;2;3;12;3;1;1;0;3;0;1;1;3;1;1;0;1;0;0;0;4;0;2;2;0;2;0;0;1;0;2
;;10;Langenberg, M.J.C.;25;0;0;0;2;7;1;1;1;0;0;1;2;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;1;2;0;0;0;0;2
;;11;Keller, M.;31;2;1;2;0;0;2;0;1;3;0;3;1;0;1;1;0;2;0;1;0;3;5;1;0;0;0;0;0;0;0;0;0;0;2;0;0
;;12;Weijts, A.C.H.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;13;van Broekhoven, A.M.A.;11;1;0;0;0;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;14;van Werkhoven, H.C.M.;19;1;0;0;0;0;0;0;1;1;0;1;0;2;2;0;0;2;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1
;;15;El-Khassim, F.;23;0;0;0;0;0;1;1;1;0;1;1;4;1;0;0;0;2;0;0;3;0;3;1;0;0;0;0;1;0;0;0;0;1;0;1;1
7;GROENLINKS;;;1660;56;59;44;60;32;28;66;57;78;40;72;33;80;21;82;68;34;39;35;49;59;47;38;34;17;63;38;69;44;37;25;17;46;46;19;28
;;1;Karar, S;832;25;36;22;35;12;14;31;26;37;16;41;20;42;11;39;33;19;21;17;29;29;21;20;16;11;36;16;33;20;14;17;8;27;17;10;11
;;2;Verbogt, C.E.M.;407;15;10;4;9;8;7;17;10;24;10;19;7;19;7;23;13;8;8;11;12;13;13;12;9;4;15;9;16;8;16;3;4;14;13;3;14
;;3;Bogers, T;93;5;5;10;3;1;1;1;5;2;3;2;1;3;0;9;2;1;1;1;1;2;4;2;1;0;2;3;5;3;6;1;0;2;3;2;0
;;4;Bals, M.W.;25;0;0;2;0;2;2;2;3;2;0;0;1;1;0;0;0;3;0;0;0;1;0;0;1;0;0;1;0;2;0;0;1;0;0;1;0
;;5;van Schaik, M;39;1;2;3;0;0;0;2;1;1;0;1;1;1;1;0;5;0;3;1;1;1;2;1;2;1;1;2;1;1;0;1;0;0;1;1;0
;;6;Wagtmans, C.J.J.;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Janssens, D. H.;16;0;0;0;1;0;2;0;1;3;0;0;0;0;1;3;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;8;Kools, R.A.J.;38;5;0;0;2;5;0;3;0;1;2;2;0;3;0;1;5;0;3;0;1;1;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0
;;9;Harijgens, A.;40;1;2;0;0;1;0;1;2;4;1;0;0;1;1;1;3;1;0;0;0;0;2;0;1;1;1;3;3;2;0;3;0;0;2;0;3
;;10;Veelwaard-van Dongen, B;57;2;2;2;5;0;0;4;4;4;2;2;1;2;0;3;3;0;0;2;0;6;0;1;1;0;1;1;0;3;0;0;2;0;3;1;0
;;11;van den Ouden, P.A.;28;1;0;0;0;0;0;2;1;0;0;2;0;2;0;0;0;1;2;0;1;2;2;0;0;0;2;0;4;4;0;0;0;0;2;0;0
;;12;Wirodihardjo Raden, A.;12;0;0;0;1;0;1;0;2;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0
;;13;Bakx, R.P.J.;6;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;14;Kuhlman, E.A.;13;0;1;0;0;0;1;1;0;0;2;0;0;0;0;1;1;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0
;;15;Majorana, M;13;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;3;1;0;0;0;2;0;0;0
;;16;Damen, C.J.;17;0;0;0;3;0;0;0;0;0;0;2;1;2;0;1;0;1;0;0;1;0;0;0;0;0;1;2;2;0;0;0;0;1;0;0;0
;;17;Hagenaars, W.C.M.;21;1;1;0;0;1;0;0;2;0;2;1;0;2;0;1;2;0;0;0;1;1;0;0;2;0;1;0;1;0;0;0;1;0;1;0;0
8;Partij van de Arbeid (P.v.d.A.);;;1347;47;26;36;48;53;61;56;36;42;33;57;26;46;14;46;62;64;19;40;66;55;39;29;23;9;27;31;34;11;36;34;13;27;36;40;25
;;1;van Aken, J.G.P.;395;21;7;9;21;13;8;14;13;16;14;21;5;22;6;16;12;8;10;9;18;11;9;2;10;4;11;10;9;6;11;5;6;10;10;5;13
;;2;Ahajaj, A.;322;7;0;12;10;7;34;3;7;3;1;16;13;8;0;6;19;41;2;9;21;14;11;4;0;1;3;12;1;1;1;23;1;5;3;21;2
;;3;Kaplan, Y.;140;1;3;7;2;11;6;3;6;2;2;2;2;0;0;8;5;6;4;7;8;10;8;2;1;0;1;4;11;0;2;1;2;0;9;3;1
;;4;Nuijten-van Aard, A.J.A.;144;9;2;5;2;6;0;8;7;10;6;3;4;6;1;4;9;1;2;6;9;2;4;6;3;1;3;2;0;3;5;2;3;2;2;4;2
;;5;den Engelsman, J.A.;56;1;4;1;5;4;3;12;0;0;1;3;1;1;0;1;1;3;0;2;1;2;3;0;1;0;0;1;1;0;1;0;0;1;0;2;0
;;6;Leenders, G.P.;55;0;1;0;6;3;1;1;0;2;1;1;0;3;1;2;2;1;0;2;2;3;1;5;0;1;2;1;3;0;6;0;0;0;4;0;0
;;7;Aertssen, Ph.A.;18;0;2;1;1;0;3;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1
;;8;Arts, M.J.C.M.;23;0;0;0;0;0;2;2;0;0;2;0;0;0;0;3;0;0;0;0;1;4;0;2;0;0;0;1;1;0;1;0;0;3;1;0;0
;;9;Blom, K.V.;9;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0
;;10;van den Boogaard, J.C.M.;14;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;2
;;11;Brouwer, S.;13;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;3;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0
;;12;van Gassen, E.A.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;13;Hagenaars-Vermunt, J.G.J.M.;18;0;0;0;0;0;1;0;0;0;0;0;1;1;3;2;0;0;0;3;1;0;0;1;0;0;2;0;1;0;1;0;0;0;0;0;1
;;14;Jonkers-Ramsaran, J.J.;6;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;Lebeau, C.L.;26;3;0;0;0;1;0;2;0;1;0;5;0;0;0;0;4;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;2;1;0;0
;;16;van Loon, C.A.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Mol-Bakx, J.;12;1;1;0;0;0;0;1;0;1;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0
;;18;van Oers, L.J.G.M.;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Ostermeijer, G.J.;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Raats, W.A.C.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;21;Rampaart, E.W.C.M.;6;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Respen, C.P.W.;38;0;0;0;1;5;0;0;1;4;0;1;0;2;3;1;0;2;0;0;0;1;0;1;0;0;3;0;4;0;4;0;0;2;3;0;0
;;23;Tack, R.G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Verbeem, A.W.;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;25;van der Wegen, A.J.;17;0;1;0;0;1;1;3;1;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1
;;26;Withagen, D.A.J.;9;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2
9;SP (Socialistische Partij);;;851;23;5;17;35;40;21;34;45;44;16;35;24;32;12;28;18;39;23;26;31;27;30;6;21;18;36;16;17;8;19;21;11;13;27;17;16
;;1;de Jong, T.M.M.;353;11;2;5;17;23;11;15;16;16;5;15;6;9;9;11;5;22;10;7;11;9;10;4;8;7;13;6;10;5;14;7;3;4;15;8;4
;;2;Minnaard, C.P.;106;4;0;5;1;0;2;8;7;14;3;3;9;7;0;7;3;2;4;3;1;4;6;1;0;0;2;3;2;1;1;0;0;1;0;2;0
;;3;van de Riet, E.P.M.;163;0;1;1;9;9;4;8;14;6;3;7;2;7;2;5;6;10;3;4;7;8;6;0;4;2;4;4;3;0;3;4;0;4;4;4;5
;;4;Landa, J.A.W.M.;24;3;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;4;0;0;0;0;1;2;0;1;0;0;3;1;1;0;1;1
;;5;de Waal, C.P.M.;19;0;0;2;1;2;0;2;2;0;0;2;0;0;0;1;0;0;0;1;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0
;;6;van den Berg, T.H.A.M.;24;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;6;0;0;0;0;3;3;0;1;0;2
;;7;Goossens, C.F.P.M.;45;3;0;1;1;0;1;1;3;2;3;6;3;1;1;1;0;3;2;2;0;0;2;0;1;0;2;0;0;1;0;1;0;1;1;0;2
;;8;de Vos, R.W.;28;1;0;2;1;1;1;0;0;0;0;0;2;2;0;0;0;0;0;4;1;1;2;0;0;0;1;0;0;0;1;3;2;0;3;0;0
;;9;de Neijs, J.F.;17;0;0;0;1;3;0;0;1;2;2;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;10;Schuurbiers, H.J.G;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;11;Schepers, J.C.;6;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;12;Hooiveld, G.;22;1;0;0;0;0;1;0;1;0;0;0;0;3;0;1;1;1;0;0;0;0;0;0;4;3;2;1;0;1;0;0;0;0;0;0;2
;;13;Pastoor, L.;15;0;0;1;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;2;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0
;;14;Schnitker, J.H.A.;20;0;0;0;2;2;0;0;0;1;0;0;0;0;0;1;1;0;1;1;3;1;3;0;1;0;1;0;0;0;0;0;0;0;2;0;0
10;50PLUS;;;1117;15;11;11;46;43;28;37;39;59;16;39;26;42;13;39;23;34;25;44;46;44;35;15;32;20;52;28;33;22;28;27;10;10;56;32;37
;;1;Voets, J.J.M.;595;6;8;8;29;28;18;22;25;26;5;23;4;26;8;19;13;15;10;27;28;22;24;6;16;12;31;16;19;11;16;10;7;3;26;15;13
;;2;van den Kieboom, P.M.I.;205;5;0;0;7;9;5;5;8;22;2;3;7;7;2;11;7;5;6;6;7;5;5;2;3;2;4;8;4;6;6;2;0;3;15;11;5
;;3;Groffen, L.E.;136;2;1;1;5;2;2;2;0;3;7;9;14;2;2;2;2;7;3;6;5;7;2;3;3;0;2;1;3;2;3;9;0;1;10;5;8
;;4;Vlak, H.T.N.M.;18;1;0;0;0;0;1;2;0;1;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;1;1;0;0;0;0;2;0;1;1;0;2
;;5;Verlinden, B.C.A.;13;0;0;1;0;2;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0
;;6;Marcus, J.M.;16;0;0;0;1;0;1;4;0;2;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0
;;7;de Waal, E.C.;17;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2;0;1;0;0;1;2;1;0;0;0;1;0;3;0;0;0;0;1;0;1;1
;;8;Otto, A.;13;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;2;0;1;0;2;0;0;0;0;0
;;9;Dielens, J.A.W.;8;0;0;0;2;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Verbaarendse-Kouwenhoven, A.A.M.;25;1;2;0;2;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;2;1;1;2;2;0;1;3;1;2;0;0;0;0;0;0
;;11;Kouwenhoven, E.C.;10;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
;;12;Binkhuysen, R.;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Loos-van Hooijdonk, C.H.;46;0;0;0;0;0;1;0;0;0;1;1;0;5;1;2;0;1;4;1;1;0;0;0;5;2;10;0;1;0;0;1;2;0;0;0;7
;;14;Otto, J.J.;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Voets-Visser, A.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1
11;Lokaal Realisme;;;1859;44;39;32;53;39;36;69;58;83;33;59;15;112;63;80;41;27;82;35;27;54;33;56;85;56;119;48;61;32;55;18;27;46;63;32;47
;;1;Pals, J.A.A.;733;13;15;10;17;20;18;30;26;33;14;28;8;37;16;25;13;16;32;18;8;26;12;19;28;17;44;15;28;15;23;13;12;20;31;13;20
;;2;Govers-Gabriels, A.E.J.;346;6;5;6;8;2;2;12;16;20;8;6;1;26;18;8;7;3;23;3;4;2;3;8;22;16;38;8;5;6;10;2;9;6;10;4;13
;;3;Harteveld, J.H.;156;3;6;5;9;5;3;7;2;7;3;2;0;2;1;5;5;4;2;4;4;4;3;9;5;5;4;5;11;4;5;0;2;4;7;9;0
;;4;Voets, J.M.G.;57;2;1;3;12;1;1;2;2;1;1;0;0;2;0;4;4;0;1;2;2;0;2;2;2;0;0;3;1;1;1;1;0;3;0;0;0
;;5;Steketee, C.S.N.;57;1;1;3;1;3;0;5;2;2;0;1;0;4;1;0;2;0;5;0;0;4;1;0;4;1;8;1;1;0;3;0;0;0;1;0;2
;;6;van 't Hof, M.;39;2;0;1;2;2;0;2;0;4;0;4;0;1;1;2;4;1;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;3;0;2;1
;;7;Dries, D.P.H.;83;12;2;0;2;1;3;3;1;2;1;1;4;4;9;5;2;0;2;1;0;2;2;2;5;0;3;7;1;0;1;0;0;3;1;1;0
;;8;Pluijmers, E.;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;1;0;2;3;2;0;2;0;1;0;2;0;0;0;3;0;0
;;9;Völker, J.R.B.A.;44;1;3;0;0;0;0;1;1;1;0;3;0;4;3;1;0;1;5;1;0;0;1;1;4;2;0;4;3;0;0;0;0;0;1;1;2
;;10;Couvert, J.K.C.;15;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;1;0;0;0;4;0;3;1;0;0;0
;;11;Schouten, C.A.;25;0;0;0;0;0;1;0;2;0;0;1;0;0;0;6;0;0;1;0;1;0;0;2;0;0;0;0;3;0;4;1;0;0;3;0;0
