Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oss 1;Wijkcentrum Schadewijk;Basisschool De Korenaer;Café Zaal 't Haasje;St. Ontmoetingscentrum Meteoor;St. Gemeenschapshuis Acropolis;Gemeenschapshuis De Bongerd;Gemeenschapshuis Hart van Oijen;Gemeenschapshuis Avanti;Gymzaal Verdistraat 1;ROC De Leijgraaf;SV Ruwaard;Berghem Sport;'t Paviljoen;Wijkcentrum De Hille;Gemeenschapshuis Haren;Dorpshuis 't Slotje;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets 1;Zalencentrum De Merx 1;Gemeenschaphuis De Nolder;Sportzaal De Zeuven Wilgen;MFC De Koppellinck;Gemeenschapshuis Vidi Reo;Titus Brandsma Parochie;Sporthal den Hoge Graaf;Sporthal de Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 1;Gymzaal Ruwaard II 1;Sporthal Mondriaan 1;Sporthal Mondriaan 2;Gemeenschapshuis De Berchplaets 2;Zalencentrum De Merx 2;Sporthal de Rusheuvel 2;Gymzaal Ruwaard II 2;Gymzaal Verdistraat 2;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Sociaal Cultureel Centrum  De Binnenstad;Gemeentehuis Oss 2;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Mobiel stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;1401;1406;1415;1418;1419;1420;1421;1423;1428;1437;1438;1501;1506;1515;1518;1519;1520;1521;1523;1528;1537;1538;1541
Postcode;;;;;5341 GM;5348 XA;5345 TA;5386 AM;5346 RT;5366 BE;5367 AA;5394 AK;5396 PN;5343 VC;5344 CS;5344 KW;5351 AB;5357 PH;5345 WB;5368 AM;5373 BC;5354 KC;5351 BZ;5351 AR;5398 HK;5397 BR;5386 AS;5371 AX;5342 GC;5371 DA;5346 JH;;5344 GK;5342 CM;5342 CM;5351 BZ;5351 AR;5346 JH;5344 GK;5343 VC;;5344 VN;5341 LK;5341 GM;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;
;;23;van Meurs, H.M.A;11;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0
;;24;Heesakkers-van der Plas, J.H.;18;0;1;0;1;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0
;;25;Mientjes, F.M.J.;18;0;0;1;0;1;0;0;0;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;3;0;0;0;0;0;0;0;0;0
;;26;School, H.M.W.;35;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;19;0;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0
;;27;Steenman, C.M.H.;44;0;0;5;0;1;0;0;0;0;3;0;4;0;2;8;0;0;0;1;0;0;1;0;0;1;0;2;0;4;0;0;0;0;0;0;1;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0
;;28;Bouw, F.A.M.;52;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Vocht, L.J.C.M.;25;0;0;0;0;1;4;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;1;0
;;30;Thomson, R.R.J.;25;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;3;0;3;0;0;0;0;2;1;1;0;1;0;0;3;0;1;0;1;0;0
;;31;Ünal, K.;45;0;1;2;0;1;0;0;0;0;11;0;0;0;0;1;0;0;0;1;0;0;1;0;0;3;0;1;2;1;1;0;0;0;1;0;4;0;5;2;2;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;32;Iding-Aartsen, M.A.E.;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
