Verkiezing;;Gemeenteraad Rucphen 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rucphen;;;;;;;;;;;;;;;;;;;
Nummer;;0840;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Café Heerlijkheid 1810;MFA Agora;Gemeenschapshuis D'n Hoge Dries;Café de Coop;Dorpshuis De Trapkes;Sportpark Rood-Wit;Gemeenschapshuis De Lanteern;MFA Vijverstraat/ttv de Back Hands;Gemeentehuis;Gemeenschapshuis De Nieuwenbergh;MFA Agora 14 maart 2022;MFA Agora 15 maart 2022;Gemeentehuis 14 maart 2022;Gemeentehuis 15 maart 2022;Gemeenschapshuis de Lanteern 14 maart 2022;Gemeenschapshuis de Lanteern 15 maart 2022;Gemeentelijk Stembureau 16 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Postcode;;;;;4715 CC;4715 CL;4721 AC;4714 EA;4714 CN;4711 AV;4711 EG;4711 EV;4715 RW;4735 TA;4715 CL;4715 CL;4715 RW;4715 RW;4711 EG;4711 EG;4711 RW
5;Partij van de Arbeid (P.v.d.A.);;;564;22;79;29;79;99;31;18;12;28;36;30;44;13;16;13;15;0
;;1;Wagemakers, A.J.W.;222;3;19;13;51;45;14;6;4;10;19;6;10;4;6;6;6;0
;;2;Mathijssen, L.A.E.;205;14;44;11;16;23;8;4;0;12;14;16;25;7;6;3;2;0
;;3;van Diemen, M.M.C.;26;0;0;0;5;17;0;2;0;2;0;0;0;0;0;0;0;0
;;4;Balemans, C.A.M.;28;0;1;0;4;1;7;3;3;0;0;0;0;2;2;4;1;0
;;5;van der Meijs, M.B.H.;26;4;7;1;2;0;1;1;0;0;2;4;3;0;0;0;1;0
;;6;Bergenhenegouwen, T.C.;13;0;0;1;0;7;0;0;0;3;0;1;0;0;0;0;1;0
;;7;van de Sande, C.C.P.;8;0;1;0;0;0;1;2;2;1;0;0;0;0;0;0;1;0
;;8;van den Broek van Toorn, C.A.;10;0;1;2;0;0;0;0;0;0;1;1;2;0;1;0;2;0
;;9;Jansen, M.J.J.P.;10;0;3;0;0;1;0;0;0;0;0;1;3;0;1;0;1;0
;;10;Remie, F.H.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van den Broek, M.C.P.;7;0;2;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Jansen, A.F.;8;1;1;1;0;1;0;0;3;0;0;1;0;0;0;0;0;0
6;FORZA RUCPHEN;;;403;15;33;29;22;36;44;51;35;39;27;5;8;8;17;15;19;0
;;1;Clercx, B.M.J.;211;12;20;26;7;23;24;23;8;20;16;2;4;4;10;7;5;0
;;2;de Jong, M.;48;1;3;1;4;2;3;7;5;2;1;3;2;4;1;4;5;0
;;3;Roks, J.;40;1;2;0;9;4;3;4;7;1;0;0;0;0;4;2;3;0
;;4;Koevoets-Clarijs, W.C.;65;0;1;0;0;4;8;12;15;12;5;0;0;0;0;2;6;0
;;5;van Oeffelen, T.C.F.P.;8;0;1;0;1;0;3;1;0;0;0;0;2;0;0;0;0;0
;;6;Nouws, H.G.;28;1;6;2;1;3;3;4;0;3;3;0;0;0;2;0;0;0
;;7;Leenheer, C.J.;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
