Verkiezing;;Gemeenteraad Tilburg 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tilburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Restaurant Lucebert;Cinecitta;Wijkcentrum In De Boomtak;Odulphuslyceum;Factorium (ingang Bisschop Zwijssenstraat);Wijkcentrum Koningshaven;Pathé Tilburg centrum;De Pelgrimhoeve;Café Bet Kolen;Wijkcentrum Zuiderkwartier;Wijkcentrum Nieuwe Stede;Sociëteit Philharmonie;Gymzaal Staringstraat;Wijkcentrum Spijkerbeemden;Sporthal De Blaak;Sportcafé De Blaak;Avans Hogeschool;Gymzaal Cederstraat;Woonzorgcentrum Joannes Zwijsen;De Wissel;Dansschool van Opstal;Wijkcentrum de Baselaer;Textielmuseum;MFA De Poorten;Wijkcentrum De Ypelaer;Gymzaal Donizettistraat;MFA De Symfonie;Sportcafé Drieburcht;2College Cobbenhagen;De Rooi Pannen;Parochiezaal de Goede Herder;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkgebouw Reinevaar;Wijkcentrum Heyhoef;Sportcentrum Reeshof;Scholencentrum Grote Beemd;TSV Gudok;Gymzaal Bergeijkstraat;Gymzaal Meerssenstraat;Sportclub 't Zand;Cultureel centrum De Schalm;Dansschool van Opstal;Sportcafé 't Ruiven;Stichting de Peppel, locatie Kruisgebouw;Raadzaal Udenhout;Buurthuis Jeruzalem;Drive Inn (evenemententerrein Het Laar);SV Reeshof;Wijkcentrum De Back;Gemeenschapshuis De Vorselaer;Klasse Theater;Gymzaal Verhulstlaan;Sporthal Dongewijk;Gymzaal Mingersbergstraat;Gymzaal Berkelseweg;Sporthal De Roomley;MFA Het Spoor;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel Stembureau;Mobiel stembureau;Mobiel stembureau;Centraal Station Tilburg (noordzijde);Centraal Station Tilburg (zuidzijde);Interpolis;Tilburg University;´t Plein;013 Poppodium;Voormalig GGD gebouw;Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar);Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar)
;;11;Carlier, L.R.;216;2;4;5;3;7;3;3;6;2;2;6;0;0;0;1;4;1;3;6;3;3;10;9;7;0;0;8;2;4;4;1;1;1;3;2;0;0;0;1;0;0;1;1;0;0;0;2;1;0;3;1;1;0;3;2;2;2;4;0;1;1;1;1;1;3;2;5;10;1;11;0;10;2;1;1;4;0;1;3;1;2;0;0;1;0;0;3;1;1;0;2;2;1;1;0;1;1;0;0
;;12;Spieringhs, R.;41;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;2;0;0;0;3;0;1;0;0;1;1;0;0;0;0;0;0;4;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;1;2;0;1;1;0;2;0;0;0;0;0;2;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Cremers, R.R.H.;18;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;14;van Schijndel, S.;38;1;1;0;0;4;0;0;0;0;1;0;1;0;2;0;0;0;0;3;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;2;0;3;0;3;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;15;Oltheten, S.A.C.;98;1;3;3;4;0;1;1;1;3;1;4;0;5;0;1;1;1;1;1;1;4;3;3;3;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;2;1;0;1;3;1;0;0;0;1;0;3;2;3;4;0;0;0;5;2;0;1;9;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0
;;16;Bergman, M.G.A.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
;;17;van de Klundert, A.M.I.;84;5;2;2;1;0;1;2;1;1;3;3;0;0;1;1;1;0;0;2;0;2;0;1;1;0;0;2;0;0;1;0;4;0;2;4;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;4;0;1;0;0;0;0;0;0;0;0;0;0;4;4;0;3;0;2;1;0;0;4;0;1;2;0;0;0;0;1;0;1;0;1;4;0;1;0;0;1;0;0;0;0;0
;;18;van Gerven, J.A.G.M.;24;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;19;van Dieren, M.;31;0;0;1;1;2;0;0;1;2;0;0;0;0;0;1;0;0;0;2;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;20;van der Kloof, A.H.;22;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;2;0;1;0;2;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0
;;21;El Aissaoui, O.;34;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;2;1;1;0;2;1;0;1;1;3;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;22;Fong, M.F.;94;0;2;0;2;0;4;0;1;2;1;5;0;0;0;3;1;0;0;4;0;3;2;4;1;0;0;0;0;1;2;0;1;1;1;1;1;1;0;1;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;2;1;0;2;5;0;5;0;8;2;0;1;3;0;2;0;0;0;1;1;0;0;0;0;1;1;2;2;2;0;0;0;0;0;0;0
;;23;Werker, W.;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;de Leuw, L.J.M.;17;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;25;de Laat, C.N.M.;22;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;0;0;0;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Stenzel, S.;24;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;27;van Nieuwkerk, L.D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Bankers, J.J.M.;15;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;29;van de Veerdonk, A.A.P.M.;18;1;0;2;0;1;1;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;30;Bernard, G.H.;43;2;0;2;2;1;1;0;0;0;3;0;0;0;0;0;0;1;0;2;0;3;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;1;0;0;0;1;0;0;0
;;31;Stehouwer, J.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Zwaluw-Idema, M.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;33;van Berkel, L.J.A.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Vestjens, I.S.;18;0;1;1;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Kessel, S.;13;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;36;Oudejans, N.;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
;;37;Martens, J.A.H.;22;0;0;1;0;1;0;3;0;0;2;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;38;Jansen, J.J.M.;17;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;39;van Velthuijsen, G.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Habets, I.J.H.;7;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;41;Harbers, J.B.M.;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;42;van Leuven, A.P.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Bedaux, F.J.;18;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Vintges, M.A.M.;7;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Heijndijk, S.M.;11;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;46;Frenk, M.;18;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;47;van Gurp, R.J.;14;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;48;Oerlemans, P.C.M.;23;0;0;0;0;1;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
4;VVD;;;8116;77;62;122;76;77;90;55;133;51;36;84;51;29;49;251;233;60;36;103;40;64;93;96;69;23;16;74;114;71;48;27;55;17;80;218;52;127;62;71;172;25;297;91;153;112;92;77;30;44;253;69;42;63;105;135;104;136;83;104;28;25;111;78;138;107;207;70;98;32;163;63;123;62;55;27;116;18;109;54;18;43;30;180;136;67;53;32;28;80;13;95;47;14;37;12;89;103;42;34
;;1;van Stappershoef, N.J.L.;4956;45;44;81;42;51;58;35;81;35;27;40;30;19;27;179;179;33;23;54;19;37;59;51;49;22;13;59;89;43;23;17;36;16;49;148;34;74;44;46;123;15;129;41;76;63;47;58;21;22;164;33;28;39;77;95;27;73;48;68;18;18;81;48;96;71;87;34;55;19;95;34;53;41;34;14;59;12;66;33;12;34;23;123;60;42;31;24;21;51;9;62;28;8;28;10;69;52;25;18
;;2;van Asten, M.;203;6;0;4;2;2;2;1;3;2;1;1;4;0;2;2;3;1;2;2;2;4;4;2;3;0;0;2;3;3;1;0;0;0;3;6;2;2;2;2;5;0;4;3;1;2;2;2;0;2;5;1;2;2;3;0;1;3;8;1;0;3;2;4;5;2;2;4;2;0;1;1;7;1;3;1;7;0;3;2;1;0;1;6;2;1;2;0;2;1;0;0;2;1;1;1;0;1;0;3
;;3;Heutmekers-Linders, Y.B.A.;886;4;1;13;2;5;11;2;19;6;2;6;2;1;3;11;14;9;3;14;6;8;14;12;0;1;0;2;7;12;7;3;8;1;9;16;4;19;7;8;14;2;88;29;42;14;12;1;1;5;15;6;0;3;5;15;38;20;5;4;1;3;10;3;9;12;55;8;5;3;10;8;12;6;4;3;10;1;4;3;2;1;0;10;39;11;5;0;2;5;2;5;3;0;2;0;5;27;5;1
;;4;Kriellaars, F.A.M.;217;1;1;3;0;2;1;0;2;0;1;2;2;0;0;8;0;0;0;2;1;2;0;4;1;0;1;7;0;1;1;0;0;0;2;3;2;3;0;3;3;1;28;5;9;1;3;3;0;0;1;0;4;1;5;4;2;4;0;3;1;0;2;4;3;1;23;1;1;0;3;1;3;1;0;1;2;0;3;1;2;1;1;3;13;0;0;1;0;1;0;1;2;1;1;0;1;4;1;0
;;5;Broeders, O.H.T.;168;1;2;2;1;0;0;0;1;0;0;1;2;0;0;2;1;0;0;0;1;1;0;2;0;0;1;0;0;1;1;0;0;0;0;1;1;0;2;0;1;0;23;11;11;1;2;1;0;2;2;3;0;4;0;2;24;1;0;0;1;0;1;4;1;2;9;1;1;2;0;0;4;0;0;1;3;0;0;0;0;0;0;4;8;0;3;0;0;1;0;0;0;0;0;0;0;9;0;1
;;6;Koster, S.M.;104;0;0;3;2;1;0;0;0;0;1;2;0;0;4;0;2;2;0;1;0;2;1;1;1;0;0;1;2;0;0;0;1;0;1;7;1;4;2;0;4;3;0;0;0;0;1;2;0;3;0;0;0;0;5;3;0;0;2;0;1;0;3;3;1;0;0;0;2;1;0;0;3;0;1;0;4;1;1;0;0;2;0;5;0;0;1;1;1;1;0;4;0;0;0;0;2;1;0;0
;;7;van de Gevel, F.S.L.;371;5;5;5;7;5;7;2;4;0;0;12;4;4;5;5;5;4;4;7;2;2;10;9;4;0;0;1;5;2;5;4;4;0;6;11;2;14;1;7;10;2;3;0;3;1;2;1;0;7;2;0;3;3;2;8;2;2;4;8;1;0;5;6;8;3;4;3;9;2;7;2;12;2;5;0;6;2;2;2;0;1;0;12;1;0;3;2;2;4;0;7;5;1;1;0;4;2;0;3
;;8;Boonmann, A.H.C.;277;3;3;5;3;2;8;2;5;4;1;2;3;2;0;7;6;1;2;5;2;3;1;2;1;0;0;1;1;0;4;1;0;0;0;2;1;0;1;0;0;0;3;0;3;1;0;2;3;0;42;0;4;2;1;0;3;1;0;12;1;0;1;1;2;6;5;6;3;1;6;0;13;3;6;0;9;0;21;0;1;0;2;7;0;2;1;0;0;2;0;8;3;0;1;0;2;3;0;0
;;9;van Zoelen, M.A.;46;1;1;2;1;0;0;2;0;0;0;5;0;0;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;3;1;0;0;0;0;2;0;0;0;1;1;0;0;0;1;3;0;2;3;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0
;;10;Trommelen, B.M.A.;122;0;0;0;1;0;0;1;0;0;0;0;2;0;0;13;11;1;0;0;1;0;0;1;0;0;0;0;1;5;0;0;1;0;2;3;1;3;0;1;2;2;2;0;3;0;0;0;2;0;7;0;0;0;0;3;0;0;0;2;0;0;0;0;1;1;5;1;2;0;5;0;3;0;2;1;1;0;0;0;0;0;2;3;3;0;2;1;0;5;0;2;1;0;1;0;0;2;1;6
;;11;de Hoon, R.H.J.J.;59;5;0;0;1;0;0;2;0;0;0;2;2;0;0;0;0;4;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;2;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;16;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;12;Bogaers, C.;100;1;0;2;6;2;0;4;4;0;0;3;0;0;0;1;1;0;0;7;0;0;1;4;4;0;0;0;1;0;4;0;1;0;0;2;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;2;3;0;10;1;0;1;1;0;1;2;2;5;3;0;0;0;1;1;0;0;1;0;1;6;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;2;0;0;0
;;13;Krouwel, M.A.P.;23;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;14;Scholtze, B.H.G.;115;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;22;10;0;0;0;0;22;0;0;0;0;0;17;0;1;0;0;0;0;0;0;6;1;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;8;0
;;15;van Noort, I.;39;0;0;0;1;0;0;1;0;3;1;1;0;2;1;1;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;1;1;0;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
;;16;Simmers, C.G.;25;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Grimberg, C.M.E.;71;4;1;2;0;2;0;3;2;0;2;2;0;1;3;0;0;0;1;1;1;1;1;2;2;0;0;0;1;0;1;0;0;0;1;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;1;0;0;1;0;0;0;1;5;0;14;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
