Verkiezing;;Gemeenteraad Dongen 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dongen;;;;;;;;;;;;;;;;
Nummer;;0766;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Basisschool De Vlinderboom;Basisschool St. Jan;Kelly van Zon Gymzaal;Clubgebouw V.V.Dongen;Gymzaal Otterdonk;Sportzaal De Gaasjes;Dorpshuis De Geubel;Europlus;Sporthal De Salamander;Gemeentehuis - 14 maart;Gemeentehuis - 15 maart;V.V. Dongen - 14 maart;V.V. Dongen - 15 maart
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;20;21;22;23;24
Postcode;;;;;5104 JJ;5102 XS;5104 CL;5104 EG;;5103 GN;5106 NC;5109 AC;5101 TJ;5101 ZG;5104 JJ;5104 JJ;;
;;19;Huijsmans, L.L.M.L.;9;2;0;0;0;2;1;0;0;2;1;1;0;0;0
4;D66;;;1763;267;140;128;82;167;170;36;154;125;75;103;131;77;108
;;1;Schouten, M.E.;1030;144;81;80;43;80;116;21;93;77;40;67;79;41;68
;;2;de Jong, J.;157;26;11;6;7;14;10;7;11;19;5;5;15;10;11
;;3;Camfferman, G.;81;12;1;3;4;9;3;4;4;6;7;10;12;1;5
;;4;Köse, U.I.;157;24;16;17;12;15;25;2;3;6;0;5;8;16;8
;;5;Messing, M.P.M.;57;8;4;7;3;9;1;0;6;3;4;5;3;0;4
;;6;Jespers-van Dongen, H.S.M.;52;12;10;2;0;3;2;1;3;2;4;2;3;2;6
;;7;van Rosmalen, E.A.M.;9;2;2;0;0;0;0;0;0;1;2;1;0;1;0
;;8;Trommelen, P.P.A.;72;13;8;6;8;8;4;1;2;4;8;1;5;2;2
;;9;van Ginneken, J.G.C.B.;9;1;0;4;2;0;0;0;0;0;0;2;0;0;0
;;10;Vink, F.Q.R.;11;2;0;0;0;5;3;0;1;0;0;0;0;0;0
;;11;van Heteren, J.W.J.;29;4;2;0;1;9;4;0;2;2;1;0;2;1;1
;;12;van Hoek, B.A.M.P.;26;12;3;0;0;1;0;0;1;3;1;1;3;0;1
;;13;Ringnalda, K.A.;12;3;2;0;1;5;0;0;0;0;0;0;1;0;0
;;14;Yap, C.H.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;van de Pas, A.M.A.;29;2;0;0;1;0;1;0;24;0;0;0;0;0;1
;;16;van Alphen, K.;4;1;0;0;0;0;1;0;0;1;0;1;0;0;0
;;17;Weitering, J.C.M.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;18;van Kersbergen, A.M.;7;1;0;0;0;1;0;0;0;0;1;3;0;0;1
;;19;Hamers, L.;18;0;0;3;0;8;0;0;2;0;2;0;0;3;0
5;De Ouderenpartij voor Dongen;;;1099;89;117;113;40;90;85;20;79;101;67;73;86;56;83
;;1;Kennekens, J.A.;748;58;82;86;30;64;53;16;55;71;46;48;55;33;51
;;2;van der Heijden, M.T.J.J;113;11;13;6;2;7;10;1;5;10;3;11;12;11;11
;;3;Evegaars, B.H.;126;9;11;4;5;8;16;1;10;10;10;7;11;7;17
;;4;Leemans, P.C.A;56;8;3;7;1;3;3;2;4;8;4;5;5;1;2
;;5;Kennekens, S.A.J;56;3;8;10;2;8;3;0;5;2;4;2;3;4;2
