Verkiezing;;Gemeenteraad Deurne 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deurne;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0762;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cultuurcentrum Deurne;Reddingiushuis;Wijkhuis D'n Houtenhoek;Sporthal de Kubus;Gerardushuis;Molen Maria-Antoinette;Hofke van Marijke;MFA 't Huis Vlierden;Basisschool De Piramide;S.C.C. Den Draai;Gemeenschapshuis De Kastanje;Ontmoetingsruimte 'de Gasterij';Gemeenschapshuis De Moost;Gemeenschapshuis De Gouden Helm;Sporthal de Kubus (2);Hofke van Marijke (2);Cultuurcentrum Deurne (2);Microsporthal;S.C.C. Den Draai (2);Cultuurcentrum Deurne;Cultuurcentrum Deurne;Gemeenschapshuis De Kastanje;Gemeenschapshuis De Kastanje;Brandweer Neerkant;Brandweer Neerkant
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;21;22;24;25;26;27;28;29
Postcode;;;;;5751 KM;5751 GA;5751 ES;5754 DV;5752 AP;5751 LN;5753 BE;5756 AM;5751 VJ;5754 AV;5757 AP;5757 DZ;5758 RX;5759 PA;5754 DV;5753 BE;5751 KM;5751 JB;5754 AV;5751 KM;5751 KM;5757 AP;5757 AP;5758 SB;5758 SB
;;31;Boerenkamps, E.J.J.M.;16;1;1;1;3;0;0;0;0;1;0;1;0;0;0;4;0;1;3;0;0;0;0;0;0;0
;;32;van der Horst-Goorts, R.W.M.;23;1;0;1;4;3;0;2;0;0;1;0;0;0;0;2;4;0;0;0;4;1;0;0;0;0
;;33;Janssen, J.P.I.;10;2;0;0;0;0;0;0;1;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0
;;34;Aarts, A.M.H.;20;1;0;1;2;0;3;0;0;0;1;0;0;0;0;2;0;1;0;0;0;9;0;0;0;0
;;35;van Dijk, K.E.;22;1;2;3;2;0;3;0;1;1;0;0;0;0;1;1;0;1;1;0;1;4;0;0;0;0
;;36;Geboers, P.C.J.A.;27;1;0;2;4;0;2;6;0;2;0;0;0;0;0;0;5;0;0;0;1;4;0;0;0;0
;;37;Verdonschot, L.W.H.;11;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;1;3;0;0;2;0;0;0;0
;;38;Michels, J.W.C.;10;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
;;39;van Nunen-Blokland, W.M.C.;9;1;1;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
;;40;van de Mortel, A.H.J.;23;1;2;3;3;0;0;2;0;1;0;0;0;0;0;0;1;2;0;2;2;4;0;0;0;0
;;41;van der Horst, P.J.C.;12;2;1;0;0;0;0;5;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0
;;42;Bijsterveld, I.C.M.;15;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;2;2;0;1;0;0;3;2;0;0
;;43;Zimmerman, R.A.E.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0
;;44;van den Akker, J.N.;13;0;1;2;2;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0
;;45;Martijn, L.M.;3;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Neerven, L.J.;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Dijk-Schepers, J.M.J.G.;8;1;0;0;1;1;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
;;48;Claassen, M.A.;11;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
;;49;van Dijk, H.;8;0;1;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;50;Dankers, M.P.;28;1;1;3;0;9;0;1;1;1;1;0;0;0;0;0;1;1;2;1;2;3;0;0;0;0
2;DeurneNU;;;3040;75;85;106;112;197;53;169;224;140;108;175;103;335;240;143;161;70;75;98;68;102;36;69;29;67
;;1;Damen-Verstappen, A.P.;658;32;17;40;42;36;15;45;18;52;26;32;15;6;4;69;53;22;33;20;27;29;5;14;1;5
;;2;Verhees, W.A.;334;1;5;5;5;15;2;11;9;10;5;62;31;37;44;7;10;7;0;6;2;13;14;25;1;7
;;3;van Dijk, J.P.P.;208;3;2;0;6;3;0;1;1;0;3;3;2;28;128;4;7;2;0;2;1;4;0;0;2;6
;;4;Kuijpers, R.L.C.;123;4;2;11;2;31;2;7;2;3;9;7;1;0;0;6;3;1;0;19;5;5;0;2;0;1
;;5;Doerga, K.;49;3;0;2;4;1;2;2;1;20;0;0;0;0;0;2;5;1;1;2;2;1;0;0;0;0
;;6;Veldhuijzen, F.L.M.J.;87;1;1;0;0;0;0;0;0;3;1;34;22;0;0;1;3;1;0;0;3;3;8;6;0;0
;;7;van Gils, R.J.A.;51;3;4;3;4;4;0;4;0;1;4;0;0;0;1;3;2;2;7;2;1;4;0;2;0;0
;;8;Maas, M.J.P.M.;100;0;1;3;1;1;0;2;85;0;0;0;1;0;1;0;0;2;0;1;2;0;0;0;0;0
;;9;van Oosterhout, J.C.F.;93;2;3;5;0;2;1;28;3;0;0;0;0;0;0;4;31;2;6;1;4;0;0;1;0;0
;;10;Swinkels-van Engeland, A.M.;60;4;4;2;6;6;0;4;0;1;10;0;2;0;2;4;2;2;2;7;0;0;0;0;0;2
;;11;van Horen, C.C.A.;207;0;0;1;1;0;0;0;0;0;0;0;2;149;2;0;0;0;0;0;0;0;0;0;24;28
;;12;Wijnands, M.L.W.F.;55;1;0;0;2;0;0;2;0;2;20;0;0;0;1;5;0;3;0;13;4;2;0;0;0;0
;;13;Cruijsen, H.P.G.;30;3;2;1;2;8;1;1;0;0;2;3;2;0;0;0;0;0;0;2;0;3;0;0;0;0
;;14;van den Einden, A.J.;17;0;0;0;0;0;6;3;0;5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;15;Gerlings, W.H.;27;2;7;1;0;0;0;0;9;1;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0
;;16;Maas, C.A.H.M.;44;0;0;0;1;1;3;1;0;1;2;8;16;0;0;0;0;1;0;0;0;0;7;3;0;0
;;17;Verberne, W.F.P.;77;2;8;3;0;1;0;2;39;0;1;6;0;3;1;1;1;2;0;1;0;2;0;4;0;0
;;18;Tijssen, M.P.M.;38;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;5
;;19;Aldenzee, A.J.C.;92;1;10;2;2;44;0;1;8;2;1;3;0;2;0;3;4;0;2;5;1;0;1;0;0;0
;;20;Elbers, M.;33;2;1;4;2;1;1;2;2;1;4;0;0;0;0;1;1;2;2;0;3;4;0;0;0;0
;;21;van den Akker, J.J.M.;30;0;0;1;1;0;3;2;0;13;0;0;0;0;0;3;0;1;0;1;2;3;0;0;0;0
;;22;Jonker, D.;63;0;1;0;10;0;3;12;0;7;2;2;0;1;3;4;10;2;3;0;0;3;0;0;0;0
;;23;Brabers, B.M.;42;4;2;8;2;6;1;3;0;4;1;0;0;0;0;4;0;1;3;0;0;1;0;2;0;0
;;24;Bekkers, G.;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0
;;25;van der Linden, J.W.M.P;14;0;0;0;0;0;0;0;1;0;0;1;0;7;0;0;0;0;1;0;0;0;0;0;0;4
;;26;van Bree, L.L.A.;49;0;1;0;0;4;0;0;32;3;0;0;0;0;0;2;2;2;0;1;2;0;0;0;0;0
;;27;Bax, P.L.A.F.;27;0;0;0;0;0;0;0;0;0;0;1;0;0;25;0;0;0;0;0;0;0;0;1;0;0
;;28;van Dijnen, P.J.P.;48;1;0;4;1;0;1;15;0;1;5;1;0;0;1;3;8;0;1;0;2;1;1;2;0;0
;;29;Adriaans, L.M.M.;36;0;1;2;1;4;0;6;2;1;2;0;2;2;0;2;6;0;0;3;0;2;0;0;0;0
;;30;Vogels, J.;25;0;0;1;7;0;2;4;0;0;0;0;0;0;0;5;3;0;0;1;2;0;0;0;0;0
;;31;Wijnands, M.P.W.M.;18;0;0;0;0;0;0;0;0;1;2;0;0;1;13;1;0;0;0;0;0;0;0;0;0;0
;;32;Slaats, M.J.M.;25;0;0;0;2;0;0;0;0;1;0;9;6;0;0;0;1;0;0;0;0;0;0;6;0;0
;;33;Kersten, T.G.M.;9;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0
;;34;Engelen-Velthoven, J.E.S.;23;0;0;0;1;0;1;4;0;1;0;0;0;0;0;1;5;0;7;0;1;1;0;1;0;0
;;35;Penninx, M.A.N.;15;0;0;0;1;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
;;36;de Wit, C.H.;23;0;3;0;0;14;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0
;;37;van Dijnen, P.L.M.;18;2;1;0;0;0;3;0;0;1;4;0;0;0;0;0;0;1;0;4;1;1;0;0;0;0
;;38;Manders, J.F.;35;2;5;0;0;15;0;1;0;0;0;0;0;0;0;0;0;4;0;1;0;7;0;0;0;0
;;39;Goossens, W.C.;8;1;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;40;Tielemans, W.A.M.;23;0;0;0;0;0;2;0;12;1;0;0;1;1;0;0;0;0;3;0;1;2;0;0;0;0
;;41;van Laarhoven, I.M.H.;12;0;0;2;3;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
;;42;van der Kant, T.J.M.;25;1;0;1;2;0;4;3;0;1;2;0;0;0;0;1;1;0;0;4;2;3;0;0;0;0
;;43;Trines, P.G.M.;79;0;1;0;1;0;0;0;0;0;0;0;0;65;0;2;0;0;0;0;0;0;0;0;1;9
3;CDA;;;1826;36;62;79;69;145;65;94;91;99;152;66;46;89;55;72;94;52;26;147;67;122;18;45;15;20
;;1;Munsters, B.W.H.;629;10;32;32;31;43;21;25;17;49;63;16;14;13;10;33;25;32;13;47;37;45;1;15;1;4
