Verkiezing;;Gemeenteraad Helmond 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Helmond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkhuis Brede school de Fonkel;Valkennest (Bethlehemkerk);ROC ter Aa;Gymzaal de Fonkel (ingang Dasstraat);Gymzaal Koekoekstraat (ingang Reigerzaal);Bibliotheek Helmond;Gymzaal Hobostraat;Wijkcentrum de Boerderij;Sporthal de Braak;Gymzaal Paulus Potterlaan;Gymzaal Montgolfierstraat;Wijkhuis de Lier;Wijkhuis de Brem;Gymzaal de Straap;Wijkhuis de Brem;Wijkcentrum Parkzicht;Gymzaal Dierdonk;Buurthuis St. Anna;Gemeenschapshuis de Loop;Wijkgebouw de Zonnesteen;Veka Sporthal;Veka Sporthal (kantine);Sporthal Suytkade (ingang zijkant);De Geseldonk;Wijkhuis 't Brandpunt;Sporthal de Veste (ingang Brandpunt);Gymzaal de Vendelier;Gymzaal 't Baken;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Sporthal Westwijzer (ingang wijkhuis);Societeit de Gezelligheid;Het Speelhuis;Zalencentrum de Smed;Gymzaal Gasthuisstraat (naast St. Trudoschool);Drive-thru;Wijkhuis Brede School de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau;Wijkhuis Brede school de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau
;;11;Vleeshouwers, H.J.J.M.;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hegeman-ter Hedde, M.J.M.;22;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;13;Veninga, M.;16;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;3;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Clarijs, W.A.C.M.;33;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;4;3;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0
;;15;Maas, P.H.J.M.;18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0
;;16;Princée, E.M.;55;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;1;4;0;0;24;6;4;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0
;;17;Migchels, T.A.J.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;18;van der Meulen, L.T.M.;65;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;1;0;0;5;1;5;1;0;0;25;2;0;3;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;3;0;1
;;19;Blijlevens, M.H.A.;7;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Drouen, J.J.W.M.;27;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;21;Sanders, M.J.C.J.;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0
;;22;Roefs, J.H.J.M.;66;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;8;0;1;1;0;0;19;5;11;3;4;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0
3;SP (Socialistische Partij);;;2554;105;47;53;36;53;67;41;57;57;78;55;83;40;24;113;57;28;54;92;42;44;48;33;80;41;45;49;102;57;24;48;30;45;38;23;18;45;29;27;29;16;17;21;25;15;13;4;12;61;44;42;63;23;32;35;33;24;15;13;9
;;1;de Vries, E.;1607;59;28;44;20;28;43;24;41;37;43;38;56;22;17;69;40;14;35;61;30;28;23;23;54;26;25;33;64;43;19;27;21;27;25;13;13;28;19;14;15;8;10;8;16;10;7;3;3;35;31;26;39;17;22;27;14;16;14;9;3
;;2;Maráczi, L.W.J.;342;17;6;2;4;10;6;11;5;6;10;5;10;7;1;15;6;7;9;12;1;8;8;5;9;6;8;5;12;5;2;8;2;8;8;5;4;4;2;3;5;3;3;6;3;2;0;1;7;6;5;7;7;2;8;3;5;2;0;1;4
;;3;van Dam, D.G.J.;68;5;2;0;2;0;1;1;0;1;2;4;0;2;1;2;2;0;0;2;0;2;2;0;3;0;0;1;4;1;1;2;0;2;0;0;0;3;0;4;1;0;1;0;2;0;3;0;0;2;1;2;3;0;0;0;0;1;0;0;0
;;4;Terzioğlu, H.;40;5;0;1;3;1;5;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;1;4;0;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;1;0;0;0
;;5;de Mol, J.N.;109;5;2;3;1;3;5;1;4;0;1;0;5;3;0;3;2;0;3;7;2;2;2;3;3;4;5;0;5;3;0;0;0;4;0;0;0;2;0;2;0;2;1;1;0;1;3;0;0;4;1;0;1;1;0;1;4;1;1;2;0
;;6;Ploegmakers, F.W.T.;25;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;2;0;0;0;0;0;1;0;6;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;1
;;7;van de Kerkhof - Verlijsdonk, C.;65;1;1;0;0;0;0;0;0;1;2;0;2;1;0;8;1;1;3;2;3;2;2;0;2;2;2;1;1;1;0;2;3;0;0;2;1;2;0;0;0;0;0;3;0;2;0;0;0;4;1;0;3;1;1;0;0;1;0;0;0
;;8;Meulendijks - Schipperhein, M.M.C.;27;2;0;0;2;2;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
;;9;Spruijt, A.;42;3;6;2;2;2;1;0;1;4;6;1;2;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0
;;10;van Gemert, J.M.T.M.;13;1;0;0;0;0;1;0;1;0;1;0;0;0;0;2;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Todosić, Đ.;9;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Islaratoeboen, E.J.J.;9;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;13;Peperkamp, P.E.H.;5;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Paassen, W.M.C.;8;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;van Melis, P.J.M.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;16;Kuijpers, H.P.;11;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;17;Gruijters, M.P.G.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;18;Relou, P.A.G.;14;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;19;Hagebols, T.P.H.;6;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Blok, J.M.I.;10;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Stienen - Weijnen, H.H.;18;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;;22;Lemmen, P.A.M.T.;8;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Derks, L.W.P.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0
;;24;Boetzkes, J.H.J.W.E.;10;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0
;;25;van de Westerlo - Steenbakkers, L.T.M.;9;0;0;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;Postma, J.D.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
;;27;Verschuuren - Timmermans, I.A.J.;9;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;28;van der Ven - van Gemert, C.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Kaathoven, G.M.G.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Witt - van Grootel, C.M.K.J.;17;0;0;0;0;2;0;1;0;0;5;0;0;1;0;0;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Scheepers, H.M.M.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Severing - Alting Siberg, J.B.;12;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;33;Cambier, C.J.;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Klaus, G.T.H.;24;2;0;0;0;0;0;0;0;0;2;1;0;0;0;2;2;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0
4;VVD;;;4763;64;22;61;13;42;53;18;27;27;34;21;26;40;21;51;230;206;48;207;72;42;74;42;101;266;242;353;159;152;25;29;430;150;235;309;31;10;6;4;11;49;16;58;23;5;43;45;7;24;15;23;23;95;25;136;42;20;73;72;15
;;1;Manders, T.C.P.M.;2081;32;13;33;4;22;24;9;12;14;22;12;15;21;12;29;141;127;30;53;18;12;25;28;41;76;79;128;65;57;17;21;206;66;79;124;15;2;2;2;4;40;4;22;13;4;24;24;4;9;9;12;18;62;11;44;10;6;35;28;10
;;2;Willems - Kardol, J.C.;877;10;1;5;4;4;5;4;3;3;3;2;3;14;3;13;39;33;5;18;15;14;11;7;12;102;92;140;19;33;3;1;50;20;25;26;4;2;3;0;1;6;1;18;1;1;6;4;0;2;4;4;2;8;2;41;7;4;6;8;0
;;3;de Greef, R.J.M.H.;133;4;1;0;0;1;0;0;0;3;0;0;0;1;2;3;1;4;3;1;3;0;1;1;0;8;5;2;5;4;1;1;21;11;3;8;1;3;1;0;1;1;0;5;0;0;1;0;1;0;0;1;1;1;0;10;0;5;2;1;0
;;4;Sneijers, M.H.F.;61;0;0;1;0;3;1;0;3;0;0;0;0;0;0;0;2;0;0;2;0;3;1;0;1;10;13;8;2;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
;;5;van de Brug, S.J.P.H.A.;214;1;1;2;0;6;5;2;1;2;2;0;1;0;0;0;12;2;0;0;1;0;0;1;6;10;4;4;3;2;0;0;28;10;32;35;0;0;0;1;2;1;0;3;2;0;0;3;0;2;0;3;0;2;0;5;2;0;8;7;0
;;6;Janssen - Jansen, A.C.G.M.;299;1;2;3;2;2;4;1;2;0;0;0;0;2;2;1;2;4;1;8;0;0;1;1;1;6;6;12;2;9;0;0;62;8;32;56;3;0;0;0;1;0;0;2;0;0;7;7;0;1;0;0;0;1;0;9;1;5;11;18;0
;;7;Koolen, R.W.;298;3;1;0;0;2;3;0;1;1;5;5;1;2;2;1;2;2;1;121;28;12;29;0;3;3;4;6;3;2;0;1;6;6;3;3;3;0;0;1;1;0;9;0;0;0;2;0;0;0;0;0;0;5;9;1;1;0;2;0;2
;;8;de Ruijter, G.;174;2;0;0;1;0;0;0;3;3;0;0;0;0;0;0;6;4;3;0;1;0;1;1;2;13;10;22;6;2;0;0;15;4;34;24;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;1;0;0;4;0;0;1;4;1
;;9;Vereijken, C.J.M.;38;0;0;10;0;0;4;0;1;0;1;0;1;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;2;0;1;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;1;1;0
;;10;Michiels, R.J.;68;6;0;4;1;0;1;0;0;1;0;1;2;0;0;2;1;4;2;0;0;0;4;0;1;7;3;1;1;1;0;0;0;2;1;1;4;0;0;0;0;0;0;1;2;0;2;0;0;4;0;0;0;0;0;3;0;0;2;2;1
;;11;van Hoof - Smoorenburg, B.E.A.;153;3;0;1;0;0;3;0;0;0;1;0;0;0;0;0;2;2;1;0;2;1;0;1;24;5;2;0;38;25;2;1;4;1;1;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;1;0;0;2;3;19;0;0;0;0
;;12;Drouen, C.B.W.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;3;3;0;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;13;Niessen - Noordraven, E.;106;0;3;0;0;0;1;0;1;0;0;0;2;0;0;2;13;8;0;2;1;0;0;1;0;3;1;4;3;2;0;0;27;16;2;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0
;;14;de Greef, J.H.M.;70;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;3;6;10;9;2;4;0;0;2;0;11;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;4;1;0;2;1;0
;;15;Boshoven, B.;37;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;6;4;8;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;1;0
;;16;Akkers, M.H.M.;18;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;0;0;1;4;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;17;Koster - van der Most, H.A.;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
;;18;van Gorp, E.P.J.A.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0
;;19;van Mierlo, A.J.;65;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;9;1;1;1;0;0;0;2;2;3;5;4;2;0;0;2;4;5;9;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;1
;;20;Broeckx, A.A.M.;29;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;3;1;2;1;3;0;0;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;3;0;1;0;0;0;0;0
5;Lokaal sterk;;;2018;27;20;40;7;42;47;25;19;15;28;20;33;25;15;56;44;28;42;51;20;17;37;24;148;34;23;42;78;88;36;49;58;39;187;110;5;16;19;14;17;5;10;7;27;21;8;33;0;24;23;10;23;17;15;12;50;18;17;43;10
;;1;van Dijk, H.M.J.M.;982;15;12;24;2;24;12;8;14;6;13;8;16;4;6;11;21;17;15;27;10;12;20;14;75;24;16;25;46;50;27;39;32;18;93;32;2;9;9;4;5;2;5;5;7;13;5;9;0;12;11;5;4;5;7;7;35;6;8;17;2
;;2;Spierings - van Deursen, J.M.G.;263;5;3;4;1;5;5;10;2;2;9;7;6;4;3;14;4;3;4;3;2;1;5;7;36;5;3;2;11;11;3;1;10;3;7;3;1;1;7;5;1;0;2;1;7;1;0;0;0;6;1;2;2;1;2;2;5;5;4;2;1
;;3;Coolen, A.W.M.;93;3;1;1;1;4;1;3;1;0;0;3;3;2;0;4;4;2;0;1;4;0;1;0;0;1;0;4;2;5;0;0;0;1;6;4;0;2;1;0;2;2;0;1;4;0;0;0;0;0;0;0;3;8;0;2;1;3;2;0;0
;;4;Baudert, G.G.C.;33;3;0;0;0;0;0;0;0;0;2;0;1;4;2;1;0;1;4;0;0;0;0;0;0;0;2;0;1;0;0;0;4;2;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;5;van der Burgt, C.H.M.;246;1;3;2;0;0;1;0;0;4;0;0;1;0;1;1;3;0;6;0;0;0;2;0;0;1;1;0;0;3;2;2;10;5;73;67;0;1;2;0;1;0;0;0;0;1;2;23;0;3;0;1;0;0;0;1;2;0;0;20;0
;;6;Breuer - Dijkers, K.E.;31;0;0;1;0;3;0;0;0;0;1;0;0;3;0;2;1;0;1;2;0;0;2;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;1;0;1;0
;;7;Lenssen, J.J.P.A.;77;0;0;1;0;0;4;1;0;3;1;0;4;8;3;16;4;1;0;2;1;0;0;0;1;0;0;0;2;0;0;0;0;1;2;2;0;2;0;1;5;0;0;0;0;1;0;0;0;0;0;0;4;0;2;0;0;0;0;1;4
;;8;van Gastel, P.F.R.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Verschuuren, H.H.M.;42;0;0;5;1;1;9;1;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;1;4;2;0;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;1
;;10;Bos, R.E.;31;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;1;0;0;1;3;4;3;1;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;1;0;1;3;0;0;0;1;1;0;0
;;11;Linssen, A.J.M.;29;0;0;0;0;2;12;1;1;0;0;0;1;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
;;12;Verbakel, J.;31;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;2;1;0;2;3;4;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;3;0;1;0;1;0;2;0;0;0;0
;;13;Ermens - van Schijndel, K.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;16;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;1
;;14;Bos - van Eerd, P.H.E.M.;12;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Blok, R.S.M.;15;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kuypers, J.F.J.;97;0;1;1;1;2;2;1;0;0;0;2;0;0;0;3;0;0;8;0;1;4;1;2;29;1;1;3;6;0;0;3;1;0;4;0;1;0;0;0;1;0;1;0;6;1;1;0;0;1;2;1;0;0;0;0;3;0;0;2;0
6;50PLUS;;;1530;39;32;34;2;24;45;25;34;27;50;32;42;13;11;47;43;36;40;42;16;23;27;19;40;25;21;49;38;54;17;31;36;23;43;26;9;11;18;18;18;28;3;13;11;13;15;11;7;27;19;31;24;27;16;22;27;6;21;14;15
;;1;Mol, F.J.;901;20;25;19;1;10;25;14;22;13;30;13;28;11;4;25;19;15;17;24;7;16;16;16;25;11;13;38;22;30;12;21;25;18;34;22;6;6;7;9;9;8;3;10;8;8;12;9;6;14;10;14;12;7;14;15;19;1;13;9;11
;;2;van Aert, J.L.;183;7;1;8;0;5;6;6;6;3;5;2;4;0;2;4;9;7;7;3;2;2;3;1;2;4;1;0;3;4;1;2;0;1;2;2;2;2;3;3;3;9;0;2;0;1;2;0;1;5;3;6;2;13;0;1;3;2;2;2;1
;;3;van Lierop, M.M.E.L.;224;8;0;3;1;1;6;3;4;8;11;3;5;1;1;6;12;6;7;9;1;2;2;2;4;8;5;7;8;7;2;4;8;2;3;1;1;1;4;1;4;9;0;1;3;1;1;0;0;4;3;5;4;5;2;4;3;1;5;1;0
;;4;van der Zanden, J.K.;39;1;2;1;0;2;1;0;2;0;1;1;0;0;0;1;0;2;1;0;5;1;2;0;3;0;0;1;0;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
;;5;van Lierop, M.L.M.;46;3;0;1;0;0;2;2;0;2;0;2;2;1;1;0;0;2;1;2;1;0;2;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;4;5;0;2;0;0;0;0;0;1;0;1;1;0;0;1;0;0;2;0;0;0;1
