Verkiezing;;Gemeenteraad Tholen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tholen;;;;;;;;;;;;;;;;;;;;
Nummer;;0716;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;"Stembureau Ver.gebouw ""de Wingerd""";Stembureau Gemeentehuis Tholen;"Stembureau Gemeenschapscentrum ""Meulvliet""";Stembureau Zalencentrum Ger.Gemeente;Stembureau Dorpshuis 't Ouwe Raed' uus;Stembureau Sassegrave;"Stembureau Gemeenschapscentrum ""Haestinge""";Stembureau Gebouw Calvijn;Stembureau Dorpshuis de Stove;Stembureau Museum de Meestoof;"Stembureau Gemeenschapscentrum ""Wellevaete""";"Stembureau Dorpshuis ""De Vossenkuil""";Stembureau Dorpshuis De Wimpel;Stembureau Dorpshuis Ons Dorpshuis;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;4691 BP;4691 DV;4691 HT;4691 DS;4693 BV;4694 BP;4695 BA;4695 CE;4696 BK;4697 GE;4697 BJ;4698 AM;4675 CS;4675 RJ;4691 DZ;4695 BA;4691 DZ;4695 BA
;;2;van Leeuwen, C.W.G.J.;250;4;9;9;16;9;5;14;3;4;64;77;8;7;2;14;1;3;1
;;3;Vercammen, M.A.;181;50;12;16;20;1;1;7;3;2;7;13;14;13;2;12;1;7;0
;;4;de Feijter, J.;36;7;1;0;0;1;2;7;5;1;1;1;0;0;0;2;5;0;3
;;5;Heijboer, J.J.;107;3;4;3;0;1;1;1;0;2;23;55;2;1;0;2;5;4;0
;;6;Hage-Kalle, J.M.;117;18;11;12;11;4;3;15;3;4;4;4;8;1;0;8;3;7;1
;;7;van Deelen, E.M.D.;27;3;3;7;5;2;2;0;0;0;0;1;0;1;2;1;0;0;0
;;8;Post, M.J.;26;2;0;2;0;1;0;1;0;16;0;3;0;0;0;1;0;0;0
;;9;Breeman, A.;41;1;0;2;1;0;0;0;0;0;0;0;2;33;2;0;0;0;0
;;10;de Wolf-Quist, M.;15;0;1;4;4;2;0;0;0;0;1;0;3;0;0;0;0;0;0
;;11;Bakker, C.B.;13;0;0;3;0;0;0;0;0;1;0;0;0;8;1;0;0;0;0
;;12;Pollie- van de Velde, J.H.;10;2;1;1;2;0;0;0;0;0;0;1;2;0;0;1;0;0;0
;;13;van der Kooij, D.J.M.W.;27;2;0;3;2;1;0;0;0;0;0;0;19;0;0;0;0;0;0
;;14;van Dijke-van de Bor, J.;15;0;4;0;0;4;0;1;3;1;0;1;0;0;0;0;1;0;0
;;15;Grabijn, P.;18;2;0;1;2;2;5;0;0;1;0;1;3;0;0;0;0;1;0
;;16;Nijzing, A.C.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;de Korte, C.J.;27;1;0;1;2;2;8;4;0;0;0;0;4;0;0;1;1;0;3
;;18;van Leeuwen-Wessels, K.A.J.;10;0;0;0;0;2;0;2;0;0;2;1;1;0;0;2;0;0;0
;;19;van der Elst, C.;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;van der Wiel, A.M.L.;9;0;0;2;3;0;0;0;0;0;0;0;0;0;1;3;0;0;0
;;21;Polak, T.;11;2;1;3;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0
;;22;Harmsen, G.J.;7;0;1;0;0;0;0;0;0;1;2;0;0;0;2;1;0;0;0
4;ABT;;;1766;108;63;114;73;141;58;197;26;119;148;173;121;85;27;100;69;75;69
;;1;van 't Hof, J.J.;1058;34;27;56;37;83;38;99;13;103;107;140;75;52;17;62;41;34;40
;;2;de Leeuw, S.G.W.;70;4;1;0;6;1;3;24;3;1;0;1;2;4;3;1;7;1;8
;;3;Schippers, K.P.N.;323;47;26;34;20;33;7;18;2;5;10;10;18;16;7;24;7;31;8
;;4;Oudesluijs, C.C.;71;5;0;7;0;8;2;24;6;1;2;0;1;1;0;1;5;2;6
;;5;van der Linde, J.A.;80;16;6;8;3;5;0;6;0;1;0;0;14;6;0;8;2;4;1
;;6;Koopman, C.J.;68;2;1;5;1;4;1;8;1;5;18;14;0;3;0;0;4;0;1
;;7;Bakker, R.;14;0;0;0;2;0;0;0;0;0;3;2;2;2;0;0;0;2;1
;;8;Bungener - van Iwaarden, M.;49;0;1;1;4;3;0;10;0;3;7;6;4;1;0;4;1;1;3
;;9;Roelvink, W.A.M.;12;0;0;1;0;0;3;2;0;0;0;0;5;0;0;0;0;0;1
;;10;van Doorn, L.J.;21;0;1;2;0;4;4;6;1;0;1;0;0;0;0;0;2;0;0
5;CDA;;;1078;49;47;76;36;95;54;49;6;39;60;98;139;125;53;73;21;52;6
;;1;Schoonen, A.L.S.;349;26;18;33;12;25;19;10;5;17;21;10;64;19;7;29;10;21;3
;;2;Wijnekus, J.W.A.;57;5;6;3;3;0;0;1;0;14;0;0;8;0;2;14;0;1;0
;;3;Geluk-den Engelsman, P.J.A.;254;6;8;13;5;33;13;17;0;1;34;68;8;13;8;12;6;9;0
;;4;Wisse, J.C.;108;2;3;2;4;1;5;2;0;0;0;4;0;56;26;1;1;1;0
;;5;Fontijne, L.;39;0;0;0;0;0;0;1;0;0;0;1;7;25;5;0;0;0;0
;;6;Smeulders-Riedijk, J.A.M.;24;4;4;3;3;0;0;0;0;0;0;0;1;2;0;4;0;3;0
;;7;van Loenhout, M.B.;51;0;2;1;0;1;2;0;0;0;0;5;36;0;0;2;0;2;0
;;8;van Dis, L.A.;23;3;1;6;6;0;0;1;0;0;0;0;0;0;0;2;0;4;0
