Verkiezing;;Gemeenteraad Sluis 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sluis;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1714;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kerkgebouw Open Haven Oostburg;Parochiecentrum H. Eligiuskerk Oostburg;Dorpshuis De Zevendraaier Zuidzande;Verenigingsgebouw Cadzand;Dorpshuis Nieuwvliet;MFC 't Torentje Groede;MFC De Korre Breskens;Kantine V.V. Breskens;Dorpshuis Hoofdplaat;Gymzaal IJzendijke;Protstantse Kerk Schoondijke;Dorpshuis Waterlandkerkje;Gymzaal Aardenburg;Dorpshuis Sint Kruis;Dorpshuis Eede;MFC De Keure Sluis;Dorpshuis d'Ouwe Kerke Retranchement;Kerkgebouw Open Haven Oostburg maandag;MFC De Korre Breskens maandag;MFC De Keure Sluis maandag;Kerkgebouw Open Haven Oostburg dinsdag;MFC De Korre Breskens dinsdag;MFC De Keure Sluis dinsdag
;;3;Loonen, P.J.C.;59;0;4;1;0;1;0;15;13;0;5;4;0;2;0;0;1;0;0;4;0;1;8;0
;;4;van de Wouw, E.J.;20;3;1;0;1;0;0;1;0;0;3;2;2;2;0;0;0;0;0;1;0;1;3;0
;;5;Westerweele, P.;52;2;1;1;1;0;0;0;0;0;3;5;1;28;0;0;4;0;0;0;1;0;1;4
4;Nieuw Gemeentebelang;;;593;37;37;26;22;7;23;55;17;18;79;35;44;85;14;25;14;1;12;5;1;21;8;7
;;1;Poissonnier-Dekker, M.J.;308;20;17;13;14;3;12;39;10;15;45;17;40;20;3;3;6;1;8;1;0;14;5;2
;;2;Riemens, N.C.A.;48;10;9;1;3;0;0;1;2;0;5;5;2;1;0;0;3;0;3;1;1;0;1;0
;;3;Stedehouder, C.;70;1;2;1;3;0;2;3;0;0;7;0;0;38;0;9;0;0;0;0;0;2;0;2
;;4;van Deursen, K.E.M.;23;0;0;1;1;0;0;0;0;0;1;0;1;8;0;8;0;0;0;1;0;1;1;0
;;5;Calon, V.A.O.;33;0;3;0;1;0;1;5;2;0;16;2;0;1;0;0;0;0;0;1;0;1;0;0
;;6;Mabelis, I.;18;1;1;0;0;4;1;1;2;1;1;4;0;1;0;0;0;0;0;1;0;0;0;0
;;7;Paridaen, E.T.A.;21;0;1;0;0;0;1;1;0;1;1;1;0;2;11;0;1;0;0;0;0;0;1;0
;;8;Nelisse, C.J.;12;1;0;0;0;0;0;1;0;0;0;1;0;5;0;0;1;0;0;0;0;0;0;3
;;9;de Vreeze, S.T.M.;21;3;0;0;0;0;1;3;0;0;0;0;0;8;0;5;1;0;0;0;0;0;0;0
;;10;Verbeke, J.E.M.;7;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;11;de Smit, D.;13;0;1;1;0;0;4;0;1;1;0;3;0;1;0;0;0;0;1;0;0;0;0;0
;;12;Rosendaal, A.;19;1;3;4;0;0;1;1;0;0;3;2;0;0;0;0;1;0;0;0;0;3;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1606;89;99;32;80;32;114;151;86;39;207;107;34;152;13;11;59;20;55;36;17;71;80;22
;;1;Evers, R.P.;573;33;40;12;25;11;15;42;21;7;51;29;14;104;8;6;37;14;26;7;11;32;16;12
;;2;Kramer, J.A.;403;19;27;9;12;6;16;31;19;5;132;40;10;18;3;1;8;3;8;5;5;15;10;1
;;3;Elfrink, J.A.;383;22;13;6;15;14;82;63;38;3;13;12;3;13;1;1;4;1;5;21;1;8;37;7
;;4;Butter, J.H.C.;25;0;0;0;1;0;0;2;0;9;0;5;1;0;0;0;1;0;0;1;0;0;5;0
;;5;de Lijser, M.P.J.;51;0;1;4;26;0;0;0;1;0;2;0;2;1;0;0;2;1;3;1;0;5;2;0
;;6;Champion, S.L.M.;45;6;6;0;0;1;0;2;0;0;1;2;2;12;0;0;4;0;1;0;0;1;5;2
;;7;Bouwens, M.W.;23;0;0;0;0;0;0;11;6;0;1;0;0;0;0;0;0;1;1;0;0;1;2;0
;;8;Akleem, H.;23;0;2;0;0;0;0;0;0;0;0;14;0;2;1;3;0;0;0;0;0;1;0;0
;;9;Quataert, P.D.;26;1;0;1;1;0;1;0;0;13;3;1;1;2;0;0;0;0;1;1;0;0;0;0
;;10;Schoone, A.H.M.;23;4;5;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;6;0;0;3;0;0
;;11;Kruidenier, W.;8;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;2;0;0;0;1;0
;;12;van Vlaenderen, L.P.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Vermeulen, L.;22;4;5;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;2;0;0;5;1;0
6;SP (Socialistische Partij);;;767;55;70;29;20;1;39;53;44;18;70;44;26;67;10;13;32;12;39;26;13;35;41;10
;;1;Eversdijk, R.L.;357;19;38;8;11;1;12;31;33;9;26;19;11;23;3;4;16;9;19;12;9;13;23;8
;;2;van Heijst, D.C.;97;7;2;5;0;0;3;3;4;0;3;4;5;23;1;2;8;3;8;4;4;6;1;1
;;3;de Vries, T.;178;16;17;3;6;0;23;9;3;8;19;17;7;4;4;3;5;0;8;6;0;10;10;0
;;4;Riemslag, C.P.T.M.;24;2;2;12;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;0;2;1;0
;;5;de Vlieger-Snoeijer, B.K.;25;0;3;0;2;0;0;5;3;0;1;1;1;1;0;0;0;0;1;4;0;0;3;0
