Verkiezing;;Gemeenteraad Hulst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hulst;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0677;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;De Blaauwe Hoeve;Gemeenschapscentrum Den Dullaert I (sporthal);Gymzaal Reynaertcollege (ingang Zandstraat);Gemeenschapscentrum Malpertuus;Gemeenschapscentrum de Kauter;Gemeenschapshuis Graauw;Gemeenschapscentrum De Warande;Gemeenschapscentrum 't Heike;Dorpscentrum Binnendéur;Dorpscentrum De Luifel;Dorpshuis Brandershole;Dorpscentrum Vogelwaarde (gymzaal);Gemeenschapshuis Hof ter Nesse;Dorpscentrum De Schuur;Reynaertland;Gemeenschapscentrum Den Dullaert II (sporthal);Gymzaal BS Inghelosenberghe;Hontenissehal Kloosterzande;Dorpscentrum Binnendéur 14 maart 2022;Gemeenschapscentrum Den Dullaert 14 maart 2022;Dorpscentrum Binnendéur 15 maart 2022;Gemeenschapscentrum Den Dullaert 15 maart 2022;Antonius Kloosterzande
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25
Postcode;;;;;4561 EA;4561 NT;4561 NW;4561 XA;4567 BM;4568 AB;4569 AG;4564 AD;4566 AC;4587 AG;4586 AN;4583 ST;4581 BR;4589 KR;4585 AJ;4561 GX;4561 KZ;4564 AH;4587 BL;4587 AG;4561 NW;4587 AG;4561 NW;4587 CW
;;3;van Campen-van de Voorde, B.E.R.;85;11;1;5;4;3;0;5;5;2;5;3;3;3;1;5;6;3;2;0;3;4;1;10;0
;;4;van Belle-van Kruijssen, M.T.;58;8;0;0;3;2;1;2;0;2;4;2;2;0;0;4;15;4;1;0;2;3;1;2;0
;;5;Reunis, A.R.;67;9;0;2;2;8;0;0;3;1;3;0;0;0;0;3;5;11;2;0;0;8;1;9;0
;;6;Suij, H.P.F.;41;1;0;0;5;27;0;0;2;0;0;1;0;0;0;2;1;0;0;0;0;1;0;0;1
;;7;van der Veeken-van Waesberghe, T.A.M.;30;4;0;1;3;1;0;0;1;0;1;0;2;0;0;0;4;0;2;1;0;3;1;6;0
;;8;Brusselaers, L.L.C.;81;3;0;2;4;4;2;1;10;2;2;10;2;12;1;1;5;0;2;3;1;9;2;3;0
;;9;Huijsmans, A.A.J.;21;4;0;0;2;1;0;7;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;2;0
;;10;Pauw-Biesbroeck, H.L.C.M.;21;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0;2;6;0;4;0
;;11;Pleunis, G.L.L.;19;3;0;0;1;0;1;0;2;0;0;0;0;1;0;0;3;1;1;0;0;5;0;1;0
;;12;Everaers, P.F.W.H.;68;4;0;3;3;8;1;4;4;1;1;0;21;1;0;1;3;0;0;0;0;7;4;2;0
6;VVD;;;889;226;2;60;60;58;11;9;37;36;25;9;5;18;3;14;62;53;31;15;5;57;5;88;0
;;1;de Kraker, L.;360;77;1;25;19;32;5;6;17;22;5;6;2;10;0;2;30;19;10;9;2;21;1;39;0
