Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;het Omnium;Bethelkerk;gymzaal de Krul;Wijkcentrum Jan Ligthart;Stadskantoor;de Zuidwester;Wijkcentrum de Spinne 1;Wooncentrum Erasmuspark;Wijkcentrum de Spinne 2;Wijkcentrum de Pit;'t Beest;Serviceflat de Horst;Amicitia, Kloetinge;het Wilhelminahuis, Wilhelminadorp;'t Katshuis, Kattendijke;De Griffioen, Wolphaartsdijk;Heer Hendrikhuis, s-Hr Hendrikskinderen;Heer Arendhuis, s-Hr Arendskerke;Ontmoetingskerk;Mobiele stembus 1 (wo 16-03);Mobiele stembus 2 (wo 16-03);het Omnium (ma 14-03);het Omnium (di 15-03);Wijkcentrum Jan Ligthart (ma 14-03);Wijkcentrum Jan Ligthart (di 15-03);Wijkcentrum de Pit (ma 14-03);Wijkcentrum de Pit (di 15-03);Stadskantoor (ma 15-03);Stadskantoor (di 15-03);Mobiele stembus 1 (ma 14-03);Mobiele stembus 1 (di 15-03);Mobiele stembus 2 (ma 14-03);Mobiele stembus 2 (di 15-03);Ontmoetingskerk (ma 14-03);Ontmoetingskerk (di 15-03)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
Postcode;;;;;4463 AB;4461 NZ;4461 JA;4461 NB;4462 GE;4461 ET;4463 CV;4463 XZ;4463 CV;4462 TL;4461 CS;4461 WZ;4481 AH;4475 AR;4474 AT;4471 BB;4472 AN;4458 BC;4462 RA;;;4463 AB;4463 AB;4461 NB;4461 NB;4462 TL;4462 TL;4461 GE;4461 GE;;;;;;4462 RA
;;11;Fransen van de Putte, I.D.;28;0;0;0;0;2;0;0;1;0;1;2;1;0;2;1;0;12;2;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
;;12;Ruisaard, W.J.T.;31;0;0;0;0;2;0;0;0;0;2;0;0;0;2;1;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;13;Janse, H.;31;2;1;0;0;0;1;0;0;0;10;0;0;2;1;0;0;2;3;2;0;0;0;2;0;0;1;1;0;1;0;0;0;0;0;2
;;14;Wagenaar, D.J.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;15;Dekker, J.J.;8;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Strating, R.;71;0;0;6;6;3;0;2;1;0;3;4;4;4;12;3;0;3;0;0;0;1;2;3;0;0;0;6;2;0;3;0;0;1;0;2
;;17;Pellegrino, P.G.;21;5;2;0;1;1;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;2;0;0;0;1;1;2;0;0;0;1;0;1;0;0
;;18;Wevers, A.P.M.;8;0;0;1;0;3;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Brands, W.J.G.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Damme, D.W.M.;56;3;0;0;5;4;0;0;0;0;4;10;4;1;3;0;1;1;0;2;0;2;1;0;0;0;1;1;2;5;5;0;0;1;0;0
;;21;Roijers, E.C.;5;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van der Walle, A.J.C.M.;5;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Risseeuw, D.A.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Vuijk, M.C.;4;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;van den Hil, J.;55;2;0;3;0;8;0;3;0;0;7;5;5;4;3;1;2;3;0;3;0;1;2;0;0;0;2;1;0;0;0;0;0;0;0;0
4;SGP-ChristenUnie;;;2469;56;93;244;42;79;39;65;129;61;106;50;233;112;82;37;189;99;59;124;2;30;55;57;21;33;30;41;21;29;41;63;15;29;42;61
;;1;Lukasse, J.;1250;28;42;99;23;32;17;28;65;24;48;23;148;64;30;15;115;53;39;57;0;21;26;26;13;18;23;18;15;21;20;33;8;15;15;28
;;2;Born, W.M.;159;0;5;12;0;7;2;14;13;9;5;4;7;7;8;1;3;9;4;13;0;0;6;4;0;0;0;2;3;2;2;2;0;1;7;7
;;3;van Koeveringe, H.G.;137;2;3;20;5;1;1;2;4;6;3;3;25;4;9;0;12;8;2;2;0;0;6;3;2;5;0;1;0;1;3;1;1;1;1;0
;;4;Ham, B.;37;1;2;1;0;0;0;1;2;1;1;0;1;0;1;0;0;1;0;6;0;1;0;1;0;0;0;1;0;0;0;1;1;1;8;5
;;5;van der Reest, A.B.;176;4;12;17;6;6;1;0;11;4;9;3;17;6;9;12;3;11;0;1;0;3;2;2;0;3;2;3;0;1;7;13;1;4;1;2
;;6;van de Vreede-Hensen, E.;230;7;7;37;2;10;6;7;11;9;13;6;11;14;7;4;6;9;5;16;2;0;4;1;1;4;3;5;2;0;2;2;0;4;3;10
;;7;Eckhardt, C.A.;36;4;2;4;0;4;2;0;3;0;1;1;4;0;3;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;1;0;2;0;0;0
;;8;van Groningen, W.;34;3;0;1;0;0;0;2;0;0;4;3;1;2;2;2;4;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;1;0;2;1
