Verkiezing;;Gemeenteraad Het Hogeland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Het Hogeland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sportcentrum De Mencke 1;St. Vincentiusgebouw;Ability;Sportcentrum De Mencke 2;Rehoboth;Sporthal Scherphorn;Het Anker;Dorpshuis Nieuw Calvaria;Dorpshuis Diggelschip;'t Klokhoes;'t Schienvat;Dorpshuis Usquert;Op Roakeldais 1;Op Roakeldais 2;Sporthal De Beemden 1;Sporthal De Beemden 2;Gebouw Thedema;Gymzaal Schoolstraat;De Meenschaar;Sporthal De Vlijt;Dorpshuis Zijlvesterhoek;Dorpshuis De Kern;Ripperdahal 1;Kerkgebouw De Poort;Terra Winsum;Ripperdahal 2;HHC Winsum;De Hoogte;Dorpshuis Agricola;Concordia;Dorpshuis Op Streek;Ubbegaheem;Artharpe;Ontmoetingscentrum;Dorpshuis Vierhuizen;'t Anker;c.r. De Marne;Kantine FC LEO;Dorpshuis De Warf;Kronkelhoes;Dorpshuis Open Haard;Dorpshuis Eenrum;Dorpshuis Pieterburen;St. Vincentiusgebouw 14-03-2022;St. Vincentiusgebouw 15-03-2022;De Meenschaar 14-03-2022;De Meenschaar 15-03-2022;De Hoogte 14-03-2022;De Hoogte 15-03-2022;Kantine FC LEO 14-03-2022;Kantine FC LEO 15-03-2022
;;12;Doorn - Groeneveld, L.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;5;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;1
;;13;Datema - Heller, P.;27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;1;2;1;0;2;0;0;0;11;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
;;14;van Duinen, L.J.;64;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;9;1;3;1;23;0;5;4;0;0;0;0;0;0;0;0;2;5
;;15;Sok, H.J.;45;1;0;1;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;14;1;2;0;0;3;0;6;0;0;0;2;0;0;0;0;1;0;0;0;0;2;2;0;1
;;16;van der Made, A.J.;24;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4;1;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;3
;;17;Doornbos - Ritzema, K.T.A.;33;0;0;1;3;0;0;3;13;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0
;;18;Mendelts - Toet, A.;29;7;4;5;5;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0
;;19;Dalmolen, P.;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;1;3;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
;;20;Woltjer, H.;15;0;0;0;1;1;1;4;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Vogel, J.H.;23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;0;0;1;8;0;2;0;0;0;0;0;0;2;0;0;1;0
;;22;Vlas, P.W.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;3;2;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;23;de Jonge, D.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;24;Oudman - Dam, H.M.;30;3;1;0;4;0;0;1;0;0;0;9;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;2974;77;50;87;64;12;29;38;26;14;48;44;97;71;70;27;25;69;60;63;78;51;96;63;73;76;50;94;116;116;30;97;49;73;27;13;47;75;29;26;67;37;188;52;40;66;61;48;48;73;19;25
;;1;de Visser, M.A.;1345;32;18;36;23;4;7;14;8;6;22;16;63;37;38;8;12;17;11;17;27;15;46;32;31;28;19;46;35;34;12;11;38;28;19;8;35;25;22;21;54;35;158;35;14;21;19;13;23;28;11;13
;;2;Klei, J.J.;205;8;12;17;7;6;19;19;14;8;5;5;2;10;8;1;0;3;0;1;2;3;1;0;1;4;1;4;4;3;1;2;1;0;1;0;2;2;1;0;2;0;1;1;2;12;2;1;1;2;2;1
;;3;Hefting, G.H.;156;1;0;0;0;0;1;0;0;0;0;0;8;0;1;0;0;1;0;0;0;2;1;12;13;20;12;19;32;0;0;1;0;2;0;2;1;0;0;0;0;0;2;2;0;0;0;0;7;16;0;0
;;4;Poll, I.J.;102;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;2;3;2;0;1;1;0;1;2;0;1;42;3;3;10;2;10;3;0;0;0;0;0;0;3;5
;;5;Heres, J.R.;376;0;0;0;0;1;0;0;1;0;0;18;0;2;0;18;11;41;42;42;45;21;40;2;1;0;0;3;1;1;0;0;1;7;0;0;0;0;0;1;0;0;2;0;1;0;36;33;0;2;2;1
;;6;Karstens, G.;28;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;1;0;3;0;1;0;0;0;1;2;3;7;0;0;1;1;0;0;1;0;1;0;0;0;0;0;2
;;7;Wierenga, R.;186;33;18;31;21;0;1;2;1;0;18;1;11;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;17;23;0;0;0;0;0;0
;;8;de Haan, R.L.;154;1;0;0;4;0;0;3;1;0;0;0;0;5;6;0;0;0;0;1;0;2;2;6;0;3;1;3;11;70;11;2;0;2;1;0;0;3;0;0;0;0;3;3;1;3;0;0;1;4;1;0
;;9;Breuker, M.M.;134;0;0;2;2;0;1;0;0;0;0;0;10;4;9;0;0;0;0;0;0;2;0;1;1;1;0;0;0;3;5;78;0;0;0;0;0;1;0;0;0;0;4;5;2;0;1;0;2;0;0;0
;;10;Bolt, M.J.H.;21;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;2;0;1;0;5;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0
;;11;de Rijk, R.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
;;12;Supheert, H.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Stolk, E.;40;1;1;0;2;0;0;0;0;0;1;2;0;1;1;0;0;0;1;1;1;1;3;0;6;4;1;2;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;1;2;0;0
;;14;Visser, R.;77;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;3;9;7;6;6;19;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;7;8;0;2
;;15;Roemers, P.;18;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Nanninga, J.W.;89;1;1;1;2;0;0;0;0;0;0;1;1;3;2;0;0;1;0;0;0;0;1;4;10;6;7;5;8;3;0;0;2;2;1;0;0;0;1;0;0;0;7;2;0;3;0;0;5;8;0;1
5;GROENLINKS;;;2531;17;31;23;17;6;12;41;29;8;29;60;71;78;67;28;22;31;49;50;53;45;211;52;41;88;56;63;80;98;16;63;110;65;41;29;49;38;56;83;39;30;85;103;21;32;27;42;45;75;13;13
;;1;Nolles, A.J.;760;5;14;11;6;4;4;19;8;1;9;20;33;29;21;9;4;7;14;15;15;16;35;10;21;29;19;21;25;40;6;14;30;16;8;5;14;18;15;30;7;4;34;21;7;6;3;11;13;28;2;4
;;2;Smits, A.M.;949;10;9;8;7;2;3;14;8;5;17;28;26;34;36;10;6;8;15;19;16;13;76;16;6;18;15;16;27;33;7;20;50;26;12;13;20;13;28;26;26;15;28;73;7;17;6;13;14;24;6;4
;;3;Steenman, P.G.;57;0;1;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;4;0;3;1;0;4;3;3;1;5;15;3;2;0;0;0;3;0;0;0;0;2;0
;;4;Penninga, G.J.;41;0;2;1;0;0;3;3;10;0;0;2;1;3;0;0;0;2;1;0;0;0;1;0;0;1;0;1;0;2;0;1;0;0;1;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;1
;;5;Peters, G.H.;74;1;0;0;0;0;0;1;0;0;0;0;0;3;0;2;6;8;12;9;5;2;5;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;2;0;3;6;0;0;1;3
;;6;van den Burg, B.E.I.;126;1;2;3;2;0;2;1;0;0;0;2;6;2;3;1;0;0;1;0;1;6;8;5;1;1;2;4;3;6;0;3;3;2;5;1;0;5;0;1;0;2;21;3;3;1;5;2;3;2;1;0
;;7;Visser, S.J.;181;0;0;0;0;0;0;0;2;0;0;4;0;2;3;0;0;0;0;0;1;6;7;11;7;26;13;15;17;5;1;4;12;14;2;0;1;0;0;1;0;0;0;0;0;1;1;1;10;13;0;1
;;8;van der Schoor, C.;62;0;1;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;4;6;4;7;6;1;4;3;0;1;8;3;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;5;0;0
;;9;Bruininks, A.A.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Bos, A.F.;64;0;0;0;1;0;0;1;0;0;2;3;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;1;2;6;4;11;1;7;8;0;3;0;4;0;0;0;1;1;0;0;0
;;11;Verschuren, M.M.H.;40;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;1;2;1;1;1;0;4;0;1;1;14;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;2;1;0;0
;;12;van der Ploeg, W.;11;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Reijsoo, H.P.;69;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;2;1;55;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;14;Markhorst, C.M.;91;0;0;0;1;0;0;2;0;0;0;0;0;0;0;5;6;4;5;5;13;0;15;0;0;1;0;0;1;1;0;0;2;2;0;3;0;0;1;1;2;0;1;1;0;1;8;6;2;1;1;0
6;VVD;;;1243;22;17;24;26;8;13;30;6;17;10;16;22;22;14;17;20;14;41;22;39;8;28;27;21;56;24;33;37;76;11;18;44;31;44;29;24;23;22;8;30;14;44;24;16;29;15;29;17;26;20;15
;;1;van Keijzerswaard, S.;646;20;14;15;20;3;6;25;4;14;7;11;20;12;9;10;15;12;22;13;23;3;17;12;9;25;11;8;17;13;0;7;8;14;15;13;14;15;13;5;12;5;26;14;12;20;6;21;8;13;9;6
;;2;ten Brink, H.G.;133;0;0;0;1;0;2;0;0;0;0;0;0;7;3;1;0;0;3;0;2;2;1;1;1;3;0;6;3;57;11;4;2;0;2;2;1;0;0;0;2;3;2;0;2;1;2;0;0;5;1;0
;;3;Vonck, P.G.;62;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;2;0;0;2;0;1;1;2;0;2;0;1;30;8;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
;;4;Bartelds, B.;156;1;0;0;1;0;2;1;0;2;0;3;1;0;1;2;2;1;6;3;6;2;7;10;5;18;6;8;9;4;0;1;3;5;11;2;0;2;2;2;0;0;3;2;1;2;5;5;4;3;1;1
;;5;Wilke de Souza, L.S.;39;1;2;3;2;2;0;1;2;0;0;1;0;0;0;2;1;0;2;2;2;0;1;0;0;2;1;2;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;1;2;0;1;0;2;0;0
;;6;Meijer, M.E.;28;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;1;0;0;1;2;1;5;0;5;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0;0
;;7;Borchert, E.J.A.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0
;;8;van Hoogen, A.H.D.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0
;;9;van der Zee, F.P.;41;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;1;1;0;0;10;2;6;0;0;2;0;2;0;0;0;5
;;10;Aling, M.A.R.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;3;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van der Vis, J.P.;20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;7;3
;;12;Pijlman, M.;21;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;4;2;1;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;13;de Groot, C.J.;4;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Westerdijk-Wildeboer, W.;4;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Bakker, N.;14;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;0;0
;;16;Louwes, K.W.;21;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;3;2;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0
;;17;Meijer, R.P.;22;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;3;0;1;1;0;2;2;1;0;0;2;0;0;0;0;2;0
7;Hogeland Lokaal Centraal;;;2147;30;31;41;16;22;38;30;46;7;28;39;31;29;49;53;43;93;114;78;101;32;40;37;34;41;31;52;55;122;43;18;37;18;60;24;84;57;35;11;50;34;62;45;13;15;49;68;19;17;10;15
;;1;van Bruggen, R.;941;10;12;21;10;5;16;14;13;4;15;22;18;6;12;42;35;72;79;57;77;15;30;14;11;15;14;15;13;19;4;5;12;7;10;13;23;14;11;6;15;7;15;4;4;11;30;44;8;4;2;6
;;2;Werkman, N.R.;143;2;5;0;0;5;1;1;0;1;0;4;1;3;4;0;0;1;1;0;1;2;1;3;3;3;1;2;7;27;12;6;2;1;1;0;6;7;3;0;5;0;6;2;0;0;5;1;3;2;0;2
;;3;Molenhuis, A.T.;118;1;5;1;1;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;2;1;1;10;9;7;7;18;13;1;0;0;3;0;0;0;1;3;2;1;2;0;3;13;0;0;1;0;2;4;1;1
;;4;Schutter, A.;270;3;4;8;1;1;4;4;2;1;6;4;2;4;9;1;0;4;10;1;3;4;5;3;5;7;3;10;9;18;1;1;8;3;9;3;5;15;4;1;16;7;18;22;3;0;4;4;1;3;5;1
;;5;Appeldoorn-de Haan, T.;94;8;2;6;3;3;10;6;23;1;5;1;6;1;0;0;0;0;1;0;1;2;0;1;0;2;0;2;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
;;6;Buurma, P.;169;2;3;1;0;1;2;4;2;0;0;1;2;10;10;0;0;2;0;0;0;0;0;3;5;1;4;3;6;53;23;1;4;0;5;0;0;4;3;0;0;1;7;1;0;0;0;0;1;3;0;1
;;7;van Bruggen, N.;158;1;0;1;1;2;1;1;0;0;0;2;0;2;5;8;8;12;21;16;15;7;3;1;0;3;1;1;3;0;2;0;3;0;1;0;1;1;1;2;1;0;1;0;1;0;9;19;1;0;0;0
;;8;Groeneveld, W.F.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;2;3;0;0;0;0;0;0;0;1
;;9;Dirks, W.C.;15;0;0;2;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;10;Schaap, L.L.;227;3;0;1;0;5;4;0;5;0;1;4;2;1;6;2;0;2;2;4;2;0;0;2;1;2;0;1;3;4;0;0;5;4;34;8;46;12;11;1;7;19;10;0;4;0;0;0;3;1;2;3
8;Lokaal Sociaal;;;1628;27;31;33;33;8;17;32;36;9;36;87;54;45;48;19;28;34;62;67;76;28;43;19;16;31;16;19;30;48;7;22;36;29;41;22;50;24;37;18;40;13;62;32;19;21;32;42;13;19;8;9
;;1;Visser, L.M.;1036;15;21;25;26;3;10;13;18;6;21;79;38;28;28;10;20;21;36;36;38;21;29;15;8;19;8;15;15;33;4;13;33;18;17;16;33;13;17;14;14;9;47;23;13;12;25;22;9;19;5;5
;;2;ter Veen, T.J.L.;49;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;0;0;1;0;3;2;0;1;1;1;2;0;4;1;5;0;13;2;3;1;0;0;1;0;1;0;0;0
;;3;Hazenberg, J.;49;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;2;0;1;0;1;0;1;1;0;4;2;2;4;7;1;12;2;0;0;0;0;0;0;0;0;3;0
;;4;Asselman, E.M.T.;45;0;2;1;0;1;0;1;2;1;12;0;3;2;1;0;0;1;0;2;1;1;0;1;0;0;0;1;3;2;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0
;;5;Klein-Hoekstra, T.J.;52;0;1;0;0;0;2;1;0;0;0;0;3;11;11;0;1;1;1;0;1;0;1;1;0;3;0;0;0;3;1;2;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;3;0;0;0;0
;;6;Visser, S.;35;7;6;3;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0
;;7;Zegwaard, S.W.J.;26;1;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;4;1;1;0;0;3;2;0;1;0;0;0;0;0;2
;;8;Roeling, C.M.;69;0;0;0;0;2;0;0;0;0;0;1;0;0;0;5;3;4;9;6;18;1;2;0;2;1;1;0;1;1;0;0;0;3;0;0;3;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0
;;9;Djabani, M.;85;0;0;0;0;0;0;1;0;0;0;1;4;0;3;1;3;3;11;14;14;2;3;0;0;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;6;10;0;0;0;0
;;10;Terpstra, P.J.;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Brink, S.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;0;2;0;0;18;1;4;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1
;;12;Helmans, J.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Lottum, T.;15;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;1
;;14;Dekkers-Zevenberg, J.A.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;15;Helmans, C.;6;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Rozeboom, J.;10;1;0;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
;;17;Kooi-Wieringa, H.S.;10;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;Wiersema, J.;73;2;0;3;0;1;4;5;15;2;0;1;1;0;0;0;0;1;1;0;0;0;0;0;6;4;3;0;5;1;1;0;0;4;0;3;1;1;3;0;0;0;1;1;0;0;0;0;3;0;0;0
