Verkiezing;;Gemeenteraad Stadskanaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Stadskanaal;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0037;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportzaal Margrietlaan;De Rank Oosterkadekerk;Gossen dans- en partycentrum;Sportzaal Aziëlaan;De Lichtbron;De Spont;Sportzaal Mr. Neuteboomstraat;Tennisvereniging Stadskanaal;MFA Noordstee;Buurthuis 't Lange End;Parochiehuis;Sporthal de Veenhorst;Sportzaal Fr. Nanningstraat;Tennisclub MTC;Chr Gereformeerde Kerk  Mussel;d'Ekkelkaamp;Brinkhof Dorpsstraat 5;De Drijscheer;De Spont;De Spont;Sporthal de Veenhorst;Sporthal de Veenhorst;Brinkhof Dorpsstraat 5;Brinkhof Dorpsstraat 5
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
Postcode;;;;;9501 SZ;9503 KA;9503 HN;9501 CR;9501 EB;9501 VJ;9501 DB;9502 CR;9502 WB;9501 HN;9501 NP;9581 JD;9581 CZ;9581 BL;9581 EJ;9584 AR;9591 AH;9591 AR;9661 TV;9501 DB;9501 DB;9581 CZ;9581 CZ;9591 AR;9591 AR
;;17;Wachtmeester, J.;11;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;1;0;0
;;18;Drent, S.W.H.;10;1;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;2;0;0;0;0;0;0;2
;;19;Zeegers-Koomen, E.J.;5;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Orsel, W.;49;0;3;2;1;0;5;1;6;3;2;1;0;1;6;1;1;2;2;0;5;7;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1430;101;86;32;41;87;80;93;108;56;97;74;50;46;35;31;30;28;15;133;62;107;10;21;4;3
;;1;Schipper, G.;704;52;41;15;22;46;48;52;59;24;46;33;31;24;23;21;15;16;4;12;40;58;6;11;3;2
;;2;Hofstra, E.P.;133;7;4;2;4;8;5;6;6;18;9;6;6;13;4;5;3;5;0;0;7;11;1;3;0;0
;;3;Lubben, H.M.;51;6;2;1;2;0;1;2;2;0;5;14;2;1;0;0;3;1;1;0;2;3;0;3;0;0
;;4;van Leening, M.;27;0;3;0;2;1;3;1;3;2;6;0;0;1;0;0;0;0;0;1;0;4;0;0;0;0
;;5;Koorn, H.;125;6;7;10;4;4;8;8;6;4;13;5;5;6;2;4;5;1;1;0;7;16;0;3;0;0
;;6;Klinkhamer, T.;177;3;9;0;1;9;0;2;8;1;6;6;1;0;1;1;3;2;5;114;2;2;0;0;0;1
;;7;Kremer, G.H.;10;1;0;0;1;1;0;3;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0
;;8;van der Borgh, J.;7;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;9;Pot, F.;16;0;0;1;1;0;1;2;1;1;2;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Woortman-Oosting, C.;45;7;1;0;1;8;1;8;6;3;1;0;1;0;0;0;0;0;0;2;1;3;1;1;0;0
;;11;Nijgh, J.;87;15;15;3;3;6;9;6;10;2;5;1;1;0;2;0;0;0;1;2;0;6;0;0;0;0
;;12;Deuring, M.I.;25;1;3;0;0;1;2;3;2;1;3;3;0;0;1;0;0;0;0;0;1;2;2;0;0;0
;;13;Kok, J.W.;23;3;0;0;0;1;1;0;4;0;1;0;2;1;1;0;0;3;2;1;1;1;0;0;1;0
5;Gemeentebelangen Stadskanaal;;;948;88;40;33;41;56;47;57;44;46;68;73;39;22;17;33;58;13;23;11;54;69;7;5;3;1
;;1;Bieze, H.T.;602;53;24;20;27;42;31;37;22;29;50;50;25;18;9;26;20;8;17;9;30;44;6;2;2;1
;;2;Lutz, F.;76;6;1;0;4;2;1;4;3;1;1;3;4;1;1;3;32;3;0;1;3;1;1;0;0;0
;;3;Bieze-Norder, K.G.;102;6;5;5;5;5;10;0;5;1;10;13;1;1;4;2;4;1;5;0;5;11;0;3;0;0
;;4;Foekens, A.;58;12;3;3;3;3;3;7;8;1;0;3;1;0;0;0;0;0;0;0;8;3;0;0;0;0
;;5;Drent, G.M.;64;5;3;2;1;4;1;7;5;14;4;3;4;1;2;0;1;0;1;1;2;2;0;0;1;0
;;6;Gengler, B.N.;46;6;4;3;1;0;1;2;1;0;3;1;4;1;1;2;1;1;0;0;6;8;0;0;0;0
6;VVD;;;865;60;48;22;15;50;47;24;38;87;93;48;25;24;29;50;31;18;15;21;42;46;6;18;1;7
;;1;Klopstra, J.;357;37;28;10;3;11;22;12;18;44;36;21;4;6;11;7;15;9;9;10;14;21;1;4;1;3
;;2;Huizing, L.;183;7;8;8;5;13;10;2;5;23;28;6;5;5;1;4;2;4;4;7;14;16;0;6;0;0
;;3;Kuper, M.;59;0;0;1;0;16;1;5;2;7;13;4;0;1;0;0;1;1;0;0;2;2;0;0;0;3
;;4;Wollerich, H.G.;65;3;1;0;3;4;1;2;2;9;4;13;2;1;1;4;5;0;2;2;5;1;0;0;0;0
;;5;Prummel, P.B.C.;34;1;5;1;0;0;9;0;1;0;3;2;1;1;0;0;2;4;0;0;2;2;0;0;0;0
;;6;Rodenberg-Vonk, E.;23;1;1;0;3;2;0;2;1;2;3;0;1;0;1;1;1;0;0;2;1;0;0;0;0;1
;;7;Borgesius, G.;144;11;5;2;1;4;4;1;9;2;6;2;12;10;15;34;5;0;0;0;4;4;5;8;0;0
7;Lokaal Betrokken;;;1494;71;90;44;45;49;78;80;121;50;98;94;104;88;81;52;36;40;14;41;40;101;19;46;4;8
;;1;Mellies, J.;816;51;51;29;30;37;51;48;75;29;54;62;40;29;17;22;17;24;12;23;27;64;6;12;0;6
;;2;Zwiers-Manning, H.;248;11;25;8;6;10;19;16;26;10;28;15;14;2;4;8;5;10;0;10;4;12;2;3;0;0
;;3;Mulder, S.;146;4;0;3;0;0;0;2;2;3;3;1;15;29;36;14;4;1;0;2;2;4;6;15;0;0
;;4;Louwdijk, H.E.;54;0;3;0;0;0;0;1;2;0;1;1;14;7;9;2;1;2;1;1;0;0;1;6;1;1
;;5;Lukkassen, S.;75;1;3;2;1;0;1;1;6;0;3;3;9;12;12;6;2;1;0;0;0;2;2;8;0;0
;;6;Veldpaus, H.M.G.L.;13;2;0;0;0;1;0;2;0;0;0;0;0;2;1;0;0;1;0;0;2;1;0;0;0;1
;;7;Schutte, J.H.;32;0;0;0;0;1;0;1;6;6;3;2;4;1;0;0;3;1;0;2;0;1;0;1;0;0
;;8;Cats, H.;57;0;4;2;2;0;5;5;3;1;3;3;5;2;2;0;3;0;0;1;5;6;2;0;3;0
;;9;Wegewijs-Bos, R.;11;0;0;0;4;0;0;1;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Kramer, A.;15;2;1;0;0;0;2;0;1;0;1;2;0;2;0;0;1;0;0;0;0;3;0;0;0;0
;;11;Wegewijs, J.P.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Langius, H.R.;26;0;3;0;1;0;0;3;0;1;2;2;2;1;0;0;0;0;1;2;0;8;0;0;0;0
8;D66;;;468;23;25;9;14;33;50;15;24;40;74;14;13;8;7;7;8;17;15;13;18;26;4;0;3;8
;;1;Pals, K.;243;11;11;4;7;21;22;11;11;16;37;10;8;5;5;5;5;7;7;6;12;13;3;0;1;5
;;2;Berends, T.;51;3;0;1;1;0;3;0;6;6;12;2;0;1;1;1;1;4;3;0;1;4;0;0;0;1
;;3;Smit, J.;67;3;2;1;3;1;15;0;3;9;10;0;3;1;0;1;1;4;3;5;0;1;1;0;0;0
;;4;Landlust, T.E.;63;0;8;2;0;4;6;0;2;7;10;0;1;1;1;0;1;2;1;2;5;6;0;0;2;2
;;5;van Suchtelen van de Haare, R.W.G.;34;5;4;1;0;5;4;4;1;0;5;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0
;;6;Kuik, R.;10;1;0;0;3;2;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;JEZUS LEEFT;;;115;4;5;10;5;2;2;2;7;2;2;11;5;6;4;0;11;4;12;8;2;5;1;2;3;0
;;1;Scotto di Minico, J.;115;4;5;10;5;2;2;2;7;2;2;11;5;6;4;0;11;4;12;8;2;5;1;2;3;0
10;GROENLINKS;;;371;19;13;14;9;15;23;31;16;16;39;25;14;9;7;5;14;29;9;11;5;34;0;4;1;9
;;1;Lueks, C.;148;8;7;7;1;7;11;9;9;7;11;10;7;3;6;5;4;15;2;3;1;13;0;0;0;2
;;2;Siersema - Orsel, H.T.;173;8;6;7;5;4;9;14;6;5;26;12;5;2;1;0;9;12;7;6;3;16;0;4;1;5
;;3;Noppen, W.A.M.;9;0;0;0;0;0;0;0;0;1;2;2;0;1;0;0;0;0;0;1;1;1;0;0;0;0
;;4;Serra, D.;6;0;0;0;0;1;0;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Ketellapper, D.;28;3;0;0;3;2;2;6;0;2;0;0;0;3;0;0;1;1;0;1;0;3;0;0;0;1
;;6;Haverkamp, J.;7;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1
11;HerRman;;;134;4;9;6;6;3;3;17;15;6;6;2;6;2;7;0;3;3;0;5;7;20;0;2;2;0
;;1;Reinders, A.;81;1;8;4;3;2;2;13;14;1;5;2;5;1;4;0;3;0;0;0;5;6;0;0;2;0
;;2;Kamst, J.G.;8;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;4;0;0;0;0
;;3;Rozema, J.;11;1;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;1;0;1;1;2;0;0;0;0
;;4;Ottens, L.;6;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;5;Eefting, C.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0
;;6;Voorintholt, E.J.;14;0;0;2;3;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
;;7;Reinders, J.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Hulshof, K.;10;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0
