Verkiezing;;Gemeenteraad Westerkwartier 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westerkwartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nienoordkapel;Gemeentehuis Leek;Dienstencentrum De Schutse;Cazemier Boerderij;Novatec;Het Anker;Mfc De Molenstreek;Pannenkoekenburcht Nienoord;MCO De Gaveborg;Het Bolwerk;Sportcentrum Leek;Sportpark Oostindie;Kerk De Hoeksteen;De Bibliotheek Leek;Sportcentrum Leek 2;Gemeentehuis Zuidhorn;Dorpshuis Dörpsstee;Gastkerk;Kerk De Rank;Sporthal De Bokkediek;Kerk Grijpskerk-Niezijl;'t Bartoleshûs;Dorpshuis De Wending;Dorpshuis Soltketen;Dorpshuis 't Schanshuus;De Meeden;'t Hoge Hof;Dorpshuis Den Ham;Dorpshuis Hornhuis;Kerk De Zaaier;Dorpshuis Eisseshof;Dorpshuis Heralmahuus;Dorpshuis De Vrijwilliger;Steak- en Partyhouse André Dokter;Cultureel Centrum Zuidhorn;Gemeentehuis Grootegast;Dorpshuis 't Spectrum;Dorpshuis 't Kompas;Gemeentewerf Grootegast;Sporthal De Leegens;Dorpshuis 't Hörnhuus;Mfc De Veste 1;Mfc De Veste 2;Gebouw Ons Centrum Oldekerk;Dorpshuis De Rotonde;Gemeentehuis Marum;Gebouw De Wieken;Gebouw De Weme;Ons Centrum 2;Dorpshuis Op de Welle;Dorpshuis Jonkersvaart;Gebouw Oomkegast;Gebouw Ons Centrum Marum;Dorpshuis Schleurholtshuus;De Doorrit;Sporthal De Holten;Kerk De Morgenster;de Roomsterborgh;Gemeentehuis Leek 14 maart;Gemeentehuis Zuidhorn 14 maart;Gemeentehuis Grootegast 14 maart;Gemeentehuis Marum 14 maart;Gemeentehuis Leek 15 maart;Gemeentehuis Zuidhorn 15 maart;Gemeentehuis Grootegast 15 maart;Gemeentehuis Marum 15 maart
;;12;Zeilemaker, H.;15;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;4;1;0;1;0;0;0;0;0;0;1;0;0;0;0
;;13;van der Goot, R.W.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Weerd, M.W.S.;23;3;0;0;4;2;0;0;0;0;0;4;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Faber-van Brug, E.P.;37;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;20;0;0;0;0;1;0;0;0;2;0;0
;;16;Eskes, J.B.;14;0;0;1;1;1;0;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;0;0
;;17;Bosma, R.S.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;18;11;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Dijkhuis, J.L.;54;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;4;6;1;0;0;2;0;0;3;0;1;1;0;0;0;1;1;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;0
;;19;Broersma, F.;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Grit, F.A.P.;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;7;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
;;21;van der Schaaf, M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Boersma-van Dijk, F.M.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;3;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
;;23;Drewes, J.R.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Dijkstra-Scholte, F.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Jansma, M.;64;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;3;6;4;0;0;0;0;0;1;0;0;0;0;3;1;1;0;13;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0
;;26;Zuidhof, H.G.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;25;0;0;0;0;0;0;0;0;0;2;0;0
;;27;Vogt, A.;31;2;5;3;0;1;0;0;2;3;0;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;5;0;0;0
;;28;van der Veen, A.;12;0;1;2;1;0;0;1;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;29;Meuleman, J.G.E.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Fleer-Niks, T.J.;8;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Jong, J.J.;7;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;32;Koole, E.H.;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;33;van der Laan, A.;19;3;1;1;2;0;0;2;0;0;0;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;34;Steen, J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;1;0;0;0;0;0;0;0;0;0
;;35;Oomkes, J.;25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;11;2;0;0;0;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Jong, S.;63;6;2;1;0;6;0;4;1;2;0;5;1;5;4;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;5;0;1;2;6;1;0;0
6;VVD;;;1904;30;41;33;67;27;65;78;58;22;2;72;99;18;21;38;87;25;20;41;16;13;4;2;10;11;26;16;8;8;24;4;9;7;45;41;33;16;11;5;13;8;20;12;40;63;48;51;18;19;45;26;14;32;13;21;37;22;44;30;19;9;23;44;35;13;32
;;1;van der Laan, J.R.;870;22;30;16;33;20;9;7;39;17;0;45;47;15;13;22;25;6;3;12;9;4;1;1;6;6;13;7;0;3;12;0;6;4;19;11;20;9;6;3;6;3;11;4;11;17;12;30;9;9;29;7;3;15;3;8;17;13;30;19;10;5;12;23;19;10;14
;;2;Hartman - Togtema, O.G.;212;2;3;7;18;1;7;4;5;3;2;7;19;1;1;6;9;3;3;2;2;1;1;0;0;1;4;1;4;0;2;2;0;1;6;7;2;0;2;0;2;2;0;4;3;5;6;9;1;2;3;2;3;3;1;0;2;1;4;1;0;1;6;9;3;0;0
;;3;Betten, J.;196;4;1;5;3;0;47;65;0;0;0;5;11;0;2;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;0;2;0;1;0;1;1;3;0;1;3;1;11;2;0;0;0;1;0;3;3;0;0;1;3;1;1;3
;;4;Mostert, M;115;0;0;0;0;1;0;0;2;0;0;0;1;1;0;1;26;7;5;14;0;1;0;0;2;1;1;0;0;1;2;1;1;0;12;14;0;0;0;0;0;1;1;1;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;5;0;0;2;3;0;2
;;5;Deventer - van Dellen, I;46;0;2;0;3;0;1;0;0;0;0;2;4;0;3;0;1;0;0;1;1;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;1;0;0;1;4;1;0;1;0;0;0;0;0;0;5;2;0;0;1;1;1;2;1;0;0;0;0;0;0
;;6;Frankes, M.;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;7;van der Sluis, H.;80;0;1;0;8;3;0;1;6;2;0;4;4;0;1;4;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;2;2;1;1;0;1;3;0;1;4;4;4;1;0;0;0;0;4;0;0;0;5;3;0;0;1;0;1;0;1;0
;;8;Noorda - Russchen, S.M.;38;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;4;1;0;0;5;0;0;4;0;0;2;0;0;1;0;0;0;2
;;9;de Weijs, R.J.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;11;0;1;0;0;2;0;0;0;1;0;0
;;10;Bijlsma, H.J.E.;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3;5;5;0;0;0;0;1;0;1;0;2;1;1;0;0;0;3;5;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;7;0;0
;;11;Koppenol - Kramer, M.P.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1
;;12;Planken, J.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Hulshoff, R.J.;16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;0;0;0
;;14;Bakker, J.;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;16;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Roffel, J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Noorda, M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Vries, E.T.;27;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;2;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;18;Matthezing, S.H.;32;0;0;2;0;2;0;1;4;0;0;6;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;2;0;0;0;2;0;0;0
;;19;Boomsma, P.R.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Jager, H.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
;;21;Hulshoff, H.L.;22;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;4;4;0;1;0;0;2;0;0;0;0;0;0;0;0;0;5
;;22;van Zanten, R.J.M.;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Tuil, A.P.;8;1;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Knottnerus - Cammans, C.H.J.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Tonckens, J.S.;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Hulshoff - Oost, J.;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2
;;27;Gorter, M.;23;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;1;1;0;0;0;0;0;0;1;3;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
7;Sterk Westerkwartier;;;2837;32;58;77;91;35;56;64;39;32;7;89;94;55;52;70;77;60;14;30;50;33;9;14;32;17;59;25;12;19;40;5;2;5;48;54;40;24;13;5;19;26;23;15;44;74;171;90;42;40;65;36;32;89;16;14;124;19;72;48;26;6;40;40;28;21;79
;;1;Stomphorst, H.;995;7;19;20;19;12;12;14;8;11;2;16;26;13;11;8;19;17;3;9;16;8;4;9;10;6;19;10;2;8;14;3;2;2;17;13;22;12;4;1;6;12;6;3;16;18;95;37;14;29;39;11;12;54;4;5;65;8;19;10;6;5;20;10;10;14;39
;;2;Laan, A.;764;21;20;34;23;11;6;18;21;11;3;51;47;24;24;39;21;7;4;5;6;3;2;0;13;2;8;5;3;6;11;0;0;0;9;12;5;5;3;2;9;1;6;6;8;20;25;9;8;1;13;9;5;11;8;9;16;8;36;27;7;1;2;17;7;4;6
;;3;Bloem, A.G.;109;1;0;2;0;0;0;2;0;0;1;1;1;0;1;3;1;1;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;0;1;1;17;7;2;3;3;2;1;7;1;0;16;1;1;0;1;0;6;0;0;0;10
;;4;de Vink, R.M.;39;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;10;4;0;2;0;1;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;0;1;3;0
;;5;Kiesbrink, R.;101;1;2;3;3;0;27;24;3;0;0;0;6;0;2;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;4;1;0;0;0;4;1;2;0;0;0;0;6;0;0;0;1;0;0;0;2
;;6;Buiter, A;180;0;0;1;0;0;3;0;0;1;0;1;0;0;0;1;32;4;5;12;2;0;0;0;3;2;24;7;4;3;7;1;0;0;14;22;1;0;2;0;0;0;0;0;2;3;1;0;0;0;1;0;0;1;1;0;0;0;1;0;8;0;0;0;8;0;2
;;7;Overgaauw, J.M.I.;167;1;8;5;26;9;3;1;4;6;0;9;8;11;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;5;0;0;0;3;1;8;0;0;3;7;7;3;1;0;0;0;4;4;1;0;0;4;0;0;1
;;8;Jansma, K.;42;0;0;0;10;2;1;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;4;2;2;0;0;0;0;0;0;3;1;0;0;0;0;2;2;0;0;1
;;9;van der Veen, B.;58;1;0;4;0;0;0;4;1;0;0;5;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;8;2;4;1;0;0;2;3;0;0;4;0;0;1;0;0;2;0;0;0;8
;;10;van Werven, G.A.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Aalders, J.A.T.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2;0;1;1;0;1;1;0;0;7;0;0;0;0;0;0;0;0;0;3
;;12;van der Meer, A.;54;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;19;10;0;1;3;5;0;0;1;0;1;1;0;2;1;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Schutte, C.F.;54;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;26;0;0;0;2;0;2;0;1;3;1;1;0;4;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;0
;;14;Aalders, L.R.A.;33;0;1;0;0;0;0;0;0;0;0;0;2;2;1;2;0;1;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;0;1;2;1;2;0;1;0;0;0;0;0;2;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;2
;;15;Bloem, I.L.;30;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;7;0;1;1;1;1;0;2;0;0;3;0;0;0;0;0;2;0;0;0;3
;;16;van der Meer, D;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;17;Velde, S.J.;10;0;0;3;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;van Werven, K.A.M.;24;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2
;;19;Veenstra, J.F.;36;0;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;8;16;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;20;Stomphorst, L.E.;32;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;7;1;1;1;1;0;2;2;0;0;5;0;0;0;0;0;4;0;0;0;0
;;21;Nicolai, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Berends, C;50;0;8;1;1;0;0;0;1;0;0;1;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;17;0;0;1;0;1;1;0;0;3;0;3;1;0;0;0;2;0;0;0
;;23;Vermeulen, R;13;0;0;1;1;0;0;0;0;0;0;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
8;D66;;;1755;22;19;29;53;16;10;33;41;19;14;60;72;21;48;43;121;57;36;28;26;18;1;9;3;13;35;35;1;18;13;5;5;8;86;74;24;15;8;8;11;3;7;11;20;17;39;27;14;11;21;14;16;20;26;29;37;12;54;24;34;7;8;48;58;14;26
;;1;van 't Land, R.H.R.;814;10;6;14;18;7;1;17;17;11;5;23;26;8;17;14;60;20;13;13;17;8;1;7;3;8;31;32;0;9;7;3;2;5;42;37;15;7;7;5;8;3;3;2;10;9;10;11;10;2;9;9;7;11;10;10;2;6;28;9;18;4;3;24;33;12;5
;;2;Boersma, D.I.;116;5;1;4;19;2;0;3;11;0;3;9;8;1;6;16;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;2;1;0;0;0;1;0;1;1;0;0;0;0;5;5;0;0;0;4;0;0;0
;;3;Bonnet, A.J.M.;561;3;6;6;15;6;6;10;5;8;6;18;20;5;16;11;45;7;14;11;9;6;0;2;0;4;3;1;0;5;4;2;1;2;33;28;6;5;0;2;1;0;4;7;7;5;27;10;4;8;10;4;8;8;6;6;33;1;12;8;8;0;5;7;18;2;21
;;4;Sipma, J.J.;83;2;6;4;1;0;1;0;7;0;0;8;15;7;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;1;2;0;0;10;0;0;0
;;5;Schiphuis, H.A.N.;76;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;26;6;4;0;3;0;0;0;1;0;0;1;0;0;0;1;1;7;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0;0;0;4;0;0
;;6;Lander, C.W.M.;22;1;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;3;1;0;0
;;7;Meijer, C.I.;24;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;3;0;0;0;0;0
