Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van Cultuur en Bestuur;De Reensche Compagnie;Baptistenkerk Beukemastraat;Wijkcentrum Spokie;Dorpshuis Westerbroek;Multi Functioneel Centrum Foxhol;Scoutinggebouw De Trappers;Voormalige J. Albrondaschool;Wijkcentrum De Kern;Wijkcentrum 't Spinneweb;Zalencentrum Brandpunt;Vredekerk;Wijkcentrum Woldwijck;Brandweermuseum Hoogezand-Sappemeer;BWRI Molenraai;De Houtstek;MFC Schildwolde;MFC Siddeburen;MFC Velemansdroom;Dorpshuis De Pompel;De Borgstee;Dorpshuis Mainschoar;Ruitenvelder;Sportcafé Kuper;'t Hof van Scharmer;De Graankorrel;De Menterne;De Zijlen, locatie de Gilde;MFC de Noordsuythoeve;Gebouw Muziekvereniging;De Broeckhof;MFA Meeden;Huis van Cultuur en Bestuur;Huis van Cultuur en Bestuur;Wijkcentrum 't Spinneweb;Wijkcentrum 't Spinneweb;De Houtstek;De Houtstek;De Menterne;De Menterne
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
Postcode;;;;;9603 AE;9602 PJ;9601 BN;9602 AE;9608 PK;9607 RJ;9606 PB;9605 PL;9601 XD;9611 EE;9611 AA;9602 VT;9602 KD;9611 JJ;9611 TH;9621 AC;9626 AX;9628 CG;9939 PC;9625 PJ;9617 BN;9615 AB;9619 PL;9628 TK;9616 TE;9617 AB;9649 BX;9649 DA;9635 AZ;9636 CL;9636 BS;9651 AG;9603 AE;9603 AE;9611 EE;9611 EE;9621 AC;9621 AC;9649 BX;9649 BX
;;22;Hut, H.J.;4;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Klootsema, T.;12;0;0;0;1;2;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;24;Mühlenberg, A.H.M.;33;8;5;2;0;0;6;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;2;0;1;0;0;0;0
4;VVD;;;1833;153;38;68;34;22;17;206;35;61;38;30;17;54;46;58;46;53;74;25;9;79;31;38;37;42;55;34;24;29;67;44;26;55;79;20;21;24;23;10;11
;;1;Offereins, E.J.K.;646;63;16;22;8;13;4;62;8;29;9;13;4;20;11;17;11;18;17;6;6;36;21;17;7;14;26;12;11;14;14;7;16;20;30;11;4;11;5;7;6
;;2;Vulpes, M.J.;408;36;5;14;11;3;0;42;17;9;7;2;5;9;8;18;22;9;29;15;0;11;4;16;11;6;15;7;5;7;8;4;2;11;23;1;2;4;8;0;2
;;3;Palland, H.;192;12;7;9;4;2;2;74;4;7;3;6;1;10;8;2;1;0;2;1;0;1;1;2;0;1;0;2;0;0;0;3;1;7;12;1;5;0;0;1;0
;;4;Vink, A.B.;76;2;1;1;1;0;1;3;0;2;2;0;0;0;0;0;6;19;5;0;1;3;3;2;2;1;4;0;0;1;1;0;2;2;0;1;0;4;6;0;0
;;5;Akkerman, M.;25;1;5;1;0;0;0;0;0;0;2;3;0;2;1;0;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;2;0;0;0
;;6;van Buuren, D.;80;5;0;6;4;0;0;7;0;7;12;1;1;1;6;13;0;2;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;2;5;0;1;0;0
;;7;van Steenbergen, J.;23;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;3;2;2;0;1;0;1;0;0;0;1;0;0;0;2;0;1
;;8;Boelens, T.;24;6;0;2;0;1;3;0;0;0;0;1;1;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;9;Wind, W.E.C.;40;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;13;2;2;1;0;0;13;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Oosting, M.J.;41;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;7;4;0;0;0;0;0;0;3;0;0;0;2;0;0;0
;;11;Dontje, K.;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Aardse, J.T.;40;1;0;0;0;0;3;1;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;1;0;1;1;0;7;11;2;2;0;0;0;0;0;0;1
;;13;Lockhorn, H.G.J.;27;0;1;4;0;0;0;0;0;0;2;2;0;3;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;2;4;0;1;0;0
;;14;Jonk, H.W.;13;2;0;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;15;Hartong-Bakker, H.;54;13;2;6;6;0;2;3;0;5;1;0;3;3;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;1;1;0;2;0;2;0;0;0;0;0
;;16;Bruning, J.J.T.;19;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;10;3;1;0;0;0;0;0;0;1;0;0;0;1
;;17;Schrage, G.G.;24;3;0;2;0;0;0;3;4;1;0;1;0;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0
;;18;Batelaan, J.H.;39;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;6;1;1;0;0;0;0;0;2;0
;;19;Tepper, H.;15;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;4;0;0;1;0;0;0;0;0;0
;;20;Kamminga, R.J.;28;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;8;8;0;2;2;0;0;0;0;0;0
5;ChristenUnie;;;1957;85;52;66;55;31;28;37;16;45;51;29;48;92;49;49;159;178;89;9;20;50;26;51;35;36;60;45;29;32;40;69;19;27;67;12;31;38;82;9;11
