Verkiezing;;Gemeenteraad Wierden 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wierden;;;;;;;;;;;;;;;;;;;;;
Nummer;;0189;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Plantsoenlaan 1;Chris Soumokilstraat 69A;Wilhelminastraat 28;Oude Pastoriestraat 9;Oude Pastoriestraat 9;Nieuwe Schoolweg 5;Van Kregtenweg 9;Ypeloschoolweg 2B;Lage Dijk 12A;Weusteweg 15;Plantsoenlaan 1;Plantsoenlaan 1;Mettenkampsweg 5;Mettenkampsweg 5;Mettenkampsweg 5;Wilhelminastraat 28;Spoorstraat 5;Dahliastraat 4;Spoorstraat 5
Gebiednummer;;;;;1;3;4;8;9;10;11;12;14;18;20;21;22;23;24;25;26;27;28
Postcode;;;;;7642 EC;7642 XX;7642 CS;7468 GC;7468 GC;7645 AV;7467 PL;7468 RE;7468 EZ;7641 AG;7642 EC;7642 EC;7468 AH;7468 AH;7468 AH;7642 CS;7641 BJ;7641 VZ;7641 BJ
;;3;Tijhof, A.J.;201;3;0;2;44;42;0;5;10;40;2;0;2;18;10;13;1;3;4;2
;;4;Schasfoort, H.B.J.;76;16;5;7;0;1;1;3;0;0;10;2;10;3;0;0;6;4;5;3
;;5;Spackler, W.K.;31;9;4;4;0;0;0;2;1;0;0;0;3;0;0;0;1;2;5;0
;;6;Eertink, J.E.;39;8;1;1;0;3;2;0;0;0;3;0;5;0;0;0;5;3;2;6
;;7;Ikink, R.G.M.;54;7;3;4;0;0;2;1;2;2;8;2;7;4;0;0;5;6;1;0
;;8;Swagerman, M.L.;8;0;0;0;0;1;1;0;0;2;1;0;2;0;0;0;0;0;1;0
;;9;Spekenbrink, A.F.M.;19;5;2;0;0;0;3;0;0;2;0;0;4;0;0;0;2;0;1;0
;;10;Peddemors-Kalfsterman, D.J.;4;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Vorderman, H.;9;1;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0
;;12;Ekkelenkamp-Assink, H.H.F.J.;19;0;0;0;3;0;0;0;4;2;0;1;0;0;0;3;0;0;4;2
6;Staatkundig Gereformeerde Partij (SGP);;;758;62;38;11;34;45;137;143;52;32;25;17;30;12;3;9;25;21;49;13
;;1;Rijnders, D.;411;33;25;6;20;24;47;105;19;11;12;7;27;6;1;5;13;12;32;6
;;2;Dollen, H.D.;54;5;1;2;0;1;29;4;1;1;0;2;1;2;0;0;2;1;1;1
;;3;ter Steege, J.B.;68;1;3;2;9;13;1;5;9;17;0;0;1;2;2;1;0;2;0;0
;;4;Eggerink, F.J.;40;4;2;0;3;2;0;0;17;1;3;1;0;0;0;3;0;0;4;0
;;5;Dekker, C.G.;29;0;0;0;0;0;21;2;6;0;0;0;0;0;0;0;0;0;0;0
;;6;ten Hove, J.W.;38;1;0;0;2;2;3;21;0;2;0;0;0;0;0;0;0;6;1;0
;;7;Jansen, D.J.;15;0;0;0;0;0;10;1;0;0;0;2;0;2;0;0;0;0;0;0
;;8;Bredenhoff, J.P.;88;17;7;1;0;0;24;3;0;0;6;5;1;0;0;0;8;0;10;6
;;9;Bolier, J.G.;15;1;0;0;0;3;2;2;0;0;4;0;0;0;0;0;2;0;1;0
