Verkiezing;;Gemeenteraad Hengelo (O) 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hengelo (O);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Hengelo;Gereformeerde Kerk Morgenster;Suroyo TV (A);Suroyo TV (B);Mor Augin kerk;Wijkcentrum De Hengelose Es (A);Wijkcentrum De Hengelose Es (B);Fiora Zorg;Thuiszorgorganisatie Oriant Zorg;Wijkcentrum De Sterrentuin (A);Wijkcentrum De Sterrentuin (B);Bibliotheek Hengelo Stad;Baptistengemeente Hengelo (A);Baptistengemeente Hengelo (B);Denksportcentrum Hengelo;Wijkcentrum De Tempel (A);Wijkcentrum De Tempel (B);Kristalkerk (A);Kristalkerk (B);Remonstrantse Gemeente Twente;MFA 't Berflo;Nivoncentrum Hengelo (A);Nivoncentrum Hengelo (B);ROC van Twente (A);Buurtcentrum 't Lansink (A);Buurtcentrum 't Lansink (B);Kantine Sportvereniging T.V.O.;ROC van Twente (B);Gymlokaal Breemarsweg 481 A  (A);Gymlokaal Breemarsweg 481 A  (B);Gymlokaal Klaas de Rookstraat 61;Thaborkerk;Wijkcentrum Kulturhus Hasselo (A);Gymlokaal Cruys Voorberghstraat 105 (A);Gymlokaal Cruys Voorberghstraat 105 (B);Wijkcentrum Kulturhus Hasselo (B);Sportpark Slangenbeek ATC'65;Wijkcentrum Slangenbeek (A);Wijkcentrum Slangenbeek (B);Ontmoetingsruimte Bastion;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek
;;29;van de Wetering, H.;17;1;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;1;0
;;30;ten Heuw, M.A.;275;17;5;1;4;3;0;10;9;1;5;1;5;4;3;2;3;6;6;4;4;3;7;10;3;5;4;1;4;4;4;6;8;2;6;5;7;1;3;1;3;12;8;3;3;4;7;9;1;12;7;3;11;1;4;6;4
4;CDA;;;3056;109;86;32;34;47;66;47;41;43;57;45;44;44;48;31;43;35;80;55;72;51;25;62;21;27;44;327;21;53;91;78;64;75;43;36;73;48;61;50;56;51;21;21;34;10;33;48;36;82;53;31;63;21;43;89;55
;;1;Steen-Klok, H.S.;1417;60;55;16;19;23;40;32;28;29;22;26;23;28;32;11;16;10;28;27;53;19;15;34;8;12;18;13;11;15;42;41;27;27;25;26;36;29;37;25;30;23;13;13;5;8;16;30;28;44;24;16;20;15;18;44;32
;;2;Wesseling, R.J.S.;140;3;3;2;1;2;1;1;2;0;2;0;2;3;1;2;3;1;4;1;2;1;0;2;0;1;1;3;4;0;2;14;6;7;1;2;4;5;2;5;5;1;2;0;1;0;2;7;2;3;1;1;3;0;1;13;2
;;3;Morskieft, B.F.M.;488;10;15;3;1;4;2;1;3;6;5;6;5;2;3;1;1;1;3;2;4;1;3;10;2;7;8;282;1;4;12;4;5;3;9;0;7;2;1;3;3;3;0;4;0;0;4;2;2;8;4;1;2;2;5;2;4
;;4;Akfidan, N.;444;14;1;2;4;11;4;3;0;4;14;6;4;5;3;9;15;20;37;17;6;24;1;3;1;1;2;0;2;0;1;10;13;25;4;6;19;1;11;5;9;4;1;1;22;1;0;5;0;6;12;9;35;2;4;15;10
;;5;Mulder, A.M.;168;4;1;3;3;2;2;3;1;0;2;0;1;0;2;2;0;1;0;1;0;1;0;7;6;5;8;22;1;29;30;0;2;1;0;0;1;0;2;4;0;2;1;0;0;1;6;0;0;3;5;0;1;1;1;0;0
;;6;Stortelder, A.M.F.;22;1;0;0;0;0;3;0;0;0;0;0;0;1;0;2;0;1;2;0;0;0;0;0;0;1;1;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0
;;7;Steijvers, R.M.H.M.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;Morskate-Vrielink, M.M.G.;103;6;3;2;1;3;6;2;4;1;2;5;2;2;0;0;1;0;4;0;0;2;4;1;1;0;1;3;0;3;3;0;2;3;1;1;0;0;1;0;0;6;3;3;1;0;0;1;0;5;3;2;1;0;3;4;1
;;9;Hoogendoorn, P.J.;37;2;3;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;4;0;0;0;2;1;0;0;2;0;0;2;0;0;2;1;3;0;0;1;0;0;3;1
;;10;Rerink-Holl, E.S.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;Wachtmeester, J.;30;0;2;1;0;0;0;0;1;1;2;0;1;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;2;0;1;1;0;0;0;0;0;1;0;0;2;1;0;0;0;2;0;0
;;12;Weenink-Poorthuis, G.M.;34;1;0;0;3;1;1;0;1;0;2;0;0;1;0;1;3;1;2;4;1;0;0;0;1;0;1;1;0;0;0;2;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;13;Weber, G.A.T.;35;1;0;0;1;0;2;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;4;1;0;1;0;0;1;1;0;0;2;0;2;0;0;1;0;0;1;0;0;0;0;3;1;0;0;0;4;2;0
;;14;Schenkel, R.;11;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2;1;0
;;15;ter Ellen, G.A.;51;1;0;1;0;1;5;2;0;2;0;0;2;2;2;0;1;0;0;0;2;0;0;1;1;0;0;0;0;1;0;5;2;2;3;0;1;1;1;2;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;1;4
;;16;Elferink, M.J.H.;60;3;3;0;1;0;0;2;1;0;3;1;3;0;2;2;1;0;0;1;0;0;1;3;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;2;5;8;0;0;0;0;1;0;1;3;1;2;0;1;3;1;1
5;LokaalHengelo;;;2305;121;75;36;37;38;87;61;29;42;34;41;37;49;28;34;44;29;53;31;55;52;47;67;17;36;53;18;31;58;38;37;43;52;29;40;45;39;53;49;78;52;28;6;9;6;11;34;21;82;31;21;19;25;26;41;50
;;1;Dedecker, G.E.A.;688;35;14;3;6;18;24;13;11;14;5;11;9;8;9;7;14;6;17;10;9;9;10;23;5;9;19;11;6;14;10;14;18;22;9;13;22;20;24;16;41;16;7;1;3;0;4;10;3;23;6;11;7;9;0;13;17
;;2;Megelink, G.J.P.;219;6;14;5;12;3;5;3;3;6;2;3;3;6;1;4;3;0;6;3;10;5;5;2;0;6;5;0;4;6;4;1;1;2;3;6;8;1;2;2;6;11;1;0;0;0;0;4;1;13;4;1;0;1;8;4;4
;;3;van Wier - Koca, S.;415;24;21;14;0;4;18;20;3;4;8;7;5;9;12;4;5;5;6;8;8;7;17;9;4;1;6;2;7;7;5;6;9;13;3;9;0;10;13;13;8;11;1;0;3;1;1;10;6;8;6;2;1;5;8;5;13
;;4;te Spenke, M.;42;0;2;1;0;0;0;2;0;2;2;3;0;4;0;0;0;0;1;1;0;2;1;3;1;1;0;2;1;0;0;0;0;2;1;2;0;0;1;0;2;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0
;;5;ter Braak, J. A.;133;6;0;1;0;1;2;3;1;5;2;3;1;3;1;3;2;7;6;3;4;4;1;1;0;3;3;0;1;3;1;4;6;3;2;3;2;2;0;3;3;0;1;0;1;1;0;6;1;2;0;2;8;0;2;5;5
;;6;Mulder, A.A.;188;13;9;0;5;2;12;5;3;1;2;4;7;2;1;4;1;1;5;3;5;5;5;7;1;2;5;1;2;7;3;3;0;2;0;1;3;0;3;3;3;8;9;0;2;2;1;0;0;13;2;0;0;3;0;4;3
;;7;van den Enk, H.;52;2;0;0;0;0;0;1;0;0;1;0;2;0;0;2;5;4;4;0;1;4;1;2;0;2;0;0;1;0;0;4;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;1;3;0;2;0;1;0;1
;;8;Waanders, S.H.J.;38;3;1;0;0;0;1;7;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;2;1;2;1;0;0;0;0;2;0;0;0;1;0;0;3;3;0;0;0;0;1;2
;;9;ter Maat, R.;139;13;0;1;1;3;8;2;4;1;0;1;4;6;1;1;2;4;2;0;1;2;1;6;1;0;6;0;3;3;1;2;2;5;6;3;4;2;4;2;1;0;0;1;0;2;2;0;4;8;3;1;0;4;1;3;1
;;10;van Wier, M.H.V.;16;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;2
;;11;Manik, A.H.;37;1;0;1;1;0;5;0;0;0;0;2;4;0;0;1;3;1;0;0;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0
;;12;Kamminga, M.C.;40;8;0;1;0;1;0;1;1;2;1;0;1;0;0;1;1;0;0;0;1;2;0;1;1;1;0;0;0;0;3;0;3;0;0;1;1;0;1;1;1;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0
;;13;ter Beek, W.A.J.;91;4;5;7;7;1;2;0;3;3;2;3;0;1;1;0;1;0;2;1;1;2;0;3;2;0;0;1;0;3;0;1;2;0;2;0;1;2;1;1;7;3;1;0;0;0;0;0;2;6;3;1;0;1;0;1;1
;;14;Eelderink - Sleiderink, M.J.E.;26;2;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;2;0;1;0;0;0;0;0;0;2;0;0;0;0;1;2;1
;;15;Kandemir, A.;102;4;3;2;4;2;6;4;0;1;6;2;0;7;2;4;1;1;1;2;7;5;3;5;0;7;4;0;2;0;2;0;0;0;0;0;0;1;0;2;2;0;0;2;0;0;0;1;1;1;0;2;0;1;2;0;0
;;16;Tamer, S.;79;0;4;0;1;3;2;0;0;2;3;1;0;0;0;1;6;0;2;0;1;5;1;0;1;4;4;0;4;15;9;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;1;0;1;1;0;0;1;0;1;0;0
6;D66;;;2519;126;85;36;25;27;70;48;40;31;19;24;93;39;29;21;24;16;60;68;53;53;20;32;35;30;54;5;26;51;45;63;31;60;62;39;53;67;99;84;92;66;22;5;12;17;25;34;33;103;35;13;27;19;28;65;80
;;1;van der Pal, W.S.;1289;56;43;20;12;21;30;33;19;16;8;13;47;15;8;11;13;6;38;39;35;24;8;18;21;18;32;2;12;29;31;38;14;28;28;23;33;38;46;44;47;29;11;3;4;7;14;17;18;49;19;4;15;8;12;30;32
;;2;Smit, L.E.;687;42;25;9;11;5;18;9;13;7;5;5;27;14;11;6;6;6;11;19;11;14;6;9;6;7;13;2;8;15;8;16;14;17;17;10;8;14;29;25;18;24;5;1;5;6;3;10;7;20;12;4;7;4;9;27;27
;;3;Lulof, R.;96;5;6;0;0;1;4;0;4;7;2;2;3;3;0;1;0;1;1;1;0;3;0;0;1;1;0;0;0;1;1;3;0;5;0;0;1;1;2;2;8;4;0;0;0;3;0;0;2;11;2;0;0;1;1;1;1
;;4;Schoonhoven, L.;49;2;5;0;0;0;0;0;0;0;0;0;2;1;0;1;2;0;3;0;0;0;0;0;4;0;1;1;1;0;1;1;0;0;0;0;1;3;0;0;5;4;1;0;1;1;1;0;0;3;0;0;1;0;2;0;1
;;5;Kessing, M.;36;2;1;1;0;0;4;1;0;1;0;0;1;1;1;0;0;0;2;2;2;1;0;0;0;0;0;0;3;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0
;;6;Koornstra, S.N.;40;3;0;0;0;0;0;1;0;0;0;1;2;0;4;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;1;0;4;1;1;2;3;1;0;0;0;0;1;0;0;1;1;2;0;2;0;0;0;0;4
;;7;Katgert, E.;143;6;4;1;1;0;5;1;3;0;2;1;4;1;2;0;1;2;0;0;1;5;0;1;2;1;5;0;1;4;1;4;1;4;7;5;4;3;12;2;9;2;4;0;1;0;3;2;3;7;1;1;1;3;3;1;5
;;8;Rossel, S.L.;8;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Rozema, W.;43;1;1;3;0;0;1;1;0;0;2;1;0;2;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;2;1;0;1;1;1;3;1;0;0;0;0;0;2;2;0;3;0;1;0;0;0;6;0
;;10;Waldt, P.R.;25;4;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4
;;11;van de Griendt, W.E.;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Gooiker, V.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;13;Kwadijk, Q.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;14;Klumperbeek, M.I.;10;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Schreuder-Hoenkamp, M.E.F.;15;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
;;16;Warrink, F.S.;11;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
;;17;Been, B.S.;13;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Asselt, R.;13;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Verheijen, J.J.M.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Koornstra, J.;17;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;1;1;1;1;0;0;0;2;0;0;1
7;Burger Belangen;;;5393;198;147;75;75;76;118;134;75;58;67;67;92;82;84;50;47;61;100;103;120;133;59;129;77;109;114;38;99;111;125;100;98;152;135;106;130;148;205;201;163;81;36;35;14;18;53;89;75;143;100;42;48;43;94;148;113
;;1;Daals, J.F.;2114;68;75;29;32;32;39;52;26;24;19;23;31;34;35;15;13;25;44;45;57;36;21;54;31;43;51;17;42;54;44;35;29;60;43;46;62;70;71;86;64;39;18;14;1;7;32;26;26;53;43;11;11;13;53;64;26
;;2;Freriksen, J.M.M.;1219;44;32;13;15;12;27;41;20;17;18;13;26;22;17;9;13;13;25;31;28;17;15;27;19;26;20;8;14;22;28;32;29;47;34;26;28;30;52;28;28;11;5;9;2;4;8;24;17;26;19;12;17;18;17;33;31
;;3;Scholten, J.;390;17;11;8;7;4;7;6;6;6;0;7;4;3;8;1;4;4;5;6;7;21;7;12;12;7;12;2;13;8;20;6;10;4;9;6;12;4;16;10;13;4;3;1;2;2;4;5;2;14;5;0;7;3;4;4;5
;;4;Carlak, B.;259;6;3;6;5;10;12;14;2;1;11;17;1;7;6;9;4;6;1;3;1;28;4;6;3;2;4;0;2;0;0;3;2;7;6;2;6;2;2;3;6;1;0;4;0;0;0;5;0;5;7;11;2;0;1;7;3
;;5;Hammami, Z.;214;7;7;5;4;1;7;7;4;2;5;0;11;3;1;4;3;6;1;5;7;7;1;6;1;4;3;2;1;3;2;4;2;1;3;2;3;3;7;5;9;5;2;1;3;2;0;4;0;13;5;1;4;2;1;4;8
;;6;Wieffer, G.A.;273;6;5;3;3;2;2;3;0;1;4;3;2;3;4;0;2;0;5;0;1;0;1;1;0;0;2;1;4;1;5;4;5;5;2;2;2;11;38;42;19;4;0;0;0;0;0;6;22;7;4;0;1;0;1;4;30
;;7;Freriksen, I.M.;165;9;4;2;2;5;6;0;3;0;4;3;0;1;3;5;2;1;2;1;4;5;0;3;1;6;2;0;3;1;3;7;4;2;13;1;4;3;2;3;0;4;1;0;0;1;0;3;4;5;7;1;2;1;5;7;4
;;8;Mensink, G.H.M.;178;9;2;1;3;4;6;2;3;1;0;1;3;4;1;3;0;1;2;3;1;2;2;6;2;7;3;1;8;2;2;2;8;7;7;4;4;6;5;8;6;2;3;1;0;0;0;6;1;2;4;1;1;1;2;9;3
;;9;Noordman, A.J.;32;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;2;0;0;1;0;0;3;0;3;3;7;0;0;1;1;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;10;Prigge, M.;21;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;1;2;3;0;1;2;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
;;11;Klaczynski, J.H.G.;45;2;1;1;0;0;0;1;1;0;0;0;0;0;3;1;1;0;2;3;0;0;0;1;0;1;1;0;0;1;1;0;0;4;3;1;0;2;0;1;0;1;2;0;0;1;0;1;0;0;1;1;1;2;1;2;0
;;12;Haverkate, S.F.;27;1;1;0;0;0;0;2;0;0;3;0;0;0;2;0;2;1;3;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Müthing, F.;14;0;0;2;0;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0
;;14;van Berkum, M.J.G.R.;22;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;1;0;0;0;2;5;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0
;;15;Wijnsma, S.;12;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;16;Ritmeester, R.M.;46;6;1;1;1;0;1;1;0;0;0;0;1;1;2;0;0;1;3;2;3;1;0;0;0;0;0;0;2;1;1;0;1;1;1;1;0;0;3;1;3;0;0;0;0;1;0;1;0;3;0;0;0;0;0;1;0
;;17;Pots, G.H.;50;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;1;1;2;0;1;1;0;0;2;0;2;1;2;5;3;1;2;2;2;1;2;0;0;2;0;0;3;0;0;1;2;0;0;1;4;0
;;18;ten Brummelhuis, G.H.M.;79;6;2;2;2;0;5;4;4;0;1;0;3;0;0;0;0;0;0;2;5;2;3;1;1;0;1;1;1;1;0;1;1;1;0;0;1;2;2;3;5;1;1;2;0;0;2;1;0;4;2;1;0;1;1;0;0
;;19;Mulder, W.;34;5;0;0;0;1;1;0;3;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;3;2;2;0;1;1;0;0;0;2;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;3;0
;;20;Doornbos, J.M.J.;199;4;3;2;1;4;1;1;2;5;1;0;5;3;1;1;0;2;4;0;3;10;2;8;6;7;9;4;6;7;5;2;4;4;6;9;2;7;4;7;9;5;0;1;1;0;2;2;2;8;1;0;2;2;5;4;3
8;Partij van de Arbeid (P.v.d.A.);;;2685;123;96;42;44;21;69;74;27;29;35;39;72;19;32;30;25;31;65;58;78;54;40;51;30;48;63;20;45;51;68;50;55;62;41;40;78;45;62;59;39;53;32;12;18;22;44;54;30;113;60;14;26;23;47;70;57
;;1;Luttikholt, M.G.F.;1764;67;76;22;25;12;43;46;23;20;25;26;41;11;17;18;17;24;46;43;55;33;32;37;22;27;35;15;35;29;42;31;31;33;25;24;55;31;43;39;28;38;22;9;14;12;31;39;19;80;40;9;14;10;32;51;40
;;2;ten Voorde, V.;161;7;4;1;0;0;2;4;0;2;2;2;9;3;2;1;0;3;2;4;3;3;2;3;2;4;1;2;1;3;4;4;3;5;4;0;7;2;3;2;2;4;3;0;2;1;4;3;4;8;3;1;1;1;6;6;6
;;3;Alink, D.;186;11;3;6;3;2;8;7;0;2;5;1;3;2;5;6;2;1;0;3;8;3;1;0;2;0;10;0;4;3;6;3;3;6;3;5;1;3;5;5;3;1;3;1;1;1;2;2;3;5;6;0;5;6;3;1;2
;;4;Boekhoudt, N.;99;8;0;2;2;0;1;3;1;1;0;1;9;1;2;1;1;0;6;1;3;3;1;5;2;2;3;0;0;7;1;2;2;2;3;1;0;2;0;2;2;4;0;0;0;2;1;2;0;1;3;0;1;1;0;1;0
;;5;Winter, W.A.;32;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;3;0;0;2;0;0;2;0;1;0;0;2;3;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;3
;;6;Kappert-Dijkstra, M.D.J.;40;2;0;3;2;1;1;3;0;2;0;4;0;0;0;0;1;0;0;1;1;0;0;0;0;2;0;0;1;0;1;0;0;1;0;2;1;3;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;2;0
;;7;Bron, J.;38;3;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;2;0;0;2;0;0;0;0;0;0;1;0;2;1;0;1;1;0;2;1;3;0;1;0;0;0;1;0;0;3;0;1;0;1;1;3;3
;;8;Wissink, A.;19;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0
;;9;Relker, G.;15;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;2;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;10;Kemna, G.W.;25;0;0;0;0;3;0;1;1;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0;2;0;1;0;0
;;11;Heidkamp, M.G.;18;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4;5;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;12;de Buijzer, H.J.N.;27;3;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;2;2;1;1;0;0;0;1;1;1
;;13;Meijerink, W.H.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;3;1;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;14;Hamer, M.;32;4;0;2;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;3;0;4;0;0;0;0;1;0;0;0;1;1;1;0;4;0;0;0;0;0;1;1
;;15;Nieland-Dündar, E.;31;3;0;0;0;0;3;1;1;0;0;1;2;0;1;1;0;0;0;0;1;4;2;0;1;2;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Kistemaker, P.;15;2;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0
;;17;Wever, G.C.;9;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;Akkus, B.;46;1;1;1;4;0;1;0;0;0;3;3;3;0;1;0;2;0;3;0;0;3;2;1;0;3;7;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0
;;19;Koopman, M.;13;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
