Verkiezing;;Gemeenteraad Kampen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Kampen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskazerne;Stembureau De Burgwal;Stembureau Wijkcentrum Reijersdam;Stembureau Westerkerk;Stembureau De Leuke Hanzestad;Stembureau Stadhuis;Stembureau Sporthal KHC;Stembureau De Ommeland;Stembureau Vakgarage Van Winsum;Stembureau Kerkelijk Centrum Open Hof;Stembureau Eudokiakerk;Stembureau Sporthal Cellesbroek;Stembureau De Veenhof;Stembureau IJsclub VZOD Kampen;Stembureau De Schalmei;Stembureau Hoornbeeck College;Stembureau Oosterholthoeve;Stembureau Wijkcentrum Het Lokaal;Stembureau De Bron;Stembureau De Hoeksteen;Stembureau De Herberg;Stembureau Hervormd Verenigingsgebouw;Stembureau De Kandelaar;Stembureau An de Steege;Stembureau Quintus;Stembureau Impact;Stembureau Almere College/ISK;Stembureau Bazuinkerk;Stembureau De Rank;Stembureau Mobiel stembureau verzorgingshuizen 1;Stembureau Mobiel stembureau verzorgingshuizen 2;Stembureau Stadskazerne;Stembureau Stadhuis;Stembureau Eudokiakerk;Stembureau De Hoeksteen;Stembureau Stadskazerne;Stembureau Stadhuis;Stembureau Eudokiakerk;Stembureau De Hoeksteen
;;5;Vinke, H.J.E.;92;1;1;0;1;1;0;4;0;1;4;0;8;4;3;1;9;6;3;5;12;13;1;0;2;0;1;0;4;1;0;0;1;0;1;3;0;0;0;1
;;6;Florijn, J.P.;54;1;0;0;0;0;0;1;4;0;3;3;1;3;0;6;1;5;2;0;2;0;0;0;0;0;1;2;1;2;0;1;2;0;0;5;2;1;5;0
;;7;ten Cate, F.H.;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;2;3;2;0;0;0;0;0;0;0;2;0;0;1;0;0;5;0;0;0;2
;;8;Karsten, G.J.J.;43;1;1;0;0;1;0;1;0;0;2;0;4;0;1;0;2;4;1;0;7;2;1;0;0;2;0;0;0;2;0;0;0;1;0;3;1;2;0;4
;;9;Teune, S.;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;1;4;8;8;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3
;;10;Spaan, M.;38;0;1;0;0;0;0;2;0;0;2;0;1;0;0;0;0;6;0;1;6;9;0;1;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5
;;11;Meijberg, J.J.F.;31;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wichers, J.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
;;13;Aarten, H.J.;27;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;5;4;0;3;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;2;0;3
;;14;Spaan, E.;25;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;4;0;0;1;0;3;0;0;0;0;0;4;0;0;0;0;2;0;4;0;0;0;1
;;15;Kaashoek, M.P.;17;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;van den Bos, A.;20;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;1;1;7;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
;;17;Hofstede, K.;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Brand, A.;13;0;0;0;0;0;1;1;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
;;19;van der Linde, K.A.;29;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;1;2;0;4;4;7;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;4
;;20;van Ommeren, A.J.;13;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;1;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Engberts, F.H.;21;1;0;0;0;0;1;1;0;0;1;0;0;0;0;5;0;0;2;0;5;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
;;22;de Vries, A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
;;23;van der Linde, W.A.;12;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
;;24;den Uijl, A.;44;1;0;0;0;0;1;0;0;0;1;0;1;16;1;0;1;3;0;0;0;10;0;3;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;1
;;25;van den Broek, J.;14;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;1;0;0;5;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
;;26;Hofstede, J.;15;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
;;27;van de Bruinhorst, G.C.;33;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;3;1;2;5;10;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0
;;28;Rook, J.;10;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;29;Lambregtse, M.;21;1;0;0;0;4;2;1;0;0;1;1;0;0;2;1;3;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
5;GROENLINKS;;;2202;129;108;51;86;93;108;61;40;57;110;63;51;24;59;80;73;28;22;38;70;14;27;15;50;131;37;70;54;31;8;1;38;74;35;26;54;100;46;40
;;1;Burgman, E.G.;749;40;35;18;25;41;44;19;21;15;43;19;16;4;19;25;22;17;4;15;28;2;8;2;10;39;10;23;24;16;3;0;14;32;13;11;13;23;19;17
;;2;Faber, A.C.;535;34;31;9;22;19;23;16;5;13;24;12;14;8;12;22;18;5;3;10;25;3;7;4;17;30;5;9;13;8;2;0;12;15;8;8;14;35;9;11
;;3;Jeurink, N.;98;6;2;3;7;2;6;0;1;0;5;4;1;2;3;5;7;0;1;1;1;2;3;1;4;2;5;0;7;1;0;0;2;3;1;1;1;6;1;1
;;4;Bouwman, R.A.M.;138;11;14;3;7;4;4;5;2;5;6;4;2;4;5;7;11;1;1;0;1;0;1;1;1;11;3;3;0;2;1;0;1;1;4;1;3;5;2;1
;;5;Oude Engberink, H.J.F.;12;3;3;1;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;6;Jansen, J.H.;305;18;13;8;9;12;16;6;4;14;19;11;7;2;7;8;3;0;5;9;9;2;3;2;6;28;2;0;7;1;2;0;5;15;5;2;12;20;10;3
;;7;Weelink, E.S.;35;0;1;2;3;1;0;1;0;2;2;3;2;0;0;1;0;1;1;1;1;0;0;0;0;4;0;2;1;0;0;0;0;2;0;1;2;0;1;0
;;8;Blok, N.A.;35;4;1;0;4;1;1;5;1;0;3;0;1;0;0;2;1;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;1;2;2;1
;;9;Koops, K.;13;0;0;0;0;2;1;4;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Jansen, I.F.;24;1;0;0;2;1;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;8;0;0;0;0;0;0;1;0;2;1;0;0
;;11;Holman, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Runia, A.;20;0;0;0;0;1;1;0;1;2;1;0;1;0;1;1;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;3;0;0
;;13;Lodder, T.A.;9;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0
;;14;Poppe, W.C.M.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;Doorenweerd, T.;17;0;1;1;0;0;2;0;0;0;0;0;0;0;2;1;0;2;0;0;0;2;1;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1
;;16;Speelman, J.D.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Rave, N.;31;3;2;0;2;1;1;0;0;1;1;4;1;0;0;0;0;0;1;0;0;1;0;0;0;3;2;0;0;0;0;0;0;1;3;0;2;0;1;1
;;18;Nijhuis, S.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Schwantje, E.;24;0;0;0;0;1;3;0;0;2;0;0;1;1;3;0;0;0;2;0;1;0;0;0;0;1;0;4;1;0;0;0;0;0;0;0;1;2;0;1
;;20;Stam, O.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2
;;21;Koelewijn, A.;9;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Sermondt, P.;26;0;0;2;2;2;0;0;1;0;1;2;3;0;2;0;1;0;0;0;0;0;0;0;0;1;3;5;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Ponte, A.M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Hart, H.A.;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Zeven, B.F.;54;2;2;3;2;2;1;1;2;1;2;3;2;0;5;3;2;0;3;0;1;1;3;0;0;1;1;6;0;2;0;0;0;1;0;0;0;1;1;0
;;26;de Groot, A.M.;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;27;Nagelmaeker, B.H.M.;29;4;2;1;0;0;3;2;2;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;4;0;3;0;0;0;0;1;1;0;0;0;1;0;0
6;VVD;;;1546;65;38;21;28;51;87;103;21;24;45;37;40;12;68;64;53;79;26;30;89;38;7;10;13;67;38;41;72;48;2;6;18;33;16;19;25;57;25;30
;;1;Bruins, H.J.;739;23;16;10;16;20;37;34;4;11;19;16;18;4;27;41;16;49;23;21;56;20;5;10;12;26;18;16;31;30;2;3;6;14;9;15;12;24;8;17
;;2;Lokhorst, D.W.C.;82;4;3;1;0;2;3;6;1;2;3;7;7;0;6;3;2;6;0;1;1;0;0;0;0;8;0;2;4;0;0;0;1;1;1;2;0;1;2;2
;;3;Kanis, A.;133;9;6;3;5;5;5;9;7;3;1;4;3;0;7;5;9;3;0;2;5;0;0;0;1;2;4;8;8;1;0;0;1;4;2;0;2;5;3;1
;;4;Bonestroo, J.M.C;109;8;0;0;0;3;16;7;0;0;10;1;2;0;6;7;0;3;1;0;2;3;1;0;0;3;3;5;6;4;0;0;2;2;0;0;3;8;0;3
;;5;van Dijk, T.J.S.;11;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;6;Prins, H.A.R.E.;35;1;1;1;0;1;0;1;0;0;0;0;1;0;5;0;0;1;0;3;5;1;0;0;0;2;0;0;2;1;0;0;0;1;2;0;0;5;1;0
;;7;Kale, M.A.;113;8;1;1;1;6;11;22;0;1;1;0;3;2;0;3;15;2;0;1;0;1;0;0;0;7;2;1;5;2;0;0;1;2;1;1;4;3;3;2
;;8;Kampman, H.;87;3;2;4;2;2;3;8;2;1;1;4;3;6;2;2;2;4;1;1;2;1;0;0;0;8;2;3;3;3;0;1;0;4;0;0;2;2;2;1
;;9;van der Klei, L.F.;45;0;2;1;0;3;3;7;1;1;1;1;0;0;1;0;4;3;0;0;0;1;0;0;0;1;1;0;5;0;0;0;2;1;1;0;0;2;1;2
;;10;van Ittersum, B.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0
;;11;van den Bosch, G.W.G.;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;0;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Hogenbirk, J.W.;52;6;1;0;2;0;4;5;2;1;0;1;0;0;1;1;2;1;0;1;3;0;0;0;0;3;4;4;0;5;0;0;2;1;0;0;0;2;0;0
;;13;Veldhuis, T.P.;10;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0
;;14;Scholten, J.;19;0;0;0;2;0;3;1;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;2;2;0
;;15;Spijkerman, M.B.;79;3;6;0;0;6;2;3;2;3;3;2;3;0;10;1;0;2;0;0;4;0;1;0;0;6;3;1;6;0;0;2;3;1;0;0;0;2;3;1
7;Kampen Sociaal;;;2257;64;47;91;93;84;92;39;88;95;149;62;56;18;104;81;46;63;44;65;100;21;21;19;21;94;63;66;58;36;13;7;27;46;35;28;40;81;47;53
;;1;Boddeus, AJ;1187;35;23;46;55;28;41;13;50;59;96;35;24;9;57;38;23;27;30;30;56;7;10;5;5;43;24;38;30;23;7;4;19;28;28;19;16;51;28;27
;;2;Bastiaan, L;200;2;5;15;14;7;5;7;5;13;8;6;10;4;10;8;5;0;0;8;3;0;0;1;3;3;13;7;6;2;2;2;1;5;0;1;5;2;7;5
;;3;Bos, EM;210;6;5;9;6;12;9;6;11;7;11;4;10;3;12;14;4;2;2;6;4;4;2;0;5;10;4;7;3;2;0;0;1;4;2;6;2;7;3;5
;;4;Knijnenberg, K;49;0;0;1;0;0;0;1;4;3;1;2;1;0;3;2;0;4;0;1;0;1;0;1;0;11;2;1;2;2;1;0;0;0;2;0;3;0;0;0
;;5;van Asselt - van den Berg, H;130;4;1;3;2;1;11;1;3;4;2;1;2;0;0;1;3;14;5;7;9;5;3;1;0;7;6;1;2;3;0;0;3;3;1;2;2;6;1;10
;;6;Kanis, S;131;6;4;5;8;7;3;3;4;3;12;7;4;1;4;8;4;4;0;5;6;0;0;0;3;4;2;3;4;1;1;0;1;0;1;0;6;1;5;1
;;7;van Norren, KS;31;3;2;1;2;2;2;0;0;1;4;1;0;0;0;2;1;1;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;1;0;0;0;2;0;1
;;8;Koppert, WJ;139;5;1;7;2;19;13;3;5;1;9;3;2;0;13;0;4;4;4;0;7;1;0;0;0;6;8;2;7;2;0;1;2;2;1;0;1;3;1;0
;;9;de Jong, PJ;16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;8;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;;10;van Wijngaarden, AG;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;2;4;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1
;;11;Leene, DE;10;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
;;12;Hartman, P;9;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van den Belt, S;8;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;14;Haaksema, H;9;1;0;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Muus, CE;8;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1
;;16;van Dijk, M;11;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0
;;17;Felix - Eikelboom, MT;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;18;Schakenraad, L;11;0;3;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;1;0;0
;;19;van Ingen, AJ;9;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;20;Siebrand, JMC;46;1;2;0;0;2;7;4;3;2;0;0;0;1;4;2;1;2;0;1;3;0;0;0;0;1;0;4;4;0;0;0;0;0;0;0;0;0;2;0
;;21;Bastiaan, MH;13;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
;;22;Leenderts, F;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Partij van de Arbeid (P.v.d.A.);;;990;37;36;47;43;38;32;15;40;29;56;22;22;1;29;22;17;19;20;25;25;4;11;3;9;45;26;32;48;20;8;17;13;29;30;13;31;40;17;19
;;1;Haveman, M.;498;9;13;31;25;23;19;7;25;15;36;9;12;1;18;10;4;10;8;10;12;1;9;2;5;12;15;17;25;12;4;10;10;10;14;7;11;18;9;10
;;2;de Breij, H.M.;61;10;3;1;4;1;1;3;0;2;2;4;1;0;1;0;0;1;0;2;3;0;0;1;0;7;0;2;1;1;1;0;0;0;1;1;5;1;0;1
;;3;Nieuwenhuizen, T.J.W.;66;3;4;5;0;2;3;1;4;0;2;2;2;0;1;0;1;2;0;0;0;1;0;0;0;4;2;2;4;1;1;3;0;6;5;1;0;1;3;0
;;4;Klaus, P.;162;7;5;2;8;8;6;2;5;8;6;3;5;0;7;4;1;1;6;4;3;1;2;0;4;9;3;4;7;2;0;2;0;8;2;1;6;14;2;4
;;5;Klooster, I.B.D.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;2;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0
;;6;van der Haar, H.T.;39;3;5;0;1;1;1;1;1;1;0;0;0;0;0;0;2;0;2;1;3;0;0;0;0;6;0;1;2;1;1;0;0;0;2;0;2;1;0;1
;;7;Klappe, R.J.;15;2;0;0;3;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;1;1;0;0;0
;;8;Deuzeman, G.;27;0;5;1;0;1;1;1;1;0;2;1;1;0;2;2;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;0;0;2;0;0
;;9;Boorsma, M.A.;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Haveman, I.C.;21;1;0;4;0;0;0;0;1;0;1;0;0;0;0;2;3;0;0;0;0;1;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Nijholt, G.;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Diekerhof, C.H.;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;1;2;1;0;0;1;0
;;13;Evers, M.;26;1;0;0;2;0;0;0;3;2;3;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;0;1;2;0;0;1;0;0;0;3;0;0;3
;;14;van Swol, J.B.B.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;1;0
;;15;van der Wel, A.R.;10;1;0;1;0;2;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;16;Holtland, A.;18;0;1;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;4;0;0;2;1;0
9;D66;;;1937;103;50;42;51;68;94;107;61;48;67;46;35;6;80;73;106;68;28;42;64;15;14;14;9;116;30;48;79;45;7;4;36;38;17;15;33;101;37;40
;;1;Wijnja, G.H.;981;54;20;15;18;31;53;42;30;28;26;24;10;3;42;37;42;35;15;30;38;10;11;10;4;60;17;29;37;20;3;4;24;21;13;7;13;59;27;19
;;2;Boon, E.;60;3;2;3;2;1;8;4;5;0;1;0;1;0;0;2;4;2;0;0;1;0;0;1;0;6;0;1;3;1;0;0;1;1;0;0;0;4;0;3
;;3;Selles, K.;572;33;19;14;20;19;22;40;15;12;22;16;19;2;25;16;32;19;11;11;15;4;2;1;4;32;9;11;29;15;3;0;7;5;4;6;14;24;10;10
;;4;Harms, N.;35;0;0;3;1;0;0;2;5;1;0;0;1;0;0;3;5;5;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;2;1;0;0;0
;;5;Nauta, E.C.;82;8;6;1;1;2;2;7;1;1;2;3;1;0;2;5;4;4;0;1;3;1;1;1;1;4;1;1;3;4;0;0;3;2;0;0;1;3;0;2
;;6;van Dijk, F.;20;0;0;2;2;3;0;0;0;2;2;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;1;0;1
;;7;Fidder, I.O.;46;0;0;1;2;3;5;7;0;0;1;2;0;1;1;4;2;0;1;0;2;0;0;1;0;3;1;0;0;1;1;0;1;0;0;0;0;4;0;2
;;8;Zegers, G.J.;20;0;1;0;1;1;1;0;3;0;3;0;1;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Lemette, J.J.W.;34;2;0;0;0;2;1;1;0;0;4;0;0;0;5;0;4;2;0;0;1;0;0;0;0;2;0;1;3;1;0;0;0;3;0;0;0;2;0;0
;;10;Alink, A.M.;15;0;1;1;0;2;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0;1
;;11;Jacobs, P.J.C.;14;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Harms, R.;28;0;1;2;2;1;1;1;2;1;0;0;0;0;2;3;5;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0
;;13;Wichard, M.F.;11;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;1;0;1
;;14;van der Kamp, S.J.;19;3;0;0;0;2;0;0;0;1;5;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1
10;Hart voor Kampen;;;1652;55;45;35;59;51;49;39;54;50;63;49;36;12;60;43;33;57;60;70;154;29;18;8;9;66;44;34;44;33;3;10;14;36;16;41;32;62;26;53
;;1;Holtland, A.;729;19;11;15;25;13;17;17;20;20;18;25;12;9;31;11;14;29;27;34;82;19;14;7;7;17;26;21;22;17;1;7;5;16;6;23;10;23;10;29
;;2;Koster, M.M.;375;24;21;9;14;23;12;9;12;19;26;16;7;1;14;6;5;5;7;5;14;1;0;1;1;28;8;4;9;8;0;0;6;10;3;4;15;18;7;3
;;3;Bergstra, P.;102;1;2;3;9;5;10;6;4;0;4;0;5;0;5;6;2;0;0;4;1;0;0;0;0;9;3;2;1;1;1;2;0;4;1;5;1;2;2;1
;;4;Prinsen, H.A.;126;5;3;0;0;0;0;3;2;2;4;4;3;0;0;4;3;14;9;9;28;1;1;0;0;1;1;1;2;4;1;1;0;1;1;5;0;3;0;10
;;5;van Enk, K.;52;0;0;0;0;0;5;0;1;0;0;0;1;0;1;1;2;2;13;9;5;4;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;3
;;6;Elhorst, J.;96;0;3;5;6;3;0;0;8;8;6;0;0;1;5;2;2;2;1;4;5;3;1;0;0;2;2;0;5;3;0;0;1;2;3;0;4;5;4;0
;;7;Holtland, A.J.T.;29;0;1;0;0;3;1;0;1;0;0;0;1;1;0;2;0;1;1;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5
;;8;Kolle, N.S.;23;2;1;0;1;4;2;0;0;0;1;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;2;0;0
;;9;School, H.W.;26;0;0;0;0;0;1;0;3;1;2;0;0;0;0;3;1;1;0;0;4;0;0;0;0;1;0;1;2;0;0;0;0;0;0;2;1;1;1;1
;;10;Vierstraete, A.J.A.;9;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;3;0;0
;;11;Plat, H.A.T.;70;4;3;3;2;0;1;3;2;0;1;2;2;0;2;4;4;2;2;1;8;1;0;0;1;3;4;4;2;0;0;0;0;1;1;1;0;3;2;1
;;12;Wiggers, G.A.M.;15;0;0;0;2;0;0;1;1;0;1;0;0;0;2;4;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
