Verkiezing;;Gemeenteraad Rijssen-Holten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rijssen-Holten;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1742;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Rijssen;Gemeentehuis maandag;Gemeentehuis dinsdag;Open Hof;Het Parkgebouw;Het Parkgebouw maandag;Het Parkgebouw dinsdag;Gebouw Schietvereniging;Sion;Gymnastieklokaal Welleweg;Willem-Alexanderschool;voormalige basisschool de Salto;De Hoeksteen;Sporthal de Stroekeld;Kulturhus Holten;Kulturhus Holten maandag;Kulturhus Holten dinsdag;Sporthal 't Mossink (voorheen Diessenplas);Kulturhus Dijkerhoek;Gymnastieklokaal Lageweg;Sporthal 't Mossink (voorheen Haarschool);De Tabernakel;Mobiel Stembureau dinsdag;De Ark;De Ark maandag;De Ark dinsdag
;;24;Immink, M.;14;0;0;2;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
;;25;Agteresch, G.A.;14;3;0;1;0;0;0;0;1;0;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
;;26;ten Bolscher, H.J.;13;2;0;0;2;0;0;2;1;0;0;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0
;;27;Vossebelt, A.;40;6;1;2;1;4;0;2;0;1;3;2;12;3;0;0;0;0;0;0;0;0;1;0;0;2;0
;;28;Prosman, A.;28;3;0;3;0;2;0;0;1;0;3;3;2;5;1;0;0;0;0;0;0;0;2;0;0;3;0
;;29;Willems, G.J.L.;49;5;1;2;1;3;0;3;4;3;1;3;0;5;11;0;0;0;0;0;0;0;2;2;1;0;2
;;30;ten Bolscher, G.H.;34;8;4;0;1;1;0;0;1;3;1;2;3;1;3;2;0;0;0;0;0;0;2;0;2;0;0
2;ChristenUnie;;;3135;199;83;163;194;260;45;122;266;215;157;133;178;216;218;29;16;36;17;5;34;26;180;20;150;58;115
;;1;Hulshof-Boeve, F.;1137;69;33;60;69;82;22;50;103;76;52;48;76;92;85;5;6;12;7;2;12;6;49;10;37;23;51
;;2;ten Hove-Ligtenberg, A.M.;234;17;4;14;12;26;6;10;23;26;6;5;9;14;14;1;0;2;0;0;3;4;8;3;14;5;8
;;3;Rozenkamp, A.G.;169;12;2;8;17;21;1;10;23;10;12;5;6;10;8;1;0;0;0;0;1;0;7;1;7;3;4
;;4;Berkhoff, J.;261;17;9;24;22;25;4;12;23;13;12;7;16;25;16;0;0;2;0;0;1;3;11;2;10;4;3
;;5;Laurens, J.C.;41;0;0;0;0;0;0;1;0;5;1;0;0;3;1;3;5;6;2;1;7;5;0;0;0;0;1
;;6;Beunk, J.F.M.;21;1;0;2;0;2;0;1;3;0;0;1;0;1;2;0;0;1;0;0;0;0;2;0;3;2;0
;;7;Willems-ter Steege, A.;112;9;1;8;7;11;1;4;4;4;7;7;9;5;12;0;0;0;0;0;0;0;5;0;8;3;7
;;8;Vernhout, J.;70;3;2;0;4;9;0;3;4;5;4;0;8;6;8;1;0;0;0;0;1;0;7;0;1;2;2
;;9;Schutte, A.J.J.;132;4;6;13;5;9;4;1;15;10;14;8;2;6;9;0;0;0;0;0;0;0;7;0;10;2;7
;;10;ter Weel, J.;11;0;1;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;4;0;1;0;0
;;11;Kogelman-Laarman, A.G.;51;1;0;0;1;0;0;0;0;0;0;0;0;1;0;13;4;6;8;1;9;5;1;0;1;0;0
;;12;Boorsma, J.C.;16;2;0;0;0;1;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;2;0;4;0;2
;;13;Tijhof, B.D.;479;32;13;19;33;37;7;16;46;38;28;20;27;32;27;4;1;4;0;1;0;3;42;0;23;10;16
;;14;Eertink, J.;82;5;2;3;9;8;0;8;7;6;4;6;3;1;2;0;0;0;0;0;0;0;5;2;5;2;4
;;15;Vos, R.A.H.;24;1;2;0;0;6;0;3;1;2;1;2;0;1;1;0;0;0;0;0;0;0;1;1;1;0;1
;;16;Siemerink, G.E.;36;5;1;1;0;7;0;0;3;2;1;1;0;0;8;0;0;0;0;0;0;0;2;0;4;0;1
;;17;van Munster, G.J.;39;4;1;0;1;1;0;1;1;1;4;2;7;3;0;1;0;0;0;0;0;0;3;1;7;0;1
;;18;van Veldhuizen, J.;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Beltman, G.;22;5;0;2;2;3;0;0;2;2;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;0
;;20;Otten, N.J.;23;1;1;1;2;2;0;1;1;3;2;3;0;1;0;0;0;0;0;0;0;0;3;0;0;1;1
;;21;Ris, S.;16;2;0;2;1;0;0;0;4;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2
;;22;Lingeman, J.W.;19;0;0;0;0;2;0;1;1;3;1;6;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1
;;23;Slagman, A.J.;15;1;1;1;0;0;0;0;0;1;1;1;2;3;0;0;0;0;0;0;0;0;4;0;0;0;0
;;24;Koedijk, F.A.;44;2;2;3;2;2;0;0;0;2;2;3;4;2;8;0;0;2;0;0;0;0;5;0;4;0;1
;;25;Wolterink, B.;8;0;0;0;0;0;0;0;0;2;0;3;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
;;26;ter Steege-Smeijers, A.;18;2;1;0;2;0;0;0;0;1;3;0;1;2;0;0;0;0;0;0;0;0;2;0;4;0;0
;;27;Seppenwoolde-Meijerink, J.C.;12;0;1;0;1;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;4;0;1;0;0
;;28;Beltman, W.;11;3;0;0;1;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
;;29;Blaazer, B.J.;18;1;0;2;0;0;0;0;0;0;0;1;1;2;6;0;0;0;0;0;0;0;1;0;2;1;1
;;30;Schreurs-Streefkerk, W.M.P.;11;0;0;0;0;2;0;0;1;0;0;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;1
3;CDA;;;2832;157;74;67;148;191;52;101;174;139;91;116;166;112;185;165;49;88;76;107;122;81;165;8;105;27;66
;;1;Wessels, F.J.;1510;100;48;50;100;112;32;65;134;80;55;74;107;53;107;41;13;21;19;20;38;22;95;7;60;12;45
;;2;Ekhart, R.;217;8;4;2;16;15;4;13;2;8;6;8;19;10;9;13;7;11;9;4;20;12;13;0;3;0;1
;;3;Nijkamp, H.J.;261;4;3;1;2;6;0;0;4;0;4;3;6;1;0;61;15;34;31;10;39;29;5;1;0;0;2
;;4;Basmaci, G.;186;13;2;3;1;5;0;10;1;21;11;9;6;27;30;0;0;0;0;0;0;0;23;0;14;0;10
;;5;Teeuwen, R.;27;3;0;0;4;5;0;2;1;0;0;2;3;1;2;0;0;0;0;0;0;0;3;0;0;0;1
;;6;Veneklaas, G.J.;149;0;1;1;3;0;0;0;0;0;0;4;0;1;1;26;3;12;8;70;6;8;1;0;3;0;1
;;7;Smelt, G.J.;73;5;1;2;3;5;5;0;6;10;5;0;7;1;7;0;0;0;0;0;1;0;6;0;4;5;0
;;8;ten Hove, J.J.M.;34;2;2;2;2;7;1;1;5;2;1;2;2;0;2;0;0;0;0;0;1;0;0;0;1;1;0
;;9;Meijer, O.J.;56;2;0;0;0;1;0;0;0;0;0;12;0;0;3;11;6;5;4;2;4;6;0;0;0;0;0
;;10;Goorman - Veneklaas, J.;128;13;5;2;1;15;1;3;9;13;5;0;7;7;10;4;1;2;2;0;2;0;10;0;11;3;2
;;11;Prins, T.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
;;12;Boezerooij - Galea, I.;35;1;4;2;0;7;0;3;2;2;0;0;0;3;2;1;0;0;0;0;0;0;1;0;1;5;1
;;13;Markvoort, W.;16;0;2;1;4;1;0;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;14;Hoogsteen, T.;6;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;15;van Rooijen, A.B.J.;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;16;Smit - ter Avest, J.;32;2;1;0;7;6;3;2;0;0;0;0;5;2;1;0;0;0;0;0;0;0;2;0;1;0;0
;;17;Çitgez, M.;37;2;0;1;2;2;3;1;1;0;1;1;0;4;5;2;0;1;0;0;0;0;4;0;5;1;1
;;18;Voortman, L.;17;2;0;0;0;1;3;0;4;1;1;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0
;;19;Dul - de Fockert, A.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;2;0;0;0;0;0
;;20;Stegeman, W.;20;0;1;0;0;3;0;0;1;0;0;0;2;0;3;4;3;0;1;0;0;0;2;0;0;0;0
;;21;Cornelissen, R.J.;14;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;9;1;0;0;0;0;0
4;Gemeentebelang Rijssen-Holten;;;4851;179;60;110;109;192;51;85;190;169;112;128;173;130;222;591;179;355;373;290;478;375;134;16;58;29;63
;;1;Haverslag-Pekkeriet, J.J.;2431;58;26;49;54;85;17;39;88;73;47;55;79;51;100;297;121;188;192;153;271;231;68;13;29;15;32
;;2;Beunk, J;565;44;14;29;22;42;18;17;45;44;19;27;45;37;60;14;0;2;3;6;8;6;26;0;11;8;18
;;3;Alberda, E.T.;169;2;1;2;2;0;1;0;2;2;1;1;2;1;3;39;8;24;27;2;23;23;0;0;0;1;2
;;4;ter Harmsel, J.S.;307;30;6;10;11;21;6;5;22;30;25;24;19;23;31;4;3;0;2;2;1;1;13;1;8;2;7
;;5;Bronsvoort-Scholman, B.J.G.;232;7;3;2;3;10;1;5;5;1;3;4;8;3;4;56;8;25;20;8;33;15;4;1;1;0;2
;;6;Tuijnder, A.P.;34;0;0;0;1;1;0;0;0;0;0;1;0;0;1;14;0;5;2;0;5;3;1;0;0;0;0
;;7;Krikkink, D;198;6;2;3;0;1;0;2;1;1;2;2;0;4;5;37;8;16;29;10;39;21;5;0;3;0;1
;;8;Klingeman-den Bouwmeester, W.M.;130;4;0;2;3;4;0;0;2;3;2;4;2;2;1;19;3;8;23;3;14;25;5;0;1;0;0
;;9;Reilink, W;152;0;0;1;0;0;0;0;0;0;0;0;1;0;0;20;4;20;21;55;21;9;0;0;0;0;0
;;10;Stevens, B.J.;69;0;0;0;0;1;0;0;0;0;1;0;1;0;0;7;1;4;13;27;6;7;1;0;0;0;0
;;11;Veneklaas, E;62;0;0;0;0;0;0;0;3;2;1;0;1;0;1;8;2;7;9;8;6;13;1;0;0;0;0
;;12;Koopman-Pluygers, J.H.F.;63;2;0;0;0;2;0;12;1;1;1;0;0;0;0;5;5;13;3;4;12;1;1;0;0;0;0
;;13;Meppelink, H.G.;128;17;5;7;10;18;6;0;14;10;5;7;5;3;11;1;0;0;0;0;0;0;4;0;4;0;1
;;14;Pekkeriet, D.J.A.;66;2;0;0;0;0;0;2;0;0;2;0;1;0;2;24;4;11;5;2;7;1;1;0;0;2;0
;;15;Kroeze, P;15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;5;5;0;0;0;0;0
;;16;Scheperboer, H;59;0;0;0;0;0;0;0;0;1;0;0;0;0;0;22;1;9;10;5;8;2;0;1;0;0;0
;;17;ter Schure, W.A.J.;31;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;5;5;3;1;10;2;0;0;0;0;0
;;18;Muller, W.J.M.;22;2;0;2;2;1;2;1;2;0;0;1;3;0;1;1;0;0;2;0;0;0;2;0;0;0;0
;;19;Thiele, L.J.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;13;2;0;0;0;0;0;0;0;0
;;20;Nijkamp, A;33;2;1;2;0;3;0;2;1;0;3;2;5;4;2;0;2;0;0;0;0;1;2;0;1;0;0
;;21;Aanstoot, A.J.;57;0;1;1;0;0;0;0;1;0;0;0;1;2;0;19;2;5;6;3;8;7;0;0;0;1;0
;;22;Hofhuis, A;10;2;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0
5;VVD;;;1899;55;22;38;29;61;18;37;73;60;38;22;53;38;65;259;107;153;129;205;191;113;56;1;30;18;28
;;1;van den Berg, B.J.;633;27;12;18;17;34;11;27;44;31;25;20;39;20;35;45;24;23;23;20;32;19;34;1;22;11;19
;;2;Deijk, E.J.W.;464;4;1;5;0;8;4;2;5;9;3;1;3;3;6;96;36;73;44;15;82;52;8;0;2;1;1
;;3;de Koff, R.;223;2;1;4;1;3;1;0;0;0;1;0;4;2;6;57;20;22;31;2;45;14;3;0;0;4;0
;;4;Baan - Gerritsen, J.;105;12;5;8;4;12;1;3;7;10;5;1;0;8;7;1;1;1;2;0;3;1;4;0;5;1;3
;;5;Meijerman, A.J.;207;0;0;0;0;0;0;1;0;0;0;0;0;0;0;18;17;13;8;132;8;10;0;0;0;0;0
;;6;Geerligs, J.H.E.;14;2;0;0;0;1;0;0;3;1;0;0;3;0;2;0;0;1;0;0;1;0;0;0;0;0;0
;;7;Noordam, E.;52;1;2;0;1;0;0;0;2;4;1;0;0;1;0;15;1;6;10;1;5;2;0;0;0;0;0
;;8;Paalman, A.;26;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;5;3;9;1;1;1;0;0;0;0
