Verkiezing;;Gemeenteraad Opsterland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Opsterland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0086;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Beetsterzwaag, Gemeentehuis;Beetsterzwaag, Dorpshuis;Bakkeveen, Dúndelle;Frieschepalen, De Dobber;Gorredijk, Sportcentrum Kortezwaag;Gorredijk, De Skâns;Gorredijk, R.K.-kerk;Hemrik, Dorpshuis;Langezwaag, Dorpshuis;Lippenhuizen, MFA It Kobunderhús;Nij Beets, Dorpshuis;Siegerswoude, Dorpshuis;Terwispel, Dorpshuis;Tijnje, Dorpshuis;Ureterp, Geref. kerk Mounestrjitte;Ureterp, De Wier;Wijnjewoude, MFC de Swingel;Gorredijk, Ontmoetingskerk;Mobiel stembureau;Beetsterzwaag, Dorpshuis;Gorredijk, De Skâns;Ureterp, De Wier;Beetsterzwaag, Dorpshuis;Gorredijk, De Skâns;Ureterp, De Wier
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;1402;1406;1416;1502;1506;1516
Postcode;;;;;9244 CR;9244 CH;9243 SK;9249 MC;8401 AA;8401 DV;8401 RV;8409 JW;8404 BV;8408 JA;9245 HP;9248 KS;8407 ES;8406 ES;9247 AM;9247 BH;9241 GL;8401 RX;;9244 CH;8401 DV;9247 BH;9244 CH;8401 DV;9247 BH
;;10;Dam, G.;57;3;1;0;0;0;2;0;1;0;0;2;3;34;2;0;1;0;3;0;2;2;0;0;1;0
;;11;Kramer, L.;44;3;1;0;0;0;0;0;0;0;0;35;0;0;2;0;0;0;1;0;1;0;0;0;1;0
;;12;de Boer-Jongedijk, F.;19;0;2;0;2;1;0;0;0;0;0;1;0;0;2;3;3;0;0;0;1;1;1;0;0;2
;;13;Knotter, E.;29;10;6;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;4;1;0;4;0;0
;;14;Bakker, A.T.;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Kuperus, A.;6;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Nauta, G.J.;43;0;0;0;0;6;13;6;0;2;0;0;0;0;0;0;0;0;6;0;0;4;0;0;6;0
;;17;van der Meulen-Meijer, R.;33;2;0;0;1;0;0;0;5;0;0;0;0;1;1;1;0;19;0;0;0;0;2;0;0;1
;;18;Groen, J.M.;12;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
;;19;Veenstra, W.;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;1;0;0;0;2;0;0;2
;;20;Feenstra, D.;7;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Wassenaar, J.;10;0;0;0;0;0;4;2;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
