Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Speelgoedbank Heerenveen;OBS van Maasdijkschool;Gymzaal OBS De Optimist;Gymzaal OBS De Optimist;Heerenhage;Wijkcentrum de As;De Rinkelbom;Gymzaal OBS Het Vogelnest;Hotel Heidehof;Gymzaal MFC De Akkers;Sionskerk;Gymzaal MFC De Akkers;Wijkcentrum De Kempenaer;Trinitas;Bornego College;Museum Heerenveen;Kantine VV Heerenveen;Gymzaal de Spil;it Trefpunt;Dorpshuis de Kiekenhof;Dorpshuis de Kiekenhof;Pannenkoekboerderij De Koppenjan;Dorpshuis it Pipegaeltsje;De Kompenije;De Kompenije;De Barte;MFA Aengwirden;Lantearne;Obs Akkrum;It Andringahûs;It Deelshûs;Lantearne;Gymzaal De Spil;Gymzaal De Spil;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Zorgcentrum Mariënbosch;Woonzorgcentrum Coornhert State;Woonzorgcentrum Herema State;Woonzorgcentrum Marijke Hiem;Leppehiem Mienskipssintrum
Gebiednummer;;;;;1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;101;107;119;122;126;131;201;207;219;222;226;231;502;510;513;516;531
Postcode;;;;;8441 ES;8441 BX;8441 CP;8447 BS;8447 BS;8446 DC;8446 SC;8446 KS;8446 HX;8445 SR;8443 AJ;8451 CD;8443 AJ;8442 EM;8442 EZ;8446 KZ;8442 CE;8448 MT;8448 RP;8454 KG;8414 LJ;8414 LJ;8411 ZD;8411 ZE;8411 VK;8411 VK;8456 HR;8458 CA;8491 CR;8491 HA;8495 KD;8468 BJ;8491 CR;8448 RP;8448 RP;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 BN;8446 KE;8444 AN;8442 HK;8491 GJ
;;14;Bouckaert, A.A.C.;14;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
;;15;Westerink, A.V.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Schot, W.F.;9;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Vuist, M.J.;7;1;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Bijlsma, U.G.;62;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;6;20;1;0;7;0;0;0;0;0;0;0;6;0;0;0;1;0;14;0;0;0;0;0
;;19;van Putten, A.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Sloothaak, T.;35;4;1;3;1;0;1;0;2;0;3;1;0;0;0;2;0;1;3;5;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;21;Georgius, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;van Kruistum, B.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;23;Nieuwe Weme, W.G.M.;30;2;0;1;0;1;0;3;1;0;6;0;1;0;0;2;1;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
;;24;Corbijn, J.;16;3;1;0;0;0;0;0;0;1;2;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3;CDA;;;2049;79;28;39;43;54;39;30;57;38;88;61;58;49;28;69;12;32;55;52;65;45;33;52;33;15;17;78;64;44;69;135;38;55;31;47;29;28;20;7;2;18;57;37;35;23;7;19;13;8;0;6;8
;;1;Rinkes, H.T.;1338;59;20;27;27;39;30;25;48;31;73;48;47;39;16;54;11;20;35;35;38;25;17;20;13;8;10;57;37;25;24;66;15;25;23;34;24;18;15;4;1;10;46;28;26;9;4;10;7;4;0;6;5
;;2;Hoekstra, B.;95;3;1;0;3;0;0;0;0;0;7;1;0;1;1;1;0;3;1;3;1;0;1;0;0;0;0;2;2;7;26;3;1;7;0;2;1;0;1;1;1;2;2;0;1;0;1;4;2;2;0;0;0
;;3;Scheweer, A.A.M.;114;3;3;4;0;2;3;3;3;2;1;1;2;4;2;1;0;0;1;4;14;10;4;3;1;1;0;5;1;1;1;6;1;1;0;2;2;0;1;2;0;0;2;1;0;7;0;4;1;1;0;0;3
;;4;Hoekstra, R.;62;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;6;6;7;15;3;4;6;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;4;1;0;1;1;0;0;0
;;5;Kooistra, S.;44;3;0;1;0;1;1;0;0;0;2;2;2;1;2;0;0;1;0;0;1;0;2;2;2;0;1;1;3;0;1;3;1;0;0;2;0;1;2;0;0;0;3;2;0;1;0;0;0;0;0;0;0
;;6;Algra, R.H.;50;0;0;1;2;1;1;0;1;1;1;2;0;1;0;1;0;2;1;0;2;0;1;6;11;1;0;1;0;0;0;0;2;0;3;3;1;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0
