Verkiezing;;Gemeenteraad Súdwest-Fryslân 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Súdwest-Fryslân;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Waltaplein;Doarpshûs It Nije Formidden;ROC Friese Poort (achteringang);Ut Wykje;Wijkgebouw De Eekmolen;VBG De Bron Bureau I;"PKN Oosterkerk (ingang ""De Schutse"")";Gymzaal vm Sperkhemschool;VBG De Bron Bureau II;Gymzaal It Rak;Brede School Duinterpen I  (sporthal);Wijkgebouw De Schuttersheuvel Bureau I;Wijkgebouw De Spil;"Wijkgebouw ""De Watertoren""";'t Convenant;Wijkgebouw De Schuttersheuvel Bureau II;Brede School Duinterpen II (sporthal);"Café Restaurant ""De Kajuit""";Vergaderzaal achter het Witte Kerkje;Wijkgebouw de Zwetser (ingang via parkeerterrein);Wijkgebouw It Roefke;Museum en Werkplaats Houtstad-IJlst;De Eehof;MFC De Driuwpôlle;MFC It Heechhûs;MFC De Mande;MFC It Joo;Dorpshuis Scharnegoutum Bureau I;MFC It Harspit;Dorpshuis Oan it Far;De Freonskip;Dorpshuis It Himsterhûs;Dorpshuis Us Doarpshûs;Camping Mounewetter;Dorpshuis De Nije Bân;Herberg de Gekroonde Leeuw;MFC Piers' Stee;"Kerkelijk Centrum ""Het Anker""";Van Doniakerk;Dorpshuis It Doniahûs;Dorpshuis De Fûke;Dorpshuis It Waltahûs;Dorpshuis 't Honk;Johannes de Doperkerk;Dorpshuis De Nije Haven;"Dorpshuis ""De Utwyk""";Dorpshuis It String;Oer de Toer Bureau I;Kultuerhús Klameare;Dorpshuis It Swaeigat;Gemeenschapscentrum De Foeke;Doarpskultuerhûs De Spylder;Dorpshuis De Klink Bureau I;'t Swannenêst (De Doarpskeamer);MFC De Kaap;"Dorpshuis ""de Begine""";Dorpshuis De Klink Bureau II;Martinikerk Bureau I;Sporthal De Middelzee Bureau I;Sporthal De Middelzee Bureau II;Martinikerk Bureau II;Sporthal De Middelzee Bureau III;Centrum Gasthuiskerk;Doarpshûs De Trijesprong;Sporthal It Mingeltsje;Brede School Duinterpen III (sporthal);Oer de Toer Bureau II;café restaurant It Reade Hynder;"Partycentrum “It Dielshûs""";MFC De Tysker;Verenigingsgebouw “De Skoalleseize”;Dorpshuis Scharnegoutum Bureau II;Dorpshuis De Wier;Rondvaartboot Toerist VI;Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs""";Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs"""
;;39;Dijkstra, T.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Smit, R.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0
;;41;Wijtsma, L.;20;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Durksz, S.;18;0;0;0;2;0;0;0;2;0;0;1;1;0;2;0;0;0;1;0;1;1;1;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;IJkema, Y.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;44;Ringnalda, F.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Posthuma, T.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Willemsma, D.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Hoogland-Pitstra, R.W.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Visser, D.;38;2;2;0;0;0;0;3;0;0;0;2;1;3;0;0;1;3;1;0;3;1;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;49;Gerbrandy, G.;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;1;0;2;0;0;0;2;8;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;50;Zijlstra, W.;66;0;2;2;0;0;1;0;0;0;0;2;0;3;0;1;0;1;0;1;1;0;1;2;2;3;0;0;2;0;0;1;6;0;2;0;1;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;6;1;0;0;1;0;1;0;1;0;0;1;2;2;0;3;1;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;1;0
4;VVD;;;3157;56;31;62;18;25;78;37;37;48;37;78;42;35;39;24;32;96;160;47;70;46;39;46;91;60;41;16;52;69;18;22;10;6;37;32;28;19;54;53;19;19;14;20;11;7;17;3;44;97;13;32;26;27;6;31;24;19;25;35;37;16;25;37;43;25;71;22;30;57;51;49;16;34;14;54;30;12;8;22;13;13;13;33;51;12;18;31;13;11;16
;;1;de Man, M.W.J.M.;1431;23;11;26;10;11;37;24;22;21;12;26;20;11;17;8;10;45;79;22;26;26;19;24;49;36;20;8;18;42;12;14;4;2;16;18;13;8;27;31;14;5;6;8;2;5;8;2;11;16;1;21;11;11;1;18;10;4;10;20;17;12;14;14;22;17;32;4;12;24;29;33;4;12;7;24;12;6;4;1;6;8;3;10;23;10;11;9;3;7;9
;;2;Kruit, D.B.;652;14;8;19;5;7;17;6;10;17;10;25;11;13;15;9;10;34;43;11;36;14;4;6;21;9;5;6;13;15;4;1;1;2;5;7;4;1;7;9;2;2;3;2;1;0;2;0;1;7;0;0;5;6;1;1;3;3;2;2;6;0;1;5;6;3;26;6;0;6;4;5;5;12;3;16;10;2;4;1;0;2;4;8;13;1;0;2;0;0;4
;;3;de Witte, S.;177;0;1;0;1;0;1;0;1;0;1;0;2;0;0;0;0;0;2;1;0;2;1;0;1;2;4;0;1;2;1;3;3;0;3;4;2;7;13;7;0;11;3;3;4;0;6;0;8;16;3;4;2;2;0;2;1;3;1;2;3;2;1;3;6;1;1;0;4;2;2;2;0;1;0;1;0;0;0;1;0;1;0;1;3;0;3;1;1;0;0
;;4;van der Wal, L.;266;2;2;1;0;4;3;1;0;4;4;7;1;2;0;0;1;3;8;2;0;1;2;2;4;3;2;0;3;1;0;1;0;0;4;1;4;2;1;2;2;0;1;2;4;0;0;0;15;45;4;6;5;7;2;4;1;6;0;1;1;0;4;1;3;1;1;8;4;3;1;0;1;0;1;3;0;1;0;17;7;2;2;0;2;1;1;15;3;0;0
;;5;Seefat, M.L.;75;4;0;4;1;2;2;0;0;1;2;6;3;3;1;1;0;5;2;2;0;2;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;5;1;1;0;2;0;0;0;0;2;1;1;1;1;3;0;0;0;0;0;0;3;4;0;0;0;2;0;0
;;6;Hagting, L.;74;6;1;2;0;0;4;4;1;2;2;6;2;3;0;3;3;2;3;3;1;0;0;1;2;1;1;0;6;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;7;Voorn, A.;21;1;0;1;0;0;3;0;1;0;0;0;0;0;1;0;1;0;4;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Jorna, F.D.;30;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;15;1;4;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;9;Plantinga, A.;47;0;0;2;0;0;2;0;1;0;3;2;0;0;0;1;1;1;0;1;1;0;3;0;2;2;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0
;;10;Dijk, R.;12;2;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Doting, F.P.;40;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7;10;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;2;1;0;2
;;12;Meij, J.G.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Bos, J.A.H.;54;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;9;7;10;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Schiphof, K.;45;0;1;3;1;0;1;0;0;1;2;2;0;1;1;0;3;4;8;1;3;0;2;2;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Leijen, W.J.;15;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Douma, D.;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
;;17;Ligthart, W.B.;29;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;3;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;18;Hofman-Rookmaker, J.S.C.;13;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;19;Boonstra, R.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;20;de Bruijn-Prevosth, G.C.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Beista, P.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Tuinen, D.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;23;Dijkshoorn, P.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Veldhuis, G.P.;26;2;7;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;25;Paques, J.H.J.;37;0;0;0;0;0;2;1;0;1;1;1;0;1;0;0;0;0;5;0;0;0;0;0;9;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0
;;26;Hofstra, P.H.;9;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Bandstra, H.;34;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;3;4;0;0;1;0;0;3;0;0;1;2;0;0;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
5;Gemeente Belangen Totaal Lokaal (GBTL);;;2831;72;53;36;41;58;33;65;52;32;27;74;53;54;54;39;39;50;58;19;76;69;78;52;24;136;30;22;46;21;35;8;50;7;25;22;26;19;30;28;6;6;11;8;7;2;11;19;14;18;5;10;9;24;2;15;11;19;55;51;62;45;59;89;12;26;61;3;9;16;15;17;19;33;14;31;32;17;6;6;6;28;8;47;35;29;12;16;16;37;9
;;1;Walsma, B.A.;756;6;22;13;5;8;7;15;11;10;3;12;9;6;9;10;3;11;13;5;16;19;18;18;15;8;16;12;12;6;14;5;30;3;17;15;16;10;22;12;2;2;6;5;7;1;2;10;10;3;3;4;3;7;0;8;4;3;10;11;9;16;14;13;8;12;11;2;4;3;5;7;1;2;0;4;12;1;3;3;2;2;6;9;7;0;9;8;8;7;5
;;2;van der Hoek, C.;395;5;9;3;7;9;9;11;11;4;3;15;15;14;11;7;13;8;17;2;7;20;5;4;1;3;5;0;6;6;3;0;3;0;2;3;3;8;1;6;0;1;1;1;0;1;3;6;0;3;0;2;2;2;2;2;2;4;1;2;1;1;6;3;3;2;13;0;1;6;3;5;4;5;3;9;3;1;1;1;0;4;2;12;7;1;1;1;0;1;1
;;3;Walinga, P.F.;69;3;0;0;1;0;0;0;0;0;0;1;1;0;0;2;0;0;0;3;0;1;16;10;0;0;0;1;1;1;0;0;1;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;3;0;0;1;0;0;1;0;1;1
;;4;Preij, P.B.;210;3;3;0;1;0;2;1;1;4;1;1;0;0;1;0;1;3;2;0;1;0;4;1;7;77;4;5;3;0;4;0;3;3;0;1;0;0;1;2;1;0;0;0;0;0;2;0;2;3;0;2;0;1;0;0;1;0;0;1;1;0;1;4;0;0;4;0;1;0;1;0;2;2;3;2;0;14;0;0;0;0;0;3;2;14;0;1;0;0;2
;;5;Amsterdam, P.H.;129;5;0;0;2;3;1;1;9;0;0;3;4;3;5;1;4;2;2;2;12;5;7;3;0;2;0;0;3;1;2;1;5;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;3;0;0;0;0;0;1;8;1;1;5;0;0;0;0;0;0;5;5;0;0;3;1;1;0
;;6;Kooijstra, H.T.;122;2;3;0;2;1;4;2;1;1;0;3;0;4;1;0;1;0;2;1;6;0;1;0;1;43;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;3;0;1;2;1;0;1;0;0;0;3;0;13;1;0;0;0;0
;;7;Oppedijk, P.;96;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;3;1;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;12;6;9;10;13;12;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;6;0;0;0;0;0;0;0;2;0
;;8;Hettinga, S.A.;614;47;14;20;20;33;8;35;14;11;20;30;23;25;21;16;13;23;16;6;32;20;7;4;0;2;1;1;17;4;10;1;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;1;0;0;0;0;0;1;1;6;26;0;0;0;3;2;9;12;3;14;9;0;0;0;0;0;0;12;10;1;0;0;0;0;0
;;9;Stobbe, M.;29;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Brouwer, G.;47;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;11;0;2;3;7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;7;1;0
;;11;Visser, H.W.G.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Walsma-Zwart, A.;26;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;2;2;0;0;1;0;1;0;0;0;4;0;0;1;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Dreijer, B.;10;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Tjoelker, F.;41;0;1;0;0;0;0;0;1;0;0;7;0;0;0;0;0;2;4;0;1;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0
;;15;Donkerbroek, E.R.M.;7;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Kampen, G.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Sonnega, R.H.J.;89;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13;13;15;6;8;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;9;0
;;18;Koudstaal, J.J.A.;7;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Zwaagstra, D.;18;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;2;3;3;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;20;van der Weide, A.L.;159;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;17;16;23;10;15;40;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;14;0
