Verkiezing;;Gemeenteraad Dantumadiel 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dantumadiel;;;;;;;;;;;;;;;;;;;;
Nummer;;1891;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Doopsgezinde Kerk Damwâld;Dorpshuis De Nije Warf;Nij Tjaerda;MFC  De Beijer;Herberge De Trochreed;Dorpshuis  De Pipegael;Kerkelijk Centrum De Mienskip;Kantine SC Veenwouden;Lokaal Gemeenschap van Christus Fogelsang;Lokaal Chr.Geref. kerk;Lokaal De Ferbiningstsjerke;Gemeentehuis 14 maart;Gemeentehuis 15 maart;Kerkelijk Centrum De Mienskip 14 maart;Kerkelijk Centrum De Mienskip 15 maart;Lokaal De Ferbiningstsjerke 14 maart;Lokaal De Ferbiningstsjerke 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;9104 BR;9104 GM;9113 PA;9104 KA;9105 KG;9067 DM;9108 NE;9269 SW;9269 NB;9271 GB;9271 CH;9271 BP;9104 BR;9104 BR;9269 SW;9269 SW;9271 BP;9271 BP
;;3;Kooistra-Roorda, T.E.J.;107;17;26;4;13;4;1;8;6;2;1;1;1;5;12;3;1;0;2
;;4;de Boer - Hilarides, G.E.;51;3;0;0;1;0;0;2;6;1;3;15;9;0;1;0;0;7;3
;;5;van Wieren, T;54;2;1;0;2;2;0;3;1;1;11;8;8;1;0;0;1;4;9
;;6;Koonstra, D.S.;16;0;1;3;2;1;0;6;0;0;1;1;0;0;0;0;0;0;1
;;7;de Vries, G.U.;27;2;2;3;1;11;2;3;0;0;0;0;0;2;0;0;0;0;1
;;8;Stienstra, W.T.;54;1;0;1;2;0;0;5;0;0;17;15;9;0;0;0;0;1;3
;;9;Heidstra, W;14;0;0;0;0;0;0;0;1;0;0;2;6;0;0;0;0;3;2
;;10;Annema, T;83;0;6;1;1;0;0;0;41;14;1;1;1;0;2;5;10;0;0
;;11;Wijbenga, A;13;0;0;0;0;0;0;0;0;0;4;5;4;0;0;0;0;0;0
;;12;van der Bij, P;18;3;0;0;0;9;1;0;0;0;0;0;1;0;2;2;0;0;0
;;13;van Dijk, H;17;4;0;0;6;0;0;2;0;0;0;0;1;1;3;0;0;0;0
;;14;Dantuma, J;50;4;3;21;3;0;0;3;6;0;2;4;0;0;4;0;0;0;0
;;15;Postma, R;20;3;0;0;7;3;0;1;1;1;0;0;0;0;3;0;1;0;0
;;16;Oegema, P;8;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;2;0;2
;;17;Rintjema, T;7;0;0;0;1;1;0;2;0;0;1;0;1;0;1;0;0;0;0
;;18;Rozema, T;4;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;19;Feenstra, W;11;1;4;2;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0
;;20;Franken, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Heidstra, P.J.;18;1;0;0;0;0;0;0;0;0;2;11;1;0;0;0;0;0;3
;;22;van Hijum, B;5;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;23;de Vries, U;11;1;0;0;1;1;3;0;0;0;0;1;0;0;3;0;0;0;1
3;Sociaal Links;;;1605;98;77;67;134;53;25;52;190;92;158;173;130;52;46;58;76;44;80
;;1;Kempenaar, R.;804;44;40;21;65;14;10;27;50;21;113;134;91;17;23;20;21;26;67
;;2;Zwart, H.;304;14;5;24;11;5;12;7;83;43;8;9;5;8;9;20;38;1;2
;;3;Wijbenga, J.;59;3;3;1;4;0;0;1;1;0;15;12;7;1;0;1;1;7;2
;;4;Sikma, A.;50;2;3;3;3;28;0;0;2;0;0;0;1;1;1;2;2;1;1
;;5;Nijland, H. M.;34;0;0;0;3;1;0;1;5;2;1;4;5;4;1;0;2;1;4
;;6;de Boer, J.D.;28;0;0;0;0;0;0;0;16;3;0;0;0;1;0;5;3;0;0
;;7;van der Meulen - Jansma, G.;61;15;7;3;14;1;0;2;0;0;3;0;1;10;3;0;0;0;2
;;8;Teunissen, R.H.A.;18;4;5;0;2;0;0;4;0;0;0;0;0;2;1;0;0;0;0
;;9;Noot, J.F.;18;0;0;0;0;0;3;0;7;5;0;0;0;0;0;0;3;0;0
;;10;Plantinga, H.;21;0;0;0;0;0;0;0;1;0;5;2;4;1;0;1;0;7;0
;;11;de Vries, E.;10;3;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Jagersma, F.;12;0;0;0;0;0;0;0;1;0;0;2;7;0;1;1;0;0;0
;;13;Oosterbaan, D.;32;0;0;0;0;0;0;1;11;12;0;0;1;0;0;4;3;0;0
;;14;Appel, M.C.;23;2;3;1;7;1;0;1;1;0;0;0;0;1;4;1;1;0;0
;;15;van der Meulen, F.IJ.;26;4;2;0;11;0;0;4;0;2;0;0;0;2;1;0;0;0;0
;;16;Brouwer, H.;7;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Nicolai, K.;19;0;0;0;0;0;0;0;4;1;5;4;3;0;1;0;1;0;0
;;18;Pranger, A.;11;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;2
;;19;Wiersma, M.;20;0;2;10;2;0;0;0;0;0;5;0;0;0;0;0;0;1;0
;;20;Hommes, H.;6;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0
;;21;Plantinga, G.;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
;;22;Appel, C.;10;1;0;1;3;1;0;0;1;0;1;0;0;1;1;0;0;0;0
;;23;Meijners, H.W.L.;7;0;0;0;0;0;0;1;2;0;0;0;0;0;0;3;1;0;0
;;24;Verf, W.G.;12;4;1;1;0;1;0;0;0;0;2;0;0;3;0;0;0;0;0
;;25;Hylkema, S.M.;10;2;0;2;2;0;0;3;0;0;0;0;1;0;0;0;0;0;0
4;ChristenUnie;;;1291;114;150;183;116;60;7;126;81;19;69;72;70;45;74;16;20;15;54
;;1;Wiersma, G.;673;69;64;100;66;37;5;70;36;7;31;40;31;31;38;9;9;6;24
;;2;Smit-de Vries, T.;112;6;19;27;12;6;0;9;4;0;3;6;1;6;1;4;5;0;3
;;3;Feddema, J.T.;55;8;4;7;11;5;2;3;7;2;0;1;0;0;3;0;0;0;2
;;4;de Vries-Kooistra, A.J.;61;8;10;8;7;0;0;4;0;1;3;0;1;3;14;0;1;0;1
;;5;van der Weij-Kooistra, A.B.;28;1;3;14;0;1;0;1;1;1;1;0;1;0;4;0;0;0;0
;;6;Wielinga-van der Wal, B.;49;2;3;1;3;0;0;14;10;2;2;1;4;0;1;1;2;0;3
;;7;de Jong, J.;9;0;1;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;;8;Tulner, R.P.;65;7;9;14;0;1;0;3;8;0;3;3;3;1;6;0;1;3;3
;;9;Dantuma, A.;30;1;1;1;1;0;0;3;2;1;6;5;1;2;1;0;0;1;4
;;10;Santema, S.B.;31;0;1;0;0;0;0;0;0;0;9;6;15;0;0;0;0;0;0
;;11;Sijtsma, K.;26;0;0;0;0;0;0;1;7;3;0;2;0;0;0;1;1;0;11
;;12;Nicolai, M.M.;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Visser, G.E.;10;0;0;0;1;0;0;0;0;0;6;3;0;0;0;0;0;0;0
;;14;Visser-Rintjema, J.A.;16;1;2;1;4;3;0;0;0;0;0;1;1;1;2;0;0;0;0
;;15;Klaver, E.T.;22;3;12;0;2;0;0;0;1;0;0;0;1;1;2;0;0;0;0
;;16;Veenstra, G.J.;32;5;8;0;4;5;0;5;1;0;0;0;4;0;0;0;0;0;0
;;17;Kooistra, M.A.;3;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;18;Westra, H.;12;0;1;2;0;0;0;1;0;0;2;0;2;0;0;0;0;1;3
;;19;Dijkman, C.;8;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0
;;20;Zwarts, K.;8;0;3;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0
;;21;Wielstra, Y.;8;1;4;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;22;Veenstra, P.D.;5;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Renes, G.;8;0;2;1;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;24;van der Meer, E.;5;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0
;;25;van der Pas, J.H.;9;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;1;0;0
;;26;de Vries, S.H.;3;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
5;FNP;;;805;39;53;35;41;61;11;47;116;26;60;94;69;20;27;21;36;20;29
;;1;van der Ploeg, F;377;17;30;15;14;22;6;30;46;13;25;58;33;10;4;10;25;13;6
;;2;Weistra, J.H.;29;0;2;9;2;0;0;0;5;0;0;0;11;0;0;0;0;0;0
;;3;Postma, J.J.;25;1;2;0;1;1;0;1;0;1;3;9;4;0;0;0;0;1;1
;;4;van der Ploeg, G;128;17;12;7;13;12;3;11;20;1;3;2;0;7;10;5;3;2;0
;;5;de Bruin, J.S.;56;0;1;0;2;0;0;0;4;1;17;14;0;0;0;0;0;4;13
;;6;Feddema, M;44;0;0;1;0;3;0;0;24;8;1;0;1;0;0;1;5;0;0
;;7;Postma, J;16;0;0;0;2;0;0;0;0;0;2;6;0;0;1;0;0;0;5
;;8;Holwerda, D;16;2;1;0;1;1;0;0;1;0;0;1;0;3;6;0;0;0;0
