Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;LindeStede, Wolvega;Lycklama Stins, Wolvega;Lenna, Wolvega;Sickenga-Oord, Wolvega;Clubgebouw Het Wolvennest, Wolvega;gymlokaal De Heidepolle, Wolvega;'t Polderhuus, Munnekeburen;Dorpshuis 't Griffioentje, Oldelamer;Dorpshuis De Bult, Ter Idzard;Kerkelijk centrum Ter Holten, Oldeholtpade;MFC de Ni'je Stienze, Nijeholtpade;Dorpshuis De Tille, Boijl;Openbare Bibliotheek, Noordwolde;Clubgebouw voetbalvereniging Zandhuizen;Sporthal De Duker, Noordwolde;Dorpscentrum Sonnega-Oldetrijne, Sonnega;Krommestede, Noordwolde;Dorpshuis ’t Hokkien, De Hoeve;Gebouw Het Anker, Steggerda;Dorpshuis 't Centrum, De Blesse;Dorpshuis, Oosterstreek;Gemeentehuis, Wolvega;Sportcentrum De Steense I, Wolvega;Sportcentrum De Steense II, Wolvega;Zalencentrum de Rank, Wolvega;’t Buurthuus, Noordwolde;'t Buurthuus, Noordwolde (14 maart);'t Buurthuus, Noordwolde (15 maart);Gemeentehuis, Wolvega (14 maart);Gemeentehuis, Wolvega (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Postcode;;;;;8471 KZ;8472 AB;8471 LC;8471 BS;8471 HH;8471 VM;8485 JE;8486 GD;8476 EN;8474 CL;8475 EB;8392 MA;8391 BG;8389 TH;8391 MH;8479 HH;8391 LH;8394 VP;8395 PJ;8397 GC;8388 NE;8471 KR;8472 AA;8472 AA;8471 CE;8391 AW;8391 AW;8391 AW;8471 KR;8471 KR
;;9;van Opstall, M.A.;27;0;0;2;0;9;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;5;4;0;2;0;0;0;0;1
;;10;Dekker, K.R.;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;11;Algra, W.S.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;12;Piersma, M.;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0
;;13;van Stee, M.H.;41;0;0;0;0;0;0;0;0;0;0;0;17;1;1;4;2;0;1;11;0;2;0;0;0;0;2;0;0;0;0
;;14;Schelhaas, A.;30;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;1;2;3;16;0;0;1;0;0;1;0;0;0;1
;;15;Bos, M.O.;37;0;2;6;0;2;2;0;1;0;2;2;0;0;0;1;0;0;0;0;3;0;1;4;4;3;0;0;0;1;3
;;16;From, J.;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;7;0;0;0;0;0
;;17;van der Weerd, N.;43;0;0;0;1;1;0;30;2;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;3;0;0;0;0
;;18;Opheikens, J.A.M.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Reuvekamp, A.;61;0;0;8;0;7;9;6;0;1;2;0;0;0;0;0;6;0;2;2;0;1;3;2;1;7;0;0;0;2;2
;;20;Clevering, J.;27;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;19;0;0;2;2;0;0;0;0;0;0
4;GROENLINKS;;;862;2;0;50;0;29;44;90;26;32;30;28;38;37;31;46;19;1;21;32;30;18;42;25;21;32;38;16;28;27;29
;;1;Thijssen, G.M.H.;344;2;0;20;0;10;17;45;8;16;10;18;15;7;16;9;11;1;7;11;12;6;15;11;11;15;10;10;9;10;12
;;2;Staats, P.G.M.;253;0;0;8;0;5;7;20;5;10;6;6;14;19;12;30;2;0;9;5;11;10;6;5;5;2;21;6;18;5;6
;;3;Luinstra, A.;38;0;0;1;0;2;6;0;2;1;2;2;0;0;1;0;0;0;1;1;0;0;3;2;3;3;1;0;0;4;3
;;4;Bonnier, R.A.C.M.;15;0;0;5;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0
;;5;Land, G.;36;0;0;6;0;1;1;0;8;0;1;2;1;2;0;1;0;0;0;1;2;0;5;0;0;1;1;0;0;2;1
;;6;Nieuwenhuis, P.J.;23;0;0;2;0;1;2;0;0;2;7;0;1;0;0;1;0;0;0;0;0;0;1;1;1;3;0;0;0;1;0
;;7;Hennink, H.;9;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;1;0;0;0;0;0;0;0;1
;;8;van Dongen, J.A.;23;0;0;5;0;3;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;4;0;0;0;0;1
;;9;Dridi, K.;8;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0
;;10;Verbrugge, M.S.S.;12;0;0;0;0;0;0;1;0;0;0;0;3;3;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;van Galen, G.W.A.;11;0;0;0;0;0;1;0;0;0;0;0;1;4;1;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0
;;12;Prins, F.A.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Zilverberg, E.;22;0;0;0;0;0;1;16;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;van der Valk-van Marrewijk, K.A.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;1
;;15;Kuiper, M.;6;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;16;Jongsma-Ligterink, J.J.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1
;;17;van de Bles, T.M.;16;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;1;0;0;1;0;0;1;1;0
