Verkiezing;;Gemeenteraad De Fryske Marren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Fryske Marren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Vrije Evangelische Gemeente De Brug;Party- en Zalencentrum 't Haske;Sporthal De Stuit;De Oerdracht;De Brede School;Woon- zorgcomplex De Werf;Doarpshûs;De Rank;MFS It Heechein;Dorpshuis Trefpunt;Kulturhûs;Dorpshuis De Sethage;Doarpshûs De Stjelp;De Hoekstien;Zorgcentrum Doniahiem, Wijkcentrum;Zalencentrum Sint Nyk;Doarpshûs 't Spantsje;Dorpshuis De Hichte;Verenigingsgebouw TV De Skarslach;De Klokkenstoel;Dorpshuis De Buorkerij;Wijkgebouw Us Haven;Verenigingsgebouw De Zandbanken;Buurthuis Sterrehuis;SCC De Hege Fonnen;Dienstencentrum Senioren;MFA De Steiger;Kerkgebouw Baptistengemeente;Café De Jister;SCC De Pomp;Dorpshuis De Brêge;Gaasterlânhûs;Zorgcentrum Talma Hiem, De Cirkel;Zalencentrum De Treemter;Dorpshuis Irene;Doarpshûs De Bining;Doarpshûs Nijemardum;MFC It Klif;MFC De Gearte;MFC De Skeakel;It Lokaal;Ons Gebouw;SCC De Poarte;Party- en Zalencentrum 't Haske (maandag);Zalencentrum Sint Nyk (maandag);SCC De Hege Fonnen (maandag);Gaasterlânhûs (maandag);Party- en Zalencentrum 't Haske (dinsdag);Zalencentrum Sint Nyk (dinsdag);SCC De Hege Fonnen (dinsdag);Gaasterlânhûs (dinsdag)
;;10;Feijen-Buitenkamp, D.H.;40;3;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;25;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;2
;;11;de Vrij, J.;35;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;4;2;3;6;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
;;12;Hoekstra-Sikkema, J.;18;3;1;1;2;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;13;van der Zijl, L.;54;3;4;0;4;2;1;1;0;0;0;7;5;9;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;1;0;0;0;5;0;0;1
;;14;Jonkman-Melchers, A.T.;34;1;0;0;4;0;0;0;0;2;0;0;2;0;1;0;8;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;2;2;0;0;1;0;1;0;0;1
4;Partij van de Arbeid (P.v.d.A.);;;2172;85;78;70;105;110;125;60;67;50;24;31;82;6;12;41;25;56;11;20;19;26;36;44;42;45;30;43;52;36;57;26;80;45;31;31;25;5;11;38;18;6;10;20;21;69;14;51;24;74;22;51;12
;;1;van der Meer, S.D.;1215;36;25;39;50;40;57;21;41;42;23;13;54;5;8;24;11;22;4;14;15;15;22;31;27;22;18;30;27;18;55;14;70;15;21;20;13;1;4;16;13;3;7;17;19;30;8;37;20;27;10;35;6
;;2;Dijkstra, J.;278;21;27;12;24;36;42;20;4;3;0;0;10;0;1;2;0;2;0;1;1;3;3;1;2;1;0;2;2;0;0;4;2;5;1;1;2;2;0;2;0;0;0;0;1;12;0;1;0;22;1;1;1
;;3;Swart-Jorna, G.E.M.;166;12;11;9;17;11;12;9;4;1;1;7;9;1;0;5;2;1;0;2;1;2;3;2;0;0;1;0;1;3;0;0;0;3;0;1;3;0;0;0;0;0;1;0;0;15;1;1;0;13;1;0;0
;;4;Westra, P.F.;82;4;0;2;1;4;0;2;3;0;0;2;1;0;2;6;8;11;3;0;1;1;0;0;0;3;0;2;0;1;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;3;7;2;0
;;5;Wit, P.;34;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;4;15;1;0;0;0;1;0;0;0;1;1;0;1;1
;;6;Toornstra, D.;57;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;10;1;5;13;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0
;;7;Tjerkstra, M.J.;31;1;0;0;0;0;2;1;9;2;0;0;1;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;1;0;2;0;0;0;1;0;0;0
;;8;Schurer, E.H.;60;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;6;6;6;10;4;8;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;5;0
;;9;Zijlstra, T.;26;0;0;0;1;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;2;0;0;0;1;1;0;0;2;2;3;0;0;3;3;1;0;0;1;0;0;0;0;0;0;0;0;0
;;10;Groenendal, F.N.;24;0;0;0;0;2;0;0;0;0;0;0;1;0;1;1;1;12;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;11;Zijlstra, A.;24;0;3;2;3;1;4;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Wiersma, S.;22;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;3;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;3
;;13;Oudega-Gombert, A.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;14;de Vries, B.A.;27;6;3;3;0;6;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;;15;Herrema, A.J.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;16;Sprong, D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Sigtema, S.;15;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;;18;Oudega, R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Konst, J.H.J.;27;2;2;1;1;3;2;2;0;0;0;1;1;0;0;0;3;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Jong, R.;60;3;5;0;6;4;0;2;4;2;0;5;2;0;0;0;0;0;0;0;0;2;5;2;0;1;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;1;1;0;0;7;0;1;0;2;0;1;0
5;GROENLINKS;;;1925;69;50;83;127;81;93;39;43;32;17;16;159;16;10;63;21;26;13;27;8;26;50;18;28;39;49;16;27;43;30;13;59;58;23;30;20;9;16;37;37;8;31;25;26;35;6;18;27;63;9;30;26
;;1;Merkuur, A.A.;1318;56;36;60;88;57;57;28;23;18;10;13;155;14;9;15;15;23;11;21;7;18;31;14;20;24;44;14;18;33;24;11;44;25;5;12;13;5;12;27;22;4;19;6;15;25;6;14;14;45;5;24;9
;;2;van Bruggen, T.A.M.;129;2;1;3;1;0;3;2;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;0;2;2;0;1;1;1;0;0;19;11;9;4;3;3;6;3;0;7;10;9;0;0;1;9;0;0;0;11
;;3;Uilenreef, M.T.;121;2;3;3;7;5;7;3;18;12;2;2;0;1;0;2;0;1;0;1;1;2;3;0;1;6;0;0;5;2;1;0;8;1;0;0;0;0;1;1;5;0;0;1;0;5;0;1;1;3;2;1;1
;;4;van der Heijden, A.M.;111;3;5;11;19;16;19;1;0;1;1;0;0;0;0;2;2;0;0;1;0;1;0;0;3;1;1;1;0;3;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;11;1;1;0
;;5;Haarsma, F.R.;31;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;1;0;5;1;1;0;1;0;0;0;4;2;1;0;0;0;0;0;3;0;1;1
;;6;Veldhuizen-de Bode, S.C.;75;1;1;2;5;2;2;2;0;0;0;0;1;0;1;40;4;2;0;0;0;1;0;1;0;1;1;0;2;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;7;Kramers, N.E.;70;1;0;2;1;0;1;0;0;1;4;0;0;0;0;2;0;0;1;0;0;0;0;1;3;1;0;0;0;2;0;0;1;7;6;8;1;0;0;2;5;0;2;7;1;0;0;1;3;0;0;2;4
;;8;Groeneveld, I.;70;3;2;2;6;1;4;3;1;0;0;0;1;1;0;2;0;0;0;3;0;3;16;1;0;4;1;0;1;1;2;0;3;0;0;0;0;0;0;1;1;0;1;0;1;3;0;0;0;1;0;1;0
6;D66;;;1072;35;18;35;60;56;23;30;20;19;6;6;69;4;7;11;18;19;3;6;9;16;30;13;23;44;44;11;22;41;18;12;21;35;5;12;10;7;5;27;15;1;15;4;15;30;5;23;16;36;9;37;16
;;1;Speelman, J.;700;23;16;30;53;52;22;26;13;16;4;5;45;3;2;11;10;15;3;3;7;10;13;7;11;20;22;4;5;19;8;6;15;15;4;7;4;4;2;20;7;1;11;3;12;24;5;10;9;27;8;21;7
;;2;Koops, H.W.;37;1;0;0;1;1;0;0;0;3;0;0;3;0;3;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;2;3;3;4;1;0;1;0;1;0;0;0;1;1;0;0;2
;;3;Vonk, A.;51;3;0;1;2;1;0;0;4;0;0;1;9;1;1;0;2;0;0;2;0;1;3;1;0;0;3;0;0;0;2;3;1;1;0;2;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;2;0
;;4;Postma, J.;74;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;4;7;6;8;5;6;9;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;4;0;1;0;6;0
;;5;Blum, K.;47;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;6;3;1;10;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;2;0;5;1;3;0
;;6;de Vries, T.Y.;23;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;;7;Linde, M.J.;61;1;1;1;0;0;1;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;18;1;3;4;0;0;0;5;0;2;0;0;0;0;0;5;0;0;2;6
;;8;Noorman, M.M.;43;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;8;7;1;0;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;1;0;2;0
;;9;Frehner, U.R.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1
;;10;Krantz, G.J.;14;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Esser, A.J.;10;3;1;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Nieuwe Communistische Partij-NCPN;;;1168;15;8;5;7;15;14;5;9;12;4;1;9;2;0;4;6;11;2;4;5;2;2;86;129;91;44;133;184;42;55;15;18;6;8;8;6;7;2;3;11;2;0;1;7;5;3;74;5;6;3;69;3
;;1;Visser, R.;997;12;7;5;4;10;11;5;9;7;3;0;9;1;0;2;5;10;2;3;3;2;2;79;116;79;40;100;161;39;53;13;13;5;6;8;6;7;0;2;11;2;0;1;7;4;2;61;5;6;2;56;1
;;2;Barelds, S.;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;1;12;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;1
;;3;Weber, M.C.;51;2;0;0;0;3;1;0;0;4;1;1;0;1;0;0;0;0;0;1;2;0;0;1;7;4;0;6;5;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;5;0;0;0;1;0
;;4;van Drie, M.J.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;7;2;2;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3;0
;;5;van der Werf, H.;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
;;6;Riedstra-Olsen, A.;26;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0
;;7;Visser-Wheda, H.T.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;Jousma, C.;8;0;1;0;1;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Visser, B.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Brilleman, A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bootsma, E.Z.;9;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
;;12;Visser, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;ChristenUnie;;;979;16;18;16;38;42;35;21;32;35;2;8;49;3;16;7;14;12;4;7;9;7;2;10;15;19;10;25;21;29;15;17;77;27;28;17;20;12;20;79;14;3;3;12;18;21;0;11;13;12;3;16;19
;;1;Holtrop, S.;540;12;13;12;33;34;27;15;18;23;1;8;31;2;7;2;10;7;2;7;5;5;2;6;2;7;4;12;8;14;2;12;12;14;15;8;14;4;13;35;8;2;3;9;10;12;0;3;8;9;1;10;7
;;2;Struijs, T.P.A.;26;1;3;1;0;3;1;4;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0
;;3;Broek, G.J.;77;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;8;3;2;10;10;9;0;0;4;0;0;1;0;0;1;7;1;0;0;0;0;0;0;5;3;0;0;2;2
;;4;Dieters, J.A.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;5;Hoekman, J.;10;1;0;0;0;1;0;1;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;6;de Jong, E.;14;0;0;0;1;0;0;0;8;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Pietersma-Afsardel, H.;15;0;0;1;1;1;1;1;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Paas, H.S.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van der Veen-Miedema, A.S.;47;0;1;0;0;2;1;0;3;1;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;2;2;0;1;19;1;0;0;0;0;3;0;0;0;0;0;0;2
;;10;Tichelaar-Dijkstra, M.H.;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;7;2;4;1;1;1;0;0;0;1;3;1;0;0;2;0;0;0;2
;;11;Hoogkamp-Hoekstra, J.T.;23;0;0;0;0;1;3;0;0;1;0;0;2;0;4;0;2;3;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;12;Hospes, J.;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;2;1;0;7;4;8;3;0;0;2;2;0;0;3;0;0;0;0;0
;;13;Roest, J.H.;96;2;0;0;0;0;1;0;2;3;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;11;5;58;1;0;1;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;3;0
;;14;Wesseling, H.P.;10;0;1;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;15;van Eck, P.C.;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Boer, Y.;18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;1;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5
9;Burgerpartij De Fryske Marren;;;1302;67;46;53;90;89;80;36;21;31;11;16;57;8;8;25;17;16;0;18;11;8;22;13;32;32;19;18;26;36;23;29;32;28;14;16;8;13;11;22;20;2;6;3;20;38;2;13;3;43;7;37;6
;;1;ten Boom, G.;665;45;15;34;50;39;39;23;12;21;5;7;30;6;7;16;11;9;0;14;4;6;12;3;10;9;6;6;6;20;11;15;24;12;8;8;4;6;5;9;16;2;2;3;13;18;1;1;2;21;3;12;4
;;2;IJntema-Salverda, R.N.;209;10;7;8;16;23;14;6;4;3;2;3;10;0;1;5;1;4;0;2;4;0;4;0;3;3;1;0;1;0;9;4;5;6;4;7;2;1;2;7;2;0;2;0;1;6;0;2;1;7;2;3;1
;;3;Brugman, J.D.;51;1;2;3;3;7;3;0;0;1;0;0;1;0;0;2;1;1;0;0;0;1;0;1;2;1;0;0;2;2;1;0;1;2;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0;3;1;2;0
;;4;Bakker, M.M.;119;0;1;1;1;0;3;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;4;9;15;8;6;14;13;1;3;1;3;0;0;0;1;1;2;1;0;0;0;1;0;0;9;0;0;0;15;1
;;5;van der Zalm, T.;54;1;3;5;8;3;1;5;1;1;0;2;1;1;0;2;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;4;0;0;0;6;0;1;0
;;6;de With, J.;19;0;0;1;0;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0
;;7;Hummel-Goudemond, M.;14;0;0;0;0;1;3;0;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;8;Sixma, E.;22;0;4;1;2;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;9;Hijlkema, C.;24;4;2;0;1;2;3;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;10;Walinga, L.D.;42;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;3;4;3;3;1;1;4;1;0;0;0;1;4;2;2;0;0;1;0;0;0;0;1;0;0;0;3;0
;;11;Bruinsma, D.;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;IJntema, R.;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Horstman, W.J.;15;1;5;0;1;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Salverda, F.;11;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Rodenhuis, D.D.;11;0;1;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
;;16;ten Boom, M.;12;0;5;0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Koehoorn, M.H.;7;0;1;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;IJntema, J.;20;3;0;0;2;4;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
10;Kleurrijk Fryske Marren (KFM);;;2278;52;22;61;69;59;44;30;77;158;23;37;63;51;24;31;31;46;33;57;47;18;24;21;38;99;33;33;33;35;69;74;64;50;39;40;54;39;49;110;31;17;21;45;26;43;7;16;18;32;20;38;27
;;1;Holtrop-Hoekstra, G.A.;798;19;10;22;26;24;18;12;6;17;9;14;37;11;12;16;21;26;13;22;25;9;18;10;17;37;16;13;14;16;18;15;27;21;12;13;12;8;18;24;9;7;5;9;16;15;4;6;9;7;11;13;9
;;2;Maat, T.J.;303;3;2;19;1;4;2;0;23;105;4;7;10;10;0;2;1;4;1;31;2;0;2;1;0;2;0;1;4;0;2;7;19;3;1;2;3;2;1;3;3;1;0;1;1;2;0;4;1;1;2;0;3
;;3;van der Werf-Vaatstra, J.F.;274;8;3;7;9;5;3;4;3;7;4;8;4;10;6;6;3;8;3;1;4;2;0;2;9;28;8;7;1;5;37;9;7;2;3;1;7;3;2;3;2;1;1;2;1;5;0;3;0;9;3;5;0
;;4;Smink, S.;206;1;0;0;0;2;1;1;0;0;0;2;1;1;0;0;1;1;1;1;1;2;0;1;2;2;0;2;2;0;0;1;0;7;9;11;9;19;23;70;12;3;1;2;5;0;1;0;4;0;0;0;4
;;5;de Jong-de Boer, J.;89;0;0;0;4;0;0;1;1;4;1;0;2;1;0;0;0;0;2;0;0;0;1;1;2;4;0;0;1;1;8;36;8;0;0;2;1;0;0;2;0;0;0;0;0;0;1;0;0;1;0;4;0
;;6;Schotanus, L.E.;87;7;3;3;14;12;7;2;1;1;1;3;1;1;1;5;2;1;0;0;2;0;2;0;1;1;2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;6;0;1;0;2;0;0;1
;;7;Elgersma, J.;115;0;0;1;2;0;0;1;0;1;0;0;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;10;9;6;10;3;4;3;3;3;13;28;2;0;0;0;1;1;0;0;8
;;8;Lenes, R.C.H.;70;3;0;2;1;6;1;0;38;0;0;0;0;3;0;1;0;1;1;0;0;0;0;0;0;2;1;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;2;0
;;9;Hamstra, G.C.;34;1;0;0;0;0;0;1;2;9;0;0;0;0;0;0;0;0;9;1;1;0;0;4;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
