Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het gemeentehuis;Wijkcentrum De Utwyk;Wijkcentrum De Kouwe;Chr.Ger. Kerk;Sportcentrum Drachten;Buurthuis De Skûle;MOS - Brede School De Drait (A);Tienersoos Place 2 B (Dr.vaart);Wijkcentrum De Skammel;Basisschool 't Tweespan;Dorpshuis 't Bynt Boornbergum;Lokaliteit De Nije Kompe Dr.comp.;Dorpshuis De Huchte Houtigehage;Dorpshuis Op 'e Jister Nijega;Dorpshuis De Wringe Opeinde;MFC Oudega;Dorpshuis It Werflân;De Naturij;Dorpshuis De Tike;It Polderhûs;De Kakelhof;Sporthal De Drait;Sporthal De Waring;Trefpunt de Holdert;Watersportvereniging Drachten/De Veenhoop;Tennisvereniging Drachten;Dansschool Studio to B;Brede school de Wiken;Kerk de Oase;Adverium;Fonteinkerk;Het gemeentehuis;Het gemeentehuis;Dansschool Studio to B;Dansschool Studio to B;MOS - Brede School De Drait;MOS - Brede School De Drait;Sportcentrum Drachten;Sportcentrum Drachten;Brede school de Wiken;Brede school de Wiken
Gebiednummer;;;;;1;2;6;7;10;14;15;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;34;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59
Postcode;;;;;9203 RM;9201 XE;9201 TE;9203 AN;9202 LC;9203 ND;9204 JT;9204 LM;9205 DE;9205 BN;9212 PK;9222 NA;9223 LB;9217 RL;9218 PP;9216 WE;9221 TD;9204 WS;9219 VM;9215 VZ;9218 PA;9204 CM;9207 DD;9203 DH;9213 VP;9207 AB;9203 HH;9202 GV;9201 GT;9202 PD;9201 BW;9203 RM;9203 RM;9203 HH;9203 HH;9204 JT;9204 JT;9202 LC;9202 LC;9202 GV;9202 GV
;;7;Rijpma, M.J.;52;1;5;0;1;2;2;4;2;2;1;3;0;0;1;0;4;0;1;1;0;1;0;1;4;1;1;1;4;2;0;0;1;0;0;1;1;2;0;0;0;2
;;8;Veeman, W.J.K.;28;1;0;0;0;1;1;7;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;1;1;0;0;1;0;0;0;1;2;3;0;0;0;0;0;2;0;2
;;9;Jongsma, J.;23;3;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;3;3;0;0;0;1;0;0;1;0;2;1;0;3;0
;;10;Kooistra, S.;24;0;1;0;3;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;2;0;0;1;0;2;2;0;0;0;0;3
;;11;van der Zwan, P.D.;238;14;7;8;12;9;7;13;13;3;13;7;4;0;2;6;3;1;12;0;3;10;4;17;7;0;4;5;4;3;1;6;6;4;3;0;7;11;2;3;1;3
;;12;Felten, G.J.;33;0;3;2;1;3;0;3;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;1;0;2;2;0;2;0;1;0;1;0;0;1;4
;;13;Adema, P.;37;4;3;0;1;2;2;0;0;0;2;2;1;0;0;1;0;0;3;0;2;0;1;1;0;5;0;0;1;2;0;0;1;0;0;1;0;0;0;1;1;0
;;14;Venema, M.;70;1;1;5;6;5;1;3;2;1;1;0;1;0;5;3;0;2;1;0;0;2;0;4;0;0;2;0;5;7;0;4;0;0;1;0;0;4;0;1;1;1
;;15;Kok, A.C.;10;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;1
;;16;Bruinsma, J.J.;30;1;1;0;0;1;7;4;0;0;1;0;0;0;0;2;0;0;2;0;0;0;2;1;1;0;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;1
;;17;Hakvoort, B.J.;23;0;0;0;0;0;0;1;0;0;2;1;1;0;3;3;0;1;0;4;0;1;0;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0
;;18;de Jong - de Boer, J.;23;0;1;0;2;0;1;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;1;1;0;0;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;1
;;19;Berenst, E.;11;0;0;0;0;3;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0
;;20;de Jong, J.E.;70;0;4;1;3;1;5;0;2;0;3;4;1;0;2;0;2;1;2;0;0;5;2;2;0;0;3;0;2;2;1;8;2;7;0;0;0;1;3;0;0;1
3;CDA;;;3379;124;122;55;84;77;146;141;58;52;78;126;86;19;84;155;231;129;75;34;20;75;63;142;43;46;145;91;73;115;31;49;74;132;26;51;73;117;9;42;33;53
;;1;van der Meer, T.;1616;69;65;31;46;45;91;77;29;29;38;75;37;9;10;29;38;31;27;9;11;40;34;75;30;30;58;53;41;53;12;26;54;87;18;28;42;67;6;22;24;20
;;2;Rijpma, S.;128;2;2;4;2;6;3;4;0;1;2;4;4;1;1;3;1;0;5;0;0;3;0;10;2;0;17;3;7;3;2;1;4;5;2;2;2;5;0;2;3;10
;;3;de Voor-Veenstra, M.;387;6;17;5;9;8;10;19;12;4;12;10;14;5;0;10;7;80;9;5;0;7;7;22;3;2;11;12;10;10;3;7;7;4;0;6;6;13;0;7;3;5
;;4;Hiemstra, D.;313;4;0;1;5;2;1;5;1;0;1;13;22;2;62;85;28;14;0;17;8;4;2;5;0;1;2;4;0;3;2;2;0;0;0;6;1;1;0;3;1;5
;;5;Jacobi, N.R.;303;17;24;5;6;7;8;8;4;2;8;8;1;0;1;5;4;1;12;2;1;12;2;16;1;5;35;6;7;33;5;4;2;16;2;6;6;8;1;2;2;8
;;6;van der Velde, E.;188;2;0;0;0;0;0;2;1;0;2;5;1;1;9;4;146;1;3;0;0;0;1;2;0;0;0;1;0;1;0;2;1;1;0;0;1;0;0;0;0;1
;;7;Eilering, W.;44;2;0;1;5;3;3;1;3;2;0;0;1;0;0;1;0;0;3;0;0;0;1;1;0;0;4;0;2;1;0;2;1;1;0;0;1;4;0;1;0;0
