Verkiezing;;Gemeenteraad De Bilt 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Bilt;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0310;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Jagtlust;Stembureau VvSo WVT;Stembureau Oosterlichtkerk;Stembureau De Woudkapel;Stembureau Centrumkerk;Stembureau OLV kerk;Stembureau NOVA kantine;Stembureau Kees Boekehal;Stembureau HF Witte Centrum;Stembureau Gebouw van het Rode Kruis;Stembureau MENS Servicecentrum De Bilt;Stembureau RK Michaelkerk;Stembureau Ontmoetingskerk;Stembureau SOJOS (Jongerencentrum);Stembureau De Groene Daan;Stembureau Dorpshuis Hollandsche Rading;Stembureau Dorpshuis Westbroek;Stembureau Jagtlust (14-3-22);Stembureau HF Wittecentrum (14-3-22);Stembureau Centrumkerk (14-3-22);Stembureau SOJOS (14-3-22);Stembureau Jagtlust (15-3-22);Stembureau HF Witte Centrum(15-3-22);Stembureau Centrumkerk (15-3-22);Stembureau SOJOS (15-3-22)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;30;31;32;33;34;35;36;37
Postcode;;;;;3721 AB;3721 EA;3721 MJ;3723 JG;3722 GR;3723 KR;3721 WZ;3723 BA;3731 CL;3732 BA;3732 EV;3731 EE;3738 VC;3738 CB;3737 RK;3739 KM;3615 AG;3721 AB;3731 CL;3722 GR;3738 EB;3721 AB;3731 CL;3722 GR;3738 CB
;;21;van Riet, P.J.M.;11;0;0;1;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;22;de Vos, C.;7;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;23;Mieras, H.J.M.A.;13;1;0;1;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
;;24;Limborgh-van der Houven, M.M.;12;0;0;1;1;3;1;0;3;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Poot, F.A.;61;3;2;11;2;1;5;0;6;3;2;3;2;1;1;4;0;0;3;2;2;0;3;2;2;1
5;CDA;;;1458;68;42;40;92;90;59;17;33;77;37;13;26;174;95;55;107;109;31;21;47;19;52;58;58;38
;;1;de Groot, D.A.W.;653;18;16;13;22;29;19;7;13;30;18;8;8;141;70;26;17;27;14;11;19;14;24;36;26;27
;;2;Flierman, P.G.;115;12;2;2;16;19;27;1;4;2;1;0;3;1;0;1;1;0;4;1;3;0;5;3;7;0
;;3;Pot, B.F.C.;51;6;6;3;2;5;2;2;2;7;0;2;1;0;0;1;0;0;2;1;0;1;2;3;3;0
;;4;Koren, M.F.A.M.;65;6;3;7;2;3;1;2;1;6;2;2;10;2;0;1;0;1;4;4;2;0;3;2;1;0
;;5;Muijs, A.J.A.;98;1;4;1;0;0;0;0;1;4;0;0;0;4;0;0;79;1;0;0;0;0;2;0;1;0
;;6;Boere, C.W.L.;83;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;2;72;0;0;0;1;0;1;0;2
;;7;Spelt, T.;43;2;1;4;0;0;0;0;2;5;1;0;1;0;2;18;0;0;0;2;1;0;2;2;0;0
;;8;van der Burg, E.L.E.F.;75;5;2;4;6;10;1;0;2;11;11;1;2;1;0;3;3;3;0;1;2;0;2;5;0;0
;;9;Brouwer - van Dijken, A.A.J.;39;1;3;1;11;1;3;0;2;1;0;0;0;0;0;0;4;1;1;0;3;0;3;0;4;0
;;10;Andringa - Brattinga, B.S.;37;0;0;1;0;5;0;2;0;4;1;0;0;7;6;0;0;0;1;1;4;0;0;2;2;1
;;11;Zaal, W.;20;2;2;1;1;0;2;0;1;2;0;0;0;0;0;1;0;0;1;0;1;0;3;1;2;0
;;12;Schuurman, I.M.;46;5;2;2;1;8;0;0;1;0;1;0;0;0;1;1;0;0;3;0;7;3;3;0;8;0
;;13;de Rooij, W.H.;33;0;0;0;0;1;0;0;0;0;0;0;1;14;8;3;1;0;0;0;0;0;0;0;0;5
;;14;Bakker - Smit, M.C.T.;100;10;1;1;31;8;4;3;4;3;2;0;0;3;7;0;0;4;1;0;5;0;3;3;4;3
6;Forza De Bilt;;;2634;232;126;118;233;197;98;18;163;194;87;82;41;175;87;102;97;61;90;46;64;22;115;80;74;32
;;1;Schlamilch, P.;1496;121;73;63;143;130;72;6;97;103;37;39;14;92;53;55;62;35;42;27;44;9;59;53;46;21
;;2;Brekelmans, K.C.M.;623;67;31;32;53;42;11;5;42;32;17;16;11;50;26;32;28;14;24;6;11;5;29;16;17;6
;;3;Vendrig, F.C.D.;44;6;2;1;2;4;2;0;2;1;2;5;0;2;1;4;0;2;2;2;0;2;0;1;1;0
;;4;van der Vlist, E.M.;161;14;2;9;4;2;4;3;4;25;14;12;9;12;3;2;1;4;6;8;4;3;6;8;1;1
;;5;Oskam, B.G.;67;7;4;5;5;1;2;0;3;13;8;4;0;2;0;1;2;0;1;0;1;0;4;1;0;3
;;6;Huussen, P.;86;8;5;1;7;7;5;2;6;11;1;1;3;4;3;4;1;0;6;1;2;1;7;0;0;0
;;7;van den Noort, G.J.H.A.;16;2;2;2;0;2;0;0;1;2;1;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0
;;8;Woudstra, A.W.;21;1;1;0;2;4;0;1;2;1;0;0;0;1;0;0;0;0;2;0;1;0;2;0;3;0
;;9;de Sousa Jorge Ferreira, J.A.;30;0;4;2;3;0;0;0;1;1;4;2;1;5;0;3;1;0;0;0;0;0;2;0;1;0
;;10;Defaix, Y.R.;10;1;0;0;0;1;0;0;2;0;0;0;0;3;1;0;0;1;0;0;0;0;1;0;0;0
;;11;Manche, H.M.;6;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;12;Straatman, T.E.;22;2;1;1;0;1;0;0;0;4;0;2;1;3;0;1;1;2;1;1;0;0;0;0;0;1
;;13;Bouman, M.G.J.;17;0;0;0;6;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;5;0
;;14;Westerhof, P.J.;13;0;0;2;1;0;0;0;3;0;2;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0
;;15;Schotgerrits, A.H.J.B.;22;1;0;0;7;2;2;0;0;1;0;1;0;1;0;0;0;2;2;0;1;0;2;0;0;0
7;Partij van de Arbeid (P.v.d.A.);;;1545;147;107;85;49;112;34;17;94;125;54;50;45;49;30;101;23;21;74;48;41;24;84;69;46;16
;;1;Hagedoorn, K.;800;75;66;51;37;63;14;13;46;73;24;23;25;24;12;19;9;9;42;31;22;15;48;29;22;8
;;2;Schoor, G.;315;28;15;19;5;22;6;1;14;30;20;18;15;9;5;11;8;10;10;12;4;3;15;23;7;5
;;3;Lauxtermann, M.R.;93;1;0;2;4;0;0;1;0;2;2;0;0;2;0;66;1;0;6;0;2;0;2;2;0;0
;;4;Tempelaars, M.J.;92;9;11;6;1;8;5;0;9;4;4;1;1;2;0;4;3;0;3;2;8;0;5;2;4;0
;;5;van de Kappelle, C.;67;5;4;4;0;8;2;0;10;3;1;5;0;0;1;1;0;1;3;0;1;0;6;8;4;0
;;6;Roozenboom, P.;21;3;2;1;0;0;0;0;4;3;1;1;1;0;0;0;0;0;0;2;1;0;2;0;0;0
;;7;Stammes, J.F.;24;3;0;0;0;5;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;1;1;1;8;0
;;8;Maessen, S.H.F.;22;5;0;1;1;2;1;0;2;2;1;1;0;1;1;0;0;1;2;0;0;0;1;0;0;0
;;9;Dröge, C.J.G.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;10;de Heer, M.M.;14;6;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0
;;11;van Huissteden, L.;12;0;1;0;0;1;0;1;1;0;1;1;2;0;0;0;0;0;2;1;0;0;1;0;0;0
;;12;Meijer, D.A.;26;0;0;0;0;0;0;0;1;0;0;0;0;10;10;0;0;0;0;0;0;3;0;0;0;2
;;13;Siksma, W.;10;4;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
;;14;Mulder, G.F.;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Hoogewerf, E.M.W.;6;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Mulder, M.F.;8;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;17;van Rest-van Nieuwkerk, C.D.;4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Akse, J.;8;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Ras, J.G.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Mutsaers, H.P.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
;;21;Harms, M.;10;3;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1
8;Staatkundig Gereformeerde Partij (SGP);;;1187;46;10;14;13;26;12;1;4;20;15;14;15;294;183;96;53;208;13;5;7;37;10;5;8;78
;;1;Vonk Noordegraaf, A.;649;35;5;13;6;16;4;0;4;10;11;7;15;179;113;50;33;38;9;4;5;29;6;2;6;49
;;2;van der Vlies, A.J.W.;149;3;1;0;3;4;1;0;0;1;1;1;0;50;32;9;6;10;1;0;1;6;2;0;0;17
;;3;van Asselt, T.J.;48;3;1;0;1;0;0;0;0;5;0;0;0;12;8;6;8;0;0;0;0;1;0;1;0;2
;;4;Hennipman, W.;98;0;0;0;2;1;0;0;0;0;1;0;0;6;6;3;2;74;0;0;0;0;0;0;0;3
