Verkiezing;;Gemeenteraad Nieuwegein 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nieuwegein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadshuis;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Buurtplein Doorslag;Stembureau t Veerhuis;Stembureau Petanquecentrum Nieuwegein;Stembureau Stadshuis;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Buurtplein Doorslag;Stembureau 't Veerhuis;Stembureau Petanquecentrum Nieuwegein;Stembureau Stadshuis I;Stembureau Stadshuis I I;Stembureau Buurtplein Batau;Stembureau Buurtplein Doorslag;Stembureau Enik Recovery College (Voorheen La CaZa);Stembureau 't Veerhuis;Stembureau Kerkelijk Centrum De Rank;Stembureau Dorpshuis Fort Vreeswijk;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Petanquecentrum Nieuwegein I;Stembureau Petanquecentrum Nieuwegein II;Stembureau Bouwspeeltuin Batau l;Stembureau Bouwspeeltuin Batau l l;Stembureau Examenadviesburo;Stembureau MeetingDistrict;Stembureau Sporthal Galecop l;Stembureau Sporthal Galecop l l;Stembureau Sporthal Galecop l l l;Stembureau Sporthal Merwestein l;Stembureau Sporthal Merwestein l l;Stembureau Sportzaal Wijkersloot l;Stembureau Sportzaal Wijkersloot l l;Stembureau Sportzaal De Sluis l;Stembureau Sportzaal De Sluis l l;Stembureau De Partner I;Stembureau De Partner II;Stembureau Gymnastieklokaal De Driemaster l;Stembureau Gymnastieklokaal De Driemaster l l;Stembureau Gymnastieklokaal De Triangel l;Stembureau Gymnastieklokaal De Triangel l l;Stembureau Gymnastieklokaal De Driehoek l;Stembureau Gymnastieklokaal De Driehoek l l;Stembureau Emmauskerk
;;12;Kraaimaat-van de Biezenbos, N.;21;0;2;1;1;0;0;0;1;1;1;0;0;0;2;0;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0
;;13;Koops, W.F.;15;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;1;0
;;14;Metaal, W.;9;0;0;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0
;;15;Baars, G.H.;10;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Engel, N.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Koops-Rijkeboer, J.T.;8;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0
;;18;van der Gouw, M.J.E.;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Regouw-Roelands, A.A.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Zuring, A.;17;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
;;21;Van Dort-ter Denge, F.G.P.;23;2;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;4;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;2;1;2;2;0;0
;;22;Wempe-van der Ploeg, J.P.M.;11;0;3;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
7;ChristenUnie;;;1029;31;10;13;24;9;30;12;32;41;12;15;25;75;32;56;34;37;95;20;13;8;4;24;18;15;15;5;21;12;7;15;20;36;27;7;10;7;13;39;35;31;29;15
;;1;Voorthuijsen-de Boer, M.R.;587;19;7;2;13;8;19;6;22;12;12;5;13;47;21;36;18;17;37;9;7;7;2;16;8;11;9;5;16;7;4;10;12;19;13;5;6;4;6;21;23;20;21;12
;;2;Schiltkamp-van Dixhoorn, J.C.;135;2;0;3;8;0;5;2;0;18;0;4;3;6;1;2;7;3;20;3;1;1;0;2;7;1;1;0;1;2;1;1;1;12;4;0;2;1;1;1;2;3;2;1
;;3;Voorberg-van Leeuwen, J.L.M.;22;1;0;0;0;0;0;0;0;0;0;1;0;3;1;1;1;2;1;0;0;0;0;0;0;1;0;0;2;0;0;1;1;1;0;1;0;0;0;2;2;0;0;0
;;4;Vosslamber, J.;28;6;1;3;1;0;0;0;1;0;0;0;0;1;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;1;0;0;1;0;2;1;0
;;5;Monrooij, E.A.R.;62;0;0;0;1;0;2;1;2;5;0;2;4;3;1;2;3;0;8;4;1;0;0;0;2;0;1;0;0;1;0;1;1;0;3;1;0;1;5;3;0;2;1;1
;;6;Neelis, M.L.;12;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
;;7;van der Neut-Roseboom, H.E.J.;44;1;0;0;0;0;0;2;0;0;0;1;0;0;2;3;0;1;10;0;0;0;0;3;0;0;2;0;2;1;0;0;4;2;3;0;0;0;0;3;0;3;1;0
;;8;Ensing, G.S.;5;0;0;2;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Riemersma-van der Wiel, C.D.;15;0;0;2;0;0;0;0;0;0;0;1;0;0;0;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1
;;10;de Boer, J.;10;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Schotanus, T.;62;2;1;1;0;0;2;1;4;3;0;0;4;9;3;3;1;7;2;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;3;0
;;12;Monrooij, M.J.;47;0;1;0;1;0;2;0;1;3;0;0;1;1;0;1;1;4;16;2;1;0;0;0;1;0;2;0;0;0;0;0;1;1;3;0;0;0;1;1;1;1;0;0
8;LOKALE VERNIEUWING;;;2118;46;41;18;33;27;54;40;21;49;45;29;28;123;65;82;54;66;125;100;49;54;31;55;36;80;42;31;30;24;29;43;30;25;45;23;35;19;21;84;87;90;75;34
;;1;Peters, H.M.G.;1394;30;30;10;18;21;33;25;17;33;27;16;19;80;46;54;37;37;90;74;35;41;16;35;21;57;30;17;18;12;14;32;19;9;28;15;24;10;6;54;44;74;60;26
;;2;van Engelen, J.R.J.;210;6;2;2;5;3;7;5;3;5;3;4;4;8;6;6;6;8;21;7;3;4;3;3;4;3;2;4;8;2;5;2;3;7;11;1;4;4;3;4;10;4;3;2
;;3;Goulmy, V.H.J.M.;75;0;4;2;0;0;3;3;0;0;9;1;1;9;1;0;0;0;0;3;0;1;0;3;1;12;2;1;1;0;0;1;1;1;0;1;2;0;0;6;5;0;1;0
;;4;Jean, Y.;124;5;0;1;7;1;2;2;0;4;1;0;3;9;4;5;3;6;1;8;2;0;5;2;1;3;0;1;0;5;7;0;0;4;1;1;1;3;8;5;10;1;1;1
;;5;Bakker, P.J.;131;2;1;0;2;1;6;2;0;2;4;5;0;1;2;5;1;8;5;3;1;2;6;7;0;3;1;1;1;3;0;5;5;0;4;2;1;1;2;10;12;8;5;1
;;6;Yazdanbakhsh, M.;70;2;2;1;0;0;1;1;0;0;1;0;1;8;5;4;1;3;0;2;2;3;1;3;8;1;1;3;1;1;0;1;0;2;0;0;3;0;0;1;3;1;1;2
;;7;van Sommeren, K.B.;75;1;2;2;1;0;0;2;1;4;0;2;0;6;0;6;3;2;5;2;3;3;0;1;1;1;3;3;1;0;1;2;0;2;1;3;0;0;2;1;3;1;2;2
;;8;Agterberg, J.;39;0;0;0;0;1;2;0;0;1;0;1;0;2;1;2;3;2;3;1;3;0;0;1;0;0;3;1;0;1;2;0;2;0;0;0;0;1;0;3;0;1;2;0
9;ieders Belang;;;833;17;16;5;15;20;14;21;11;10;15;23;27;74;37;27;23;45;35;21;9;22;11;17;10;19;12;12;8;7;7;28;20;13;11;18;12;8;7;41;35;25;18;7
;;1;Verbeek - Beverwijk, J;453;14;8;2;8;8;6;13;5;8;10;13;20;34;22;13;20;27;15;12;5;14;4;9;3;6;6;8;4;3;5;17;12;9;5;7;9;3;6;13;20;13;11;3
;;2;de Man, R.G.W.D.;49;1;3;0;2;3;1;0;0;1;0;0;0;2;3;1;1;7;3;0;0;0;3;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;7;3;1;1;0
;;3;Gravenbeek, N.A.E.;82;1;0;0;1;2;1;3;1;1;0;1;3;6;5;3;0;1;4;3;1;4;2;1;0;6;1;3;1;3;2;0;0;2;2;0;0;1;1;5;4;4;2;1
;;4;Spelt, M.;42;0;0;0;2;0;0;0;0;0;0;5;1;3;0;2;0;5;3;0;0;0;2;2;0;1;2;0;1;0;0;2;0;2;0;0;1;3;0;1;3;0;1;0
;;5;Flos-Westdorp, H.A.;29;1;0;0;1;2;0;2;1;0;1;0;0;8;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;3;0;1;1;1
;;6;Drost, J;52;0;0;1;0;2;0;0;0;0;0;0;0;7;5;6;0;4;3;3;3;1;0;3;3;0;1;1;0;1;0;0;0;0;0;1;1;0;0;3;2;0;0;1
;;7;Verbeek, L.C.J.;30;0;2;0;0;1;1;1;2;0;2;2;0;2;1;0;0;1;1;0;0;1;0;0;2;0;2;0;2;0;0;1;0;0;0;1;0;0;0;2;1;1;1;0
;;8;Badal, R.;29;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;3;4;0;1;6;0;0;0;3;1;3;1;0
;;9;van Heijman - Putten, P.T.C.J.;15;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;1;1;0;2;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0
;;10;van der Linden, Y.J.F.;7;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;el Hannaoui, D.;7;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Hofstee, H.;38;0;2;2;1;2;2;2;0;0;0;1;1;6;0;2;0;0;2;1;0;0;0;0;0;3;0;0;0;0;0;2;1;0;1;1;0;0;0;4;1;0;0;1
10;Stadspartij Núwegein (NÚ);;;649;16;9;8;9;3;23;11;13;13;10;26;17;67;38;29;13;19;34;15;6;12;6;7;12;11;5;14;5;8;9;20;17;12;5;10;12;5;5;24;25;20;16;10
;;1;Bakhtali, B.Z.;467;11;5;7;6;3;18;7;8;7;6;17;10;59;31;21;8;14;26;12;5;7;4;7;8;5;3;9;3;4;6;16;11;8;5;4;11;2;3;19;17;18;9;7
;;2;Bakhtali, T.I.;20;0;2;0;0;0;0;1;0;1;0;2;2;1;0;2;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0
;;3;Sing, R.P.;34;0;1;0;0;0;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0;2;2;0;0;4;0;3;1;0;2;1;0;0;0;2;0;1;1;0;1;1;2;0
;;4;van Son, J.M.G.H.;30;3;0;1;0;0;0;1;0;1;0;1;0;1;2;1;0;1;0;1;0;1;0;0;2;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;5;1;1;0
;;5;Eindhoven, D.;26;2;0;0;0;0;1;0;0;1;0;4;1;4;2;1;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3
;;6;Lisand, M.E.;19;0;0;0;1;0;2;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;1;1;0;3;0
;;7;de Haan, T.;16;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;3;2;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0
;;8;Vervaart, M.A.M.;9;0;0;0;0;0;1;0;0;1;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;9;de Meza, J.C.;12;0;0;0;1;0;1;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
;;10;van der Leeuw, M.L.;16;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;3;0;0;0;0;0;1;0;0;1;0
11;JEZUS LEEFT;;;160;6;1;0;2;2;5;3;1;3;1;5;11;19;12;8;7;7;0;2;2;4;2;1;0;3;1;1;4;2;2;8;2;3;5;1;1;1;4;5;5;5;2;1
;;1;Weij, M.M.;160;6;1;0;2;2;5;3;1;3;1;5;11;19;12;8;7;7;0;2;2;4;2;1;0;3;1;1;4;2;2;8;2;3;5;1;1;1;4;5;5;5;2;1
12;De Unie (van Nieuwegein);;;861;19;6;6;9;4;29;12;10;11;11;19;18;68;45;52;13;15;35;39;26;15;5;16;9;25;8;17;11;16;13;21;18;6;15;27;14;20;16;31;23;39;23;26
;;1;Derriks, A.E.;418;7;4;4;6;3;15;9;6;4;9;11;9;19;26;22;7;5;20;23;12;7;5;7;4;11;1;9;3;9;12;15;8;4;3;10;9;9;7;17;10;12;10;15
;;2;Dulik, E.H.;123;5;1;1;1;1;2;0;0;5;1;2;4;9;3;17;2;2;4;5;1;2;0;3;1;4;4;2;0;3;0;0;2;2;7;1;3;4;5;4;0;4;4;2
;;3;van der Toom, P.B.R.;45;0;1;0;0;0;2;0;1;0;1;0;0;6;3;3;0;2;2;0;3;1;0;1;0;2;1;0;1;0;0;2;3;0;0;0;0;0;0;4;4;1;0;1
;;4;Schenk, I.K.;100;0;0;0;0;0;1;0;1;0;0;2;1;14;4;1;2;4;4;5;6;0;0;1;2;3;0;1;5;2;0;2;3;0;0;7;2;3;2;3;3;10;1;5
;;5;Aberni, E.;7;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0
;;6;Nguyen, L.Q.;25;0;0;0;2;0;1;0;0;0;0;2;0;1;0;3;0;0;1;0;1;1;0;1;0;0;0;0;0;2;0;1;1;0;1;2;0;1;0;0;0;4;0;0
;;7;Gajadhar, D.K.R.;40;0;0;0;0;0;0;0;1;0;0;1;1;11;2;1;0;0;0;0;0;1;0;1;0;0;1;5;2;0;0;0;0;0;1;2;0;0;2;2;1;2;1;2
;;8;Vermeulen, S.;60;2;0;0;0;0;7;2;0;1;0;1;2;5;2;1;0;0;1;4;2;2;0;2;0;3;1;0;0;0;1;1;1;0;1;4;0;2;0;0;4;3;4;1
;;9;van Krevel, P.P.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Bowe, J.J.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van der Vegte, H.S.;9;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
;;12;Kalkman, M.C.;26;3;0;0;0;0;1;1;1;1;0;0;0;0;5;1;0;1;2;1;1;1;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0
