Verkiezing;;Gemeenteraad Baarn 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Baarn;;;;;;;;;;;;;;;;;;;;
Nummer;;0308;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Baarn;Maria Koningin Kerk;Gebouw De Pool;Gebouw Elan;NS station;Dorpshuis de Furs;Berg en Dal (Apostolisch Genootschap);Theater De Speeldoos;SV Baarn;Drive through (Gemeentewerf);Wintertuin;De Blinkert;Amerpoort (bijzonder stemlokaal);Santvoorde (bijzonder stemlokaal);Gemeentehuis Baarn (maandag);NS station (maandag);Gemeentehuis Baarn (dinsdag);NS station (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;3743 BA;3742 XM;3742 RL;3742 SJ;3743 KM;3749 AA;3743 AR;3741 TA;3741 RS;3741 MR;3742 AK;3741 BE;3744 PA;3741 VJ;3743 BA;3743 KM;3743 BA;3743 KM
;;15;van Gelder, H.L.;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
;;16;Diemel-Dijkhuizen, S.;20;1;3;4;1;3;1;0;1;0;0;3;0;0;0;0;0;1;2
;;17;Ennahachi, A.;37;4;2;13;1;4;0;0;0;0;0;2;2;0;3;0;0;3;3
;;18;van Otten, H.H.;38;5;3;1;1;1;2;0;8;0;0;4;4;0;4;1;0;4;0
6;Partij van de Arbeid (P.v.d.A.);;;1240;107;124;66;64;118;22;30;143;13;1;100;97;6;58;70;67;93;61
;;1;Eijbaard, M.;720;65;65;37;38;63;15;19;81;7;1;63;58;5;32;50;33;53;35
;;2;Brinkman, V.A.;46;5;3;4;1;2;0;1;8;0;0;4;4;0;1;4;7;1;1
;;3;Bruijstens, S.;307;19;35;13;17;37;6;9;35;4;0;22;24;1;18;7;18;27;15
;;4;Patrick, P.A.M.;37;2;10;1;0;3;0;0;1;0;0;4;2;0;1;2;3;3;5
;;5;van der Linden, A.F.M.;26;5;0;1;1;1;0;1;5;0;0;0;3;0;4;4;1;0;0
;;6;Hilhorst, C.A.M.;17;2;3;0;3;1;0;0;5;0;0;0;0;0;1;0;1;1;0
;;7;de Groot, S.;16;1;1;2;1;2;0;0;3;0;0;1;0;0;0;0;1;2;2
;;8;Brandt, A.C.;20;1;1;1;2;2;1;0;2;0;0;2;1;0;1;2;0;3;1
;;9;Pfeifer, W.;15;1;1;3;0;2;0;0;3;0;0;1;3;0;0;0;0;0;1
;;10;van Beukering, C.A.;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Schraders, J.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;12;Baas, A.T.;6;1;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;13;de Wilde, J.;4;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;14;Najib, A.;18;5;0;0;1;3;0;0;0;2;0;2;1;0;0;1;1;2;0
7;ChristenUnie;;;544;56;44;34;27;36;11;27;47;3;10;33;73;4;31;28;22;36;22
;;1;Bruins, R.M.;273;26;20;15;12;15;7;14;20;1;8;13;43;2;14;18;10;24;11
;;2;Sonneveld, J.W.;33;7;6;3;1;2;0;0;4;0;0;3;4;0;1;0;2;0;0
;;3;van Roshum, A.B.A.;90;3;6;10;3;4;4;7;6;2;2;10;7;0;8;5;4;6;3
;;4;Stijger-Löschner, J.M.;75;11;8;2;4;5;0;2;11;0;0;4;6;2;4;4;2;4;6
;;5;Buik, A.J.;17;1;1;1;2;1;0;0;4;0;0;0;2;0;2;0;2;0;1
;;6;Ester, P.;6;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Bremmer-van Splunter, D.H.;13;3;1;2;0;0;0;3;0;0;0;2;1;0;0;0;0;1;0
;;8;Evers, G.;10;0;0;0;0;2;0;0;1;0;0;1;2;0;1;0;2;1;0
;;9;Maas-Heijkoop, M.J.;11;2;0;0;5;1;0;0;0;0;0;0;3;0;0;0;0;0;0
;;10;Hoekveld-Meijer, G.;6;1;0;0;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0
;;11;Groenesteijn-Heuseveldt, G.J.;10;0;2;1;0;0;0;0;0;0;0;0;4;0;1;1;0;0;1
8;50PLUS;;;957;52;92;87;58;50;19;27;102;6;10;30;86;2;85;84;44;86;37
;;1;van Loon, J.C.A.;641;35;75;57;44;32;12;17;81;4;4;23;60;2;47;55;24;45;24
;;2;Jacobson, E.M.;197;11;10;19;10;12;6;5;12;2;3;5;11;0;31;16;11;28;5
;;3;Hart, A.E.M.;81;4;5;5;2;6;0;3;5;0;1;2;10;0;6;9;8;12;3
;;4;de Gast, T.;38;2;2;6;2;0;1;2;4;0;2;0;5;0;1;4;1;1;5
