Verkiezing;;Gemeenteraad Rhenen 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rhenen;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0340;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Gemeente;Koningskamer;Sport- en Recreatiecentrum ' t Gastland;Ontmoetingskerk (centrale hal);Ontmoetingskerk (zaal 1);Gedachteniskerk;Steakhouse Cunera (ingang Kastanjelaan);Rhenendael;Het Dorpshuis (grote zaal);Het Dorpshuis (gymzaal);Het Bestegoed (gymzaal 1);Het Bestegoed (gymzaal 2);Sportschool Trisport Rhenen;Huis van de Gemeente (maandag);Huis van de Gemeente (dinsdag);Het Bestegoed (maandag);Het Bestegoed (dinsdag);Het Dorpshuis (maandag);Het Dorpshuis (dinsdag);De Tollekamp (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;101;102;111;112;121;122;132
Postcode;;;;;3911 MG;3911 LB;3911 PG;3911 EA;3911 EA;3911 JG;3911 AS;3911 RM;3911 CX;3911 CX;3921 CM;3921 CM;3911 BE;3911 MG;3911 MG;3921 CM;3921 CM;3911 CX;3911 CX;3911 ND
;;19;van Tilborg, R.P.;6;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;ter Horst, G.H.;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Korver, S.;15;2;0;1;0;1;0;2;5;0;0;0;0;0;0;2;0;0;0;2;0
8;Partij van de Arbeid (P.v.d.A.);;;515;74;25;12;29;18;14;44;15;10;9;46;32;12;52;45;25;26;13;11;3
;;1;Brouwer, E.A.;308;43;13;6;17;8;7;17;10;6;8;35;23;6;23;33;17;20;7;6;3
;;2;Klootwijk, K.;67;11;3;3;3;4;3;12;0;1;0;1;1;4;14;4;1;1;1;0;0
;;3;Valk, A.;88;16;4;2;6;5;3;11;3;1;1;4;4;1;8;6;3;3;3;4;0
;;4;van der Heiden, J.;13;0;1;0;0;0;0;0;0;0;0;4;4;0;0;0;2;2;0;0;0
;;5;Nieuwenhuis - Ottens, L.A.;14;2;3;0;1;1;1;1;0;2;0;0;0;0;2;0;0;0;1;0;0
;;6;Schoenmaker, A.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;7;de Bode, M.J.C.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Gent, B.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;9;Lörzing, J.A.;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;10;Vossers, D.J.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0
;;11;Mooijweer, R.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Guichelaar, M.;10;1;1;1;1;0;0;1;2;0;0;0;0;0;1;1;1;0;0;0;0
9;Trots op Nederland (TROTS);;;363;42;17;15;16;13;9;23;24;12;17;30;41;3;8;25;24;29;3;12;0
;;1;van der Zee, R.P.;268;30;12;11;12;12;8;15;22;10;14;17;28;3;8;21;15;20;1;9;0
;;2;van Zwieten, P.G.;18;4;3;0;0;1;1;2;0;1;0;0;3;0;0;1;0;1;1;0;0
;;3;van de Straat, A.A.;29;0;0;1;1;0;0;1;0;0;2;8;7;0;0;0;3;6;0;0;0
;;4;van Maanen, E.;5;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
;;5;Jansen, H.B.M.;43;8;2;2;2;0;0;5;2;1;1;4;2;0;0;3;6;2;0;3;0
