Verkiezing;;Gemeenteraad IJsselstein 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente IJsselstein;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0353;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Sporthal de Oever;Sporthal IJsselhal;Ewoud;Sporthal Poortdijk;Reddingsbrigade IJsselstein;Geb. 't Kruispunt;Geb. 't Kruispunt;De Kapel Mariënstein;Sporthal het Heem;Sporthal het Heem;WOC gebouw (Wijk Onderwijs Centrum);WOC gebouw (Wijk Onderwijs Centrum);OBS De Trekvogel;Fulcotheater;IJsselsteinse Tennisclub Groenvliet;Muziekvereniging Amicitia;Stadhuis 14 maart 2022;Sporthal Poortdijk 14 maart 2022;Stadhuis 15 maart 2022;Sporthal Poortdijk 15 maart 2022
Gebiednummer;;;;;1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;3401 BK;3402 MJ;3402 CS;3401 RH;3402 BS;3402 TJ;3401 CB;3401 CB;3401 BV;3401 GX;3401 GX;3404 EX;3404 EX;3401 GX;3401 BK;3403 NJ;3401 RA;3401 BK;3402 BS;3401 BK;3402 BS
;;13;Kamerbeek, T.;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Kippersluis, L.A.M.;29;2;2;0;2;0;0;2;5;2;2;3;1;0;1;0;0;2;0;0;3;2
;;15;van Ee, M.J.;17;2;0;0;0;2;1;1;0;0;1;1;0;2;0;1;2;0;0;0;4;0
;;16;Oskam, B.P.;10;0;0;0;1;1;0;0;0;0;0;1;0;1;2;0;1;1;0;0;0;2
;;17;de Wit, J.W.M.;62;6;1;3;6;6;3;1;5;1;2;3;6;2;2;1;1;7;0;1;4;1
4;D66;;;1379;96;80;63;58;58;46;72;65;21;82;63;125;95;67;49;51;61;61;18;113;35
;;1;Eijzenbach, J.J.;622;36;40;28;30;37;26;32;27;9;39;32;48;38;32;13;24;26;25;10;54;16
;;2;Huizinga, J.;62;5;5;4;2;0;1;2;4;3;1;4;8;6;0;3;5;2;4;1;2;0
;;3;Tigchelhoff, A.;180;16;11;6;6;5;4;8;11;5;15;8;16;13;11;4;3;7;9;3;14;5
;;4;Timmer, R.F.;71;6;6;1;1;1;7;2;4;0;2;3;3;2;2;5;6;7;4;2;4;3
;;5;Eding, J.H.;8;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;2;1;0;0;1;0
;;6;de Bruijn, J.W.K.;43;3;2;1;1;1;0;2;1;0;5;2;12;5;3;0;1;0;4;0;0;0
;;7;Kamminga, E.T.;9;2;0;0;0;0;0;0;1;0;0;0;1;2;0;1;1;0;0;0;1;0
;;8;Pel, J.J.;17;0;4;0;0;0;0;1;0;0;2;0;1;1;0;0;1;0;1;0;5;1
;;9;Mulder, K.;12;0;0;0;0;0;0;0;0;1;0;1;3;1;2;0;1;0;0;0;3;0
;;10;Nooitmeer, L.I.;154;14;5;10;7;5;4;11;10;0;11;5;11;14;5;9;5;7;4;0;14;3
;;11;van Riet, R.;31;2;1;0;1;0;0;3;0;1;1;2;4;0;3;3;1;3;2;0;4;0
;;12;van Pelt, B.R.L.;6;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1
;;13;Pottjewijd, A.C.;9;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;3;0;0;0;1
;;14;Veenendaal, D.T.F.;8;0;0;1;0;0;1;1;0;0;0;0;0;2;1;0;0;2;0;0;0;0
;;15;Jansen, A.J.W.;17;0;0;0;1;2;0;1;0;0;0;0;9;2;0;1;0;0;1;0;0;0
;;16;Adema, P.M.H.;25;0;0;4;2;0;1;1;0;0;0;1;1;0;1;8;1;1;1;0;2;1
;;17;van Beukering, M.J.T.G.;105;12;6;8;6;7;2;6;5;2;3;4;6;7;7;2;0;2;5;2;9;4
5;GROENLINKS;;;1444;117;93;90;66;71;77;83;66;12;94;71;99;91;75;54;45;34;54;36;85;31
;;1;de Bruijne, S.;1043;92;68;61;48;51;57;55;53;12;64;54;73;60;57;35;29;25;42;24;61;22
;;2;Mols, M.J.A.;75;8;5;7;1;3;2;8;0;0;3;6;7;3;4;4;1;3;2;0;6;2
;;3;van den Hoek, J.;79;8;8;4;2;2;1;7;4;0;2;3;10;11;4;2;3;1;2;1;3;1
;;4;van Well, J.N.M.;64;2;4;4;5;4;5;3;0;0;4;4;5;5;0;5;6;1;0;2;2;3
;;5;Oosterbroek, A.E.;57;2;2;8;1;5;3;3;2;0;5;0;3;2;5;6;1;0;2;3;4;0
;;6;Lindeman, H.J.;7;0;0;0;2;0;0;0;0;0;1;0;0;1;1;0;0;2;0;0;0;0
;;7;Bosma, M.W.;21;0;3;3;0;0;2;0;0;0;3;1;0;1;0;0;0;0;4;0;3;1
;;8;de Haan, H.W.;18;0;0;2;1;0;0;4;2;0;3;0;0;1;0;1;1;0;0;2;1;0
;;9;Wensink, J.M.A.;14;1;1;0;2;2;1;1;1;0;1;1;0;1;0;0;2;0;0;0;0;0
;;10;van Schie, N.A.G.;10;0;0;0;1;0;0;0;1;0;1;0;0;1;3;0;0;0;0;2;1;0
;;11;Wever, N.D.;23;2;2;0;1;0;4;2;0;0;3;1;0;2;1;0;0;2;1;0;2;0
;;12;Notkamp, M.B.F.;7;1;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1
;;13;Boer, E.;11;0;0;0;1;2;2;0;0;0;1;0;0;3;0;0;0;0;1;1;0;0
;;14;Bakker, H.H.;15;1;0;1;1;0;0;0;2;0;2;1;1;0;0;1;2;0;0;1;1;1
6;ChristenUnie;;;686;36;41;31;49;31;32;41;41;6;59;52;26;19;45;9;17;31;24;16;59;21
;;1;Boiten, C.L.;318;16;18;13;22;21;15;9;24;4;32;19;16;8;12;5;10;22;13;10;21;8
;;2;Pape, R.H.;69;4;3;9;5;0;5;4;2;0;6;9;1;2;11;0;2;1;0;1;1;3
;;3;Bijlsma, E.;202;7;15;6;10;9;7;18;11;1;17;21;6;7;13;4;4;8;9;4;20;5
;;4;Tigelaar, G.J.;20;2;0;0;0;0;0;5;1;0;3;0;2;0;0;0;1;0;0;1;5;0
;;5;Wobma, L.;11;2;0;0;1;0;2;1;1;0;0;1;0;2;1;0;0;0;0;0;0;0
;;6;Pape-van Genderen, C.A.;37;4;2;2;3;0;3;2;1;0;1;0;1;0;4;0;0;0;2;0;8;4
;;7;Droogers, J.D.;11;0;1;1;2;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;1;1
;;8;Kooij-Bas, A.E.;18;1;2;0;6;1;0;0;0;1;0;0;0;0;4;0;0;0;0;0;3;0
7;Partij van de Arbeid (P.v.d.A.);;;1211;89;67;94;60;63;66;63;48;16;76;58;55;35;87;39;35;42;41;29;104;44
;;1;van Schalkwijk, M.W.;1021;78;55;76;50;50;57;46;41;14;66;51;41;29;76;34;26;38;36;26;88;43
;;2;Nieveen van Dijkum, P.F.X.;16;2;0;0;0;0;0;4;1;0;1;0;0;0;0;3;1;0;1;1;2;0
;;3;van der Worp, T.H.;10;0;1;0;1;2;0;0;0;0;1;1;0;0;0;0;1;1;0;0;2;0
;;4;Poort-Feurich, U.S.;46;4;1;5;1;7;3;6;1;0;0;2;4;2;2;1;3;0;1;1;2;0
;;5;Ward, M.;36;0;3;2;7;2;0;2;1;1;2;2;2;0;5;0;1;0;2;0;3;1
;;6;Nikočević, S.;52;5;3;8;0;0;6;4;1;0;4;1;4;1;3;0;2;1;1;1;7;0
;;7;van Dongen, A.J.J.;13;0;3;0;0;1;0;0;3;0;1;0;2;2;0;0;1;0;0;0;0;0
;;8;ter Horst, H.;7;0;1;0;1;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0
;;9;Groeneweg, H.;10;0;0;3;0;1;0;1;0;0;1;1;0;0;1;0;0;2;0;0;0;0
