Verkiezing;;Gemeenteraad Houten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Houten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;RKBS Van Harte School;Zalencentrum Rest. De Engel;App. complex Op Houten;OBS De Bijenkorf;RKBS De Zevensprong;Stichting Het Lokaal;Gymzaal De Velduil;OBS De Velduil;Sociaal Cultureel Centrum De Ploeg;Sociaal Cultureel Centrum De Wiese;Sociaal Cultureel Centrum 't Gebouw;RKBS De Vlinder;Het Kruispunt;Wijkcentrum de Vuurtoren;RKBS Aventurijn;Wijkcentrum Schoneveld;OBS De Plantage;Sporthal de Wetering;The Dome;Bibliotheek Houten-Centrum;Gemeentehuis;App.complex Op Houten;Wijkcentrum de Vuurtoren;Wijkcentrum Schoneveld;Sporthal de Wetering;The Dome;Gemeentehuis;App.complex Op Houten;Wijkcentrum de Vuurtoren;Wijkcentrum Schoneveld;Sporthal de Wetering;The Dome
;;1;Dubbink, J.;738;68;18;9;29;51;43;29;27;32;3;22;6;15;24;24;9;43;21;10;13;7;46;17;10;16;14;13;46;19;22;15;13;4
;;2;Rensen, J.C.H.;136;11;7;1;3;8;6;5;6;9;0;2;3;4;4;2;1;4;3;2;0;1;14;4;5;0;2;1;17;3;1;6;1;0
;;3;Biesheuvel, A.;35;2;2;1;0;1;3;3;1;0;0;3;0;0;1;2;0;3;0;0;1;0;3;1;1;2;0;0;5;0;0;0;0;0
;;4;Mossink, W.G.L.;35;3;1;5;0;0;0;2;6;2;0;3;0;1;0;0;0;1;1;0;0;0;5;1;0;0;0;0;3;1;0;0;0;0
;;5;Akdoğan, A.;55;4;1;1;0;4;0;1;0;2;0;0;0;6;4;3;2;5;1;1;0;1;5;1;4;2;0;0;2;1;2;0;1;1
;;6;Wiersma - Rensen, M.;91;13;3;3;4;9;5;1;7;2;0;0;0;3;5;6;3;5;1;3;2;1;2;0;2;1;0;0;2;1;0;5;1;1
;;7;Oosterhoff, P.;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
;;8;van Polanen Petel, V.C.A.;11;0;0;0;0;3;1;2;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;9;Bubberman, J.;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
;;10;Makkinga, R.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;11;Konigsberger, E.L.;19;1;1;2;0;2;0;0;1;0;0;0;0;1;0;2;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1
;;12;Meijnen, H.S.M.;11;3;2;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;13;Cohen, E.R.;12;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0
;;14;Wagenmans, W.W.M.;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;Bosboom, M.;9;0;0;0;0;0;2;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
8;Staatkundig Gereformeerde Partij (SGP);;;1765;100;66;36;45;59;87;52;56;29;113;100;206;47;51;51;26;112;38;41;25;18;51;24;33;27;19;18;85;39;25;37;31;18
;;1;van den Berg, W.;980;66;39;21;32;40;54;30;31;18;53;47;87;25;30;33;17;63;25;25;14;9;24;15;14;15;10;9;48;27;12;23;17;7
;;2;Zwemer, L.J.;100;7;2;3;4;2;4;3;3;1;2;2;1;8;7;2;2;12;1;3;2;0;7;0;1;2;2;0;2;2;2;8;2;1
;;3;van Leeuwen, G.;95;3;4;4;1;2;2;1;3;4;4;10;6;3;5;3;1;1;1;5;1;2;6;4;1;4;0;2;6;1;3;1;1;0
;;4;Osnabrugge, W.;100;0;0;0;0;0;0;1;1;0;3;5;80;0;0;0;1;0;0;0;0;0;1;0;2;0;2;0;0;0;1;0;3;0
;;5;Prins, M.;6;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Eck, J.A.;30;0;0;0;0;1;0;0;0;0;3;19;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
;;7;Massink, H.F.;16;0;2;0;0;2;3;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;2;0;0;0;0;0;0
;;8;Ooms, P.;7;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;9;Kesselaar, L.J.;12;1;0;0;0;1;1;3;1;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Otte, J.W.M.R.;5;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;van Maaswaal, T.J.;44;0;2;0;2;0;1;0;5;0;22;2;0;0;1;0;0;1;1;0;0;0;0;0;3;0;0;0;3;0;0;0;1;0
;;12;Kemp, B.;14;0;0;0;0;3;0;0;0;0;1;5;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Bulk, A.T.;7;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;14;Prins-van den Bergh, A.A.;272;18;13;6;5;6;19;11;5;4;17;5;24;6;3;8;3;27;2;5;8;3;6;4;7;5;3;2;18;7;5;3;4;10
;;15;van Roekel, W.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;16;Ligtenberg, H.G.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
;;17;van Maaswaal, T.;12;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
;;18;van Eck, F.A.;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Vermaat, P.C.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Roeleveld, J.M.;5;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Veldman, R.F.I.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Hendriks, H.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;23;Beekman, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;24;de Bruijn, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Hasselman, W.;4;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Loon, J.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
;;27;Vogel, F.;9;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;28;Hamoen, W.;9;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0
;;29;Vreugdenhil, C.G.;8;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
9;Houten Anders!;;;1002;56;49;29;13;41;48;34;38;40;4;29;3;58;30;33;36;101;50;20;20;9;50;8;14;23;3;3;52;21;24;40;8;15
;;1;Eerdman, A.J.B.;386;20;16;11;6;14;22;16;16;20;2;11;3;14;12;12;13;28;20;12;4;1;20;4;5;12;2;3;25;9;12;14;5;2
;;2;van Wijngaarden, J.C.;126;10;14;5;4;11;4;1;9;1;2;13;0;3;4;0;4;6;1;2;1;0;5;4;1;1;0;0;7;4;2;1;2;4
;;3;Meier, B.J.;32;2;2;0;0;3;2;0;0;0;0;1;0;1;0;2;0;6;2;0;0;1;1;0;1;2;0;0;1;0;0;4;0;1
;;4;Wilson, W.P.;30;1;1;0;0;1;0;0;0;3;0;0;0;3;0;2;4;4;2;2;1;0;2;0;1;0;0;0;0;2;0;1;0;0
;;5;van Swol, R.;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Meier - van Hoeven, I.M.F.;168;7;5;4;0;4;14;6;7;9;0;2;0;11;8;11;8;18;6;0;3;0;13;0;3;3;1;0;4;2;4;10;1;4
;;7;de Pagter - de Groot, S.;55;4;1;1;0;2;1;2;4;1;0;1;0;7;3;1;0;12;5;0;2;1;0;0;0;0;0;0;3;0;1;2;0;1
;;8;Scheers, D.P.J.A.;9;0;0;0;0;1;1;1;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;9;Sopers, J.;24;0;5;2;0;0;0;5;0;0;0;0;0;4;1;0;1;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;de Pagter, J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
;;11;Wijnhout, M.J.;9;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0
;;12;Knollema, W.L.;38;3;2;2;1;1;2;1;1;1;0;0;0;3;1;1;3;2;1;1;1;0;1;0;0;0;0;0;5;1;0;4;0;0
;;13;Jacobs, S.;43;1;1;0;0;0;1;1;0;0;0;0;0;7;0;1;2;6;5;1;5;2;2;0;1;0;0;0;2;2;0;1;0;2
;;14;van Leeuwen, M.;22;4;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;5;2;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0
;;15;van Oeveren, J.;9;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;16;Wendrich, A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hofstee, M.G.H.M.;14;2;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0
;;18;Beugels, H.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Prinsen, H.B.;25;0;1;2;0;1;1;0;0;0;0;0;0;2;0;0;0;4;1;1;1;3;1;0;0;2;0;0;1;0;3;1;0;0
10;NatúúrlijkHouten;;;2554;158;95;58;66;126;229;78;80;94;13;112;23;81;69;44;21;137;49;27;38;37;218;77;39;63;28;35;179;79;36;94;39;32
;;1;Aanen, M.J.;1335;83;38;28;25;83;151;36;49;55;7;28;9;37;36;23;13;55;28;10;16;19;137;40;24;40;16;10;98;36;20;48;18;19
;;2;Jonkers, W.J.;298;19;17;7;8;11;18;13;8;13;0;4;1;14;13;5;1;37;2;4;9;3;15;7;0;9;1;5;22;10;1;13;6;2
;;3;Lambermont, R.M.A.;193;8;20;8;10;5;14;4;4;5;2;1;1;9;5;0;0;12;9;3;5;2;17;5;2;3;6;2;10;8;0;8;2;3
;;4;Wijsmuller, J.M.;155;13;5;2;3;9;9;3;6;10;2;1;1;3;9;2;1;4;2;3;1;1;20;6;2;4;0;6;7;6;4;2;6;2
;;5;Corporaal, T.E.;128;8;1;2;16;1;8;5;2;4;1;2;3;7;0;1;2;3;1;3;0;2;7;10;3;3;0;3;15;11;1;1;1;1
;;6;Castelijns, B.;33;9;0;1;1;1;2;2;1;0;0;3;0;0;0;2;0;0;1;0;1;3;2;0;0;0;0;1;1;0;0;0;1;1
;;7;Homma, S.;28;6;0;0;1;0;0;2;0;0;0;0;2;2;0;2;1;5;3;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
;;8;Flipse, L.;31;0;2;0;1;0;3;4;1;0;0;0;0;0;0;1;2;3;0;1;0;1;2;1;2;1;0;1;2;1;0;1;0;1
;;9;Hoogenraad, J.H.;13;1;2;0;0;1;1;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0
;;10;Godschalk, B.J.H.;16;0;0;0;0;1;2;1;1;2;0;1;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0;0
;;11;Ummels, R.N.;15;0;0;0;0;3;0;0;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;2;1
;;12;Klooster, L.N.;18;0;0;0;0;3;1;0;1;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;1;2;1;2;0;1;0
;;13;Smith, B.N.;14;1;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;2;2;0;0;0;0;0
;;14;van der Zanden, D.W.T.;14;1;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;0;1;0;0
;;15;Tuls, M.J.;21;1;0;0;0;1;2;0;1;0;0;0;0;1;0;2;0;3;1;1;0;1;1;0;0;0;0;0;0;0;2;4;0;0
;;16;Hollander, A.;111;2;4;0;0;3;0;0;0;1;1;61;4;4;4;1;1;4;0;2;0;2;2;0;3;1;1;3;4;0;2;0;0;1
;;17;Snippe-Hielken, G.E.;16;0;0;0;0;0;1;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;3;0;0
;;18;Baas, J.J.J.;8;1;0;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;19;Houtkamp, A.C.;14;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;2;0;0;0;0;0;3;0;0;0;0
;;20;Peters, R.A.C.;18;0;2;0;0;0;4;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;3;1;1;2;0;0;0;0;0;1;0
;;21;Grondman, J.J.;20;2;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;1;0;0;0;1;0;2;3;0;0
;;22;Struikmans, H.;20;2;1;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;3;2;0;0;0;0
;;23;van der Linden, P.W.;11;0;1;1;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0
;;24;Bruning, J.;24;1;1;1;0;0;0;3;3;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;3;0;2;3;0;1
