Verkiezing;;Gemeenteraad Amersfoort 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Amersfoort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Brink;Sporthal De Dissel;Sporthal De Dissel;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Gemeentehuis;De Observant;Sporthal Icoon;Sporthal Icoon;ABC-school De Bron;Adventkerk;Apostolisch Genootschap;Boogkerk;Burgemeester Molendijkflat;Café De Plank;De Faam;De Schaapskooi;Feefa;Fluor poppodium;Gymzaal Ariaweg;Gymzaal Dopheide;Gymzaal Dopheide;Gymzaal Lyceum De Amersfoortse Berg;Gymzaal Lyceum De Amersfoortse Berg;IKEA Drive-In;Kerkgebouw Het Brandpunt;Kindcentrum Vlinderslag;Martuskerk;Nieuw-Apostolische Kerk;Orthodoxe Parochie;Overseldert;Parkschool;Mobiel Stembureau Het Pluspunt;Prins Willem III-flat;Schoolgebouw de Baander;Schoolgebouw De Dubbelster;Schoolgebouw De Gondelier;Kindcentrum de Kei;Schoolgebouw De Zonnewijzer;Schoolgebouw GSG Guido vmbo;Schoolgebouw GSG Guido vmbo;Seniorenflat Otto Scheltus;Sociëteitsruimte Seniorenflat;Sporthal Rustenburg;Sporthal Rustenburg;Sporthal Zielhorst;Sporthal Zielhorst;Sint Ansfriduskerk;Undineflat;Verenigingsgebouw Juliana en Bernhard;A.K.V. Trefpunt Bokkeduinen;Westerkerk;Wijkcentrum Het Klokhuis;Zon en Schild;Woon- en zorgcentrum De Koperhorst;Houtrust;Restaurant de Hebberd;Schoolgebouw De Malelande;De Eemgaarde;Meander Medisch Centrum;Emmauskerk;Emmauskerk;Theater De Flint (Cultuurhuis);Station NS Hoofdingang;Da Vinci Eemland;bijgebouw Mevlana moskee;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Mobiel stembureau 1;Mobiel stembureau 2;Mobiel stembureau 3
;;6;van den Nieuwendijk, M.P.;320;5;3;5;3;0;2;0;3;0;3;0;5;1;3;4;10;8;9;5;6;5;0;3;4;2;5;1;0;0;1;6;4;0;1;13;10;7;0;2;6;1;1;4;2;1;2;0;9;2;1;2;1;5;5;2;2;0;1;0;1;5;0;10;8;0;0;3;4;1;5;0;1;0;0;8;2;2;0;1;5;1;1;1;3;7;3;0;0;0;1;2;1;0;4;1;1;2;2;0;1;0;1;0;1;1;2;2;1;1;2;1;0;0;2;1;0;3;0;1;0;0;0;2;0;0;2;1;0;4;0;3;1;4;3;0;1;3;1;3;0;0;0
;;7;Dekker, D.R.;59;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;4;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4;2;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;2;1;0;1;0;0;0;0;0;1;1;1;1;0;0;1;2;1;0;1;2;0;0;3;0;0;0;0;1
;;8;Vivié, V.A.W.;147;2;1;1;1;0;6;2;2;1;1;2;2;1;7;2;3;1;4;5;0;0;0;1;0;0;0;0;0;1;0;2;0;2;4;1;1;0;0;0;2;6;0;6;2;1;0;3;0;3;0;0;0;2;0;0;0;1;2;2;0;1;0;5;2;0;1;1;3;1;2;0;1;1;1;0;0;2;0;0;1;0;2;1;0;2;2;1;0;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;3;0;1;1;2;1;0;0;2;0;6;0;0;0;1;0;0;1;0;1;2;0;0;0;0
;;9;van Nieuwenhuizen, G.;157;22;0;5;0;0;0;0;0;0;1;0;0;0;1;1;1;4;0;0;0;0;1;1;1;3;0;1;1;0;7;1;0;2;1;0;1;0;0;1;1;2;1;6;0;0;2;0;0;1;3;1;1;7;0;4;7;0;0;0;1;0;0;0;3;0;1;1;1;0;0;0;0;0;0;8;1;1;1;0;4;2;0;2;1;1;0;0;0;0;2;0;0;0;5;0;0;0;0;1;0;0;2;2;0;2;1;0;0;0;0;1;0;0;1;0;0;6;0;2;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;5;0;2;0;0;0
;;10;Kraanen, T.H.;58;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;0;2;1;0;0;0;0;2;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;3;0;0;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;1;2;0;1;0;0;0;3;0;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;11;Osinga, Y.A.;87;5;1;1;0;3;0;0;0;0;0;0;1;0;1;0;0;5;2;0;1;0;0;0;1;0;1;1;0;0;0;2;1;0;0;1;0;4;0;1;3;0;0;1;1;1;1;1;1;1;1;0;2;2;1;0;1;0;0;0;0;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0;1;0;0;2;1;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;0;3;0;0;2;1;0;0;1;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0
;;12;Hengeveld, J.;85;1;0;1;1;0;1;1;1;0;1;1;2;9;1;0;2;2;1;0;0;0;0;1;3;3;1;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;2;6;0;0;0;2;1;0;1;0;0;0;1;1;0;0;0;4;0;0;1;1;0;0;0;3;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1
;;13;Luikinga, Y.C.E.;118;5;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;10;10;0;0;3;2;0;0;0;0;1;0;0;0;1;3;4;0;2;1;6;1;0;3;0;0;0;1;1;0;0;1;0;0;2;1;1;1;1;1;0;1;0;0;2;0;0;6;0;4;2;0;1;1;0;1;0;0;2;0;1;0;1;1;1;1;0;2;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;1;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;1;1;2;0;2
;;14;Wygman, M.B.L.E.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;15;Steenmeijer, G.P.R.;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Luchtenveld, R.;131;3;2;0;0;0;1;0;0;1;0;0;0;0;15;7;9;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;2;2;7;16;0;0;0;1;0;1;1;0;0;0;3;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;4;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;7;4;0;0;1;0;3;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;5;3;1;0;0;1;0;0;0;3;0;0;0;0;0
;;17;Dutij, N.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;18;Smit, T.J.;39;5;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;19;van den Brink, D.;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Buijtelaar, J.C.;127;4;0;2;1;1;3;0;0;2;1;0;0;2;0;0;0;6;7;1;1;4;2;0;2;2;1;0;3;0;1;4;2;0;0;2;3;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;2;5;0;0;1;0;1;0;6;1;0;0;1;0;1;0;0;0;2;0;1;0;2;0;0;0;0;1;1;2;2;3;0;2;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;2;1;0;2;3;1;0;0;0;0;0;0;0;0;0;0;1
3;GROENLINKS;;;8849;117;156;183;73;53;92;71;83;46;166;131;102;108;48;63;59;54;104;24;17;21;107;73;58;54;52;45;51;26;110;64;65;91;42;39;66;97;46;102;73;45;12;174;37;12;63;43;115;94;54;70;17;125;109;131;72;105;41;99;92;133;48;149;83;24;64;174;145;56;84;21;48;42;30;119;53;61;21;89;235;29;53;7;26;51;40;22;98;110;124;181;36;31;57;25;41;29;33;29;11;36;41;49;38;23;31;30;12;41;18;31;6;16;68;9;5;73;49;83;82;52;29;33;45;54;97;50;26;54;42;18;74;41;41;19;18;92;8;30;10;4;17
;;1;Janssen, A.P.A.M.;5007;65;71;108;29;23;47;46;44;31;72;59;42;38;30;40;41;28;54;13;8;13;65;38;44;42;38;31;28;9;57;45;41;44;21;24;28;57;21;48;50;27;6;104;16;9;24;16;70;70;36;41;4;74;46;75;49;60;25;55;54;75;16;90;45;10;40;110;84;34;52;10;28;23;21;73;26;28;13;51;157;24;27;7;15;27;29;17;61;60;58;85;27;12;43;13;31;11;19;19;9;16;18;32;14;17;23;14;7;24;12;20;4;5;38;7;4;49;30;51;39;31;14;23;31;29;50;23;15;36;24;9;52;26;22;12;11;55;6;18;8;3;11
;;2;Leeuwenkamp, B.L.;312;5;3;4;3;2;3;0;8;0;2;2;3;5;3;2;2;0;4;0;0;0;1;1;0;0;2;0;1;1;8;1;5;1;0;0;2;4;2;5;1;0;2;11;2;0;3;0;3;3;2;3;2;4;1;4;0;5;2;2;7;6;7;9;4;1;1;10;11;3;9;0;1;1;0;7;0;3;0;8;3;0;2;0;2;0;0;1;5;1;4;5;0;1;3;1;1;1;2;1;0;2;1;0;0;0;1;3;0;2;0;0;0;1;2;1;0;2;2;6;8;1;1;0;0;2;5;1;2;3;1;1;1;2;1;0;1;2;0;1;0;0;0
;;3;Hos, D.B.;492;6;7;16;1;3;7;5;8;2;7;5;8;2;3;1;2;4;13;2;0;1;6;2;1;1;1;2;2;0;6;1;2;3;1;2;2;6;2;5;5;6;0;6;2;1;4;3;10;3;2;3;1;5;7;8;5;4;2;10;4;8;0;7;5;2;4;7;4;2;1;2;6;6;2;9;1;2;1;5;13;0;6;0;1;7;2;0;3;14;3;10;1;2;4;0;2;4;3;2;0;1;5;1;1;1;0;6;1;6;0;2;0;3;9;1;0;3;6;8;4;3;4;1;3;0;3;2;2;1;2;0;5;5;3;1;2;4;1;1;0;0;1
;;4;El-Messaoudi, Y.;584;10;24;12;6;2;14;8;5;2;9;11;9;14;0;4;3;3;3;1;4;2;7;8;1;1;2;3;0;2;9;2;4;5;3;3;10;8;4;17;0;2;0;4;4;0;4;8;3;2;3;3;0;7;10;10;3;9;3;6;6;11;12;12;7;2;2;10;6;1;4;1;2;1;1;3;7;6;0;0;12;3;2;0;0;5;1;1;3;5;10;15;1;2;0;4;2;1;2;3;0;0;0;3;14;0;2;0;1;1;0;2;0;1;1;0;1;0;3;2;5;5;3;1;2;6;10;5;4;2;5;0;5;0;4;1;1;7;0;2;0;0;3
;;5;Bulthuis, J.;133;3;2;2;0;0;0;0;1;1;4;1;0;3;1;1;0;2;1;1;0;2;3;1;0;0;0;0;3;0;1;0;0;3;1;0;2;2;0;1;0;0;0;7;0;0;2;1;0;1;1;1;0;1;11;2;0;4;1;2;0;3;0;0;1;0;2;3;3;1;1;0;0;0;0;1;0;0;0;3;1;0;0;0;0;1;0;0;1;0;2;0;0;1;0;0;0;2;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;2;4;0;0;0;0;4;0;1;0;1;3;0;3;3;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0
;;6;Bromberg, I.N.;467;5;5;5;5;2;8;5;4;1;15;12;9;5;1;3;3;4;5;1;2;1;5;6;3;2;3;0;4;2;11;2;1;3;4;2;3;2;1;10;4;4;1;11;3;0;5;1;5;6;2;6;3;5;9;3;2;10;2;4;5;3;0;7;3;3;2;6;9;2;4;2;4;2;0;8;4;7;1;1;15;1;2;0;1;3;2;1;3;6;13;12;2;2;2;0;2;2;2;0;0;0;2;4;3;0;1;1;0;3;3;1;0;0;1;0;0;9;1;2;5;0;1;1;3;5;5;2;1;2;1;2;2;1;3;0;0;6;0;0;0;1;0
;;7;van der Steenhoven, G.P.G.;46;1;1;0;1;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;2;0;3;1;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0
;;8;Sixma, F.;610;6;15;6;14;3;4;1;4;4;20;14;17;18;3;1;2;4;7;2;0;1;10;5;2;3;4;5;4;5;6;9;5;8;6;2;5;8;0;5;4;2;0;12;1;1;10;8;7;4;3;5;3;7;6;10;3;4;2;4;7;11;4;12;3;1;4;6;13;2;3;0;2;3;1;7;3;4;3;11;9;0;4;0;4;3;3;1;7;7;11;19;2;4;3;2;0;4;1;2;0;6;3;3;0;2;0;2;0;3;1;2;0;2;2;0;0;3;3;1;8;5;2;1;3;3;7;5;2;3;0;0;2;2;1;4;1;4;1;3;0;0;0
;;9;Vangangelt, M.N.H.;338;2;6;10;8;4;1;1;3;1;11;9;3;10;2;5;2;3;3;2;0;0;1;1;3;0;0;1;2;3;3;2;3;7;2;3;5;0;1;1;1;1;0;3;4;0;5;0;5;1;2;4;0;7;10;4;2;1;2;3;3;4;0;5;5;0;1;7;3;0;2;0;0;1;0;1;4;1;0;3;8;0;3;0;1;3;1;0;4;3;11;13;1;0;0;0;0;0;0;1;2;4;6;1;3;0;3;1;0;1;0;1;0;1;3;0;0;1;0;3;2;3;0;3;0;4;9;4;0;0;3;3;1;1;2;0;0;2;0;3;0;0;0
;;10;van den Akker, M.;25;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Niemeijer, H.A.;36;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;2;0;0;0;1;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Alblas, E.;126;3;3;3;0;0;2;0;0;1;5;0;4;3;0;0;1;4;2;0;0;0;0;1;1;2;0;0;3;0;0;0;1;1;1;2;0;3;2;0;1;0;0;2;0;0;2;1;0;2;1;0;2;0;3;4;0;0;1;3;0;3;0;0;1;1;2;3;2;1;1;2;1;0;1;3;3;0;1;0;4;0;0;0;0;0;0;0;3;3;2;2;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;2;0;0;0;0;1
;;13;Zeijlemaker, L.;55;1;2;2;1;0;0;0;0;0;1;2;1;3;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;4;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;3;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;14;Hofman, T.;154;0;5;1;1;2;2;0;2;0;8;4;3;1;3;1;0;1;2;1;2;0;2;1;1;0;0;0;0;0;3;0;1;2;1;0;3;0;4;3;0;0;0;2;1;0;1;0;2;0;0;0;0;2;1;2;3;1;0;3;1;2;0;2;1;0;3;4;7;1;2;1;0;0;0;0;1;3;0;3;0;0;2;0;0;1;0;0;1;2;2;1;0;5;0;0;1;1;1;0;0;1;2;1;2;0;0;0;2;0;0;0;1;1;2;0;0;1;0;0;1;0;2;0;0;2;2;0;0;0;1;0;1;1;2;0;0;2;0;0;1;0;0
;;15;Kooijman, C.A.M.;36;0;1;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Buist, H.A.;27;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;4;0;0;2;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Molenveld, B.;31;1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;18;Vrielink, T.M.S.;43;1;1;0;0;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;3;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0
;;19;Lieverse, E.J.;59;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;2;1;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;1;2;0;1;0;0;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;2;0;1;0;0;0
;;20;Vallentgoed, E.;23;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;21;Hinloopen, E.;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
