Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Hotel theater Figi;Bibliotheek;Maria Oord;Kerkgebouw de Ark;NoorderLichtgemeente;Wijkgebouw 't Lichtpunt;Restaurant Jagershuys;Zeister vrije school locatie van Tuyllaan;Speeltuin- en belangenvereniging kindervreugd;Dijnselburg A;Dijnselburg B;Wijkservicepunt Noord;Wijkservicepunt ’t Volle Hof;Flex@Work;Centraal Bureau 't Noorderpunt;Sionskerk A;Sionskerk B;VSO Heuvelrug college;CBS Nije-Kroost;St. Kerkelijk Centrum Zeist-West A;St. Kerkelijk Centrum Zeist-West B;Wijkcentrum De Koppeling A;Wijkcentrum De Koppeling B;Oude voedselbank;Comeniusschool;Zorgcentrum Amandelhof;Kerckebosch school;Binnenbos A;Binnenbos B;Dorpshuis Hart van Austerlitz;Abrona  't Lichtpunt;Adra Share & Care;Verpleeghuis de Wijngaard;Villa Den Dolder;Dolderse Sportclub DOSC;Maria Christinakerk Den Dolder;Hotel theater Figi (maandag);Dijnselburg (maandag);Flex@Work (maandag);St. Kerkelijk Centrum Zeist-West (maandag);Binnenbos (maandag);Dolderse Sportclub DOSC (maandag);Hotel theater Figi (dinsdag);Dijnselburg (dinsdag);Flex@Work (dinsdag);St. Kerkelijk Centrum Zeist-West (dinsdag);Binnenbos (dinsdag);Dolderse Sportclub DOSC (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;41;42;43;44;45;46;51;52;53;54;55;56
Postcode;;;;;3701 HS;3701 HS;3701 JZ;3702 VG;3702 SB;3707 AE;3707 BM;3707 HW;3707 CV;3705 XD;3705 GK;3705 GK;3705 HD;3706 AA;3706 AP;3706 AH;3705 BP;3705 BP;3704 GN;3704 EG;3704 KB;3704 KB;3704 KS;3704 KS;3703 AJ;3703 CG;3708 AB;3708 GA;3708 DL;3708 DL;3711 BP;3712 XJ;3712 AD;3735 MR;3734 BL;3734 EJ;3734 BG;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ
;;27;Niehof, A. H.;10;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0
;;28;Slis-László, É.;19;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;2;0;0;0;1;0
;;29;van Grootel, C. M. C.;29;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;5;1;1;0;0;0;0;0;0;2;0;0;0;0;3
;;30;Nysingh, D. A. P.;28;2;0;0;0;3;0;3;1;1;1;0;0;0;0;0;0;1;1;0;1;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;5;0;1;1;0;2
;;31;Jansen, S.;56;1;2;2;0;2;1;1;3;1;1;1;2;1;0;0;1;1;3;2;2;1;1;0;1;1;2;3;1;2;1;3;1;0;1;1;2;1;1;0;1;0;1;0;1;0;1;2;0;0
2;GROENLINKS;;;5937;183;113;253;132;146;114;164;91;172;101;31;45;185;93;251;160;157;134;110;192;137;97;132;137;47;71;66;72;111;128;222;127;58;51;124;143;147;118;62;73;110;72;49;138;89;172;165;126;66
;;1;van Nieuwstadt, R.A.;1387;40;28;57;24;35;30;48;25;45;23;9;10;43;20;38;32;43;29;30;39;35;25;23;41;11;16;19;20;29;32;39;28;20;21;22;24;28;34;18;21;29;22;9;40;26;30;35;37;5
;;2;Hoogstraten, L.H.H.;2388;81;44;110;54;67;50;74;42;92;49;8;16;65;26;86;50;75;64;43;83;47;37;61;50;24;33;38;36;43;57;71;43;24;18;40;43;49;45;26;19;48;31;18;56;32;66;79;56;19
;;3;van 't Riet, F.J.;91;3;0;1;1;1;3;5;1;0;0;0;0;2;2;2;2;1;15;0;3;0;1;0;0;0;0;1;0;1;0;0;22;3;2;0;2;5;1;2;0;0;0;0;3;1;1;1;2;1
;;4;Zwart, S.G;561;25;13;17;14;8;9;9;6;12;8;5;4;21;17;55;27;13;0;14;20;8;8;14;17;1;3;3;5;7;15;10;12;6;2;8;7;7;4;3;19;13;5;4;13;7;38;9;11;5
;;5;van Vliet, G.J.M.;65;1;2;0;1;5;2;3;0;2;2;0;0;4;3;1;1;3;1;1;0;0;0;1;1;2;1;0;3;1;2;3;1;1;0;0;0;1;1;0;1;1;4;0;3;2;3;1;0;0
;;6;Folkersma, M;238;4;6;13;5;8;3;1;7;6;4;0;3;15;4;9;13;5;8;2;8;10;5;5;6;4;5;1;2;4;4;3;5;1;2;3;4;3;5;0;2;5;1;1;7;5;7;7;6;1
;;7;van der Schild, S.G.H;93;1;1;0;1;0;2;0;0;0;0;0;0;0;0;1;7;1;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;15;22;0;0;0;0;0;7;0;1;0;2;0;12
;;8;Lentz, R;15;0;0;3;8;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Pereboom, G.J.J.P;211;6;6;17;0;5;9;9;1;4;4;0;2;8;0;23;0;4;2;3;9;7;2;2;2;1;5;0;1;6;4;4;2;0;0;3;5;6;10;1;2;4;3;2;1;6;6;7;4;3
;;10;Dirkse, F.R.;23;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;1;1;0;1;0;0;0;0;1;2;1;0;0;1;0;0;0;2;0;0;1;0;0;0;1;2;3;0;0
;;11;Snel, J.H.;90;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;2;0;0;0;1;0;1;1;0;0;0;0;2;18;22;14;1;0;0;0;0;5;3;0;0;1;0;12
;;12;Zahri, N;136;3;4;8;4;0;0;5;0;2;2;2;1;5;5;11;4;2;3;1;9;5;2;4;10;1;0;1;0;4;1;6;0;0;2;1;0;2;2;5;1;0;1;0;2;1;8;2;3;1
;;13;Kluck, E.;18;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;4;1;1;0;0;0;0;1;0;0;0;0;0;0;1
;;14;Legters, P.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;1;0;0;0;1;0;1;0;0;0;0;0;4
