Verkiezing;;Gemeenteraad Edam-Volendam 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Edam-Volendam;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0385;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Politiebureau;Basisschool De Spinmolen;Sporthal De Kreil;Sporthal De Kreil;Clubcorner FC Volendam;Koninklijke Vereniging Sint Jozef;Stembureau-unit Parallelweg;St. Petrusbasisschool;Tennisvereniging Dijkzicht;Gymzaal Langemeerstraat;Bibliotheek Edam;De Ontmoeting;De Singel;Culicafé De Ontmoeting;Snackbar Café Seevanck;Dorpshuis de Drie Hamers;Voetbalkantine Kwadijk;Kerk Middelie;De Oude School;MFA De Groote Molen;Politiebureau (maandag);Politiebureau (dinsdag);De Ontmoeting (maandag);De Ontmoeting (dinsdag);Snackbar Café Seevanck (maandag);Snackbar Café Seevanck (dinsdag)
;;35;Schilder, J.V.;3;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Lange, E.M.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Kwakman, J.E.A.M.;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Blakborn, G.;13;0;2;0;0;0;0;0;1;0;0;4;0;0;3;0;0;0;0;0;1;1;1;0;0;0;0
7;Partij van de Arbeid (P.v.d.A.);;;992;21;28;13;13;20;46;10;17;24;83;130;117;95;34;39;28;32;24;16;27;23;28;34;55;16;19
;;1;Bliek, P.M.;368;8;10;4;4;6;15;4;4;3;40;37;37;38;8;13;22;14;11;9;16;7;12;12;17;8;9
;;2;Slotboom, M.;71;2;9;4;3;3;17;1;4;5;3;3;0;0;6;0;1;2;0;1;0;3;4;0;0;0;0
;;3;van den Essenburg, B.A.;229;5;3;0;2;7;2;2;7;7;16;49;47;26;6;3;0;7;5;2;2;3;5;7;16;0;0
;;4;Buis, C.;53;0;1;1;0;1;3;0;0;3;0;5;1;2;0;8;2;6;1;0;6;2;1;0;1;7;2
;;5;Spanjer, W.M.;72;1;0;3;0;0;1;0;0;0;6;11;9;15;1;2;0;0;1;2;0;3;3;8;6;0;0
;;6;Visser, W.;24;0;0;1;0;0;0;0;0;0;1;7;5;3;0;0;0;1;0;0;0;2;0;2;1;0;1
;;7;Jonkman, W.Y.;29;0;0;0;0;0;0;1;1;1;0;0;0;0;1;9;2;1;3;2;2;0;0;0;0;0;6
;;8;Keijzer-Pelk, H.H.M.;29;2;3;0;4;3;5;0;1;2;0;1;0;1;4;1;0;0;0;0;0;0;1;0;1;0;0
;;9;van der Meulen, B.J.;7;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Frerichs, L.L.;10;0;0;0;0;0;0;0;0;0;1;2;2;1;0;0;1;0;0;0;0;0;0;1;2;0;0
;;11;Luyckx, T.G.C.;24;0;1;0;0;0;1;1;0;0;6;2;1;2;6;0;0;0;0;0;0;0;0;1;3;0;0
;;12;Beets, M.;19;0;0;0;0;0;2;0;0;2;1;1;8;1;0;0;0;0;0;0;0;1;1;0;2;0;0
;;13;Kuenen, B.A.P.M.;18;1;0;0;0;0;0;0;0;0;4;4;2;4;0;0;0;0;0;0;0;0;0;1;2;0;0
;;14;Rijpstra, J.;6;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Köllmann, K.A.H.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;16;de Boer, M.;8;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;1;2;0;0;0
;;17;Paes, T.G.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
;;18;Lang, B.;9;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;0;0;0;0;0;1;0;0;2;0;0
;;19;Groot-van Engelen, G.H.;9;2;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0
8;Forum voor Democratie;;;683;41;72;45;32;39;60;21;54;37;34;15;20;22;36;10;9;24;16;14;33;24;18;0;1;3;3
;;1;Schilder, J.J.;438;27;52;36;24;26;44;13;30;27;11;5;10;11;19;7;7;16;7;8;23;21;10;0;1;2;1
;;2;Wijnandts, J.;77;4;5;1;1;6;0;0;3;2;16;8;9;4;3;0;0;2;4;1;3;0;3;0;0;0;2
;;3;Linzell, R.P.;25;0;4;0;0;0;7;4;1;0;1;0;0;1;1;1;0;0;0;4;0;0;1;0;0;0;0
;;4;van Leeuwen, M.;9;0;3;0;0;0;0;1;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;5;Tol, C.M.A.;12;0;2;0;1;0;0;0;4;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0
;;6;Veerman, T.J.W.M.;49;6;4;5;5;2;2;0;5;4;0;0;1;4;7;0;0;0;0;0;0;1;2;0;0;1;0
;;7;Runderkamp, N.S.I.;16;0;2;0;1;5;1;0;0;2;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
;;8;van der Valk, W.F.G.;9;2;0;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;de Vroome, M.;4;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Kohn, S.;20;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;6;5;0;6;0;0;0;0;0;0
;;11;Braan, C.J.J.;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Pijlman, A.;14;2;0;2;0;0;1;2;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;13;van der Zwaart, T.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;14;Soenjoto, S.;5;0;0;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
9;BVNL;;;1448;83;138;117;82;138;93;75;163;105;38;36;20;20;122;10;2;14;6;8;25;47;83;5;6;3;9
;;1;Jonk, S.J.M.;616;42;48;44;39;52;29;32;74;43;13;12;9;9;66;9;1;8;3;2;13;21;40;1;2;1;3
;;2;Koning, J.H.M.;167;9;11;10;10;27;10;9;14;26;6;1;0;4;17;0;0;0;0;0;0;4;8;0;0;0;1
;;3;Kroon, M.M.C.;109;5;13;17;4;6;8;3;16;4;4;2;2;3;15;0;0;0;0;3;2;1;1;0;0;0;0
;;4;Tol, K.C.A.M.;38;1;1;2;1;5;3;3;1;4;3;1;1;0;3;0;0;0;2;2;1;0;2;0;0;0;2
;;5;Schilder, P.C.J.;215;14;25;21;11;19;24;14;23;16;4;5;4;1;4;0;0;0;0;0;2;11;14;1;0;0;2
;;6;Tol, A.N.M.;33;3;5;2;6;1;4;1;4;0;0;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0
;;7;de Boer, D.N.M.;31;0;1;3;1;8;1;0;7;2;0;0;0;0;3;0;0;0;0;0;0;2;3;0;0;0;0
;;8;Kwakman, T.J.;26;4;6;0;0;0;0;3;4;0;1;2;0;2;0;0;0;0;0;0;0;0;1;1;0;2;0
;;9;Perz, C.;11;0;1;0;0;4;0;0;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Veerman, A.C.M.;13;0;2;3;0;1;0;1;2;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0
;;11;Koning, C.H.M.;22;1;3;2;3;2;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;12;Veerman, M.G.;11;0;5;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
;;13;Vermolen, J.M.M.;7;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;14;Zwarthoed, J.N.M.;11;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0
;;15;Kras, N.C.;18;0;4;1;0;4;1;0;1;1;0;0;0;0;3;0;1;0;0;0;1;0;1;0;0;0;0
;;16;Leeflang, M.T.A.;55;2;6;6;6;3;1;5;4;6;3;3;0;0;0;0;0;0;0;0;0;4;2;0;3;0;1
;;17;Tol, H.C.M.;22;0;1;2;1;2;3;2;4;1;0;2;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0
;;18;Pot, A.;43;2;1;2;0;3;1;1;2;1;4;8;3;1;1;0;0;1;1;1;5;1;2;2;0;0;0
