Verkiezing;;Gemeenteraad Beverwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beverwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Buurthuis Wijk aan Duin;Kennemer Theater;Immanuelkerk;Brandweerkazerne Beverwijk-Oost;Gymzaal de Dreef;OBS het Kompas;Beverwijkse Harmonie Kapel;Fysiotherapie Europa;Speeltuin Jeugd en Vreugd;TTV Rapidity;Nieuw Akerendam;Gymzaal Kuikensweg;Sporthal Waterwijk;Sporthal Waterwijk;De Moriaan;Stadhuis Bijzonder Stembureau;Vredevorstkerk;Mobiel Stembureau
;;4;Kocak, H.I.;174;6;0;0;0;5;6;2;0;7;10;9;86;2;19;0;4;1;0;0;1;10;2;1;2;1;0
;;5;Stengs, M.E.B.;366;23;3;6;1;22;16;16;1;27;26;8;15;7;17;19;11;35;17;6;29;17;8;5;6;25;0
;;6;Deen-Zoontjes, A.;170;6;1;3;8;6;3;2;17;8;14;3;10;3;2;5;2;1;4;0;10;3;3;51;1;4;0
;;7;Bos, A.;97;3;2;2;0;6;2;0;0;5;10;3;13;1;0;0;6;0;1;12;8;5;0;0;12;6;0
;;8;Huis in 't Veld-Langendijk, R.M.;64;4;0;0;0;4;2;1;0;6;5;2;5;1;2;1;2;3;1;7;6;5;1;0;1;5;0
;;9;Kloes, B.M.;34;1;0;0;0;2;0;0;0;4;6;1;1;3;0;5;2;0;2;1;0;1;0;3;1;1;0
;;10;Besseling, J.T.J.;63;2;0;1;0;8;0;0;0;3;11;6;2;2;4;2;2;1;1;3;7;3;0;2;1;2;0
;;11;Anderies, H.;26;3;0;0;0;2;0;0;0;1;3;0;5;0;1;0;0;2;5;0;0;0;0;2;0;2;0
;;12;de Kock, R.;33;2;1;1;0;5;1;0;0;0;5;3;1;2;4;1;1;3;0;0;3;0;0;0;0;0;0
;;13;Nüßer-Bakker, S.;37;2;0;1;0;3;0;4;2;4;1;2;1;3;0;1;0;2;1;2;4;0;0;0;0;3;1
;;14;'t Hart, L.;38;0;1;3;0;0;0;4;0;3;1;0;3;8;3;6;0;0;0;1;1;1;0;2;0;1;0
;;15;van Weel, A.G.F.;10;1;0;1;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0
;;16;Kos, D.;63;0;2;2;0;0;1;8;0;5;2;4;2;2;0;3;3;0;6;2;13;4;1;0;2;1;0
;;17;Schram, B.G.;11;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;1;0;1;3;0;0;0;0;1;0
;;18;Akdeniz, K.;39;1;0;0;0;4;2;1;1;3;3;2;8;0;0;1;0;0;9;0;0;0;1;0;2;1;0
;;19;Rutten, T.G.;41;0;0;0;0;2;1;5;0;14;2;3;2;1;0;0;1;0;1;0;4;0;2;0;0;3;0
;;20;van der Peijl, T.A.F.;77;3;0;1;0;4;4;2;0;1;8;2;3;7;0;0;0;0;7;4;8;11;0;0;1;11;0
;;21;Zoetmulder, J.A.;37;6;0;0;1;0;0;3;0;5;6;7;1;1;0;0;0;0;0;2;4;0;0;1;0;0;0
;;22;Peekel, H.A.;44;4;0;2;2;2;1;3;1;4;2;0;0;0;0;4;0;0;9;0;1;1;0;2;0;6;0
;;23;van den Elzen, J.A.;26;0;0;0;0;0;2;0;0;1;6;1;3;1;1;1;1;0;3;0;1;0;3;0;2;0;0
;;24;Doetjes, J.L.;82;7;0;2;0;5;0;11;0;8;4;0;2;1;1;4;0;1;18;0;9;2;0;0;0;7;0
;;25;van Luijn, J.P.;96;1;0;4;1;2;2;0;14;6;3;2;4;1;3;2;0;0;4;2;5;0;0;35;1;4;0
;;26;Bart, C.H.M.;45;3;0;5;0;1;0;3;0;7;1;0;0;4;4;1;3;0;3;1;4;1;1;0;3;0;0
;;27;van Weel-Niesten, C.G.;104;7;5;7;0;4;1;6;2;14;5;0;2;11;0;3;0;0;2;8;10;8;1;3;3;2;0
7;VRIJ !;;;1488;72;19;37;20;81;29;53;39;74;115;49;129;90;48;51;25;26;63;47;92;89;34;74;36;96;0
;;1;Uiterwijk, K.;675;28;1;18;6;38;15;25;27;34;55;18;67;47;22;19;11;6;21;21;57;25;11;38;13;52;0
