Verkiezing;;Gemeenteraad Haarlem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haarlem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Stadhuis;Philharmonie;Zijlpoort;Stadsbibliotheek;Rosenstock Huessy Huis;Basisschool De Kring;Oud-Katholieke Kerk H.H. Anna en Maria;Activiteitencentrum Het Zaeltje van Rosehaghe;Speeltuin Klarenhof;Badhuis Leidseplein;Trefpunt 't Trionk;Pelgrimkerk;Tent Theemsplein;Tent Christiaan Huygensplein;Wijkcentrum Het Broederhuis;Wijkcentrum Oosterkerk;Tent Van Zeggelenplein;Gymzaal De Viersprong;Reinaldahuis;Tent Mohammed Hattastraat;Activiteitencentrum & Regiokantoor DOCK;Tent Zomervaart;Speeltuinvereniging Kindervreugd;Buurtcentrum de Hamelink;Waarderpolder;Eerste Christelijke Lyceum (ECL);OBS Bos en Vaart;Provincie Noord-Holland;Verpleeghuis Zuiderhout;Tent Spaar en Hout;HART Haarlem;Buurtcentrum De Tulp;Fonteinkerk;Koningkerk;Willem van Oranjeschool;Speeltuinvereniging Elba;Basisschool De Cirkel;Vrije school Kennemerland;De Goede Herderkerk;Wijkcentrum De Horizon;Tent Santpoorterstraat;Basisschool Ter Cleeff (Gymzaal);Haarlemse Korfbal Club;Ontmoetingscentrum De Schakel;Tent Elzenplein;Backstop;Gymzaal Liduinaschool;Tent Herman Heijermansplein;Schoterhof;Scouting Menno Simonsz;Speeltuin D.V.S.;Scouting Brigitta;Gymzaal De Dolfijn;Johan Limpershof;Stg. Wijkgebouw Hof van Eden;RK Basisschool Sint Bavo;Dienstgebouw Oude Kerk;Novacollege Zijlweg;Fablo Tennishal;Tent Duinroosplantsoen;Tent Beneluxplein;Tent Rozemarijn KDC;Wijkcentrum de Wereld;Speeltuin De Eenhoorn;Tent CBR;Wijkcentrum De Ringvaart;Tent Floris van Adrichemlaan;Basisschool Al Ikhlaas;VMG Haarlem;Da Vinci, Centrum van Ontmoeting;RK basisschool De Brandaris;De Molenburg;Stadsbibliotheek Schalkwijk;Basischool De Wadden;Tent NS Station;Publiekshal Raakspoort;Patronaat;Frans Hals Museum;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort
;;21;Winkel, J.H.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Jonker, J.C.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Magala, J.S.;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kamphuis, M.F.F.;42;0;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;2;0;0;0;5;2;0;0;0;1;0;0;2;0;1;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;2;2;1;0;0;1;1;1;0;0;1;0
;;25;Dinklo, R.G.H.;8;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Piers, M. M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;27;Ubachs, L.;34;3;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;2;1;0;0;0;0;1;0;0;2;0;0;0;0;2;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;28;Hrisanidi, D. A.;45;0;0;0;2;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;1;6;0;1;1;1;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;2;0
;;29;van Pruissen, G.A.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;30;Smit, A. J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;31;Cornelisse, L.G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0
;;32;Hamminga, R.H.A.;8;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;33;Kol, D. H. A.;97;4;2;0;1;2;1;1;2;0;0;0;0;1;2;0;0;0;0;1;2;0;2;3;0;0;5;3;0;6;1;1;0;0;0;0;0;1;0;0;4;3;1;2;3;3;2;6;0;1;0;2;2;0;0;1;0;0;4;3;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;1
;;34;Gerbranda, C. J.;10;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Mooij, C.;7;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Boer, J.;19;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;37;Bolkestein, M. N.;23;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0
;;38;Dijkstra, A. K.;24;1;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Mens, R.;33;1;1;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;2;0;2;1;2;0;0;1;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Wiesehahn, M.R.F.;41;1;0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;2;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;4;3;0;0;0;0;1;1;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;D66;;;8684;212;110;35;126;109;110;121;83;68;117;119;180;142;80;87;36;127;35;34;45;34;67;41;43;12;145;234;139;178;92;100;57;127;67;28;103;100;98;158;71;444;162;143;192;47;68;205;39;76;72;142;115;75;48;106;139;27;105;211;117;61;105;47;24;80;29;41;15;19;56;96;126;23;18;194;114;79;63;37;31;14;88;63;36;32;29;70;63;65;45;23;95;56;40;53;35;134;82
;;1;Çimen, M.;5083;120;61;20;73;56;61;67;65;37;63;72;100;88;47;52;20;81;22;21;22;19;41;28;23;7;94;150;89;94;59;61;29;79;32;12;68;60;49;103;47;251;106;88;106;26;35;123;23;44;49;87;62;33;28;54;70;11;60;118;70;34;63;26;8;47;19;17;8;7;39;58;69;19;9;117;64;42;37;19;18;10;46;33;24;20;15;49;43;41;24;11;67;40;27;31;18;77;51
;;2;Oudshoorn, A.J.L.;950;16;14;3;16;20;16;10;3;8;15;11;15;17;8;10;3;15;1;4;6;5;5;4;9;1;12;25;12;18;8;12;5;11;8;5;15;11;17;22;2;44;7;20;30;6;7;22;3;11;10;19;11;9;5;16;19;3;14;25;13;3;6;3;5;7;3;3;1;1;7;12;21;0;3;18;16;10;6;6;6;0;13;7;0;4;4;5;4;8;3;2;8;5;5;9;4;12;8
;;3;Krouwels, J.T.M.;331;17;10;1;3;9;0;2;3;1;5;4;9;6;5;3;1;5;1;3;3;0;1;1;2;1;3;7;3;7;3;2;6;3;2;1;2;7;5;2;7;18;2;2;6;3;2;5;0;4;0;4;5;3;0;4;3;1;5;8;5;6;4;1;2;7;0;1;1;0;2;0;4;0;0;13;11;5;2;0;1;0;6;1;1;0;1;1;2;2;0;0;0;1;1;2;2;9;6
;;4;van Leeuwen, B.;316;12;3;2;4;1;4;5;1;5;3;4;13;3;1;5;3;1;2;1;1;2;1;0;0;0;4;7;3;6;1;4;2;3;5;3;2;6;4;3;3;10;5;2;10;1;4;7;3;0;2;2;8;9;0;4;10;5;2;7;3;1;5;3;2;1;0;2;2;4;0;7;10;1;1;3;3;1;1;1;0;1;3;4;0;5;0;0;4;4;4;2;2;0;0;1;3;6;2
;;5;van der Windt, T.;852;16;7;2;14;9;11;17;5;8;15;9;21;16;9;7;3;12;4;3;7;2;8;1;4;3;16;25;19;20;9;10;4;15;2;5;7;10;8;11;6;52;19;17;17;3;12;25;5;9;4;13;18;5;3;11;16;5;10;24;15;7;11;2;3;3;5;4;1;1;4;9;13;0;0;14;7;10;4;6;3;0;11;5;4;0;1;6;7;4;8;2;12;2;0;1;2;9;8
;;6;van den Berg, D.J.H.;67;4;0;1;0;0;1;2;0;0;1;1;1;1;0;0;0;2;1;0;1;0;0;0;0;0;1;2;2;0;0;0;0;2;1;0;0;0;1;2;0;10;0;1;0;0;1;1;0;0;0;1;0;2;1;0;0;0;2;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;0;0;1;2;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;4;0
;;7;de Valk, J.H.;170;5;3;2;4;1;0;5;1;2;7;3;3;1;2;0;0;2;0;0;0;1;1;1;1;0;3;1;2;1;2;4;0;2;1;0;5;1;0;2;2;6;3;2;4;4;0;3;5;2;0;4;2;0;1;0;3;1;1;3;4;1;1;2;0;3;0;1;0;1;0;0;0;1;3;3;3;2;6;0;0;0;2;4;0;0;0;3;2;1;1;0;0;2;4;1;0;3;1
;;8;Zwemmer, R.;119;2;3;0;4;0;1;2;2;2;1;1;7;2;1;1;1;2;0;0;2;5;0;1;2;0;1;0;1;2;0;0;1;1;2;0;1;3;4;1;0;4;3;3;1;1;0;1;0;1;0;4;2;4;1;2;2;0;1;4;1;0;0;2;0;0;0;1;0;1;0;2;1;1;0;4;2;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;2;0;2;1
;;9;Leijten, I.B.;64;1;0;0;0;2;4;2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;0;1;1;3;0;0;0;0;3;0;0;7;4;2;1;0;0;2;0;0;0;1;0;1;0;1;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;2;1
;;10;Koets, M.A.;32;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;5;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Jonker, S.D.B.;51;1;1;0;1;1;0;2;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;3;5;0;2;0;0;0;0;0;1;0;0;1;0;8;5;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;12;Couvee, D.d.J.;21;2;1;0;0;1;2;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;13;Daamen, T.A.;37;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;1;0;0;0;2;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;1;2;0;0;1;2;0;1;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;Hollenberg, G.;174;6;2;3;2;1;2;1;1;0;0;1;2;4;3;1;0;1;2;1;1;0;4;0;0;0;2;5;0;14;4;2;2;1;4;0;1;1;4;3;1;12;3;2;3;0;3;6;0;1;4;2;3;0;2;1;3;0;3;3;4;1;2;0;0;2;0;0;0;0;0;2;0;0;0;6;1;1;0;1;0;0;4;1;1;0;1;2;0;0;0;1;3;0;2;2;1;2;1
;;15;Kersbergen, R.W.;15;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Köycü, Z.;138;1;0;0;2;1;1;1;0;0;2;0;2;1;0;3;2;3;1;1;0;0;2;1;0;0;1;2;0;0;0;1;3;3;5;0;0;0;0;1;1;6;0;1;1;0;0;0;0;0;0;0;1;6;2;6;4;0;2;0;0;2;5;7;0;4;2;11;1;4;2;2;3;0;0;2;0;0;1;0;0;3;0;0;1;2;6;2;1;1;0;1;0;2;0;0;0;3;0
;;17;Millaard, E.A.;21;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;Abbas, M.;25;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;1;0
;;19;Marselje, A.P.;44;0;2;0;1;0;0;1;0;0;2;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;2;1;1;0;0;0;0;0;0;0;0;3;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0
;;20;Botter, J.;87;2;0;1;0;3;1;1;1;4;0;2;2;0;1;1;0;1;0;0;0;0;0;1;1;0;5;1;0;2;0;1;1;0;2;0;0;0;1;2;0;1;2;2;0;0;0;2;0;2;1;0;2;0;2;1;2;0;1;1;0;1;4;0;0;1;0;0;0;0;1;0;2;1;0;2;1;2;1;2;2;0;0;1;0;1;0;2;0;2;0;0;1;1;0;2;0;0;1
;;21;Leitner, D.C.;87;2;1;0;1;2;2;1;1;0;0;2;2;1;1;1;0;1;0;0;1;0;0;2;0;0;0;1;1;3;0;1;1;1;1;1;0;0;0;2;1;7;0;0;5;1;1;4;0;1;0;0;1;2;2;0;4;0;0;1;1;1;1;0;1;4;0;0;0;0;0;1;0;0;1;4;2;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2
5;CDA;;;3500;50;15;10;23;20;20;21;22;19;23;51;51;45;31;33;14;61;15;59;37;11;27;25;19;5;49;35;42;57;45;14;23;43;8;15;32;39;31;56;37;88;42;53;71;20;52;78;9;73;21;96;52;55;37;57;61;17;27;66;48;55;76;21;16;23;45;48;28;68;88;43;73;29;38;31;26;12;16;19;18;19;28;32;17;41;44;16;17;20;15;11;21;26;27;40;51;26;20
;;1;Dreijer, A.R.;1454;22;9;6;8;11;10;7;11;6;11;23;26;18;12;22;4;17;0;28;12;6;8;8;7;4;21;17;11;38;15;7;14;16;7;7;15;14;14;26;20;40;20;26;44;12;24;38;4;46;6;35;19;25;20;26;33;10;14;36;25;15;23;8;7;3;10;9;10;6;30;18;32;14;5;12;11;5;3;10;7;2;12;21;4;12;16;7;6;11;5;2;7;17;7;14;8;13;11
;;2;Oppenhuis, P.J.;635;8;2;0;5;1;5;6;4;5;6;5;11;15;7;3;2;15;1;2;12;0;9;4;5;0;9;8;10;9;7;3;0;10;1;6;7;9;4;5;9;15;9;17;13;5;17;16;2;13;6;24;19;12;6;16;14;4;4;15;10;4;5;1;3;4;3;1;0;1;8;4;16;5;4;8;8;1;7;4;2;0;5;5;5;6;4;0;7;5;4;2;6;4;6;3;9;4;4
;;3;El Aichi, M.;534;3;0;0;1;2;0;0;0;5;0;0;0;1;4;0;0;15;12;20;2;1;5;3;0;0;0;1;2;0;1;0;0;2;0;2;0;0;1;1;1;4;0;0;0;0;0;3;0;1;0;1;0;4;0;1;4;0;3;2;2;30;37;4;3;9;24;31;16;58;45;8;16;5;20;2;1;0;0;0;0;14;0;1;0;18;21;2;0;1;0;6;1;0;0;17;31;3;0
;;4;Visser, J.L.;158;1;0;0;4;0;2;3;1;0;1;0;4;6;3;0;0;2;0;0;2;0;0;2;1;0;1;2;3;1;1;1;1;4;0;0;2;2;6;7;1;3;4;4;2;0;1;4;2;1;4;8;0;2;0;2;2;0;1;6;0;1;2;3;0;1;3;2;0;1;4;5;3;0;2;2;1;1;0;1;1;0;0;1;2;1;1;1;2;0;1;0;2;0;1;2;0;1;0
;;5;Sijm, L.E.M.;187;6;1;1;3;0;3;2;2;0;2;5;4;0;1;1;5;6;1;1;1;0;2;3;1;0;3;3;4;1;0;3;0;4;0;0;3;4;2;5;2;3;2;2;6;2;2;1;0;3;2;11;2;0;2;4;3;0;0;2;3;3;3;1;0;3;0;2;1;0;1;4;1;3;0;0;2;3;2;0;1;1;3;1;3;2;1;1;0;0;0;1;1;0;5;2;0;1;0
;;6;de Lint, M.E.;58;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;3;1;4;0;1;2;0;2;3;3;1;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;3;0;2;0;0;0;1;0;0
;;7;Klaver, J.W.;30;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;1;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;2;0;0;1;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
;;8;Horn, R.A.M.;48;2;0;2;0;3;0;1;0;0;0;0;0;0;1;4;0;2;0;0;0;0;0;0;0;0;3;0;2;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;2;0;1;0;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
;;9;Keet, L.T.M.;34;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;2;0;0;2;0;0;0;0;0;0;0;3;1;0;0;0;2;4;0;2;0;1;0;0;1;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;10;de Raadt, E.;98;4;1;0;1;0;0;0;1;0;2;0;1;1;0;2;2;1;0;1;4;0;0;1;1;0;1;0;1;1;4;0;5;1;0;0;1;2;1;1;0;3;2;0;1;0;1;1;0;2;0;5;1;8;1;1;0;0;4;2;1;0;1;2;0;2;0;0;0;0;0;0;0;1;2;1;0;0;1;1;1;0;0;2;0;0;0;2;0;1;1;0;0;0;0;1;2;1;2
;;11;Wams, N.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Regt, E.;20;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;13;van den Assem, J.;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Beelen-Christophe, M.G.J.;19;0;0;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
