Verkiezing;;Gemeenteraad Alkmaar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alkmaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Waag;Stembureau Kapelkerk;Stembureau Doopsgezinde Gemeente;Stembureau Tent Parkeerterrein AH XL;Stembureau Kantine Sporthal Oosterhout;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Buurthuis Overdie Ontmoet;Stembureau Wijkcentrum Oud Overdie;Stembureau Murmellius Gymnasium;Stembureau Tent Labotheek NWZ;Stembureau Tent Stationsplein NS;Stembureau Sociëteit K.B.O.;Stembureau Drafcentrum Alkmaar;Stembureau De Vrijheidskerk;Stembureau Gymzaal G. Metsulaan;Stembureau De Open Hof;Stembureau De Alkenhorst;Stembureau Gasfabriek;Stembureau Gymzaal Beethovensingel;Stembureau Buurthuis de Wachter;Stembureau Tent Vroonermeer (1);Stembureau Tent Vroonermeer (2);Stembureau Speeltuin OKB;Stembureau Wijkcentrum De Oever (1);Stembureau Wijkcentrum De Oever (2);Stembureau Gymzaal Stempelmakerstraat;Stembureau Leger des Heils;Stembureau De Rekere 2.0;Stembureau Scouting Graaf Daron;Stembureau Wijkcentrum Wijkwaard;Stembureau Lukaskerk;Stembureau Sporthal Alkmaar Noord (1);Stembureau Sporthal Alkmaar Noord (2);Stembureau de Blije Mare (1);Stembureau De Blije Mare (2);Stembureau Gymzaal De Vlieger (1);Stembureau Gymzaal De Vlieger (2);Stembureau Clubhuis Celeritas;Stembureau Wijkcentrum Daalmeer;Stembureau Tent Basketbalveld;Stembureau De Hofstaete;Stembureau Gymzaal Saturnusstraat (1);Stembureau Gymzaal Saturnusstraat (2);Stembureau V.V. Kolping Boys;Stembureau De Rietschoot;Stembureau Brandweerkazerne Koedijk;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis De Hoeksteen;Stembureau De Woeste Hoeve;Stembureau 't Wavertje;Stembureau Cafe 't Torenerf;Stembureau Het Rijperhuis;Stembureau Sporthal Oosterven;Stembureau Dorpshuis Onder de Boom;Stembureau SV West-Graftdijk;Stembureau 't Trefpunt;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Mobiel Bijzonder stembureau (1);Stembureau Mobiel Bijzonder stembureau (2)
;;30;de Jong, P.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Möring, W.H.G.;17;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0
;;32;Baak, I.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Ursem, R.C.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
;;34;Kuiper, E.;51;6;0;1;0;3;2;2;2;2;0;0;3;1;1;0;2;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;2;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;1;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
;;35;van Zanten, J.;45;3;3;1;0;1;0;1;0;1;1;0;2;2;0;0;0;1;0;1;0;2;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;2;0;1;3;0;0;2;0;1;2;0;0;0;0;0;0;0;0
;;36;Vermanen, E.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van de Kamp, L.R.;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;9;0;0;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;38;Touw, I.F.;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;39;Rondeau, J.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Burger, R.;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;41;Duim, S.;13;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;42;Hoekzema, F.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van der Linden, B.T.M.;14;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;44;Verhaar, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;45;Koopman, E.M.J.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;46;van Wonderen, H.P.R.;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;47;Blok, J.H.C.;19;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;48;Mechielsen, J.P.;96;4;0;1;5;3;0;2;3;0;3;4;0;2;0;2;1;0;0;2;1;1;4;2;5;0;1;0;3;2;1;2;1;1;0;0;1;0;0;0;0;6;1;3;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;1;0;1;1;1;3;0;1;0;0;2;0;0;1;0;0;0;3;2;0;0;3;1;0;0;0
2;GROENLINKS;;;5098;168;75;122;45;91;34;91;63;26;33;116;92;184;105;77;137;42;25;65;43;156;63;59;50;62;52;64;82;86;122;91;72;61;26;31;64;58;44;22;22;92;52;52;44;59;63;41;59;12;47;16;16;22;34;28;22;25;8;108;47;30;49;89;36;51;62;74;39;20;19;10;16;139;57;43;91;81;48;85;61;97;58;29;27;3;10;3;3
;;1;Kardinaal, M.A.;3184;88;37;63;18;62;26;45;38;12;14;73;60;94;66;59;74;23;15;34;30;103;35;39;31;42;41;45;46;54;73;58;48;35;12;17;53;40;24;16;16;52;31;39;30;36;41;33;44;5;30;12;10;15;28;24;17;17;6;67;30;19;38;63;21;36;38;55;31;11;17;8;15;71;46;20;58;50;34;54;33;58;35;16;16;2;9;2;2
;;2;Seignette, R.;212;8;3;6;1;3;3;5;5;2;1;4;3;6;3;1;9;3;1;0;1;12;2;6;0;1;2;3;3;6;7;4;5;0;0;3;1;1;3;2;3;4;1;1;1;0;1;0;3;1;1;2;2;0;1;0;2;0;0;8;0;1;0;2;4;1;3;3;0;1;1;0;0;5;2;6;0;1;4;6;0;7;4;0;0;0;0;1;0
;;3;Bromlewe, E.;71;3;0;2;1;0;0;6;1;0;0;0;2;1;1;2;2;3;0;0;2;2;1;3;2;1;1;0;3;2;1;0;0;1;1;0;0;0;1;0;0;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;3;0;0;0;1;0;0;0;0;2;1;0;0;2;1;1;1;3;0;0;0;0;0;0;0
;;4;Bouchier, C.A.M.;256;11;2;5;3;6;0;2;4;5;4;5;3;13;4;4;2;1;1;2;1;6;1;1;3;2;1;0;5;1;7;5;3;7;1;4;3;4;4;0;2;8;3;4;2;2;4;3;1;0;6;1;2;1;1;0;0;3;0;2;1;0;1;1;1;2;5;5;3;2;0;0;1;4;1;2;6;8;2;4;8;9;6;1;2;0;0;0;0
;;5;Garcia, C.H.;256;14;9;7;5;3;0;11;3;1;4;4;4;10;6;0;7;0;2;5;4;5;1;2;6;3;1;5;5;5;6;3;5;8;1;2;1;4;2;1;1;8;1;1;1;5;3;0;0;3;3;0;0;3;1;0;0;1;0;2;1;0;3;2;2;0;2;4;0;1;0;0;0;9;1;1;5;4;2;6;5;6;2;0;2;0;0;0;0
;;6;Schollaardt, M.H.J.;19;1;0;4;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Graaf, P.P.W.;124;7;2;6;1;0;0;1;1;2;3;5;1;4;1;2;2;1;0;1;0;4;1;0;1;2;0;2;2;3;2;4;0;0;0;1;0;0;1;0;0;5;8;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;4;0;0;0;0;0;1;0;11;1;3;5;1;0;0;2;1;1;1;0;1;0;0;0
;;8;van de Put, W.D.J.;19;3;1;0;0;0;0;0;0;0;0;1;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Muusses, L.D.;146;7;4;5;4;2;1;0;1;0;3;7;2;9;4;1;3;0;1;1;0;6;1;0;0;3;0;1;5;6;1;2;3;1;2;0;2;3;1;0;0;4;1;0;0;2;2;1;3;0;1;1;0;0;0;2;1;1;0;2;2;1;0;2;0;0;2;0;0;0;0;0;0;13;1;0;3;1;0;4;1;1;1;1;0;0;0;0;0
;;10;Brandsma, G.F.;25;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;2;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;11;Meijers, K.;66;0;2;2;3;0;0;3;0;0;1;0;0;7;7;0;4;0;0;1;0;1;0;1;0;2;0;0;3;1;2;0;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;1;0;1;0;0;0;0;0;4;0;1;0;0;0;2;2;1;1;2;0;0;0;0;0
;;12;van Dijk, J.M.F.T.;11;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;13;van Erkelens, W.;72;0;0;2;2;1;0;0;0;0;0;0;0;2;0;3;9;7;3;7;0;3;0;2;0;0;0;0;2;0;0;3;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;8;0;0;2;0;0;0;0;0;0;1;0;0;0;5;0;0;1;0;1;0;0;0;0;0;0
;;14;van der Horst, S.;173;10;7;9;2;6;3;6;0;0;1;1;5;12;4;0;9;1;1;0;2;1;9;2;3;2;1;2;1;0;7;0;0;1;0;2;2;0;1;1;0;2;1;2;0;1;5;0;2;0;2;0;0;0;1;0;0;0;0;3;3;3;1;2;0;0;1;4;0;2;0;0;0;4;0;3;4;2;3;3;0;1;1;2;0;0;0;0;1
;;15;Zuurbier, A.E.M.;55;2;1;1;1;0;0;0;0;0;0;1;3;1;0;0;3;0;0;3;0;1;1;0;0;0;1;1;0;1;6;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;1;1;5;3;0;1;0;0;0;0;0
;;16;de Groot, M.J.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Boogaard, L.M.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Vanwersch, M.M.;33;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;2;2;2;1;0;0;0;1;0;0;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Visser, J.M.M.;18;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
;;20;Najetović, E.;166;2;3;6;2;4;1;4;3;2;2;9;3;4;4;0;4;1;1;1;1;3;4;2;1;0;1;2;3;3;3;2;2;3;4;1;2;0;4;0;0;1;0;0;5;1;4;1;4;0;2;0;0;1;0;1;2;0;1;6;1;1;0;1;2;2;0;0;0;0;0;0;0;6;2;2;4;4;1;0;0;3;3;3;4;0;1;0;0
;;21;Bozelie, W.M.C.;25;0;0;1;0;1;0;1;1;0;0;3;1;1;0;2;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Roon, J.A.;18;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Kester, J.C.P.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;24;van der Veen, F.;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;25;van Veen, W.A.J.;24;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;4;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;26;de Leeuw, B.;26;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;3;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Braak, C.;79;5;3;3;0;0;0;5;2;0;0;0;3;5;3;0;4;1;0;3;0;1;3;1;0;0;1;0;0;0;1;2;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;0;0;1;5;1;0;1;0;0;0;0;0;0;5;0;0;2;2;0;0;2;1;0;0;3;0;0;0;0
3;VVD;;;4488;126;44;78;59;138;31;90;50;15;19;68;70;52;62;80;77;44;47;59;19;160;32;84;94;79;49;36;41;38;54;34;37;18;11;10;29;26;18;16;9;67;45;56;73;76;106;31;45;45;99;52;51;91;87;153;83;76;62;78;35;27;15;53;47;48;17;31;27;17;14;17;29;98;62;22;25;69;63;69;31;46;32;23;18;20;48;5;1
;;1;van der Rhee, J.;1725;46;18;27;26;49;14;25;16;5;8;30;33;23;30;37;30;14;12;24;8;47;14;22;37;34;17;14;18;23;26;18;12;9;7;6;11;6;8;9;5;30;26;22;33;41;44;19;21;13;33;16;24;33;13;31;20;21;5;32;15;15;6;28;14;31;5;19;15;11;9;1;4;44;21;14;10;25;10;42;13;22;23;13;5;6;3;5;1
;;2;Peetoom, C.D.;297;12;4;8;1;15;2;4;5;1;0;7;3;5;6;3;8;9;12;13;0;22;3;0;6;9;5;2;1;2;2;1;2;0;0;0;2;4;2;2;1;2;2;5;2;4;10;2;4;1;3;1;1;4;0;1;0;1;0;3;4;1;2;10;1;1;3;0;3;2;1;0;0;11;5;1;0;11;3;2;0;1;0;3;2;0;0;0;0
;;3;Vermeulen, T.;668;19;4;14;12;24;4;6;4;1;2;11;6;8;7;19;13;9;8;11;6;21;2;30;25;17;6;8;15;7;10;6;8;4;0;0;7;9;2;4;0;15;9;10;13;10;20;3;9;3;8;3;1;6;5;6;5;5;4;11;6;5;3;9;14;9;4;2;5;2;1;0;0;15;7;1;6;9;19;5;7;10;4;4;3;0;3;0;0
;;4;Dijkman, P.F.;270;7;1;1;3;9;1;2;1;1;0;4;0;2;1;10;1;0;2;0;0;1;1;1;0;1;2;2;0;1;1;0;2;1;0;1;1;0;0;0;1;1;1;2;3;4;8;0;2;0;11;3;9;0;23;28;5;11;41;4;0;2;0;0;5;0;0;2;0;0;0;1;10;1;2;0;1;6;4;2;1;3;0;2;0;1;9;0;0
;;5;Wiegman, M.E.R.;224;5;3;6;6;12;3;23;5;0;2;2;4;0;3;2;6;2;0;2;1;9;2;1;4;3;4;0;3;2;6;2;4;0;1;0;2;3;0;1;1;6;4;5;5;1;2;1;2;0;2;0;0;0;0;0;0;3;1;6;2;2;0;0;1;1;2;0;2;0;0;0;1;8;10;0;3;8;1;0;6;2;2;0;0;0;0;0;0
;;6;Peters, W.J.;52;1;0;8;0;2;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;0;0;3;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;1;1;0;1;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0
;;7;van Velzen, J.;107;1;0;3;2;3;0;0;2;0;0;1;1;1;1;0;1;0;0;0;0;1;0;21;8;1;1;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;7;1;0;6;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;7;1;0;4;0;0;0;0;0;0;0;0;1;0;18;0;0;2;0;0;0;0;0;0;0
;;8;Kranendonk, J.;234;1;3;1;0;3;0;2;0;0;2;0;0;0;1;1;2;1;0;1;0;7;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;3;0;2;5;5;28;58;17;18;6;7;2;1;0;0;0;0;1;0;0;1;1;0;8;3;2;1;0;1;3;0;0;0;3;0;0;2;20;0;0
;;9;Mohammed, T.O.;36;1;0;0;0;1;0;3;2;7;0;0;1;1;0;0;0;0;1;0;0;1;0;0;3;0;2;0;0;0;0;0;1;1;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0
;;10;Hiemstra-Kalverboer, K.;155;3;4;3;6;3;1;1;2;0;1;3;3;4;1;3;5;2;4;4;3;31;0;2;4;1;2;0;1;0;1;2;1;0;0;0;0;0;0;0;0;2;2;3;5;2;1;0;1;0;4;1;0;1;0;1;0;0;0;1;2;1;1;4;1;0;0;0;0;0;0;0;0;6;1;1;1;4;1;2;0;3;0;0;2;0;0;0;0
;;11;Bak, R.N.M.;66;2;1;1;0;2;2;3;1;0;0;3;3;1;0;1;2;0;0;2;0;2;1;2;2;2;2;4;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;1;2;1;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0
;;12;Barendregt, J.;131;1;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;23;16;3;17;2;3;11;4;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;2;0;0;0;1;0;1;0;0;0;0;3;10;2;0;0
;;13;van Heerwaarden, M.R.K.;20;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
