Verkiezing;;Gemeenteraad Aalsmeer 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aalsmeer;;;;;;;;;;;;;;;;;;;;;
Nummer;;0358;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum 't Baken;NH Wijkcentrum 't Anker;Buurthuis Hornmeer;Clubgebouw VZOD;R.K. Antoniusschool;Raadhuis Aalsmeer;Proosdijhal;Buurthuis 't Middelpunt;Sporthal De Bloemhof 1;Wellantcollege MBO Aalsmeer;Bibliotheek;Atletiek Vereniging Aalsmeer;Sporthal De Bloemhof 2;Raadhuis Aalsmeer maandag;Proosdijhal maandag;Raadhuis Aalsmeer dinsdag;Proosdijhal dinsdag;Dorpshuis Kudelstaart 't Podium;Parochiehuis
Gebiednummer;;;;;4;6;8;11;14;15;17;18;19;20;22;23;25;28;29;30;31;35;36
Postcode;;;;;1431 JA;1432 AV;1431 WC;1433 HM;1433 WB;1431 EH;1433 KA;1432 GB;1432 GH;1431 JV;1431 BD;1431 HW;1432 GH;1431 EH;1433 KA;1431 EH;1433 KA;1433 GH;1431 SG
3;Absoluut Aalsmeer;;;3428;208;175;358;180;210;229;256;320;166;65;156;74;115;176;141;202;137;125;135
;;1;Kuin, D.;1586;109;91;148;89;98;107;120;112;65;37;62;37;42;85;76;119;75;52;62
;;2;van Hilst-Dekker, C.;586;29;30;70;23;30;39;41;91;47;10;27;14;31;25;14;30;11;9;15
;;3;Holtrop, G.;157;18;9;14;4;7;8;8;23;8;2;11;3;5;5;1;13;3;6;9
;;4;Keessen, J.;366;21;16;46;20;25;23;23;31;11;6;25;7;13;20;12;15;15;18;19
;;5;Koster, W.T.J.M.;37;2;2;3;2;1;6;2;5;2;0;2;0;1;3;0;3;1;0;2
;;6;Prent, D.M.;64;3;0;5;1;0;2;3;6;10;2;2;1;7;6;0;2;5;1;8
;;7;Biesheuvel, D.J.;92;6;5;24;2;4;4;4;4;1;3;7;1;2;4;5;5;5;3;3
;;8;van Tol, W.C.;94;7;12;8;5;4;5;6;11;3;3;4;1;8;5;0;5;0;4;3
;;9;Schok, M.;19;0;0;2;0;3;1;1;5;3;0;3;0;0;0;0;0;0;0;1
;;10;Vogelaar, C.J.M.;128;2;1;7;19;16;9;25;2;0;0;3;2;1;2;22;1;3;11;2
;;11;Millenaar, J.A.P.;47;4;2;4;2;4;4;4;4;5;0;1;0;2;1;0;3;1;4;2
;;12;van Veen-Kooij, R.;33;3;3;4;0;2;1;1;6;0;0;0;3;2;2;0;1;3;1;1
;;13;Streijl, F.;18;1;0;8;0;1;0;1;1;0;0;0;0;0;5;0;0;0;0;1
;;14;Eggermont, P.A.;28;0;0;1;4;1;4;0;1;0;0;1;4;0;2;0;0;5;2;3
;;15;Groeneveld-van Mastrigt, D.A.C.;41;1;3;7;2;4;9;1;1;0;1;1;0;0;2;4;1;1;2;1
;;16;Klootwijk, A.C.;33;0;0;5;1;3;2;1;4;3;0;4;1;0;2;2;0;0;4;1
;;17;Lucke, L.J.;30;0;0;1;5;4;1;8;4;0;0;0;0;0;0;0;0;6;1;0
;;18;Dekker, R.;13;1;0;0;0;0;2;1;2;2;1;1;0;1;0;0;1;0;0;1
;;19;Bakker-Kuin, I.W.M.;56;1;1;1;1;3;2;6;7;6;0;2;0;0;7;5;3;3;7;1
4;GROENLINKS;;;1011;56;68;75;44;55;76;68;120;69;27;34;22;53;44;42;57;34;29;38
;;1;Fransen, R.P.;350;24;26;27;19;7;32;19;36;25;10;13;8;18;23;6;25;8;7;17
;;2;Lakerveld, P.;335;16;16;23;12;37;20;28;35;27;7;7;6;13;13;24;15;15;12;9
;;3;Verbeek, O. W.;27;1;3;2;0;3;1;3;4;1;1;0;0;0;2;0;1;1;3;1
;;4;Koopmann-Trawiński, J.I.;86;4;11;6;1;0;6;3;19;7;3;2;3;9;3;0;4;2;0;3
;;5;Vertregt, M.;83;3;10;6;3;1;8;4;17;4;5;4;1;7;0;3;3;1;0;3
;;6;Bakker, L.;63;6;0;4;5;4;6;1;1;1;0;4;3;5;3;3;6;5;4;2
;;7;Konigferander, A.E.A.;11;0;0;2;0;0;0;3;0;0;0;1;0;0;0;0;2;0;0;3
;;8;van Koldenhoven, L.J.;35;1;1;4;2;2;1;5;8;1;1;2;0;1;0;3;0;0;3;0
;;9;Paehlig, J.C.;4;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
;;10;Beijerbergen van Henegouwen, H.P.L.;17;1;1;1;1;1;2;2;0;2;0;0;0;0;0;3;1;2;0;0
5;D66;;;1635;63;67;143;92;113;135;115;214;127;26;76;37;96;56;31;88;40;50;66
;;1;de Vries, S.J.R.;733;34;34;66;30;31;60;45;102;62;11;39;15;48;25;13;49;13;23;33
;;2;Kikkert, W.;104;4;1;27;4;6;10;5;7;11;3;6;2;3;7;0;4;1;2;1
;;3;Geisler, M.J.;585;15;26;33;47;60;45;48;80;42;7;23;15;39;9;17;22;20;13;24
;;4;van der Tol, J.;61;0;3;3;9;9;3;11;2;0;0;1;1;0;3;1;3;4;8;0
;;5;Stokman, H.D.;48;6;1;1;2;4;5;2;9;1;2;2;1;1;2;0;3;1;1;4
