Verkiezing;;Gemeenteraad Zaanstad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zaanstad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gymzaal Wibautstraat, INGANG SPARRESTRAAT;Stembureau Handboogschutters Czaar Peter;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau Zaans Natuur en Milieu Centrum;Stembureau ICBS de Windroos, INGANG PINASSTRAAT 4;Stembureau Gymzaal Blaise Pascal College;Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN 174;Stembureau Gymzaal Noorderven;Stembureau De Paaskerk;Stembureau CBS Tamarinde,INGANG J.C. VAN WESSEMSTR;Stembureau Wijkcentrum Dirk Prins;Stembureau Buurthuis de Kolk;Stembureau Sporthal de Struijck, INGANG PROF.STRUIJCKENSTRAAT;Stembureau De Noorderkerk;Stembureau Basisschool Kogerveld;Stembureau Gymzaal Veldbloemenweg;Stembureau Buurtcentrum de Bovenkruier;Stembureau Sporthal de Tref;"Stembureau Speeltuinvereniging ""Het Havenkwartier""";Stembureau Het Zaantheater;Stembureau Het Tolhuys aan de Zaan;Stembureau Atletiekvereniging Zaanland;Stembureau Zaan Hotel;Stembureau Buurtcentrum De Zeskanter;Stembureau Gymzaal Meverstraat;Stembureau De Volleyhal;Stembureau Brandweerkazerne Houtveldweg;Stembureau Stadhuis van Zaanstad;Stembureau Best Western Zaan Inn;Stembureau Cultureel Centrum Bullekerk;Stembureau Buurthuis De Doorbraak;Stembureau Kerk van de Nazarener;Stembureau Buurthuis Het BrandtWeer;Stembureau Buurtcentrum De Vuister;Stembureau Basisschool de Golfbreker;Stembureau Apostolisch Genootschap;Stembureau Gymzaal Fortuinweg;Stembureau ZFC Orkest & Muziekschool;Stembureau Gymzaal Goudastraat;Stembureau Buurtcentrum De Lorzie;Stembureau Gymzaal Anemoonstraat;Stembureau Vereniging de Bloesem, complex de Amandelbloesem;"Stembureau Dorpshuis ""De Noorddam""";Stembureau De Wormerveerse Vermaning;Stembureau St. Petrusparochie, INGANG KERK;Stembureau Dependance basisschool de Hoeksteen;Stembureau Gymzaal Braillestraat;Stembureau De Durghorstplantsoen;Stembureau Gymzaal Jupiterstraat 139 Evenaar;Stembureau Odd Fellow Huis;Stembureau Basisschool de Hoeksteen;Stembureau Buurtcentrum de Pelikaan;Stembureau Kantine vv Assendelft;Stembureau Brandweerkazerne Assendelft;Stembureau Tennisvereniging Overdan;Stembureau Buurtcentrum A3;Stembureau Gymzaal de Springplank;Stembureau BUKO;Stembureau BUKO;Stembureau JongerenHUB Noord;Stembureau Gymzaal Kreekrijklaan 2;Stembureau Gymzaal Beemdgras;Stembureau Het Sociale Winkeltje;"Stembureau Dorpshuis ""De Kwaker""";Stembureau Wijksteunpunt Lambert Melisz;Stembureau Gymzaal Torenstraat, INGANG KERKBUURT 21;Stembureau Evean Oostergouw, HOOFDINGANG;Stembureau Evean Het Erasmushuis;Stembureau Zorgcentrum Mennistenerf;Stembureau Hervormd Centrum Pennemes, HOOFDINGANG;Stembureau Zorgcentrum Nieuw Groenland;Stembureau Zorgcentrum Saenden;Stembureau Evean Westerwatering, HOOFDINGANG;Stembureau Evean Parkzicht;Stembureau Evean Guisveld;Stembureau Evean Acht Staten;Stembureau Evean Rosariumhorst;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau De Noorderkerk;Stembureau De Noorderkerk;Stembureau Buurtcentrum de Bovenkruier;Stembureau Buurtcentrum de Bovenkruier;Stembureau Stadhuis van Zaanstad;Stembureau Stadhuis van Zaanstad;Stembureau Buurtcentrum De Vuister;Stembureau Buurtcentrum De Vuister;Stembureau Apostolisch Genootschap;Stembureau Apostolisch Genootschap;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum A3;Stembureau Buurtcentrum A3;Stembureau Het Sociale Winkeltje;Stembureau Het Sociale Winkeltje;Stembureau Wijksteunpunt Lambert Melisz;Stembureau Wijksteunpunt Lambert Melisz
;;6;Panen, K.;254;6;7;2;0;5;1;4;5;3;6;3;15;9;6;4;2;13;1;7;17;4;3;1;0;3;4;2;4;6;2;2;6;5;12;3;2;0;2;4;1;8;2;4;0;1;2;1;0;2;1;1;2;3;0;4;2;3;2;2;0;1;0;0;2;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;2;1;0;1;0;0;1;0;1;1;0;0;2;0;1;0;0
8;SP (Socialistische Partij);;;2085;25;37;11;18;20;19;16;54;20;25;16;31;37;24;21;12;47;30;49;26;40;27;13;9;17;17;12;31;42;16;44;9;32;36;70;15;27;49;28;35;68;14;38;9;11;38;32;21;20;25;9;12;22;12;39;17;11;14;12;9;14;3;2;18;17;27;4;3;1;0;1;3;0;4;3;1;2;2;16;20;6;24;9;29;19;39;21;43;18;7;43;24;22;28;8;18;9;17;8;12
;;1;de Groot, J.M.E.;1464;13;27;3;12;14;11;8;37;11;13;13;25;24;17;11;6;25;20;37;16;27;12;10;5;12;9;6;25;24;11;30;5;22;24;48;14;19;37;23;32;50;8;33;7;9;31;24;17;15;19;9;10;18;7;29;12;10;9;9;7;11;1;1;14;9;19;4;3;0;0;0;2;0;4;1;1;2;2;9;12;5;17;8;22;12;23;13;31;15;5;36;16;18;22;5;14;8;13;7;8
;;2;Gichuki, R.W.;140;1;0;0;0;1;2;4;4;0;0;1;1;2;1;1;1;6;3;2;3;3;3;1;1;0;1;1;2;4;0;6;0;1;2;3;0;5;7;0;1;6;1;0;0;2;1;5;2;1;2;0;0;3;2;3;2;1;2;0;1;0;1;0;2;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;2;0;2;3;1;4;4;0;1;1;2;0;3;0;0
;;3;van Riet, G.J.;80;2;6;4;2;1;0;0;4;3;1;0;1;2;1;3;0;0;0;2;2;1;3;0;1;1;2;0;2;5;3;2;0;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;2;1;2;2;1;0;1;0;0;1;1;0;1;0;1;0;0
;;4;Hulsthoff, C.M.L.;139;6;0;3;2;4;2;4;5;0;6;1;3;7;3;3;3;6;3;2;2;4;2;1;1;1;2;1;1;2;2;3;2;5;0;8;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;2;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;3;0;1;1;3;1;3;2;1;0;0;0;1;1;3;1;0;0;0;0;0
;;5;Pool, E.R.;39;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;3;5;0;0;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;3;7;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Truschel-Bloem, D.M.;53;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;2;1;2;0;0;0;0;0;2;1;0;0;1;0;1;0;0;2;3;0;0;0;1;1;5;3;3;0;0;2;0;0;1;2;0;0;0;0;2;1;0;0;1;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0
;;7;Wempe, J.C.J.;15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
;;8;Klein Tiessink, H.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;9;Verhoeven, N.R.;23;1;0;0;0;0;0;0;2;1;2;0;0;1;0;1;1;1;3;0;3;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van Norren, A.M.;31;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;2;3;1;0;1;1;2;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Yildirim, S.;46;0;3;0;0;0;3;0;0;1;0;0;1;1;1;0;0;3;0;1;0;0;2;0;0;0;1;0;0;1;0;1;0;0;2;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;2;6;0;0;0;0;0;1;1;0;0;1;0;0;0;1
;;12;Rijst, A.;33;0;0;1;1;0;1;0;1;2;1;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;4;0;2;1;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
9;GROENLINKS;;;4037;49;67;19;35;50;44;28;71;40;50;51;51;39;47;73;19;43;41;59;57;92;48;66;26;30;68;34;90;168;66;133;31;97;75;130;47;72;102;50;45;83;14;21;15;20;70;50;29;22;33;24;11;28;23;47;43;11;30;41;22;47;17;28;52;50;45;30;2;1;2;4;1;1;0;0;0;0;2;7;34;25;26;19;28;68;80;57;86;14;28;16;36;16;28;8;23;28;48;14;26
;;1;Breunesse, W.M.;1149;7;12;3;5;6;10;10;24;11;8;14;18;14;16;16;1;6;22;26;19;29;16;25;9;4;25;12;27;42;14;31;6;34;13;37;11;18;25;17;7;29;4;7;4;7;22;22;11;11;8;13;2;9;8;9;7;2;12;9;6;14;5;2;17;15;17;6;2;1;2;3;0;0;0;0;0;0;2;2;8;8;3;7;17;18;19;17;30;5;7;5;14;8;6;3;4;8;10;5;7
;;2;Özmen, K.;1029;20;21;7;10;14;24;6;27;11;12;12;10;8;17;25;3;13;5;15;17;14;10;13;4;11;19;10;29;53;22;34;8;21;16;19;8;16;15;11;10;17;3;5;5;8;15;11;6;1;7;2;2;6;3;15;4;3;11;17;7;16;5;15;18;14;10;12;0;0;0;0;1;0;0;0;0;0;0;2;16;6;6;5;3;17;16;14;10;2;5;4;14;2;5;0;4;8;24;4;3
;;3;Abozyid, S.I.;405;8;13;2;5;7;5;7;4;6;8;6;9;6;6;6;4;6;5;6;7;15;9;10;6;3;5;6;9;28;5;29;6;12;5;4;0;6;7;1;4;6;1;0;2;2;1;5;1;2;2;0;0;3;0;3;1;0;4;0;0;2;1;2;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;4;5;1;0;12;13;3;7;1;3;0;0;0;0;0;1;2;2;1;4
;;4;Stroo, N.;391;4;5;1;4;5;1;0;5;4;4;3;6;3;1;6;2;8;2;5;3;8;0;6;2;6;4;2;5;7;7;9;5;10;14;46;17;10;17;4;12;5;3;2;0;0;6;1;1;0;1;1;3;4;0;4;2;2;0;3;1;2;2;1;3;2;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;6;0;3;0;6;18;26;2;3;0;2;0;1;0;1;2;1;0;3
;;5;van der Sluis, J.D.;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;4;7;14;8;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;1;0;0;0;0;0;1;1;1
;;6;Kroon, K.P.;201;1;4;0;0;2;0;0;1;0;2;1;0;0;1;0;1;2;0;1;1;3;2;1;0;1;2;1;4;7;0;4;0;2;4;1;0;5;2;0;1;6;0;0;0;0;2;0;1;2;2;1;0;0;9;9;25;2;1;7;3;6;1;4;6;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4;5;1;1;0;2;1;1;2;5;5;12;2;7;1;0
;;7;van Marlen, D.G.;23;0;0;0;0;0;0;0;0;0;3;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;4;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Zaza, R.;150;3;2;2;6;2;1;0;2;0;3;5;0;2;0;8;1;1;1;3;2;7;2;2;0;1;1;0;3;11;3;5;2;4;2;1;0;3;5;0;2;3;0;2;0;0;1;0;1;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;3;1;0;0;0;0;0;1;0;0;0;0;0;1;4;4;2;2;1;7;3;0;1;0;1;1;2;0;2;0;0;1;0;0;1
;;9;Dekker, S.E.;134;1;1;1;1;5;1;1;1;4;3;2;2;3;3;3;1;3;1;1;4;0;2;4;1;0;1;2;4;8;4;4;0;3;2;7;0;0;4;0;1;2;2;0;0;1;4;2;0;0;5;1;0;1;3;2;2;0;0;1;3;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;2;3;0;0;0;1;0;0
;;10;de Laat, J.P.;38;0;1;0;0;0;0;2;1;0;2;5;1;1;0;0;1;0;0;0;0;3;0;0;0;0;2;0;0;1;1;1;2;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;1
;;11;van den Berg, C.T.M.;42;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;4;7;4;4;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;4;0;0;0;0;0;0
;;12;Siderius, P.J.;16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;3;2;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Behrens-Vogelesang, H.S.;32;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;4;7;4;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Molenaar, S.J.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0
;;15;Angenent, S.E.;59;0;2;0;0;1;0;0;0;0;0;1;1;0;0;2;1;0;1;0;1;5;0;0;1;1;1;0;2;4;1;1;0;2;4;4;0;2;2;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;2;0;0;0;1;0;0;0;0;0;1;0;1
;;16;Peters, M.J.;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;de Bruijne, P.J.O.;26;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;1;1;0;0;1;2;0;0;1;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Mc Devitt-Pugh, L.J.;36;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;2;3;0;2;3;2;2;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Jong, E.M.C.;42;0;0;0;1;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;3;0;2;0;1;0;1;0;0;3;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;2;3
;;20;Sandvliet, R.R.;10;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Boer, E.M.;12;0;1;0;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Pieper, J.V.M.;21;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0
;;23;Beemster, A.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Schumacher, N.M.;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Glas, J.;11;0;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Schoen, A.M.;26;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;1;3;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0
;;27;Abdalla, Z.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Abbass, M.;25;0;0;1;3;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;29;Vaessen, R.J.C.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;30;Nieuwenhuijse, W.J.A.;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;31;Linnekamp, R.J.;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Mathkor-van Bennekom, R.R.;28;1;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0;1;0;3;3;2;2;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;DENK;;;2540;120;98;96;184;148;186;33;87;79;31;13;24;23;23;67;17;79;7;15;13;19;7;18;20;13;22;13;25;75;42;23;20;14;14;31;2;17;30;6;11;20;15;6;0;4;11;20;9;0;11;1;16;15;1;5;1;11;6;28;29;109;20;12;69;2;6;1;0;0;6;0;2;0;0;4;0;0;0;43;124;7;8;7;3;17;32;2;11;4;1;8;11;10;8;5;2;15;17;0;0
;;1;Pancar, Ş.;1217;31;31;34;87;64;66;20;36;37;8;4;7;14;3;35;12;49;3;3;5;11;4;9;11;4;14;11;12;32;21;12;6;6;8;13;0;9;7;2;3;11;9;2;0;3;10;15;5;0;8;1;12;11;1;3;1;8;2;23;23;80;6;11;51;2;5;1;0;0;6;0;1;0;0;0;0;0;0;17;48;4;1;4;0;8;13;2;3;4;0;4;8;8;6;5;1;11;15;0;0
;;2;Kük, D.A.K.;161;1;5;6;13;7;15;5;4;3;1;2;0;1;5;1;1;4;0;1;2;5;0;3;3;0;0;0;3;4;4;0;3;0;1;0;2;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;8;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;15;0;1;0;0;2;3;0;2;0;0;0;0;0;0;0;0;1;1;0;0
;;3;Hellings, O.R.;238;12;7;3;11;1;15;0;10;2;4;1;5;2;3;6;2;11;2;8;0;2;2;0;0;6;7;0;10;14;7;5;5;3;3;7;0;1;6;2;3;0;1;2;0;1;0;0;2;0;1;0;0;0;0;0;0;2;0;0;3;2;2;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;3;3;3;0;6;0;0;0;0;0;0;1;0;0;0;2;1;0;0
;;4;Korkmaz, I.;261;10;9;15;19;34;37;2;13;13;4;0;2;2;2;15;2;9;1;2;0;0;0;1;0;0;1;0;0;12;0;0;1;0;0;0;0;2;3;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;3;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;0;3;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
