Verkiezing;;Gemeenteraad Gooise Meren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gooise Meren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis Naarden;Stembureau Wijkcentrum De Plataan;Stembureau Gymzaal Keizer Otto;Stembureau Naarderheem;Stembureau Godelindeschool;Stembureau Wooncentrum Ravelijn;Stembureau Kinderopvang Smallsteps Ridderzaal;Stembureau Witte Kerk;Stembureau Comeniusschool;Stembureau Gemeentehuis Gooise Meren;Stembureau Vrije Evangelische Gemeente, ing. Oud Bussummerweg;Stembureau Gymzaal Huizerweg;Stembureau Wijkcentrum Achter de Linde;Stembureau Apostolisch Genootschap;Stembureau Zorgcentrum Patria;Stembureau Gymzaal Kwartellaan;Stembureau Trefpunt;Stembureau Breeduit;Stembureau Gymzaal dr. Schaepmanlaan;Stembureau GGD Gooi en Vechtstreek;Stembureau Wijkcentrum Spieghelwijck;Stembureau Koningin Emmaschool;Stembureau Spieghelkerk;Stembureau Evangelische Lutherse Kerk;Stembureau Parochie De Sloep Mariakerk;Stembureau Gymzaal Bremstraat;Stembureau Vrije Evangelische Gemeente (ing. F. van Eedenweg);Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Gymzaal P.C. Hooftschool;Stembureau Ontmoetingscentrum De Steeg;Stembureau Wijkcentrum De Rijver;Stembureau Mobiel stembureau verzorgingshuizen;Stembureau Stadhuis Naarden;Stembureau Witte Kerk;Stembureau Gemeentehuis Gooise Meren;Stembureau Trefpunt;Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Wijkcentrum De Rijver;Stembureau Stadhuis Naarden;Stembureau Witte Kerk;Stembureau Gemeentehuis Gooise Meren;Stembureau Trefpunt;Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Wijkcentrum De Rijver
;;17;van Marissing, J.E.M.;10;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;18;Visser, S.H.;9;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Muthert, F.H.;21;1;2;4;0;0;0;2;1;0;0;0;0;0;1;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0
;;20;Fleskens, H.M.M.;24;0;0;0;0;4;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;3;0;6;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0
;;21;Roelofsen, J.H.H.;17;0;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;1;0;0
;;22;Roes, A.C.;13;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;1;1;0;0
;;23;van Amerongen, S.;14;0;0;0;1;0;0;2;0;0;4;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Marissing-Duits, E.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;25;Walma, A.;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;Mourits, M.J.;10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
;;27;Schulte, T.E.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
;;28;Dellen, T.;4;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Flink, C.C.M;22;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;5;2;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;2;0;0;0
;;30;de Veth, B.J.A.M.;36;0;2;1;0;0;0;0;0;1;3;0;2;0;1;0;0;3;3;4;1;1;2;0;3;1;0;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;0;1;0
5;GROENLINKS;;;2468;70;71;25;39;46;44;61;27;71;112;48;69;27;89;34;80;154;79;72;59;32;63;47;60;35;59;41;65;67;73;38;57;4;10;31;54;58;37;19;12;31;32;75;86;45;28;32
;;1;Boudewijnse, H.B.;1568;52;45;19;34;33;30;44;18;51;63;39;51;19;65;26;53;94;45;41;41;18;44;36;45;19;37;28;45;26;21;16;23;3;8;20;39;41;30;7;8;15;24;49;50;33;9;11
;;2;Vos, F.;120;2;1;1;0;0;0;3;3;1;15;1;1;0;2;2;2;14;5;3;2;1;5;2;7;5;7;2;3;1;1;0;1;1;0;2;2;2;1;1;0;0;2;4;12;0;0;0
;;3;Vonk, P.;202;3;7;0;0;2;1;2;0;2;7;1;3;3;0;0;6;10;4;5;1;0;1;4;3;0;2;1;6;27;36;3;9;0;1;0;2;6;1;4;0;3;0;5;8;3;17;3
;;4;Blüm, H.L.;187;5;1;0;1;3;4;3;1;7;3;4;10;2;7;2;10;12;9;15;9;8;9;2;1;8;4;2;6;0;1;4;2;0;0;1;2;4;3;1;0;5;1;9;3;3;0;0
;;5;Stapper, E.C.;25;0;0;0;0;1;0;0;0;0;3;1;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;1;2;0;0;0;0;1;0;2;1;0;3
;;6;Heineke, D.;30;1;1;0;1;0;1;1;1;0;3;0;1;0;1;1;1;4;2;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;2;0;0;0
;;7;Nederhorst, M.;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0
;;8;Blans, M.B.;66;3;1;1;2;1;0;2;1;2;5;1;0;1;2;1;2;5;1;0;1;0;2;1;0;0;3;0;1;5;2;0;0;0;0;1;2;0;0;0;0;4;0;4;7;2;0;0
;;9;van Zwet, C.H.W.;20;1;1;0;1;1;3;1;1;2;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0
;;10;van Dongen, P.M.;74;0;1;0;0;1;0;1;0;0;3;0;0;0;1;0;1;3;1;0;0;1;0;0;0;0;2;0;1;4;3;14;18;0;0;0;1;0;0;0;2;0;0;2;0;0;0;14
;;11;Vroegindeweij, D.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Rijke, F.M.;23;0;0;0;0;0;0;0;1;1;0;0;0;2;2;0;2;2;0;2;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;1;0
;;13;Roemen, F.A.W.M.;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;van Atteveld, V.A.;34;1;8;1;0;1;2;0;1;4;2;0;1;0;0;0;0;1;1;1;0;0;0;0;2;2;0;0;0;0;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Thomas, E.;18;0;3;1;0;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0
;;16;Jonkman, L.C.;25;0;0;0;0;0;0;2;0;0;6;1;1;0;2;0;0;1;3;0;1;2;0;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;17;Koeneman, A.A.;18;1;1;0;0;2;1;0;0;1;0;0;0;0;1;0;0;0;1;3;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
;;18;Kreijger, R.G.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;19;Aten, B.;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Portengen, J.P.;19;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;6;0;1;0;0;0;0;0;0;4;1;0;0;0;0;0;1;1
6;Partij van de Arbeid (P.v.d.A.);;;1961;27;44;34;46;20;47;45;34;51;63;37;23;37;48;16;50;75;54;39;44;27;40;38;30;20;60;23;48;47;87;85;92;14;20;21;52;37;49;32;30;20;38;50;61;36;28;42
;;1;Bekkema, R.P.;986;21;33;27;37;12;35;30;27;44;40;20;13;18;33;8;27;27;26;13;27;18;23;30;15;10;16;13;34;13;20;12;8;8;16;16;28;15;30;11;6;15;31;23;31;17;5;4
;;2;Wiss, M.;286;1;1;2;4;1;3;3;3;0;3;1;2;2;2;1;2;4;3;2;0;0;3;1;1;0;4;3;5;10;15;61;68;2;2;0;4;2;2;1;19;1;1;2;0;3;4;32
;;3;van der Schaaf, W.;195;0;1;3;1;2;2;4;1;3;6;2;0;4;5;1;9;21;11;7;8;1;4;1;2;2;33;4;0;0;0;1;1;1;0;1;9;8;3;0;0;1;1;11;17;3;0;0
;;4;Peeters, J.M.M.;159;1;3;1;1;0;1;2;0;2;4;2;4;6;4;2;7;15;7;9;4;4;4;1;7;4;6;1;3;0;1;0;0;3;0;0;5;7;11;1;0;0;3;8;5;9;1;0
;;5;Winnubst, F.A.M.;97;0;1;0;1;1;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;41;6;2;0;0;0;0;0;0;15;0;0;0;0;0;0;11;0
;;6;Palm, B.;29;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;4;3;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;7;0
;;7;Blussé van Oud Alblas, J.J.;25;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;1;0;1;2;2;1;0;1;0;0;0;1;0;0;2;1;0;0;0;2;0;0;0;0;2;1;2;1;0;0;0
;;8;van der Hulst, R.F.W.;14;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;2;0;0
;;9;Wiss, K.P.J.;29;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;11;0;0;0;0;0;0;0;4;0;0;1;0;0;0;6
;;10;Schenk, F.D.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;11;Driessen, H.;20;4;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;3;0;1;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;12;Mulder, J.R.;8;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
;;13;van 't Hull, M.;9;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;14;de Roode, W.J.G.;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;15;Verheesen, J.W.M.;5;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Schieven, F.A.C.;5;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Bijvoet, H.N.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Verbeke, P.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Molijn-Sickens de Wal, W.L.;10;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Penseel, H.J.;12;0;0;0;0;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
;;21;Ratelband, F.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0
;;22;Schild-Schofaerts, E.C.;25;0;0;0;0;0;0;0;0;0;2;11;2;1;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
;;23;ten Kroode, H.F.J.;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Thijssen, J.;7;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
7;CDA;;;1983;51;77;35;69;44;40;43;38;37;60;42;32;24;30;12;24;89;38;22;40;27;53;55;21;19;39;40;47;113;82;58;64;15;18;42;36;48;29;44;2;29;41;60;55;29;52;18
;;1;Veerman, B.;764;19;24;13;32;22;15;13;7;17;28;19;15;11;15;5;14;42;19;10;20;9;18;15;12;10;21;21;27;6;7;12;13;14;11;18;23;31;19;3;1;11;15;30;36;13;3;5
;;2;de Hollander, H.J.;200;17;32;13;23;5;8;13;12;10;2;0;1;1;2;0;1;4;2;0;2;2;1;0;1;0;0;0;1;1;1;3;1;1;2;10;4;2;0;0;0;5;11;4;0;0;0;2
;;3;Mastenbroek, A.;188;0;1;1;0;1;1;0;0;0;3;0;1;0;0;0;1;2;2;1;0;0;1;0;0;0;1;0;4;48;49;5;6;0;0;0;0;0;1;21;0;0;0;1;2;0;33;2
;;4;van Roden, M.G.J.;215;3;3;1;5;3;3;5;4;4;9;12;6;8;5;5;3;11;5;7;11;5;5;10;3;8;6;6;0;1;3;1;1;0;0;1;6;7;4;0;0;1;3;15;9;3;4;0
;;5;Herben, E.M.;64;1;1;0;1;2;1;0;0;0;3;2;0;1;3;0;1;3;3;1;1;0;1;3;0;0;1;2;0;8;10;7;1;0;0;0;0;0;0;3;0;0;0;3;0;0;1;0
;;6;Bartelet, G.P.M.;18;2;0;3;2;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;0;0;0;0
;;7;Nell, T.E.;98;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;1;0;0;0;1;0;0;34;5;13;13;0;1;1;0;0;0;8;0;0;2;0;0;0;6;5
;;8;van Welie, M.;60;0;0;0;0;0;0;1;1;1;1;3;2;0;0;0;0;3;1;1;0;6;3;11;3;1;3;3;3;0;0;1;0;0;1;0;0;2;0;0;0;0;0;4;1;4;0;0
;;9;Broer-Nieuwenhuis, G.L.;63;6;8;2;3;5;2;4;8;0;1;4;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;2;0;0;0;0;1;0;0;5;0;1;0;0;0;3;2;0;1;0;0;0
;;10;El-Kalaani, A.N.;21;0;0;1;0;1;0;1;0;0;2;0;0;0;1;1;0;6;0;0;0;1;0;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;11;van Diest, C.P.J.;59;0;3;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;2;15;17;0;1;1;0;0;0;0;0;2;1;0;0;0;0;3
;;12;Hendriks, J.G.;9;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
;;13;Voerman-Luiting, J.E.;17;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;1;1;0;0;0;2;0;0;1;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;3;0;0
;;14;Vos, A.G.J.;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;15;van den Biggelaar, J.J.B.;18;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;0;0;0;0
;;16;Heijdra-Pronk, J.E.M.;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;5;0;0;0;0;0;0;6;0;0;0;0;0;0;3;0
;;17;Masseus, W.M.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Ploeg-Vergeer, E.J.M.;23;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;3;0;1
;;19;Beenen, H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;20;Dosker, C.J.G.;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;21;Wennink, H.A.F.;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Waes, W.A.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0
;;23;Broer, W.;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Lablans, P.P.G.;4;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;25;van Zeggelaar, J.P.;25;1;1;0;1;0;1;2;3;0;1;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;4;1;0;0;0;0
;;26;Versteeg, D.R.;27;0;1;1;0;1;8;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;El-Kalaani - de Boer, E.G.;9;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
;;28;Claushuis, R.T.J.;15;0;0;0;1;1;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;29;Sonneveld, H.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;1;5;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
8;ChristenUnie;;;579;8;27;13;20;5;14;9;17;11;10;15;13;3;13;4;16;39;43;23;5;14;5;7;12;5;2;10;10;0;8;12;21;4;8;14;13;31;16;2;11;3;8;18;26;9;1;1
;;1;Kamphuis, R.E.;298;4;12;8;16;3;10;5;8;5;6;8;6;1;7;3;11;19;19;14;4;10;4;1;3;3;2;5;4;0;5;4;2;1;4;8;7;18;7;2;0;3;6;11;13;6;0;0
;;2;den Hengst, J.P.;32;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;2;4;8;0;0;1;0;0;0;0;5;0;0;1;1;0;1;1
;;3;Koelewijn, J.M.;89;4;6;3;2;0;4;2;5;1;2;1;2;1;1;0;1;10;3;3;0;2;0;1;0;0;0;2;1;0;0;0;1;1;2;3;2;5;3;0;0;0;1;3;9;2;0;0
;;4;Kerrebijn, R.;34;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;1;6;0;0;0;1;3;3;0;0;3;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;2;2;0;0;0
;;5;Pasterkamp, R.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;6;Boxum, M.R.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Benjamin, E.V.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;8;Wierdsma-Schoppen, I.J.;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Dijs, P.;26;0;4;0;0;2;0;1;1;4;1;1;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;2;2;0;0;0;1;0;0;0;0;0
;;10;Kamphuis-Zieltjens, J.;19;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;3;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;11;Heemink, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;den Hengst-Hoogenbosch, I.M.;24;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;9;0;0;0;0;0;1;0;6;0;0;0;0;1;0;0
;;13;den Boef, J.W.H.;15;0;1;0;0;0;0;0;0;0;0;4;0;0;3;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Overbeeke, G.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;15;Klein, M.C.A.;17;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;2;1;0;0;1;0;1;3;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
9;Partij voor Leefomgeving En Klimaat;;;992;22;62;25;19;15;22;36;25;15;44;7;22;12;35;8;29;63;40;22;23;16;22;16;10;21;27;19;32;17;25;22;36;2;10;12;25;25;13;3;5;11;6;16;18;13;9;15
;;1;de Goede, M.R.;402;11;37;14;9;10;11;12;10;7;24;4;5;5;14;1;9;25;10;8;9;7;7;8;5;6;7;9;12;5;12;12;13;1;5;6;10;6;5;2;1;4;3;2;7;5;3;4
;;2;Umans, I.H.J.M.;216;5;9;8;5;2;5;9;7;4;5;1;3;3;8;2;8;7;9;3;4;1;7;3;2;3;5;1;7;8;4;9;11;0;3;5;3;9;3;1;1;3;1;5;2;1;1;10
;;3;Huizinga, M.;227;0;6;0;1;2;2;10;4;0;13;1;9;3;10;3;9;24;14;5;6;5;4;3;1;8;13;7;10;2;3;0;4;1;0;0;10;7;5;0;2;0;0;5;6;7;2;0
;;4;van den Hoven, J.;24;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;1;1;2;1;0;2;1;1;0;2;2;1;0;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0
;;5;van Zon, E.;32;0;0;0;1;0;0;1;0;0;0;1;4;1;0;0;0;2;3;2;1;1;0;0;1;1;0;0;2;0;2;0;3;0;0;0;0;1;0;0;0;0;1;2;1;0;0;1
;;6;Hafkamp, G.H.A.;22;2;4;1;3;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;2;0;0;0;0
;;7;Bogert, R.;27;3;2;1;0;0;1;3;2;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;2;0;3;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
