Verkiezing;;Gemeenteraad Lelystad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lelystad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige Scholengemeenschap De Rietlanden;Bethelkerk;School Laetare;Wijkcentrum Zuiderzee;Atolplaza;Kerkcentrum Ontmoetingskerk;Gymzaal Voorhof;Waterschap Zuiderzeeland;Buurtvereniging Het Palet;Buurtcentrum De Brink (2);Gymzaal Wold;Sportzaal Horst;Buurtcentrum De Brink (1);Gymzaal Voorstraat (1);Gymzaal Voorstraat (2);Leonardo Hotel Lelystad City Center;Kerkcentrum Het Anker;Voormalige Dokter Herman Bekiusschool;Wijkcentrum De Dukdalf;Gymzaal Punter;Theater Posa;Gymzaal Kindcentrum Warande;Woonzorgcentrum Hanzeborg;Kerkcentrum 't Lichtschip;School De Toermalijn;Kerkcentrum Petruskerk;School De Tjalk;School De Schakel;Gymzaal Lelystad-Haven (1);Erfgoedpark Batavialand;Gymzaal Landstrekenwijk (1);Aeres VMBO Lelystad;Gymzaal De Borg;Stadhuis Lelystad;Kerkcentrum Lichtbron;School De Meander;Gymzaal Lelystad-Haven (2);Gymzaal Schouw Noord;Gymzaal Landstrekenwijk (2);Drive-through Wigstraat;Gymzaal Kindcentrum Warande (2);Hof van Lelystad;Stadhuis - maandag;Gymzaal Landstrekenwijk (1) - maandag;Wijkcentrum Zuiderzee - maandag;Voormalige Dokter Herman Bekiusschool - maandag;Gymzaal Voorstraat (1) - maandag;Gymzaal Lelystad-Haven (1) - maandag;Wijkcentrum de Dukdalf - maandag;Gymzaal Voorhof - maandag;Stadhuis - dinsdag;Gymzaal Landstrekenwijk (1) - dinsdag;Wijkcentrum Zuiderzee - dinsdag;Voormalige Dokter Herman Bekiusschool - dinsdag;Gymzaal Voorstraat (1) - dinsdag;Gymzaal Lelystad-Haven (1) - dinsdag;Wijkcentrum de Dukdalf - dinsdag;Gymzaal Voorhof - dinsdag
;;7;van der Scheer, D.;46;0;1;0;1;0;2;1;0;3;2;1;0;1;0;1;3;3;2;0;0;3;1;0;0;0;2;0;1;0;0;0;1;5;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;0;2;1;0;0
;;8;Aksoy, K.C.;49;0;0;0;0;15;1;0;0;0;1;0;0;0;4;2;0;0;1;0;2;0;3;0;0;0;0;2;0;1;2;0;0;2;1;2;0;1;1;0;0;3;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0
;;9;Falch, C.N.;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2
;;10;Cassé, P.C.J.;17;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;2;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0
;;11;Abcouwer, N.F.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Opdam, M.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;13;Kok, S.J.;14;0;2;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Holtmaat, J.;27;0;0;1;0;1;5;1;1;2;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;1;0;0;0;1
;;15;Groeneveld, M.G.R.;4;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;de Haan, J.P.R.;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Smetsers, T.A.;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bergman, D.B.J.;22;0;0;3;2;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0
;;19;Ummels, T.J.M.G.;14;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;20;Schot, P.A.;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
11;SP (Socialistische Partij);;;1460;16;21;17;30;40;43;33;11;31;19;38;38;22;29;27;23;49;29;23;14;46;10;68;61;41;42;35;32;19;23;12;21;30;42;28;18;23;25;24;5;17;12;30;14;14;23;20;9;8;9;54;10;18;9;18;15;12;10
;;1;Sprong, A.Y.;769;6;11;11;17;20;21;12;8;20;6;17;23;9;17;17;15;24;15;11;8;29;2;35;34;20;27;15;13;3;7;5;14;13;23;14;10;12;17;16;2;10;5;19;7;3;15;10;3;8;5;33;7;13;4;9;7;8;4
;;2;Manheim, M.;46;0;1;1;1;0;0;0;0;0;0;3;2;1;1;2;0;1;2;1;0;3;3;5;2;0;4;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;2;0;1;1;0;0
;;3;Donninger, J.;364;8;6;3;10;10;12;16;1;8;7;10;3;8;9;7;8;13;4;6;3;5;3;19;14;10;7;7;4;3;9;5;3;12;11;7;5;8;5;4;2;3;2;4;6;2;5;8;1;0;1;14;3;1;5;7;3;1;3
;;4;Buitink, L.C.C.;47;0;1;0;1;0;4;4;0;0;1;2;2;0;0;0;0;2;1;1;0;1;0;2;3;1;1;0;1;1;1;0;0;1;3;4;0;1;0;0;0;2;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;1;1
;;5;Boer, M.I.;70;0;1;1;1;4;3;0;0;0;0;1;4;1;1;1;0;2;1;3;3;1;1;1;1;3;3;2;2;5;0;1;1;2;1;2;2;1;1;2;0;1;0;1;1;0;0;0;4;0;2;1;0;0;0;0;1;0;0
;;6;Verbeek, S.;27;0;0;0;0;1;1;0;1;1;1;2;1;0;0;0;0;3;2;0;0;3;0;0;2;0;0;2;2;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;7;van Weeren, R.V.;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;8;van der Sleen, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Linde, F.;48;0;0;0;0;2;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;2;0;2;2;1;0;3;8;3;1;0;2;2;1;1;1;0;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;1
;;10;Jongsma, A.W.;14;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0
;;11;Sessink, D.;10;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Agricola, A.M.;4;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Jacobs, R.;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Nijsten, G.;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Manheim-Branger, M.C.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Harmsen, I.;29;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;2;0;1;0;1;1;1;0;6;0;3;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;1;1
12;DENK;;;398;0;3;53;18;69;14;1;0;3;6;10;12;4;6;12;7;6;0;7;5;9;8;12;4;6;8;2;6;12;1;8;0;0;10;10;0;0;6;4;1;4;3;7;2;3;1;10;0;0;0;4;3;2;0;12;0;0;4
;;1;Cherrat, A.;235;0;2;46;16;38;4;1;0;0;5;8;4;3;2;5;6;2;0;4;1;3;3;6;4;4;7;0;2;7;1;8;0;0;3;5;0;0;5;2;0;2;1;2;1;3;1;9;0;0;0;0;0;1;0;5;0;0;3
;;2;Yari, H.;56;0;0;4;1;11;1;0;0;0;1;0;0;1;2;1;1;2;0;2;1;3;0;2;0;0;0;0;3;1;0;0;0;0;4;1;0;0;1;1;0;1;2;2;1;0;0;1;0;0;0;2;2;1;0;0;0;0;0
;;3;Kaya, S.;72;0;0;3;0;17;7;0;0;0;0;0;8;0;2;6;0;0;0;1;0;1;2;2;0;0;1;2;0;2;0;0;0;0;2;4;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0
;;4;Soekkar, R.A.;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Willemse, H.I.;11;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Taskin, E.;17;0;1;0;1;1;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
13;Mooi Lelystad;;;1473;7;16;9;14;18;27;41;23;79;19;40;40;29;16;19;16;46;28;21;30;28;17;28;53;54;37;45;32;39;38;32;32;25;29;51;33;31;19;31;13;25;42;23;18;3;4;8;5;11;12;32;13;14;8;18;16;6;10
;;1;van de Watering, M.J.;713;5;10;4;7;9;16;18;17;26;9;20;14;15;9;5;8;25;11;13;15;20;9;15;31;23;24;21;16;15;22;10;14;6;17;30;19;17;7;14;4;10;25;9;11;2;1;1;3;0;6;13;8;8;3;4;8;6;5
;;2;Schopman, B.A.H.;111;1;1;1;0;0;2;3;1;2;0;3;1;5;1;1;2;4;5;0;3;2;0;2;2;2;0;1;1;6;4;8;4;3;2;5;1;2;4;4;1;3;2;0;2;0;0;0;0;1;0;2;1;3;0;1;6;0;0
;;3;Velstra, R.A.F.;211;1;3;2;1;4;1;5;1;0;3;5;8;1;1;1;2;2;2;5;5;2;3;3;13;19;5;7;6;8;5;4;10;8;3;4;1;5;2;5;2;7;7;1;3;0;0;6;0;4;0;5;1;1;1;5;2;0;0
;;4;Hooites, X.Y.;70;0;0;0;2;1;1;2;0;1;0;8;3;0;0;0;0;2;2;1;1;1;3;0;1;3;1;1;2;5;0;2;1;1;0;0;0;3;2;3;2;0;2;5;0;0;0;1;2;0;0;4;0;0;0;1;0;0;0
;;5;Srámek, T.A.;45;0;1;0;0;0;0;0;2;2;0;0;1;3;1;2;2;2;5;0;1;0;0;0;0;0;0;2;1;0;1;0;0;1;1;3;2;0;1;2;0;2;3;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0
;;6;Wals, A.;110;0;0;1;1;2;1;2;1;14;3;1;8;2;3;2;1;2;0;1;2;1;1;2;4;1;1;4;3;3;1;5;0;4;2;0;4;1;1;0;4;2;0;4;0;0;3;0;0;2;3;1;1;1;1;1;0;0;2
;;7;Nagel, E.J.E.;31;0;1;0;0;0;0;0;0;2;1;3;1;0;1;4;0;0;0;0;0;0;0;0;1;0;3;2;0;1;0;0;0;1;0;1;2;1;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;0;0
;;8;March, R.A.;11;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Prins, J.;117;0;0;0;3;2;5;9;1;30;2;0;4;0;0;3;1;3;1;1;2;2;1;5;0;2;1;4;0;0;3;0;1;1;3;3;4;2;0;2;0;1;1;2;0;0;0;0;0;3;2;2;0;1;0;1;0;0;3
;;10;Niezen-Vos, O.J.;21;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;1;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;0
;;11;Jansen, W.;33;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;4;1;0;0;0;0;1;1;3;1;0;2;0;0;2;1;0;1;2;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;1;1;0;1;2;0;0;0
14;Gemeente Belangen Lelystad;;;991;4;13;11;10;5;11;17;7;25;12;22;17;14;14;13;13;42;30;14;25;33;14;30;38;25;15;22;23;15;19;28;35;24;25;25;40;14;17;26;6;13;26;12;10;4;12;1;2;6;8;24;15;6;22;11;8;6;12
;;1;Dreesman, K.A.;383;3;4;5;5;4;4;7;3;15;6;8;4;7;6;3;4;11;2;6;6;10;7;9;11;9;4;11;10;8;11;14;12;7;11;13;17;9;6;9;1;6;6;2;6;4;4;0;1;1;3;8;10;2;10;6;2;3;7
;;2;Hers, E.;85;0;3;1;0;0;0;1;0;0;0;0;1;1;0;0;1;5;6;0;7;14;1;1;2;0;3;1;2;0;2;2;0;1;2;0;3;0;3;0;0;2;1;6;0;0;4;0;0;2;2;2;1;0;1;0;1;0;0
;;3;van Luxemburg, E.J.G.;76;1;0;1;1;0;0;0;0;1;1;2;5;0;1;2;2;5;1;1;0;3;1;8;2;1;1;1;1;0;0;3;1;0;2;4;3;2;4;1;1;2;0;2;0;0;2;0;0;0;0;3;0;0;1;2;0;0;1
;;4;Ros, B.C.M.;166;0;4;1;0;0;4;3;1;3;1;5;3;3;4;2;2;9;10;2;2;2;1;2;11;6;2;5;4;2;3;4;4;7;6;5;10;1;0;4;2;3;1;0;1;0;2;0;0;2;2;2;1;1;4;0;3;2;2
;;5;Overwater, P.M.;48;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;1;3;0;1;1;1;1;1;1;2;0;1;0;0;1;2;1;0;0;2;0;0;2;1;0;16;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;0
;;6;Schultze, J.;49;0;1;0;0;0;0;2;1;1;0;1;0;0;0;1;3;2;4;1;2;0;2;0;6;2;0;3;2;0;0;1;3;1;2;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0
;;7;van Noort, M.;184;0;1;3;4;1;3;3;2;3;4;6;4;3;3;5;0;9;4;4;7;3;1;9;5;6;3;1;3;5;3;3;13;7;2;3;5;2;1;10;1;0;1;2;3;0;0;1;1;1;0;7;1;2;2;3;2;1;2
15;Partij voor Logisch Beleid (PvLB);;;149;0;1;4;5;1;4;3;2;3;2;4;1;7;3;8;7;2;1;2;6;6;3;15;0;3;2;4;4;1;1;2;2;5;2;6;4;3;0;1;3;2;2;3;0;0;0;0;0;2;2;3;0;0;0;1;0;1;0
;;1;Grin, F.;113;0;1;1;5;1;4;3;1;3;1;4;1;1;1;5;7;2;1;2;3;6;3;13;0;3;1;3;3;1;1;1;0;4;0;3;4;3;0;0;3;2;2;1;0;0;0;0;0;2;2;3;0;0;0;1;0;1;0
;;2;Brandenburg, W.D.R.;16;0;0;0;0;0;0;0;0;0;1;0;0;6;1;2;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Bouwman, G.N.M.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;van Balen-Wentink, G.J.C.;7;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;van der Sande, S.M.;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Forum voor Democratie;;;1296;13;11;30;20;11;33;43;19;31;33;39;49;22;59;44;39;31;22;30;36;48;11;36;47;33;26;38;32;30;21;24;17;18;30;32;21;21;29;23;5;21;23;9;5;7;3;3;0;6;1;13;4;5;7;20;6;2;4
;;1;Loijenga, J.J.;674;6;8;17;10;6;17;30;7;18;12;11;24;12;43;22;13;15;12;15;13;23;4;18;24;16;11;17;20;13;7;16;13;15;17;20;9;8;12;14;4;11;10;7;3;2;3;3;0;3;1;6;3;4;3;12;6;1;4
;;2;van Beveren, P.J.;101;2;1;4;1;0;0;3;1;3;3;10;3;0;2;3;1;4;3;3;2;4;1;3;5;4;2;0;4;2;1;1;1;0;3;0;0;3;4;2;0;2;2;0;1;1;0;0;0;0;0;1;0;0;1;3;0;1;0
;;3;Wijngaard, M.M.;310;4;1;3;5;1;5;7;6;8;12;12;13;7;7;12;20;7;7;5;13;20;1;12;11;6;11;11;5;3;12;3;1;1;3;5;8;7;8;4;1;4;7;1;1;0;0;0;0;3;0;1;1;1;1;2;0;0;0
;;4;de Lange, A.K.;42;0;1;3;2;1;2;0;3;0;0;2;1;0;3;3;0;0;0;0;1;0;1;0;2;1;0;3;0;0;1;1;1;0;1;0;0;0;3;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;5;Antonovich, S.H.C.;58;0;0;2;0;2;7;2;0;1;1;0;1;0;0;0;0;0;0;3;2;0;2;0;0;0;1;5;0;8;0;1;0;0;1;3;1;3;2;2;0;1;0;0;0;4;0;0;0;0;0;2;0;0;1;0;0;0;0
;;6;van Zoelen, J.W.A.;52;1;0;1;2;0;1;0;0;0;1;3;7;2;2;3;2;3;0;1;3;1;0;0;0;2;0;0;1;0;0;1;1;2;1;4;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;7;van Slot, S.;23;0;0;0;0;0;0;0;1;0;4;0;0;0;1;0;2;0;0;2;0;0;0;3;0;1;1;0;2;1;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Scheppingen, A.E.;17;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;1;0;5;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Groenewold, V.M.;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Meerman, R.;14;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;2;0;0;0;0;1;0;0;3;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
17;Partij MENS (Met Eigenheid Naar Samen);;;240;3;5;3;6;3;1;7;1;11;6;3;6;4;12;13;2;4;5;8;3;4;1;4;4;8;2;5;4;7;2;5;3;2;14;7;7;6;5;3;0;2;0;1;0;2;0;3;2;0;2;5;2;1;0;15;2;4;0
;;1;Charlot, M.J.H.;151;1;4;2;4;1;1;6;1;10;3;3;4;2;8;12;1;0;5;6;2;2;1;0;4;5;2;5;2;3;2;4;3;2;10;4;3;3;1;2;0;2;0;1;0;1;0;1;1;0;2;3;1;1;0;3;0;1;0
;;2;Noordeloos, J.J.;34;1;1;1;1;0;0;0;0;0;1;0;2;2;3;0;1;1;0;1;0;1;0;3;0;1;0;0;0;0;0;0;0;0;2;1;3;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;3;Sewpal, R.;8;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;4;Brindaben Panday, R.S.R.;16;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;2;0
;;5;Huisman, M.;23;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;2;2;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;2;1;0
;;6;van den Heuvel, J.R.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
